LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1760382020.433575,1325320.000,21685,1,HR,1,100,97.35
1760382021.033590,1325920.000,21783,1,HR,1,100,97.94
1760382021.633605,1326520.000,21884,1,HR,1,100,98.40
1760382022.313622,1327200.000,22007,1,HR,1,100,96.14
1760382022.993639,1327880.000,22108,1,HR,1,100,94.38
1760382023.806660,1328693.000,22241,1,HR,1,100,90.07
1760382024.526678,1329413.000,22373,1,HR,1,100,88.58
1760382025.486702,1330373.000,22522,1,HR,1,100,82.78
1760382026.406725,1331293.000,22669,1,HR,1,100,78.88
1760382027.046741,1331933.000,22775,1,HR,1,100,82.18
1760382027.726758,1332613.000,22892,1,HR,1,100,83.53
1760382028.485777,1333372.000,23011,1,HR,1,100,82.51
1760382029.365799,1334252.000,23159,1,HR,1,100,79.33
1760382030.045816,1334932.000,23275,1,HR,1,100,81.31
1760382030.765834,1335652.000,23391,1,HR,1,100,81.76
1760382031.645856,1336532.000,23540,1,HR,1,100,78.74
1760382032.605880,1337492.000,23696,1,HR,1,100,75.13
1760382033.458901,1338345.000,23846,1,HR,1,100,74.31
1760382034.178919,1339065.000,23961,1,HR,1,100,76.31
1760382035.258946,1340145.000,24127,1,HR,1,100,71.70
1760382036.218970,1341105.000,24291,1,HR,1,100,69.66
1760382037.058991,1341945.000,24428,1,HR,1,100,70.05
1760382037.739008,1342625.000,24549,1,HR,1,100,74.09
1760382038.379024,1343265.000,24647,1,HR,1,100,78.46
1760382038.979039,1343865.000,24748,1,HR,1,100,83.25
1760382040.019065,1344905.000,24914,1,HR,1,100,77.57
1760382040.939088,1345825.000,25062,1,HR,1,100,74.82
1760382041.618105,1346504.000,25179,1,HR,1,100,77.80
1760382042.432126,1347318.000,25319,1,HR,1,100,77.18
1760382043.272147,1348158.000,25451,1,HR,1,100,75.90
1760382044.232171,1349118.000,25600,1,HR,1,100,72.92
1760382044.991190,1349877.000,25732,1,HR,1,100,74.26
1760382045.791210,1350677.000,25865,1,HR,1,100,74.43
1760382046.631231,1351517.000,25997,1,HR,1,100,73.76
1760382047.431251,1352317.000,26137,1,HR,1,100,74.04
1760382048.111268,1352997.000,26238,1,HR,1,100,77.19
1760382048.871287,1353757.000,26370,1,HR,1,100,77.58
1760382049.671307,1354557.000,26502,1,HR,1,100,77.01
1760382050.391325,1355277.000,26621,1,HR,1,100,78.41
1760382051.071342,1355957.000,26736,1,HR,1,100,80.60
1760382051.964364,1356850.000,26868,1,HR,1,100,77.84
1760382052.724383,1357610.000,27008,1,HR,1,100,78.08
1760382053.484402,1358370.000,27124,1,HR,1,100,78.28
1760382054.204420,1359090.000,27241,1,HR,1,100,79.40
1760382055.084442,1359970.000,27391,1,HR,1,100,76.91
1760382056.004465,1360890.000,27537,1,HR,1,100,74.31
1760382056.804485,1361690.000,27672,1,HR,1,100,74.46
1760382057.484502,1362370.000,27790,1,HR,1,100,77.52
1760382058.163519,1363049.000,27895,1,HR,1,100,79.90
1760382059.003540,1363889.000,28042,1,HR,1,100,78.02
1760382059.883562,1364769.000,28175,1,HR,1,100,75.83
1760382060.563579,1365449.000,28293,1,HR,1,100,78.59
1760382061.256597,1366142.000,28408,1,HR,1,100,80.73
1760382062.136619,1367022.000,28543,1,HR,1,100,77.94
1760382063.056642,1367942.000,28714,1,HR,1,100,75.12
1760382063.816661,1368702.000,28830,1,HR,1,100,75.97
1760382064.456677,1369342.000,28931,1,HR,1,100,79.92
1760382065.296698,1370182.000,29078,1,HR,1,100,78.03
1760382066.136719,1371022.000,29212,1,HR,1,100,76.56
1760382067.056742,1371942.000,29361,1,HR,1,100,74.04
1760382067.816761,1372702.000,29479,1,HR,1,100,75.13
1760382068.496778,1373382.000,29600,1,HR,1,100,78.04
1760382069.296798,1374182.000,29732,1,HR,1,100,77.37
1760382070.229821,1375115.000,29881,1,HR,1,100,74.67
1760382071.069842,1375955.000,30013,1,HR,1,100,73.95
1760382071.789860,1376675.000,30146,1,HR,1,100,76.03
1760382072.429876,1377315.000,30249,1,HR,1,100,79.97
1760382073.229896,1378115.000,30386,1,HR,1,100,78.87
1760382074.189920,1379075.000,30536,1,HR,1,100,75.23
1760382074.948939,1379834.000,30668,1,HR,1,100,76.06
1760382075.708958,1380594.000,30783,1,HR,1,100,76.70
1760382076.428976,1381314.000,30902,1,HR,1,100,78.17
1760382077.389000,1382274.000,31068,1,HR,1,100,74.69
1760382078.309023,1383194.000,31221,1,HR,1,100,72.58
1760382079.162045,1384047.000,31354,1,HR,1,100,72.33
1760382079.842062,1384727.000,31472,1,HR,1,100,75.86
1760382080.522079,1385407.000,31571,1,HR,1,100,78.61
1760382081.202096,1386087.000,31686,1,HR,1,100,80.75
1760382082.042116,1386927.000,31819,1,HR,1,100,78.68
1760382082.842137,1387727.000,31955,1,HR,1,100,77.86
1760382083.602155,1388487.000,32092,1,HR,1,100,78.10
1760382084.402176,1389287.000,32225,1,HR,1,100,77.41
1760382085.442202,1390327.000,32389,1,HR,1,100,73.03
1760382086.442227,1391327.000,32555,1,HR,1,100,70.13
1760382087.282248,1392167.000,32689,1,HR,1,100,70.42
1760382087.961265,1392846.000,32805,1,HR,1,100,74.38
1760382088.575280,1393460.000,32895,1,HR,1,100,80.07
