LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1760382021.930613,1326817,21935,2,RD,1,100,TL,TU
1760382027.038741,1331925,22771,2,RD,1,100,TL,TU
1760382032.173869,1337060,23627,2,RD,1,100,TL,TU
1760382037.281997,1342168,24462,2,RD,1,100,TL,TU
1760382042.392125,1347278,25297,2,RD,1,100,TL,TU
1760382047.500252,1352386,26133,2,RD,1,100,TL,TU
1760382052.637381,1357523,26986,2,RD,1,100,TL,TU
1760382057.745509,1362631,27824,2,RD,1,100,TL,TU
1760382062.884637,1367770,28676,2,RD,1,100,TL,TU
1760382067.992765,1372878,29513,2,RD,1,100,TL,TU
1760382073.099893,1377985,30348,2,RD,1,100,TL,TU
1760382078.232021,1383117,31200,2,RD,1,100,TL,TU
1760382083.339149,1388224,32038,2,RD,1,100,TL,TU
1760382088.477278,1393362,32890,2,RD,1,100,TL,TU
1760382093.602406,1398487,33729,2,RD,1,100,TL,TU
1760382098.716534,1403601,34565,2,RD,1,100,TL,TU
1760382103.833662,1408718,35402,2,RD,1,100,TL,TU
1760382108.946790,1413831,36238,2,RD,1,100,TL,TU
1760382114.068918,1418953,37076,2,RD,1,100,TL,TU
1760382119.192046,1424076,37915,2,RD,1,100,TL,TU
1760382124.321174,1429205,38750,2,RD,1,100,TL,TU
1760382129.444302,1434328,39587,2,RD,1,100,TL,TU
1760382134.563430,1439447,40424,2,RD,1,100,TL,TU
1760382139.691559,1444575,41259,2,RD,1,100,TL,TU
