LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1760381794.934255,1099822.000,49412,3,AY,1,100,-2.957
1760381794.934255,1099822.000,49412,3,AY,1,100,-2.546
1760381794.934255,1099822.000,49412,3,AY,1,100,-1.646
1760381794.974589,1099862.333,49432,3,AY,1,100,-0.910
1760381795.014922,1099902.667,49432,3,AY,1,100,-0.556
1760381795.055256,1099943.000,49432,3,AY,1,100,0.051
1760381795.094757,1099982.500,49446,2,AY,1,100,0.216
1760381795.134257,1100022.000,49446,2,AY,1,100,-0.125
1760381795.174591,1100062.333,49463,3,AY,1,100,-0.369
1760381795.214925,1100102.667,49463,3,AY,1,100,-1.327
1760381795.255259,1100143.000,49463,3,AY,1,100,-1.868
1760381795.294759,1100182.500,49479,2,AY,1,100,-1.983
1760381795.334260,1100222.000,49479,2,AY,1,100,-1.202
1760381795.374260,1100262.000,49499,3,AY,1,100,-0.790
1760381795.414261,1100302.000,49499,3,AY,1,100,-0.475
1760381795.454261,1100342.000,49499,3,AY,1,100,0.209
1760381795.494262,1100382.000,49513,2,AY,1,100,-0.130
1760381795.534262,1100422.000,49513,2,AY,1,100,-0.334
1760381795.574263,1100462.000,49532,3,AY,1,100,-2.567
1760381795.614263,1100502.000,49532,3,AY,1,100,-2.700
1760381795.654264,1100542.000,49532,3,AY,1,100,-2.766
1760381795.694264,1100582.000,49549,2,AY,1,100,-1.858
1760381795.734265,1100622.000,49549,2,AY,1,100,-1.044
1760381795.774265,1100662.000,49568,3,AY,1,100,-0.574
1760381795.814266,1100702.000,49568,3,AY,1,100,0.029
1760381795.854266,1100742.000,49568,3,AY,1,100,0.159
1760381795.894267,1100782.000,49583,2,AY,1,100,-0.227
1760381795.934268,1100822.000,49583,2,AY,1,100,-0.012
1760381795.974268,1100862.000,49602,3,AY,1,100,-1.474
1760381796.014268,1100902.000,49602,3,AY,1,100,-2.171
1760381796.054269,1100942.000,49602,3,AY,1,100,-2.055
1760381796.089603,1100977.333,49618,3,AY,1,100,-1.151
1760381796.124937,1101012.667,49618,3,AY,1,100,-0.690
1760381796.160270,1101048.000,49618,3,AY,1,100,-0.448
1760381796.200271,1101088.000,49635,2,AY,1,100,0.059
1760381796.240271,1101128.000,49635,2,AY,1,100,-0.002
1760381796.280272,1101168.000,49652,3,AY,1,100,-0.333
1760381796.320272,1101208.000,49652,3,AY,1,100,-2.103
1760381796.360273,1101248.000,49652,3,AY,1,100,-3.468
1760381796.400773,1101288.500,49667,2,AY,1,100,-2.632
1760381796.441274,1101329.000,49667,2,AY,1,100,-1.824
1760381796.480941,1101368.667,49685,3,AY,1,100,-0.972
1760381796.520608,1101408.333,49685,3,AY,1,100,-0.641
1760381796.560275,1101448.000,49685,3,AY,1,100,-0.030
1760381796.600276,1101488.000,49702,3,AY,1,100,0.285
1760381796.640276,1101528.000,49702,3,AY,1,100,-0.202
1760381796.680277,1101568.000,49702,3,AY,1,100,-0.385
1760381796.720277,1101608.000,49719,2,AY,1,100,-1.246
1760381796.760278,1101648.000,49719,2,AY,1,100,-1.797
1760381796.800278,1101688.000,49741,4,AY,1,100,-1.924
1760381796.840279,1101728.000,49741,4,AY,1,100,-1.061
1760381796.880279,1101768.000,49741,4,AY,1,100,-0.729
1760381796.920280,1101808.000,49741,4,AY,1,100,-0.357
1760381796.960280,1101848.000,49757,2,AY,1,100,0.255
1760381797.000281,1101888.000,49757,2,AY,1,100,-0.117
1760381797.040281,1101928.000,49779,3,AY,1,100,-0.348
1760381797.080282,1101968.000,49779,3,AY,1,100,-2.432
1760381797.120282,1102008.000,49779,3,AY,1,100,-3.430
1760381797.160283,1102048.000,49795,2,AY,1,100,-2.950
1760381797.200284,1102088.000,49795,2,AY,1,100,-1.767
1760381797.240284,1102128.000,49814,3,AY,1,100,-0.935
1760381797.280284,1102168.000,49814,3,AY,1,100,-0.541
1760381797.320285,1102208.000,49814,3,AY,1,100,-0.004
1760381797.360286,1102248.000,49830,2,AY,1,100,0.070
1760381797.400286,1102288.000,49830,2,AY,1,100,-0.274
1760381797.440286,1102328.000,49846,3,AY,1,100,-0.412
1760381797.480287,1102368.000,49846,3,AY,1,100,-1.570
1760381797.520288,1102408.000,49846,3,AY,1,100,-1.924
1760381797.560288,1102448.000,49862,3,AY,1,100,-1.940
1760381797.600288,1102488.000,49862,3,AY,1,100,-1.137
1760381797.640289,1102528.000,49862,3,AY,1,100,-0.702
1760381797.680290,1102568.000,49880,2,AY,1,100,-0.201
1760381797.720290,1102608.000,49880,2,AY,1,100,0.204
1760381797.760290,1102648.000,49898,3,AY,1,100,-0.292
1760381797.800291,1102688.000,49898,3,AY,1,100,-0.532
1760381797.840292,1102728.000,49898,3,AY,1,100,-2.580
1760381797.880292,1102768.000,49913,2,AY,1,100,-2.996
1760381797.920293,1102808.000,49913,2,AY,1,100,-2.904
1760381797.960293,1102848.000,49930,3,AY,1,100,-2.043
1760381798.000293,1102888.000,49930,3,AY,1,100,-1.056
1760381798.040294,1102928.000,49930,3,AY,1,100,-0.577
1760381798.080295,1102968.000,49949,2,AY,1,100,0.099
1760381798.120295,1103008.000,49949,2,AY,1,100,0.119
1760381798.160295,1103048.000,49967,3,AY,1,100,-0.332
1760381798.200296,1103088.000,49967,3,AY,1,100,-0.182
1760381798.240297,1103128.000,49967,3,AY,1,100,-1.799
1760381798.280297,1103168.000,49982,2,AY,1,100,-2.009
1760381798.320297,1103208.000,49982,2,AY,1,100,-2.031
1760381798.360298,1103248.000,49999,3,AY,1,100,-1.417
1760381798.400299,1103288.000,49999,3,AY,1,100,-0.907
1760381798.440299,1103328.000,49999,3,AY,1,100,-0.693
1760381798.480299,1103368.000,50018,2,AY,1,100,-0.139
1760381798.520300,1103408.000,50018,2,AY,1,100,0.004
1760381798.560301,1103448.000,50034,3,AY,1,100,-0.271
1760381798.600301,1103488.000,50034,3,AY,1,100,-1.749
1760381798.640302,1103528.000,50034,3,AY,1,100,-2.056
1760381798.680302,1103568.000,50050,2,AY,1,100,-2.822
1760381798.720303,1103608.000,50050,2,AY,1,100,-2.216
1760381798.760303,1103648.000,50068,3,AY,1,100,-1.271
1760381798.800304,1103688.000,50068,3,AY,1,100,-0.944
1760381798.840304,1103728.000,50068,3,AY,1,100,-0.349
1760381798.880305,1103768.000,50085,2,AY,1,100,0.233
1760381798.920305,1103808.000,50085,2,AY,1,100,-0.250
1760381798.960306,1103848.000,50102,3,AY,1,100,-0.135
1760381799.000306,1103888.000,50102,3,AY,1,100,-2.067
1760381799.040307,1103928.000,50102,3,AY,1,100,-1.854
1760381799.080307,1103968.000,50117,2,AY,1,100,-2.282
1760381799.120308,1104008.000,50117,2,AY,1,100,-1.557
1760381799.160308,1104048.000,50133,3,AY,1,100,-1.000
1760381799.200309,1104088.000,50133,3,AY,1,100,-0.567
1760381799.240309,1104128.000,50133,3,AY,1,100,-0.156
1760381799.280310,1104168.000,50152,3,AY,1,100,0.116
1760381799.320310,1104208.000,50152,3,AY,1,100,-0.229
1760381799.360311,1104248.000,50152,3,AY,1,100,-0.890
1760381799.400311,1104288.000,50171,2,AY,1,100,-2.200
1760381799.440312,1104328.000,50171,2,AY,1,100,-2.782
1760381799.475979,1104363.667,50186,3,AY,1,100,-2.365
1760381799.511646,1104399.333,50186,3,AY,1,100,-1.586
1760381799.547313,1104435.000,50186,3,AY,1,100,-0.934
1760381799.587314,1104475.000,50204,2,AY,1,100,-0.376
1760381799.627314,1104515.000,50204,2,AY,1,100,0.409
1760381799.667315,1104555.000,50222,3,AY,1,100,-0.284
1760381799.707315,1104595.000,50222,3,AY,1,100,-0.183
1760381799.747316,1104635.000,50222,3,AY,1,100,-1.960
1760381799.787316,1104675.000,50238,3,AY,1,100,-2.034
1760381799.827317,1104715.000,50238,3,AY,1,100,-2.326
1760381799.867317,1104755.000,50238,3,AY,1,100,-2.131
1760381799.907318,1104795.000,50254,2,AY,1,100,-1.235
1760381799.947318,1104835.000,50254,2,AY,1,100,-0.934
1760381799.987319,1104875.000,50272,3,AY,1,100,-0.566
1760381800.027319,1104915.000,50272,3,AY,1,100,0.336
1760381800.067320,1104955.000,50272,3,AY,1,100,0.029
1760381800.107320,1104995.000,50291,2,AY,1,100,-0.691
1760381800.147321,1105035.000,50291,2,AY,1,100,-2.347
1760381800.187321,1105075.000,50307,3,AY,1,100,-2.714
1760381800.227322,1105115.000,50307,3,AY,1,100,-2.924
1760381800.267322,1105155.000,50307,3,AY,1,100,-1.884
1760381800.307323,1105195.000,50325,2,AY,1,100,-0.953
1760381800.347323,1105235.000,50325,2,AY,1,100,-0.556
1760381800.387324,1105275.000,50341,3,AY,1,100,0.075
1760381800.427324,1105315.000,50341,3,AY,1,100,-0.187
1760381800.467325,1105355.000,50341,3,AY,1,100,-0.232
1760381800.507325,1105395.000,50358,2,AY,1,100,-1.469
1760381800.547326,1105435.000,50358,2,AY,1,100,-1.841
1760381800.587326,1105475.000,50374,3,AY,1,100,-2.201
1760381800.627327,1105515.000,50374,3,AY,1,100,-1.869
1760381800.667327,1105555.000,50374,3,AY,1,100,-1.196
1760381800.707328,1105595.000,50394,2,AY,1,100,-0.879
1760381800.747328,1105635.000,50394,2,AY,1,100,-0.476
1760381800.787329,1105675.000,50408,3,AY,1,100,0.251
1760381800.827329,1105715.000,50408,3,AY,1,100,-0.044
1760381800.867330,1105755.000,50408,3,AY,1,100,-0.439
1760381800.907330,1105795.000,50427,3,AY,1,100,-2.603
1760381800.947331,1105835.000,50427,3,AY,1,100,-2.882
1760381800.987331,1105875.000,50427,3,AY,1,100,-2.576
1760381801.027332,1105915.000,50444,2,AY,1,100,-2.106
1760381801.067332,1105955.000,50444,2,AY,1,100,-0.836
1760381801.107333,1105995.000,50463,3,AY,1,100,-0.482
1760381801.147333,1106035.000,50463,3,AY,1,100,-0.115
1760381801.187334,1106075.000,50463,3,AY,1,100,0.196
1760381801.227334,1106115.000,50477,2,AY,1,100,-0.223
1760381801.267335,1106155.000,50477,2,AY,1,100,-0.890
1760381801.307335,1106195.000,50497,3,AY,1,100,-2.087
1760381801.347336,1106235.000,50497,3,AY,1,100,-2.309
1760381801.387336,1106275.000,50497,3,AY,1,100,-2.060
1760381801.427337,1106315.000,50513,2,AY,1,100,-1.324
1760381801.467337,1106355.000,50513,2,AY,1,100,-1.000
1760381801.507338,1106395.000,50532,3,AY,1,100,-0.436
1760381801.547338,1106435.000,50532,3,AY,1,100,0.135
1760381801.587339,1106475.000,50532,3,AY,1,100,0.121
1760381801.627339,1106515.000,50547,2,AY,1,100,-0.390
1760381801.667340,1106555.000,50547,2,AY,1,100,-2.790
1760381801.707340,1106595.000,50564,3,AY,1,100,-2.855
1760381801.747341,1106635.000,50564,3,AY,1,100,-2.771
1760381801.787341,1106675.000,50564,3,AY,1,100,-1.828
1760381801.827342,1106715.000,50580,2,AY,1,100,-0.992
1760381801.867342,1106755.000,50580,2,AY,1,100,-0.468
1760381801.907343,1106795.000,50605,4,AY,1,100,0.168
1760381801.947343,1106835.000,50605,4,AY,1,100,0.132
1760381801.987344,1106875.000,50605,4,AY,1,100,-0.252
1760381802.027344,1106915.000,50605,4,AY,1,100,-0.547
1760381802.067345,1106955.000,50623,3,AY,1,100,-1.763
1760381802.107345,1106995.000,50623,3,AY,1,100,-2.470
1760381802.147346,1107035.000,50623,3,AY,1,100,-2.019
1760381802.187346,1107075.000,50640,2,AY,1,100,-1.213
1760381802.227347,1107115.000,50640,2,AY,1,100,-0.790
1760381802.267347,1107155.000,50656,3,AY,1,100,-0.367
1760381802.307348,1107195.000,50656,3,AY,1,100,0.382
1760381802.347348,1107235.000,50656,3,AY,1,100,-0.090
1760381802.387349,1107275.000,50676,2,AY,1,100,-0.304
1760381802.427349,1107315.000,50676,2,AY,1,100,-3.136
1760381802.467350,1107355.000,50692,3,AY,1,100,-3.012
1760381802.507350,1107395.000,50692,3,AY,1,100,-2.729
1760381802.547351,1107435.000,50692,3,AY,1,100,-2.015
1760381802.587351,1107475.000,50709,2,AY,1,100,-0.995
1760381802.627352,1107515.000,50709,2,AY,1,100,-0.708
1760381802.667352,1107555.000,50726,3,AY,1,100,-0.015
1760381802.707353,1107595.000,50726,3,AY,1,100,0.203
1760381802.747354,1107635.000,50726,3,AY,1,100,-0.334
1760381802.787354,1107675.000,50745,2,AY,1,100,-0.256
1760381802.827354,1107715.000,50745,2,AY,1,100,-1.696
1760381802.867355,1107755.000,50761,3,AY,1,100,-1.961
1760381802.907356,1107795.000,50761,3,AY,1,100,-2.130
1760381802.947356,1107835.000,50761,3,AY,1,100,-1.316
1760381802.987356,1107875.000,50779,3,AY,1,100,-0.791
1760381803.027357,1107915.000,50779,3,AY,1,100,-0.771
1760381803.067358,1107955.000,50779,3,AY,1,100,0.029
1760381803.100358,1107988.000,50794,2,AY,1,100,0.087
1760381803.133358,1108021.000,50794,2,AY,1,100,-0.449
1760381803.173359,1108061.000,50812,3,AY,1,100,-2.299
1760381803.213359,1108101.000,50812,3,AY,1,100,-2.883
1760381803.253360,1108141.000,50812,3,AY,1,100,-2.352
1760381803.293360,1108181.000,50828,2,AY,1,100,-1.879
1760381803.333361,1108221.000,50828,2,AY,1,100,-0.951
1760381803.373361,1108261.000,50848,3,AY,1,100,-0.677
1760381803.413362,1108301.000,50848,3,AY,1,100,-0.012
1760381803.453362,1108341.000,50848,3,AY,1,100,0.280
1760381803.493363,1108381.000,50864,3,AY,1,100,-0.240
1760381803.533363,1108421.000,50864,3,AY,1,100,-0.372
1760381803.573364,1108461.000,50864,3,AY,1,100,-1.520
1760381803.613364,1108501.000,50879,2,AY,1,100,-2.042
1760381803.653365,1108541.000,50879,2,AY,1,100,-2.292
1760381803.693365,1108581.000,50896,3,AY,1,100,-1.444
1760381803.733366,1108621.000,50896,3,AY,1,100,-1.187
1760381803.773366,1108661.000,50896,3,AY,1,100,-0.609
1760381803.813367,1108701.000,50915,2,AY,1,100,0.122
1760381803.853367,1108741.000,50915,2,AY,1,100,0.030
1760381803.893368,1108781.000,50931,3,AY,1,100,-0.258
1760381803.933368,1108821.000,50931,3,AY,1,100,-1.449
1760381803.973369,1108861.000,50931,3,AY,1,100,-2.744
1760381804.013370,1108901.000,50947,2,AY,1,100,-2.602
1760381804.053370,1108941.000,50947,2,AY,1,100,-2.437
1760381804.093370,1108981.000,50963,3,AY,1,100,-1.319
1760381804.133371,1109021.000,50963,3,AY,1,100,-0.882
1760381804.173372,1109061.000,50963,3,AY,1,100,-0.238
1760381804.213372,1109101.000,50980,2,AY,1,100,0.243
1760381804.253372,1109141.000,50980,2,AY,1,100,-0.270
1760381804.293373,1109181.000,50999,3,AY,1,100,-0.181
1760381804.333374,1109221.000,50999,3,AY,1,100,-2.734
1760381804.373374,1109261.000,50999,3,AY,1,100,-2.075
1760381804.413374,1109301.000,51014,2,AY,1,100,-2.125
1760381804.453375,1109341.000,51014,2,AY,1,100,-1.554
1760381804.493376,1109381.000,51030,3,AY,1,100,-1.003
1760381804.533376,1109421.000,51030,3,AY,1,100,-0.704
1760381804.573376,1109461.000,51030,3,AY,1,100,-0.152
1760381804.613377,1109501.000,51047,2,AY,1,100,0.117
1760381804.653378,1109541.000,51047,2,AY,1,100,-0.250
1760381804.693378,1109581.000,51066,3,AY,1,100,-0.895
1760381804.733379,1109621.000,51066,3,AY,1,100,-2.843
1760381804.773379,1109661.000,51066,3,AY,1,100,-2.754
1760381804.813380,1109701.000,51081,2,AY,1,100,-2.557
1760381804.853380,1109741.000,51081,2,AY,1,100,-1.449
1760381804.893381,1109781.000,51099,3,AY,1,100,-0.821
1760381804.933381,1109821.000,51099,3,AY,1,100,-0.659
1760381804.973382,1109861.000,51099,3,AY,1,100,0.130
1760381805.013382,1109901.000,51117,3,AY,1,100,-0.159
1760381805.053383,1109941.000,51117,3,AY,1,100,-0.196
1760381805.093383,1109981.000,51117,3,AY,1,100,-2.296
1760381805.133384,1110021.000,51133,2,AY,1,100,-2.278
1760381805.173384,1110061.000,51133,2,AY,1,100,-2.444
1760381805.213385,1110101.000,51148,3,AY,1,100,-1.756
1760381805.253385,1110141.000,51148,3,AY,1,100,-1.257
1760381805.293386,1110181.000,51148,3,AY,1,100,-0.661
1760381805.333386,1110221.000,51167,2,AY,1,100,0.104
1760381805.373387,1110261.000,51167,2,AY,1,100,0.154
1760381805.413387,1110301.000,51184,3,AY,1,100,-0.113
1760381805.453388,1110341.000,51184,3,AY,1,100,-1.096
1760381805.493388,1110381.000,51184,3,AY,1,100,-2.772
