LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1760381797.006281,1101894.000,49766,1,B%,1,100,58
1760381802.005344,1106893.000,50614,1,B%,1,100,57
1760381807.005407,1111893.000,51448,1,B%,1,100,57
1760381812.004470,1116892.000,52292,1,B%,1,100,57
1760381817.004534,1121892.000,53142,1,B%,1,100,57
1760381822.003597,1126891.000,53989,1,B%,1,100,56
1760381827.003660,1131891.000,54816,1,B%,1,100,57
1760381832.002723,1136890.000,55668,1,B%,1,100,58
1760381837.002786,1141890.000,56523,1,B%,1,100,57
1760381842.001849,1146889.000,57373,1,B%,1,100,58
1760381847.001912,1151889.000,58225,1,B%,1,100,58
1760381852.000975,1156888.000,59056,1,B%,1,100,57
1760381857.001039,1161888.000,59901,1,B%,1,100,57
1760381862.000102,1166887.000,60760,1,B%,1,100,55
1760381867.000165,1171887.000,61618,1,B%,1,100,56
1760381871.999228,1176886.000,62474,1,B%,1,100,56
1760381876.999291,1181886.000,63330,1,B%,1,100,56
1760381881.998354,1186885.000,64169,1,B%,1,100,57
1760381886.998417,1191885.000,65031,1,B%,1,100,56
1760381891.997481,1196884.000,347,1,B%,1,100,56
1760381896.997544,1201884.000,1202,1,B%,1,100,55
1760381901.996607,1206883.000,2044,1,B%,1,100,57
1760381906.996670,1211883.000,2903,1,B%,1,100,56
1760381911.995733,1216882.000,3745,1,B%,1,100,56
1760381916.995796,1221882.000,4603,1,B%,1,100,56
1760381921.994859,1226881.000,5469,1,B%,1,100,56
