LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1760381796.817279,1101705,49729,2,RD,1,100,TL,TU
1760381801.940343,1106828,50590,2,RD,1,100,TL,TU
1760381807.061408,1111949,51451,2,RD,1,100,TL,TU
1760381812.180473,1117068,52311,2,RD,1,100,TL,TU
1760381817.303537,1122191,53176,2,RD,1,100,TL,TU
1760381822.428602,1127316,54046,2,RD,1,100,TL,TU
1760381827.551667,1132439,54903,2,RD,1,100,TL,TU
1760381832.672731,1137560,55775,2,RD,1,100,TL,TU
1760381837.793796,1142681,56643,2,RD,1,100,TL,TU
1760381842.926861,1147814,57512,2,RD,1,100,TL,TU
1760381848.041925,1152929,58382,2,RD,1,100,TL,TU
1760381853.164990,1158052,59248,2,RD,1,100,TL,TU
1760381858.283055,1163170,60113,2,RD,1,100,TL,TU
1760381863.399119,1168286,60988,2,RD,1,100,TL,TU
1760381868.522184,1173409,61862,2,RD,1,100,TL,TU
1760381873.640249,1178527,62736,2,RD,1,100,TL,TU
1760381878.763313,1183650,63612,2,RD,1,100,TL,TU
1760381883.883378,1188770,64487,2,RD,1,100,TL,TU
1760381889.016443,1193903,65362,2,RD,1,100,TL,TU
1760381894.147508,1199034,696,2,RD,1,100,TL,TU
1760381899.255572,1204142,1566,2,RD,1,100,TL,TU
1760381904.366637,1209253,2431,2,RD,1,100,TL,TU
1760381909.473701,1214360,3299,2,RD,1,100,TL,TU
1760381914.599766,1219486,4182,2,RD,1,100,TL,TU
1760381919.711831,1224598,5050,2,RD,1,100,TL,TU
