LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1760381400.348454,705234.000,48700,1,EA,1,100,0.051071
1760381400.415453,705301.000,48715,1,EA,1,100,0.051060
1760381400.481953,705367.500,48732,2,EA,1,100,0.051095
1760381400.548452,705434.000,48732,2,EA,1,100,0.051133
1760381400.615452,705501.000,48750,1,EA,1,100,0.051153
1760381400.681952,705567.500,48766,2,EA,1,100,0.051196
1760381400.748451,705634.000,48766,2,EA,1,100,0.051243
1760381400.815451,705701.000,48782,1,EA,1,100,0.051285
1760381400.881950,705767.500,48801,2,EA,1,100,0.051305
1760381400.948450,705834.000,48801,2,EA,1,100,0.051324
1760381401.015449,705901.000,48817,1,EA,1,100,0.051360
1760381401.081949,705967.500,48835,2,EA,1,100,0.051395
1760381401.148448,706034.000,48835,2,EA,1,100,0.051402
1760381401.215448,706101.000,48851,1,EA,1,100,0.051440
1760381401.281948,706167.500,48868,2,EA,1,100,0.051483
1760381401.348447,706234.000,48868,2,EA,1,100,0.051509
1760381401.415447,706301.000,48885,1,EA,1,100,0.051547
1760381401.481946,706367.500,48903,2,EA,1,100,0.051595
1760381401.548446,706434.000,48903,2,EA,1,100,0.051621
1760381401.615446,706501.000,48918,1,EA,1,100,0.051661
1760381401.681945,706567.500,48936,2,EA,1,100,0.051696
1760381401.748445,706634.000,48936,2,EA,1,100,0.051730
1760381401.814944,706700.500,48954,2,EA,1,100,0.051757
1760381401.881444,706767.000,48954,2,EA,1,100,0.051796
1760381401.948443,706834.000,48971,1,EA,1,100,0.051827
1760381402.014943,706900.500,48986,2,EA,1,100,0.051889
1760381402.081443,706967.000,48986,2,EA,1,100,0.051939
1760381402.148442,707034.000,49005,1,EA,1,100,0.052009
1760381402.214942,707100.500,49021,2,EA,1,100,0.052065
1760381402.281441,707167.000,49021,2,EA,1,100,0.052094
1760381402.348441,707234.000,49040,1,EA,1,100,0.052093
1760381402.414940,707300.500,49055,2,EA,1,100,0.052115
1760381402.481440,707367.000,49055,2,EA,1,100,0.052141
1760381402.548440,707434.000,49072,1,EA,1,100,0.052192
1760381402.614939,707500.500,49088,2,EA,1,100,0.052199
1760381402.681439,707567.000,49088,2,EA,1,100,0.052227
1760381402.748438,707634.000,49106,1,EA,1,100,0.052252
1760381402.814938,707700.500,49125,2,EA,1,100,0.052295
1760381402.881438,707767.000,49125,2,EA,1,100,0.052309
1760381402.947937,707833.500,49142,2,EA,1,100,0.052350
1760381403.014436,707900.000,49142,2,EA,1,100,0.052379
1760381403.081436,707967.000,49159,1,EA,1,100,0.052486
