LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1760381400.456453,705342.000,48714,3,PG,1,100,7433
1760381400.456453,705342.000,48714,3,PG,1,100,7440
1760381400.456453,705342.000,48714,3,PG,1,100,7447
1760381400.496453,705382.000,48731,2,PG,1,100,7444
1760381400.536453,705422.000,48731,2,PG,1,100,7439
1760381400.576452,705462.000,48749,3,PG,1,100,7443
1760381400.616452,705502.000,48749,3,PG,1,100,7441
1760381400.656452,705542.000,48749,3,PG,1,100,7444
1760381400.696451,705582.000,48765,2,PG,1,100,7447
1760381400.736451,705622.000,48765,2,PG,1,100,7454
1760381400.776451,705662.000,48781,3,PG,1,100,7441
1760381400.816451,705702.000,48781,3,PG,1,100,7443
1760381400.856450,705742.000,48781,3,PG,1,100,7443
1760381400.896450,705782.000,48800,2,PG,1,100,7441
1760381400.936450,705822.000,48800,2,PG,1,100,7438
1760381400.976450,705862.000,48816,3,PG,1,100,7457
1760381401.016449,705902.000,48816,3,PG,1,100,7461
1760381401.056449,705942.000,48816,3,PG,1,100,7461
1760381401.096449,705982.000,48834,2,PG,1,100,7451
1760381401.136449,706022.000,48834,2,PG,1,100,7443
1760381401.176448,706062.000,48850,3,PG,1,100,7455
1760381401.216448,706102.000,48850,3,PG,1,100,7462
1760381401.256448,706142.000,48850,3,PG,1,100,7470
1760381401.296448,706182.000,48867,2,PG,1,100,7454
1760381401.336447,706222.000,48867,2,PG,1,100,7459
1760381401.376447,706262.000,48884,3,PG,1,100,7452
1760381401.416447,706302.000,48884,3,PG,1,100,7447
1760381401.456447,706342.000,48884,3,PG,1,100,7462
1760381401.496446,706382.000,48902,3,PG,1,100,7453
1760381401.536446,706422.000,48902,3,PG,1,100,7454
1760381401.576446,706462.000,48902,3,PG,1,100,7451
1760381401.616446,706502.000,48917,2,PG,1,100,7465
1760381401.656445,706542.000,48917,2,PG,1,100,7466
1760381401.696445,706582.000,48935,3,PG,1,100,7468
1760381401.736445,706622.000,48935,3,PG,1,100,7458
1760381401.776444,706662.000,48935,3,PG,1,100,7461
1760381401.816444,706702.000,48953,2,PG,1,100,7472
1760381401.856444,706742.000,48953,2,PG,1,100,7461
1760381401.896444,706782.000,48970,3,PG,1,100,7466
1760381401.936444,706822.000,48970,3,PG,1,100,7480
1760381401.976443,706862.000,48970,3,PG,1,100,7480
1760381402.016443,706902.000,48985,2,PG,1,100,7474
1760381402.056443,706942.000,48985,2,PG,1,100,7475
1760381402.096442,706982.000,49004,3,PG,1,100,7460
1760381402.136442,707022.000,49004,3,PG,1,100,7469
1760381402.176442,707062.000,49004,3,PG,1,100,7460
1760381402.216442,707102.000,49020,2,PG,1,100,7484
1760381402.256441,707142.000,49020,2,PG,1,100,7453
1760381402.296441,707182.000,49039,3,PG,1,100,7459
1760381402.336441,707222.000,49039,3,PG,1,100,7457
1760381402.376441,707262.000,49039,3,PG,1,100,7476
1760381402.416440,707302.000,49054,2,PG,1,100,7476
1760381402.456440,707342.000,49054,2,PG,1,100,7484
1760381402.496440,707382.000,49071,3,PG,1,100,7486
1760381402.536440,707422.000,49071,3,PG,1,100,7470
1760381402.576439,707462.000,49071,3,PG,1,100,7490
1760381402.616439,707502.000,49087,2,PG,1,100,7477
1760381402.656439,707542.000,49087,2,PG,1,100,7474
1760381402.696439,707582.000,49105,3,PG,1,100,7490
1760381402.736438,707622.000,49105,3,PG,1,100,7482
1760381402.776438,707662.000,49105,3,PG,1,100,7470
1760381402.816438,707702.000,49124,4,PG,1,100,7471
1760381402.856438,707742.000,49124,4,PG,1,100,7482
1760381402.896437,707782.000,49124,4,PG,1,100,7474
1760381402.936437,707822.000,49124,4,PG,1,100,7473
1760381402.976437,707862.000,49141,2,PG,1,100,7486
1760381403.016437,707902.000,49141,2,PG,1,100,7477
1760381403.056436,707942.000,49158,3,PG,1,100,7472
1760381403.096436,707982.000,49158,3,PG,1,100,7475
1760381403.136436,708022.000,49158,3,PG,1,100,7478
1760381403.176435,708062.000,49175,2,PG,1,100,7477
1760381403.216435,708102.000,49175,2,PG,1,100,7472
1760381403.256435,708142.000,49191,3,PG,1,100,7469
1760381403.296435,708182.000,49191,3,PG,1,100,7471
1760381403.336435,708222.000,49191,3,PG,1,100,7474
1760381403.376434,708262.000,49208,2,PG,1,100,7487
1760381403.416434,708302.000,49208,2,PG,1,100,7486
1760381403.456434,708342.000,49223,3,PG,1,100,7495
1760381403.496433,708382.000,49223,3,PG,1,100,7478
1760381403.536433,708422.000,49223,3,PG,1,100,7481
1760381403.576433,708462.000,49242,2,PG,1,100,7472
1760381403.616433,708502.000,49242,2,PG,1,100,7484
1760381403.656432,708542.000,49259,3,PG,1,100,7482
1760381403.696432,708582.000,49259,3,PG,1,100,7471
1760381403.736432,708622.000,49259,3,PG,1,100,7476
1760381403.776432,708662.000,49276,2,PG,1,100,7470
1760381403.816432,708702.000,49276,2,PG,1,100,7462
1760381403.856431,708742.000,49290,3,PG,1,100,7460
1760381403.896431,708782.000,49290,3,PG,1,100,7464
1760381403.936431,708822.000,49290,3,PG,1,100,7465
1760381403.976430,708862.000,49307,2,PG,1,100,7478
1760381404.016430,708902.000,49307,2,PG,1,100,7481
1760381404.056430,708942.000,49324,3,PG,1,100,7481
1760381404.096430,708982.000,49324,3,PG,1,100,7490
1760381404.136429,709022.000,49324,3,PG,1,100,7464
1760381404.176429,709062.000,49341,3,PG,1,100,7489
1760381404.216429,709102.000,49341,3,PG,1,100,7498
1760381404.256429,709142.000,49341,3,PG,1,100,7481
1760381404.296428,709182.000,49355,2,PG,1,100,7498
1760381404.336428,709222.000,49355,2,PG,1,100,7510
1760381404.376428,709262.000,49373,3,PG,1,100,7491
1760381404.416428,709302.000,49373,3,PG,1,100,7494
1760381404.456427,709342.000,49373,3,PG,1,100,7489
1760381404.495927,709381.500,49389,2,PG,1,100,7487
1760381404.535427,709421.000,49389,2,PG,1,100,7479
1760381404.575427,709461.000,49406,3,PG,1,100,7490
1760381404.615426,709501.000,49406,3,PG,1,100,7487
1760381404.655426,709541.000,49406,3,PG,1,100,7479
1760381404.695426,709581.000,49421,2,PG,1,100,7466
1760381404.735425,709621.000,49421,2,PG,1,100,7466
1760381404.775425,709661.000,49438,3,PG,1,100,7465
1760381404.815425,709701.000,49438,3,PG,1,100,7462
1760381404.855425,709741.000,49438,3,PG,1,100,7455
1760381404.895425,709781.000,49454,2,PG,1,100,7468
1760381404.935424,709821.000,49454,2,PG,1,100,7470
1760381404.975757,709861.333,49471,3,PG,1,100,7466
1760381405.016090,709901.667,49471,3,PG,1,100,7461
1760381405.056423,709942.000,49471,3,PG,1,100,7464
1760381405.095923,709981.500,49486,2,PG,1,100,7456
1760381405.135423,710021.000,49486,2,PG,1,100,7457
1760381405.175423,710061.000,49503,3,PG,1,100,7460
1760381405.215423,710101.000,49503,3,PG,1,100,7464
1760381405.255422,710141.000,49503,3,PG,1,100,7462
1760381405.295422,710181.000,49521,2,PG,1,100,7469
1760381405.335422,710221.000,49521,2,PG,1,100,7463
1760381405.375422,710261.000,49539,3,PG,1,100,7458
1760381405.415421,710301.000,49539,3,PG,1,100,7455
1760381405.455421,710341.000,49539,3,PG,1,100,7445
1760381405.495421,710381.000,49554,3,PG,1,100,7436
1760381405.535420,710421.000,49554,3,PG,1,100,7437
1760381405.575420,710461.000,49554,3,PG,1,100,7436
1760381405.615420,710501.000,49570,2,PG,1,100,7416
1760381405.655420,710541.000,49570,2,PG,1,100,7433
1760381405.695420,710581.000,49587,3,PG,1,100,7411
1760381405.735419,710621.000,49587,3,PG,1,100,7410
1760381405.775419,710661.000,49587,3,PG,1,100,7401
1760381405.815419,710701.000,49604,2,PG,1,100,7429
1760381405.855418,710741.000,49604,2,PG,1,100,7416
1760381405.895418,710781.000,49619,3,PG,1,100,7414
1760381405.935418,710821.000,49619,3,PG,1,100,7396
1760381405.975418,710861.000,49619,3,PG,1,100,7420
1760381406.015417,710901.000,49636,2,PG,1,100,7397
1760381406.055417,710941.000,49636,2,PG,1,100,7394
1760381406.095417,710981.000,49652,3,PG,1,100,7414
1760381406.135417,711021.000,49652,3,PG,1,100,7399
1760381406.175416,711061.000,49652,3,PG,1,100,7408
1760381406.215416,711101.000,49671,2,PG,1,100,7376
1760381406.255416,711141.000,49671,2,PG,1,100,7379
1760381406.295416,711181.000,49687,3,PG,1,100,7361
1760381406.335415,711221.000,49687,3,PG,1,100,7348
1760381406.375415,711261.000,49687,3,PG,1,100,7338
1760381406.415415,711301.000,49703,3,PG,1,100,7347
1760381406.455415,711341.000,49703,3,PG,1,100,7330
1760381406.495414,711381.000,49703,3,PG,1,100,7319
1760381406.535414,711421.000,49719,2,PG,1,100,7313
1760381406.575414,711461.000,49719,2,PG,1,100,7308
1760381406.615414,711501.000,49738,3,PG,1,100,7312
1760381406.655413,711541.000,49738,3,PG,1,100,7311
1760381406.695413,711581.000,49738,3,PG,1,100,7317
1760381406.735413,711621.000,49755,2,PG,1,100,7315
1760381406.775413,711661.000,49755,2,PG,1,100,7308
1760381406.815412,711701.000,49772,3,PG,1,100,7303
1760381406.855412,711741.000,49772,3,PG,1,100,7303
1760381406.895412,711781.000,49772,3,PG,1,100,7299
1760381406.935411,711821.000,49788,2,PG,1,100,7301
1760381406.975411,711861.000,49788,2,PG,1,100,7306
1760381407.015411,711901.000,49806,2,PG,1,100,7308
1760381407.055411,711941.000,49806,2,PG,1,100,7312
1760381407.100077,711985.667,49824,3,PG,1,100,7317
1760381407.144743,712030.333,49824,3,PG,1,100,7315
1760381407.189410,712075.000,49824,3,PG,1,100,7299
1760381407.229410,712115.000,49841,2,PG,1,100,7287
1760381407.269409,712155.000,49841,2,PG,1,100,7267
1760381407.309409,712195.000,49857,3,PG,1,100,7268
1760381407.349409,712235.000,49857,3,PG,1,100,7264
1760381407.389409,712275.000,49857,3,PG,1,100,7256
1760381407.429408,712315.000,49875,3,PG,1,100,7239
1760381407.469408,712355.000,49875,3,PG,1,100,7232
1760381407.509408,712395.000,49875,3,PG,1,100,7219
1760381407.549407,712435.000,49891,2,PG,1,100,7206
1760381407.589407,712475.000,49891,2,PG,1,100,7203
1760381407.629074,712514.667,49907,3,PG,1,100,7199
1760381407.668740,712554.333,49907,3,PG,1,100,7206
1760381407.708407,712594.000,49907,3,PG,1,100,7203
1760381407.748906,712634.500,49923,2,PG,1,100,7207
1760381407.789406,712675.000,49923,2,PG,1,100,7194
1760381407.829406,712715.000,49940,3,PG,1,100,7203
1760381407.869406,712755.000,49940,3,PG,1,100,7202
1760381407.909405,712795.000,49940,3,PG,1,100,7192
1760381407.949405,712835.000,49964,3,PG,1,100,7193
1760381407.989405,712875.000,49964,3,PG,1,100,7208
1760381408.029405,712915.000,49964,3,PG,1,100,7203
1760381408.069071,712954.667,49981,3,PG,1,100,7208
1760381408.108737,712994.333,49981,3,PG,1,100,7186
1760381408.148404,713034.000,49981,3,PG,1,100,7180
1760381408.188404,713074.000,49998,2,PG,1,100,7161
1760381408.228403,713114.000,49998,2,PG,1,100,7156
1760381408.268403,713154.000,50014,3,PG,1,100,7144
1760381408.308403,713194.000,50014,3,PG,1,100,7139
1760381408.348403,713234.000,50014,3,PG,1,100,7129
1760381408.388402,713274.000,50032,2,PG,1,100,7134
1760381408.428402,713314.000,50032,2,PG,1,100,7140
1760381408.468402,713354.000,50048,3,PG,1,100,7109
1760381408.508401,713394.000,50048,3,PG,1,100,7119
1760381408.548401,713434.000,50048,3,PG,1,100,7123
1760381408.588401,713474.000,50065,2,PG,1,100,7123
1760381408.628401,713514.000,50065,2,PG,1,100,7127
1760381408.668401,713554.000,50082,3,PG,1,100,7124
1760381408.708400,713594.000,50082,3,PG,1,100,7115
1760381408.748400,713634.000,50082,3,PG,1,100,7117
1760381408.788400,713674.000,50099,2,PG,1,100,7116
1760381408.828399,713714.000,50099,2,PG,1,100,7125
1760381408.868399,713754.000,50115,3,PG,1,100,7123
1760381408.908399,713794.000,50115,3,PG,1,100,7134
1760381408.948399,713834.000,50115,3,PG,1,100,7139
1760381408.988398,713874.000,50132,3,PG,1,100,7129
1760381409.028398,713914.000,50132,3,PG,1,100,7117
1760381409.068398,713954.000,50132,3,PG,1,100,7105
1760381409.108398,713994.000,50147,2,PG,1,100,7079
1760381409.148397,714034.000,50147,2,PG,1,100,7076
1760381409.188397,714074.000,50164,3,PG,1,100,7085
1760381409.228397,714114.000,50164,3,PG,1,100,7072
1760381409.268397,714154.000,50164,3,PG,1,100,7074
1760381409.308396,714194.000,50182,2,PG,1,100,7067
1760381409.348396,714234.000,50182,2,PG,1,100,7071
1760381409.388396,714274.000,50200,3,PG,1,100,7065
1760381409.428396,714314.000,50200,3,PG,1,100,7056
1760381409.468395,714354.000,50200,3,PG,1,100,7058
1760381409.508395,714394.000,50215,2,PG,1,100,7081
1760381409.548395,714434.000,50215,2,PG,1,100,7076
1760381409.588395,714474.000,50231,3,PG,1,100,7083
1760381409.628394,714514.000,50231,3,PG,1,100,7072
1760381409.668394,714554.000,50231,3,PG,1,100,7081
1760381409.708394,714594.000,50250,2,PG,1,100,7092
1760381409.748394,714634.000,50250,2,PG,1,100,7096
1760381409.788393,714674.000,50267,3,PG,1,100,7080
1760381409.828393,714714.000,50267,3,PG,1,100,7074
1760381409.868393,714754.000,50267,3,PG,1,100,7062
1760381409.908392,714794.000,50283,2,PG,1,100,7043
1760381409.948392,714834.000,50283,2,PG,1,100,7030
1760381409.988725,714874.333,50299,3,PG,1,100,7013
1760381410.029058,714914.667,50299,3,PG,1,100,6996
1760381410.069391,714955.000,50299,3,PG,1,100,7009
1760381410.108891,714994.500,50317,2,PG,1,100,7002
1760381410.148391,715034.000,50317,2,PG,1,100,7012
1760381410.188391,715074.000,50334,3,PG,1,100,6999
1760381410.228390,715114.000,50334,3,PG,1,100,7017
1760381410.268390,715154.000,50334,3,PG,1,100,7008
1760381410.308390,715194.000,50350,3,PG,1,100,7008
1760381410.348390,715234.000,50350,3,PG,1,100,7004
1760381410.388389,715274.000,50350,3,PG,1,100,6997
1760381410.428389,715314.000,50368,2,PG,1,100,7024
1760381410.468389,715354.000,50368,2,PG,1,100,7024
1760381410.508389,715394.000,50386,3,PG,1,100,7033
1760381410.548388,715434.000,50386,3,PG,1,100,7029
1760381410.588388,715474.000,50386,3,PG,1,100,7035
1760381410.628388,715514.000,50403,2,PG,1,100,7032
1760381410.668388,715554.000,50403,2,PG,1,100,7026
1760381410.708387,715594.000,50420,3,PG,1,100,7008
1760381410.748387,715634.000,50420,3,PG,1,100,6996
1760381410.788387,715674.000,50420,3,PG,1,100,6988
1760381410.828387,715714.000,50437,2,PG,1,100,6977
1760381410.868386,715754.000,50437,2,PG,1,100,6963
1760381410.908386,715794.000,50453,3,PG,1,100,6975
1760381410.948386,715834.000,50453,3,PG,1,100,6955
1760381410.988386,715874.000,50453,3,PG,1,100,6953
1760381411.028385,715914.000,50471,2,PG,1,100,6966
1760381411.068385,715954.000,50471,2,PG,1,100,6966
1760381411.108385,715994.000,50489,3,PG,1,100,6964
1760381411.148385,716034.000,50489,3,PG,1,100,6962
1760381411.188384,716074.000,50489,3,PG,1,100,6964
1760381411.228384,716114.000,50504,2,PG,1,100,6958
1760381411.268384,716154.000,50504,2,PG,1,100,6962
1760381411.308383,716194.000,50522,3,PG,1,100,6970
1760381411.348383,716234.000,50522,3,PG,1,100,6979
1760381411.388383,716274.000,50522,3,PG,1,100,6977
1760381411.428383,716314.000,50540,2,PG,1,100,7001
1760381411.468383,716354.000,50540,2,PG,1,100,7003
1760381411.508382,716394.000,50556,3,PG,1,100,7008
1760381411.548382,716434.000,50556,3,PG,1,100,6988
1760381411.588382,716474.000,50556,3,PG,1,100,6983
1760381411.628381,716514.000,50574,3,PG,1,100,6978
1760381411.668381,716554.000,50574,3,PG,1,100,6962
1760381411.708381,716594.000,50574,3,PG,1,100,6948
1760381411.748381,716634.000,50590,2,PG,1,100,6937
1760381411.788380,716674.000,50590,2,PG,1,100,6941
1760381411.828380,716714.000,50607,3,PG,1,100,6925
1760381411.868380,716754.000,50607,3,PG,1,100,6927
1760381411.908380,716794.000,50607,3,PG,1,100,6925
1760381411.948380,716834.000,50623,2,PG,1,100,6938
1760381411.988379,716874.000,50623,2,PG,1,100,6925
1760381412.028379,716914.000,50641,3,PG,1,100,6934
1760381412.068379,716954.000,50641,3,PG,1,100,6928
1760381412.108378,716994.000,50641,3,PG,1,100,6956
1760381412.148378,717034.000,50657,2,PG,1,100,6959
1760381412.188378,717074.000,50657,2,PG,1,100,6948
1760381412.228378,717114.000,50676,3,PG,1,100,6967
1760381412.268378,717154.000,50676,3,PG,1,100,6973
1760381412.308377,717194.000,50676,3,PG,1,100,6979
1760381412.348377,717234.000,50695,2,PG,1,100,6985
1760381412.388377,717274.000,50695,2,PG,1,100,6985
1760381412.428376,717314.000,50712,3,PG,1,100,6972
1760381412.468376,717354.000,50712,3,PG,1,100,6958
1760381412.508376,717394.000,50712,3,PG,1,100,6953
1760381412.548376,717434.000,50726,2,PG,1,100,6949
1760381412.588375,717474.000,50726,2,PG,1,100,6948
1760381412.628375,717514.000,50743,3,PG,1,100,6930
1760381412.668375,717554.000,50743,3,PG,1,100,6929
1760381412.708375,717594.000,50743,3,PG,1,100,6933
1760381412.748374,717634.000,50762,3,PG,1,100,6936
1760381412.788374,717674.000,50762,3,PG,1,100,6921
1760381412.828374,717714.000,50762,3,PG,1,100,6927
1760381412.868374,717754.000,50779,2,PG,1,100,6951
1760381412.908373,717794.000,50779,2,PG,1,100,6940
1760381412.948373,717834.000,50793,3,PG,1,100,6948
1760381412.988373,717874.000,50793,3,PG,1,100,6932
1760381413.028373,717914.000,50793,3,PG,1,100,6944
1760381413.068372,717954.000,50818,3,PG,1,100,6953
1760381413.108372,717994.000,50818,3,PG,1,100,6960
1760381413.148372,718034.000,50818,3,PG,1,100,6957
1760381413.188372,718074.000,50836,3,PG,1,100,6963
1760381413.228371,718114.000,50836,3,PG,1,100,6945
1760381413.268371,718154.000,50836,3,PG,1,100,6930
1760381413.308371,718194.000,50853,2,PG,1,100,6917
1760381413.348371,718234.000,50853,2,PG,1,100,6914
1760381413.388370,718274.000,50870,3,PG,1,100,6900
1760381413.428370,718314.000,50870,3,PG,1,100,6904
1760381413.468370,718354.000,50870,3,PG,1,100,6898
1760381413.508369,718394.000,50885,2,PG,1,100,6897
1760381413.548369,718434.000,50885,2,PG,1,100,6892
1760381413.588369,718474.000,50901,3,PG,1,100,6880
1760381413.628369,718514.000,50901,3,PG,1,100,6880
