LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1760381400.456453,705342.000,48713,3,PR,1,100,106384
1760381400.456453,705342.000,48713,3,PR,1,100,106390
1760381400.456453,705342.000,48713,3,PR,1,100,106399
1760381400.496453,705382.000,48730,2,PR,1,100,106383
1760381400.536453,705422.000,48730,2,PR,1,100,106392
1760381400.576452,705462.000,48748,3,PR,1,100,106387
1760381400.616452,705502.000,48748,3,PR,1,100,106395
1760381400.656452,705542.000,48748,3,PR,1,100,106394
1760381400.696451,705582.000,48764,2,PR,1,100,106390
1760381400.736451,705622.000,48764,2,PR,1,100,106387
1760381400.776451,705662.000,48780,3,PR,1,100,106387
1760381400.816451,705702.000,48780,3,PR,1,100,106397
1760381400.856450,705742.000,48780,3,PR,1,100,106397
1760381400.896450,705782.000,48799,2,PR,1,100,106406
1760381400.936450,705822.000,48799,2,PR,1,100,106404
1760381400.976450,705862.000,48815,3,PR,1,100,106405
1760381401.016449,705902.000,48815,3,PR,1,100,106389
1760381401.056449,705942.000,48815,3,PR,1,100,106402
1760381401.096449,705982.000,48833,2,PR,1,100,106418
1760381401.136449,706022.000,48833,2,PR,1,100,106418
1760381401.176448,706062.000,48849,3,PR,1,100,106416
1760381401.216448,706102.000,48849,3,PR,1,100,106404
1760381401.256448,706142.000,48849,3,PR,1,100,106407
1760381401.296448,706182.000,48866,2,PR,1,100,106408
1760381401.336447,706222.000,48866,2,PR,1,100,106403
1760381401.376447,706262.000,48883,3,PR,1,100,106410
1760381401.416447,706302.000,48883,3,PR,1,100,106421
1760381401.456447,706342.000,48883,3,PR,1,100,106404
1760381401.496446,706382.000,48901,3,PR,1,100,106409
1760381401.536446,706422.000,48901,3,PR,1,100,106424
1760381401.576446,706462.000,48901,3,PR,1,100,106430
1760381401.616446,706502.000,48916,2,PR,1,100,106420
1760381401.656445,706542.000,48916,2,PR,1,100,106433
1760381401.696445,706582.000,48934,3,PR,1,100,106440
1760381401.736445,706622.000,48934,3,PR,1,100,106437
1760381401.776444,706662.000,48934,3,PR,1,100,106450
1760381401.816444,706702.000,48952,2,PR,1,100,106436
1760381401.856444,706742.000,48952,2,PR,1,100,106435
1760381401.896444,706782.000,48969,3,PR,1,100,106440
1760381401.936444,706822.000,48969,3,PR,1,100,106453
1760381401.976443,706862.000,48969,3,PR,1,100,106446
1760381402.016443,706902.000,48984,2,PR,1,100,106464
1760381402.056443,706942.000,48984,2,PR,1,100,106470
1760381402.096442,706982.000,49003,3,PR,1,100,106461
1760381402.136442,707022.000,49003,3,PR,1,100,106447
1760381402.176442,707062.000,49003,3,PR,1,100,106453
1760381402.216442,707102.000,49019,2,PR,1,100,106464
1760381402.256441,707142.000,49019,2,PR,1,100,106481
1760381402.296441,707182.000,49038,3,PR,1,100,106481
1760381402.336441,707222.000,49038,3,PR,1,100,106475
1760381402.376441,707262.000,49038,3,PR,1,100,106483
1760381402.416440,707302.000,49053,2,PR,1,100,106485
1760381402.456440,707342.000,49053,2,PR,1,100,106476
1760381402.496440,707382.000,49070,3,PR,1,100,106462
1760381402.536440,707422.000,49070,3,PR,1,100,106471
