LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1760381402.832438,707718,49119,2,RD,1,100,TL,TU
1760381407.946405,712832,49956,2,RD,1,100,TL,TU
1760381413.063372,717949,50809,2,RD,1,100,TL,TU
1760381418.178340,723064,51666,2,RD,1,100,TL,TU
1760381423.300307,728186,52519,2,RD,1,100,TL,TU
1760381428.417274,733303,53368,2,RD,1,100,TL,TU
1760381433.542241,738428,54216,2,RD,1,100,TL,TU
1760381438.654209,743540,55073,2,RD,1,100,TL,TU
1760381443.765176,748651,55928,2,RD,1,100,TL,TU
1760381448.875144,753761,56777,2,RD,1,100,TL,TU
1760381454.000111,758886,57636,2,RD,1,100,TL,TU
1760381459.127078,764013,58500,2,RD,1,100,TL,TU
1760381464.242045,769128,59347,2,RD,1,100,TL,TU
1760381469.375012,774261,60202,2,RD,1,100,TL,TU
1760381474.488980,779375,61056,2,RD,1,100,TL,TU
1760381479.604947,784491,61907,2,RD,1,100,TL,TU
1760381484.729914,789616,62766,2,RD,1,100,TL,TU
1760381489.841882,794728,63612,2,RD,1,100,TL,TU
1760381494.967849,799854,64461,2,RD,1,100,TL,TU
1760381500.075816,804962,65314,2,RD,1,100,TL,TU
1760381505.195783,810082,634,2,RD,1,100,TL,TU
1760381510.301751,815188,1490,2,RD,1,100,TL,TU
1760381515.445718,820332,2354,2,RD,1,100,TL,TU
1760381520.551685,825438,3207,2,RD,1,100,TL,TU
1760381525.660653,830547,4052,2,RD,1,100,TL,TU
