LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1760381400.423453,705309.000,48718,1,TH,1,100,31.851
1760381400.556452,705442.000,48735,1,TH,1,100,31.850
1760381400.689451,705575.000,48769,1,TH,1,100,31.681
1760381400.823451,705709.000,48785,1,TH,1,100,31.681
1760381400.956450,705842.000,48804,1,TH,1,100,31.727
1760381401.089449,705975.000,48838,1,TH,1,100,31.727
1760381401.223448,706109.000,48854,1,TH,1,100,31.809
1760381401.356447,706242.000,48871,1,TH,1,100,31.809
1760381401.489446,706375.000,48905,1,TH,1,100,31.700
1760381401.622446,706508.000,48921,1,TH,1,100,31.700
1760381401.756445,706642.000,48939,1,TH,1,100,31.817
1760381401.889444,706775.000,48957,1,TH,1,100,31.817
1760381402.022443,706908.000,48989,1,TH,1,100,31.749
1760381402.156442,707042.000,49008,1,TH,1,100,31.742
1760381402.289441,707175.000,49024,1,TH,1,100,31.729
1760381402.422440,707308.000,49058,1,TH,1,100,31.729
1760381402.556439,707442.000,49075,1,TH,1,100,31.771
1760381402.689439,707575.000,49091,1,TH,1,100,31.771
1760381402.822438,707708.000,49128,1,TH,1,100,31.737
1760381402.956437,707842.000,49145,1,TH,1,100,31.737
1760381403.089436,707975.000,49162,1,TH,1,100,31.829
1760381403.222435,708108.000,49179,1,TH,1,100,31.829
1760381403.356434,708242.000,49211,1,TH,1,100,31.756
1760381403.489434,708375.000,49227,1,TH,1,100,31.756
1760381403.622433,708508.000,49246,1,TH,1,100,31.722
1760381403.756432,708642.000,49263,1,TH,1,100,31.722
1760381403.889431,708775.000,49294,1,TH,1,100,31.635
1760381404.022430,708908.000,49311,1,TH,1,100,31.635
1760381404.156429,709042.000,49328,1,TH,1,100,31.761
1760381404.289428,709175.000,49359,1,TH,1,100,31.761
1760381404.422428,709308.000,49377,1,TH,1,100,31.698
1760381404.556427,709442.000,49393,1,TH,1,100,31.691
1760381404.689426,709575.000,49425,1,TH,1,100,31.679
1760381404.822425,709708.000,49442,1,TH,1,100,31.679
1760381404.956424,709842.000,49458,1,TH,1,100,31.747
1760381405.089423,709975.000,49490,1,TH,1,100,31.747
1760381405.222422,710108.000,49507,1,TH,1,100,31.725
1760381405.355422,710241.000,49525,1,TH,1,100,31.725
1760381405.489421,710375.000,49557,1,TH,1,100,31.766
1760381405.622420,710508.000,49574,1,TH,1,100,31.766
1760381405.755419,710641.000,49591,1,TH,1,100,31.756
1760381405.889418,710775.000,49622,1,TH,1,100,31.756
1760381406.022417,710908.000,49640,1,TH,1,100,31.659
1760381406.155416,711041.000,49656,1,TH,1,100,31.659
1760381406.289416,711175.000,49675,1,TH,1,100,31.642
1760381406.422415,711308.000,49707,1,TH,1,100,31.642
1760381406.555414,711441.000,49723,1,TH,1,100,31.725
1760381406.689413,711575.000,49742,1,TH,1,100,31.725
1760381406.822412,711708.000,49776,1,TH,1,100,31.776
1760381406.955411,711841.000,49792,1,TH,1,100,31.776
1760381407.089411,711975.000,49810,1,TH,1,100,31.744
1760381407.222410,712108.000,49845,1,TH,1,100,31.744
1760381407.355409,712241.000,49861,1,TH,1,100,31.771
1760381407.489408,712375.000,49879,1,TH,1,100,31.771
1760381407.622407,712508.000,49910,1,TH,1,100,31.776
1760381407.755406,712641.000,49927,1,TH,1,100,31.776
1760381407.889405,712775.000,49944,1,TH,1,100,31.744
1760381408.022405,712908.000,49968,1,TH,1,100,31.737
1760381408.155404,713041.000,49985,1,TH,1,100,31.732
1760381408.288403,713174.000,50018,1,TH,1,100,31.739
1760381408.422402,713308.000,50036,1,TH,1,100,31.730
1760381408.555401,713441.000,50052,1,TH,1,100,31.723
1760381408.688400,713574.000,50086,1,TH,1,100,31.725
1760381408.822399,713708.000,50103,1,TH,1,100,31.732
1760381408.955399,713841.000,50119,1,TH,1,100,31.776
1760381409.089398,713975.000,50151,1,TH,1,100,31.769
1760381409.222397,714108.000,50168,1,TH,1,100,31.650
1760381409.355396,714241.000,50186,1,TH,1,100,31.657
1760381409.488395,714374.000,50218,1,TH,1,100,31.732
1760381409.622394,714508.000,50235,1,TH,1,100,31.732
1760381409.755394,714641.000,50254,1,TH,1,100,31.718
1760381409.888393,714774.000,50271,1,TH,1,100,31.710
1760381410.022392,714908.000,50303,1,TH,1,100,31.662
1760381410.155391,715041.000,50321,1,TH,1,100,31.662
1760381410.288390,715174.000,50338,1,TH,1,100,31.757
1760381410.422389,715308.000,50372,1,TH,1,100,31.757
1760381410.555388,715441.000,50390,1,TH,1,100,31.723
1760381410.688388,715574.000,50407,1,TH,1,100,31.723
1760381410.822387,715708.000,50441,1,TH,1,100,31.718
1760381410.955386,715841.000,50457,1,TH,1,100,31.718
1760381411.088385,715974.000,50475,1,TH,1,100,31.706
