RD,TS_received,TS_sent,AK,RoundTrip,
707718,707734,2025-10-13_14-50-02-843003,707735,16,
712832,712858,2025-10-13_14-50-07-967256,712862,26,
717949,717968,2025-10-13_14-50-13-070003,717969,19,
723064,723082,2025-10-13_14-50-18-188858,723083,18,
728186,728195,2025-10-13_14-50-23-304807,728196,9,
733303,733318,2025-10-13_14-50-28-428223,733321,15,
738428,738437,2025-10-13_14-50-33-546453,738441,9,
743540,743559,2025-10-13_14-50-38-660627,743560,19,
748651,748665,2025-10-13_14-50-43-773013,748673,14,
753761,753793,2025-10-13_14-50-48-902072,753794,32,
758886,758900,2025-10-13_14-50-54-009176,758906,14,
764013,764031,2025-10-13_14-50-59-136418,764032,18,
769128,769208,2025-10-13_14-51-04-317805,769210,80,
774261,774271,2025-10-13_14-51-09-380229,774272,10,
779375,779384,2025-10-13_14-51-14-493535,779388,9,
784491,784508,2025-10-13_14-51-19-617299,784510,17,
789616,789628,2025-10-13_14-51-24-734797,789630,12,
794728,794739,2025-10-13_14-51-29-848464,794740,11,
799854,799871,2025-10-13_14-51-34-977944,799873,17,
804962,805004,2025-10-13_14-51-40-110088,805006,42,
810082,810093,2025-10-13_14-51-45-203511,810100,11,
815188,815203,2025-10-13_14-51-50-311449,815204,15,
820332,820341,2025-10-13_14-51-55-450218,820346,9,
825438,825452,2025-10-13_14-52-00-558403,825453,14,
830547,830564,2025-10-13_14-52-05-671186,830565,17,
