LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1760381627.354254,932239.000,21028,1,PG,1,100,7775
1760381627.394253,932279.000,21032,3,PG,1,100,7790
1760381627.434253,932319.000,21032,3,PG,1,100,7797
1760381627.474252,932359.000,21032,3,PG,1,100,7826
1760381627.514251,932399.000,21051,2,PG,1,100,7831
1760381627.554250,932439.000,21051,2,PG,1,100,7849
1760381627.594249,932479.000,21065,3,PG,1,100,7851
1760381627.634249,932519.000,21065,3,PG,1,100,7866
1760381627.674248,932559.000,21065,3,PG,1,100,7891
1760381627.714247,932599.000,21083,2,PG,1,100,7885
1760381627.754247,932639.000,21083,2,PG,1,100,7868
1760381627.794246,932679.000,21099,3,PG,1,100,7860
1760381627.834245,932719.000,21099,3,PG,1,100,7850
1760381627.874244,932759.000,21099,3,PG,1,100,7856
1760381627.914244,932799.000,21121,2,PG,1,100,7853
1760381627.954243,932839.000,21121,2,PG,1,100,7861
1760381627.994242,932879.000,21136,3,PG,1,100,7866
1760381628.034241,932919.000,21136,3,PG,1,100,7899
1760381628.074241,932959.000,21136,3,PG,1,100,7903
1760381628.114240,932999.000,21153,2,PG,1,100,7916
1760381628.154239,933039.000,21153,2,PG,1,100,7912
1760381628.194238,933079.000,21171,3,PG,1,100,7923
1760381628.234238,933119.000,21171,3,PG,1,100,7937
1760381628.274237,933159.000,21171,3,PG,1,100,7946
1760381628.314236,933199.000,21188,2,PG,1,100,7965
1760381628.354235,933239.000,21188,2,PG,1,100,7960
1760381628.394235,933279.000,21204,3,PG,1,100,7943
1760381628.434234,933319.000,21204,3,PG,1,100,7917
1760381628.474233,933359.000,21204,3,PG,1,100,7915
1760381628.514232,933399.000,21220,3,PG,1,100,7908
1760381628.554232,933439.000,21220,3,PG,1,100,7906
1760381628.594231,933479.000,21220,3,PG,1,100,7912
1760381628.634230,933519.000,21236,2,PG,1,100,7922
1760381628.674230,933559.000,21236,2,PG,1,100,7934
1760381628.714229,933599.000,21256,3,PG,1,100,7946
1760381628.754228,933639.000,21256,3,PG,1,100,7963
1760381628.794227,933679.000,21256,3,PG,1,100,7977
1760381628.834227,933719.000,21272,2,PG,1,100,7990
1760381628.874226,933759.000,21272,2,PG,1,100,7992
1760381628.914225,933799.000,21287,3,PG,1,100,8005
1760381628.954224,933839.000,21287,3,PG,1,100,8011
1760381628.994224,933879.000,21287,3,PG,1,100,7994
1760381629.034223,933919.000,21304,2,PG,1,100,7973
1760381629.074222,933959.000,21304,2,PG,1,100,7969
1760381629.114221,933999.000,21323,3,PG,1,100,7947
1760381629.154221,934039.000,21323,3,PG,1,100,7969
1760381629.194220,934079.000,21323,3,PG,1,100,7969
1760381629.234219,934119.000,21339,2,PG,1,100,7982
1760381629.274218,934159.000,21339,2,PG,1,100,7990
1760381629.314218,934199.000,21357,3,PG,1,100,7983
1760381629.354217,934239.000,21357,3,PG,1,100,7994
1760381629.394216,934279.000,21357,3,PG,1,100,8003
1760381629.434215,934319.000,21375,2,PG,1,100,8028
1760381629.474215,934359.000,21375,2,PG,1,100,8038
1760381629.514214,934399.000,21392,3,PG,1,100,8049
1760381629.554213,934439.000,21392,3,PG,1,100,8038
1760381629.594213,934479.000,21392,3,PG,1,100,8040
1760381629.634212,934519.000,21408,2,PG,1,100,8004
1760381629.674211,934559.000,21408,2,PG,1,100,8003
1760381629.714210,934599.000,21424,3,PG,1,100,7995
1760381629.754210,934639.000,21424,3,PG,1,100,8004
1760381629.794209,934679.000,21424,3,PG,1,100,7995
1760381629.834208,934719.000,21442,2,PG,1,100,8009
1760381629.874207,934759.000,21442,2,PG,1,100,8032
1760381629.914207,934799.000,21461,3,PG,1,100,8038
1760381629.954206,934839.000,21461,3,PG,1,100,8040
1760381629.994205,934879.000,21461,3,PG,1,100,8052
1760381630.034204,934919.000,21480,3,PG,1,100,8055
1760381630.074203,934959.000,21480,3,PG,1,100,8068
1760381630.114203,934999.000,21480,3,PG,1,100,8100
1760381630.154202,935039.000,21495,2,PG,1,100,8090
1760381630.194201,935079.000,21495,2,PG,1,100,8092
1760381630.234200,935119.000,21511,3,PG,1,100,8069
1760381630.274200,935159.000,21511,3,PG,1,100,8060
1760381630.314199,935199.000,21511,3,PG,1,100,8049
1760381630.354198,935239.000,21531,2,PG,1,100,8040
1760381630.394198,935279.000,21531,2,PG,1,100,8051
1760381630.434197,935319.000,21547,3,PG,1,100,8054
1760381630.474196,935359.000,21547,3,PG,1,100,8073
1760381630.514195,935399.000,21547,3,PG,1,100,8081
1760381630.554195,935439.000,21563,2,PG,1,100,8087
1760381630.594194,935479.000,21563,2,PG,1,100,8100
1760381630.634193,935519.000,21582,3,PG,1,100,8110
1760381630.674192,935559.000,21582,3,PG,1,100,8112
1760381630.714192,935599.000,21582,3,PG,1,100,8119
1760381630.754191,935639.000,21600,2,PG,1,100,8119
1760381630.794190,935679.000,21600,2,PG,1,100,8104
1760381630.834189,935719.000,21616,3,PG,1,100,8090
1760381630.874189,935759.000,21616,3,PG,1,100,8081
1760381630.914188,935799.000,21616,3,PG,1,100,8064
1760381630.954187,935839.000,21633,2,PG,1,100,8076
1760381630.994186,935879.000,21633,2,PG,1,100,8060
1760381631.034186,935919.000,21650,3,PG,1,100,8062
1760381631.074185,935959.000,21650,3,PG,1,100,8063
1760381631.114184,935999.000,21650,3,PG,1,100,8085
1760381631.154183,936039.000,21667,2,PG,1,100,8102
1760381631.194183,936079.000,21667,2,PG,1,100,8110
1760381631.234182,936119.000,21685,3,PG,1,100,8132
1760381631.274181,936159.000,21685,3,PG,1,100,8131
1760381631.314181,936199.000,21685,3,PG,1,100,8146
1760381631.354180,936239.000,21703,3,PG,1,100,8154
1760381631.394179,936279.000,21703,3,PG,1,100,8150
1760381631.434178,936319.000,21703,3,PG,1,100,8135
1760381631.474178,936359.000,21717,2,PG,1,100,8130
1760381631.514177,936399.000,21717,2,PG,1,100,8129
1760381631.554176,936439.000,21734,3,PG,1,100,8124
1760381631.594175,936479.000,21734,3,PG,1,100,8117
1760381631.634175,936519.000,21734,3,PG,1,100,8127
1760381631.674174,936559.000,21753,2,PG,1,100,8115
1760381631.714173,936599.000,21753,2,PG,1,100,8128
1760381631.754172,936639.000,21772,3,PG,1,100,8130
1760381631.794172,936679.000,21772,3,PG,1,100,8163
1760381631.834171,936719.000,21772,3,PG,1,100,8161
1760381631.874170,936759.000,21788,2,PG,1,100,8158
1760381631.914169,936799.000,21788,2,PG,1,100,8162
1760381631.954169,936839.000,21805,3,PG,1,100,8170
1760381631.994168,936879.000,21805,3,PG,1,100,8155
1760381632.034167,936919.000,21805,3,PG,1,100,8154
1760381632.074167,936959.000,21824,2,PG,1,100,8136
1760381632.114166,936999.000,21824,2,PG,1,100,8130
1760381632.154165,937039.000,21841,3,PG,1,100,8115
1760381632.194164,937079.000,21841,3,PG,1,100,8117
1760381632.234164,937119.000,21841,3,PG,1,100,8124
1760381632.274163,937159.000,21858,3,PG,1,100,8114
1760381632.314162,937199.000,21858,3,PG,1,100,8116
1760381632.354161,937239.000,21858,3,PG,1,100,8124
1760381632.394161,937279.000,21875,2,PG,1,100,8131
1760381632.434160,937319.000,21875,2,PG,1,100,8144
1760381632.474159,937359.000,21895,3,PG,1,100,8153
1760381632.514158,937399.000,21895,3,PG,1,100,8159
1760381632.554157,937439.000,21895,3,PG,1,100,8162
1760381632.594157,937479.000,21912,2,PG,1,100,8185
1760381632.634156,937519.000,21912,2,PG,1,100,8167
1760381632.674155,937559.000,21928,3,PG,1,100,8172
1760381632.714154,937599.000,21928,3,PG,1,100,8152
1760381632.754154,937639.000,21928,3,PG,1,100,8147
1760381632.794153,937679.000,21946,2,PG,1,100,8117
1760381632.834152,937719.000,21946,2,PG,1,100,8120
1760381632.874151,937759.000,21962,3,PG,1,100,8132
1760381632.914151,937799.000,21962,3,PG,1,100,8141
1760381632.954150,937839.000,21962,3,PG,1,100,8138
1760381632.994149,937879.000,21985,3,PG,1,100,8145
1760381633.034149,937919.000,21985,3,PG,1,100,8160
1760381633.074148,937959.000,21985,3,PG,1,100,8153
1760381633.114147,937999.000,22005,2,PG,1,100,8154
1760381633.154146,938039.000,22005,2,PG,1,100,8155
1760381633.200645,938085.500,22020,2,PG,1,100,8177
1760381633.247145,938132.000,22020,2,PG,1,100,8190
1760381633.287144,938172.000,22036,3,PG,1,100,8176
1760381633.327143,938212.000,22036,3,PG,1,100,8161
1760381633.367142,938252.000,22036,3,PG,1,100,8142
1760381633.407142,938292.000,22054,2,PG,1,100,8137
1760381633.447141,938332.000,22054,2,PG,1,100,8119
1760381633.487140,938372.000,22070,3,PG,1,100,8131
1760381633.527139,938412.000,22070,3,PG,1,100,8131
1760381633.567139,938452.000,22070,3,PG,1,100,8136
1760381633.607138,938492.000,22087,2,PG,1,100,8133
1760381633.647137,938532.000,22087,2,PG,1,100,8131
1760381633.687136,938572.000,22106,3,PG,1,100,8138
1760381633.727136,938612.000,22106,3,PG,1,100,8154
1760381633.767135,938652.000,22106,3,PG,1,100,8151
1760381633.807134,938692.000,22123,3,PG,1,100,8170
1760381633.847134,938732.000,22123,3,PG,1,100,8174
1760381633.887133,938772.000,22123,3,PG,1,100,8171
1760381633.927132,938812.000,22139,2,PG,1,100,8167
1760381633.967131,938852.000,22139,2,PG,1,100,8148
1760381634.007131,938892.000,22158,3,PG,1,100,8139
1760381634.047130,938932.000,22158,3,PG,1,100,8144
1760381634.087129,938972.000,22158,3,PG,1,100,8127
1760381634.127128,939012.000,22173,2,PG,1,100,8122
1760381634.167128,939052.000,22173,2,PG,1,100,8112
1760381634.207127,939092.000,22192,3,PG,1,100,8119
1760381634.247126,939132.000,22192,3,PG,1,100,8117
1760381634.287125,939172.000,22192,3,PG,1,100,8125
1760381634.327125,939212.000,22211,2,PG,1,100,8126
1760381634.367124,939252.000,22211,2,PG,1,100,8121
1760381634.407123,939292.000,22228,3,PG,1,100,8128
1760381634.447122,939332.000,22228,3,PG,1,100,8129
1760381634.487122,939372.000,22228,3,PG,1,100,8140
1760381634.527121,939412.000,22242,2,PG,1,100,8145
1760381634.567120,939452.000,22242,2,PG,1,100,8143
1760381634.607119,939492.000,22259,3,PG,1,100,8159
1760381634.647119,939532.000,22259,3,PG,1,100,8143
1760381634.687118,939572.000,22259,3,PG,1,100,8128
1760381634.727117,939612.000,22278,2,PG,1,100,8104
1760381634.767117,939652.000,22278,2,PG,1,100,8093
1760381634.807116,939692.000,22295,3,PG,1,100,8074
1760381634.847115,939732.000,22295,3,PG,1,100,8069
1760381634.887114,939772.000,22295,3,PG,1,100,8060
1760381634.927114,939812.000,22311,2,PG,1,100,8066
1760381634.967113,939852.000,22311,2,PG,1,100,8076
1760381635.007112,939892.000,22329,3,PG,1,100,8063
1760381635.047111,939932.000,22329,3,PG,1,100,8062
1760381635.087111,939972.000,22329,3,PG,1,100,8079
1760381635.127110,940012.000,22347,3,PG,1,100,8086
1760381635.167109,940052.000,22347,3,PG,1,100,8081
1760381635.207108,940092.000,22347,3,PG,1,100,8100
1760381635.247108,940132.000,22364,2,PG,1,100,8091
1760381635.287107,940172.000,22364,2,PG,1,100,8112
1760381635.327106,940212.000,22381,3,PG,1,100,8098
1760381635.367105,940252.000,22381,3,PG,1,100,8096
1760381635.407104,940292.000,22381,3,PG,1,100,8079
1760381635.447104,940332.000,22398,2,PG,1,100,8086
1760381635.487103,940372.000,22398,2,PG,1,100,8098
1760381635.527102,940412.000,22418,3,PG,1,100,8092
1760381635.567102,940452.000,22418,3,PG,1,100,8102
1760381635.607101,940492.000,22418,3,PG,1,100,8116
1760381635.647100,940532.000,22435,2,PG,1,100,8101
1760381635.687099,940572.000,22435,2,PG,1,100,8110
1760381635.727099,940612.000,22450,3,PG,1,100,8115
1760381635.767098,940652.000,22450,3,PG,1,100,8127
1760381635.807097,940692.000,22450,3,PG,1,100,8141
1760381635.847096,940732.000,22467,2,PG,1,100,8111
1760381635.887096,940772.000,22467,2,PG,1,100,8131
