LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1760381627.354254,932239.000,21026,1,PI,1,100,156011
1760381627.394253,932279.000,21030,3,PI,1,100,156016
1760381627.434253,932319.000,21030,3,PI,1,100,155999
1760381627.474252,932359.000,21030,3,PI,1,100,156061
1760381627.514251,932399.000,21049,2,PI,1,100,156127
1760381627.554250,932439.000,21049,2,PI,1,100,156139
1760381627.594249,932479.000,21063,3,PI,1,100,156144
1760381627.634249,932519.000,21063,3,PI,1,100,156217
1760381627.674248,932559.000,21063,3,PI,1,100,156273
1760381627.714247,932599.000,21081,2,PI,1,100,156256
1760381627.754247,932639.000,21081,2,PI,1,100,156250
1760381627.794246,932679.000,21097,3,PI,1,100,156233
1760381627.834245,932719.000,21097,3,PI,1,100,156217
1760381627.874244,932759.000,21097,3,PI,1,100,156222
1760381627.914244,932799.000,21119,2,PI,1,100,156221
1760381627.954243,932839.000,21119,2,PI,1,100,156203
1760381627.994242,932879.000,21134,3,PI,1,100,156220
1760381628.034241,932919.000,21134,3,PI,1,100,156251
1760381628.074241,932959.000,21134,3,PI,1,100,156244
1760381628.114240,932999.000,21151,2,PI,1,100,156250
1760381628.154239,933039.000,21151,2,PI,1,100,156294
1760381628.194238,933079.000,21169,3,PI,1,100,156280
1760381628.234238,933119.000,21169,3,PI,1,100,156246
1760381628.274237,933159.000,21169,3,PI,1,100,156298
1760381628.314236,933199.000,21186,2,PI,1,100,156304
1760381628.354235,933239.000,21186,2,PI,1,100,156295
1760381628.394235,933279.000,21202,3,PI,1,100,156286
1760381628.434234,933319.000,21202,3,PI,1,100,156265
1760381628.474233,933359.000,21202,3,PI,1,100,156282
1760381628.514232,933399.000,21218,3,PI,1,100,156271
1760381628.554232,933439.000,21218,3,PI,1,100,156248
1760381628.594231,933479.000,21218,3,PI,1,100,156243
1760381628.634230,933519.000,21234,2,PI,1,100,156249
1760381628.674230,933559.000,21234,2,PI,1,100,156238
1760381628.714229,933599.000,21254,3,PI,1,100,156292
1760381628.754228,933639.000,21254,3,PI,1,100,156349
1760381628.794227,933679.000,21254,3,PI,1,100,156337
1760381628.834227,933719.000,21270,2,PI,1,100,156395
1760381628.874226,933759.000,21270,2,PI,1,100,156423
1760381628.914225,933799.000,21285,3,PI,1,100,156452
1760381628.954224,933839.000,21285,3,PI,1,100,156440
1760381628.994224,933879.000,21285,3,PI,1,100,156406
1760381629.034223,933919.000,21302,2,PI,1,100,156409
1760381629.074222,933959.000,21302,2,PI,1,100,156370
1760381629.114221,933999.000,21321,3,PI,1,100,156346
1760381629.154221,934039.000,21321,3,PI,1,100,156300
1760381629.194220,934079.000,21321,3,PI,1,100,156296
1760381629.234219,934119.000,21337,2,PI,1,100,156321
1760381629.274218,934159.000,21337,2,PI,1,100,156330
1760381629.314218,934199.000,21355,3,PI,1,100,156332
1760381629.354217,934239.000,21355,3,PI,1,100,156374
1760381629.394216,934279.000,21355,3,PI,1,100,156407
1760381629.434215,934319.000,21373,2,PI,1,100,156410
1760381629.474215,934359.000,21373,2,PI,1,100,156413
1760381629.514214,934399.000,21390,3,PI,1,100,156445
1760381629.554213,934439.000,21390,3,PI,1,100,156462
1760381629.594213,934479.000,21390,3,PI,1,100,156459
1760381629.634212,934519.000,21406,2,PI,1,100,156423
1760381629.674211,934559.000,21406,2,PI,1,100,156379
1760381629.714210,934599.000,21422,3,PI,1,100,156376
1760381629.754210,934639.000,21422,3,PI,1,100,156373
1760381629.794209,934679.000,21422,3,PI,1,100,156338
1760381629.834208,934719.000,21440,2,PI,1,100,156329
1760381629.874207,934759.000,21440,2,PI,1,100,156338
1760381629.914207,934799.000,21459,3,PI,1,100,156351
1760381629.954206,934839.000,21459,3,PI,1,100,156452
1760381629.994205,934879.000,21459,3,PI,1,100,156498
1760381630.034204,934919.000,21478,3,PI,1,100,156478
1760381630.074203,934959.000,21478,3,PI,1,100,156501
1760381630.114203,934999.000,21478,3,PI,1,100,156566
1760381630.154202,935039.000,21493,2,PI,1,100,156582
1760381630.194201,935079.000,21493,2,PI,1,100,156569
1760381630.234200,935119.000,21509,3,PI,1,100,156562
1760381630.274200,935159.000,21509,3,PI,1,100,156549
1760381630.314199,935199.000,21509,3,PI,1,100,156508
1760381630.354198,935239.000,21529,2,PI,1,100,156518
1760381630.394198,935279.000,21529,2,PI,1,100,156493
1760381630.434197,935319.000,21545,3,PI,1,100,156487
1760381630.474196,935359.000,21545,3,PI,1,100,156480
1760381630.514195,935399.000,21545,3,PI,1,100,156492
1760381630.554195,935439.000,21561,2,PI,1,100,156502
1760381630.594194,935479.000,21561,2,PI,1,100,156556
1760381630.634193,935519.000,21580,3,PI,1,100,156581
