LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1760381627.354254,932239.000,21027,1,PR,1,100,111635
1760381627.394253,932279.000,21031,3,PR,1,100,111617
1760381627.434253,932319.000,21031,3,PR,1,100,111605
1760381627.474252,932359.000,21031,3,PR,1,100,111618
1760381627.514251,932399.000,21050,2,PR,1,100,111676
1760381627.554250,932439.000,21050,2,PR,1,100,111684
1760381627.594249,932479.000,21064,3,PR,1,100,111670
1760381627.634249,932519.000,21064,3,PR,1,100,111697
1760381627.674248,932559.000,21064,3,PR,1,100,111754
1760381627.714247,932599.000,21082,2,PR,1,100,111755
1760381627.754247,932639.000,21082,2,PR,1,100,111758
1760381627.794246,932679.000,21098,3,PR,1,100,111753
1760381627.834245,932719.000,21098,3,PR,1,100,111750
1760381627.874244,932759.000,21098,3,PR,1,100,111733
1760381627.914244,932799.000,21120,2,PR,1,100,111738
1760381627.954243,932839.000,21120,2,PR,1,100,111717
1760381627.994242,932879.000,21135,3,PR,1,100,111752
1760381628.034241,932919.000,21135,3,PR,1,100,111737
1760381628.074241,932959.000,21135,3,PR,1,100,111736
1760381628.114240,932999.000,21152,2,PR,1,100,111771
1760381628.154239,933039.000,21152,2,PR,1,100,111807
1760381628.194238,933079.000,21170,3,PR,1,100,111782
1760381628.234238,933119.000,21170,3,PR,1,100,111757
1760381628.274237,933159.000,21170,3,PR,1,100,111794
1760381628.314236,933199.000,21187,2,PR,1,100,111798
1760381628.354235,933239.000,21187,2,PR,1,100,111800
1760381628.394235,933279.000,21203,3,PR,1,100,111812
1760381628.434234,933319.000,21203,3,PR,1,100,111794
1760381628.474233,933359.000,21203,3,PR,1,100,111804
1760381628.514232,933399.000,21219,3,PR,1,100,111820
1760381628.554232,933439.000,21219,3,PR,1,100,111790
1760381628.594231,933479.000,21219,3,PR,1,100,111745
1760381628.634230,933519.000,21235,2,PR,1,100,111742
1760381628.674230,933559.000,21235,2,PR,1,100,111721
1760381628.714229,933599.000,21255,3,PR,1,100,111774
1760381628.754228,933639.000,21255,3,PR,1,100,111795
1760381628.794227,933679.000,21255,3,PR,1,100,111805
1760381628.834227,933719.000,21271,2,PR,1,100,111816
1760381628.874226,933759.000,21271,2,PR,1,100,111829
1760381628.914225,933799.000,21286,3,PR,1,100,111851
1760381628.954224,933839.000,21286,3,PR,1,100,111858
1760381628.994224,933879.000,21286,3,PR,1,100,111858
1760381629.034223,933919.000,21303,2,PR,1,100,111849
1760381629.074222,933959.000,21303,2,PR,1,100,111822
1760381629.114221,933999.000,21322,3,PR,1,100,111809
1760381629.154221,934039.000,21322,3,PR,1,100,111792
1760381629.194220,934079.000,21322,3,PR,1,100,111787
1760381629.234219,934119.000,21338,2,PR,1,100,111789
1760381629.274218,934159.000,21338,2,PR,1,100,111774
1760381629.314218,934199.000,21356,3,PR,1,100,111778
1760381629.354217,934239.000,21356,3,PR,1,100,111817
1760381629.394216,934279.000,21356,3,PR,1,100,111876
1760381629.434215,934319.000,21374,2,PR,1,100,111859
1760381629.474215,934359.000,21374,2,PR,1,100,111856
1760381629.514214,934399.000,21391,3,PR,1,100,111890
1760381629.554213,934439.000,21391,3,PR,1,100,111912
1760381629.594213,934479.000,21391,3,PR,1,100,111908
1760381629.634212,934519.000,21407,2,PR,1,100,111904
1760381629.674211,934559.000,21407,2,PR,1,100,111875
1760381629.714210,934599.000,21423,3,PR,1,100,111861
1760381629.754210,934639.000,21423,3,PR,1,100,111868
1760381629.794209,934679.000,21423,3,PR,1,100,111857
1760381629.834208,934719.000,21441,2,PR,1,100,111855
1760381629.874207,934759.000,21441,2,PR,1,100,111844
1760381629.914207,934799.000,21460,3,PR,1,100,111833
1760381629.954206,934839.000,21460,3,PR,1,100,111880
1760381629.994205,934879.000,21460,3,PR,1,100,111908
1760381630.034204,934919.000,21479,3,PR,1,100,111886
1760381630.074203,934959.000,21479,3,PR,1,100,111893
1760381630.114203,934999.000,21479,3,PR,1,100,111941
1760381630.154202,935039.000,21494,2,PR,1,100,111973
1760381630.194201,935079.000,21494,2,PR,1,100,111962
1760381630.234200,935119.000,21510,3,PR,1,100,111979
1760381630.274200,935159.000,21510,3,PR,1,100,111968
1760381630.314199,935199.000,21510,3,PR,1,100,111925
1760381630.354198,935239.000,21530,2,PR,1,100,111914
1760381630.394198,935279.000,21530,2,PR,1,100,111904
1760381630.434197,935319.000,21546,3,PR,1,100,111904
1760381630.474196,935359.000,21546,3,PR,1,100,111900
1760381630.514195,935399.000,21546,3,PR,1,100,111901
1760381630.554195,935439.000,21562,2,PR,1,100,111898
1760381630.594194,935479.000,21562,2,PR,1,100,111950
1760381630.634193,935519.000,21581,3,PR,1,100,111975
1760381630.674192,935559.000,21581,3,PR,1,100,111949
1760381630.714192,935599.000,21581,3,PR,1,100,111954
1760381630.754191,935639.000,21599,2,PR,1,100,111983
1760381630.794190,935679.000,21599,2,PR,1,100,112012
1760381630.834189,935719.000,21615,3,PR,1,100,112002
1760381630.874189,935759.000,21615,3,PR,1,100,112000
1760381630.914188,935799.000,21615,3,PR,1,100,111986
1760381630.954187,935839.000,21632,2,PR,1,100,111949
1760381630.994186,935879.000,21632,2,PR,1,100,111924
1760381631.034186,935919.000,21649,3,PR,1,100,111907
1760381631.074185,935959.000,21649,3,PR,1,100,111904
1760381631.114184,935999.000,21649,3,PR,1,100,111906
1760381631.154183,936039.000,21666,2,PR,1,100,111885
1760381631.194183,936079.000,21666,2,PR,1,100,111934
1760381631.234182,936119.000,21684,3,PR,1,100,111974
1760381631.274181,936159.000,21684,3,PR,1,100,111962
1760381631.314181,936199.000,21684,3,PR,1,100,111976
1760381631.354180,936239.000,21702,3,PR,1,100,112025
1760381631.394179,936279.000,21702,3,PR,1,100,112045
1760381631.434178,936319.000,21702,3,PR,1,100,112038
1760381631.474178,936359.000,21716,2,PR,1,100,112036
1760381631.514177,936399.000,21716,2,PR,1,100,111994
1760381631.554176,936439.000,21733,3,PR,1,100,111996
1760381631.594175,936479.000,21733,3,PR,1,100,111990
1760381631.634175,936519.000,21733,3,PR,1,100,111973
1760381631.674174,936559.000,21752,2,PR,1,100,111976
1760381631.714173,936599.000,21752,2,PR,1,100,111977
1760381631.754172,936639.000,21771,3,PR,1,100,111953
1760381631.794172,936679.000,21771,3,PR,1,100,111972
1760381631.834171,936719.000,21771,3,PR,1,100,112033
1760381631.874170,936759.000,21787,2,PR,1,100,112065
1760381631.914169,936799.000,21787,2,PR,1,100,112060
