LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1760381627.460252,932345.000,21029,1,SF,1,100,59.7383
1760381627.726247,932611.000,21080,1,SF,1,100,59.0472
1760381628.059241,932944.000,21133,1,SF,1,100,58.3642
1760381628.459234,933344.000,21201,1,SF,1,100,59.7713
1760381628.793227,933678.000,21253,1,SF,1,100,59.0798
1760381629.059222,933944.000,21301,1,SF,1,100,58.3964
1760381629.393216,934278.000,21354,1,SF,1,100,59.8031
1760381629.793209,934678.000,21421,1,SF,1,100,61.1936
1760381630.059204,934944.000,21477,1,SF,1,100,64.6502
1760381630.393198,935278.000,21528,1,SF,1,100,65.9846
1760381630.793190,935678.000,21597,1,SF,1,100,67.3035
1760381631.126184,936011.000,21645,1,SF,1,100,66.5249
1760381631.392179,936277.000,21700,1,SF,1,100,67.8376
1760381631.726173,936611.000,21750,1,SF,1,100,69.1351
1760381632.126165,937011.000,21821,1,SF,1,100,70.4176
1760381632.392160,937277.000,21872,1,SF,1,100,71.6853
1760381632.726154,937611.000,21925,1,SF,1,100,72.9382
1760381633.059148,937944.000,21982,1,SF,1,100,74.1767
1760381633.459141,938344.000,22051,1,SF,1,100,75.4009
1760381633.726136,938611.000,22103,1,SF,1,100,76.6109
1760381634.059129,938944.000,22155,1,SF,1,100,77.8069
1760381634.392123,939277.000,22208,1,SF,1,100,78.9891
1760381634.792116,939677.000,22273,1,SF,1,100,78.0754
1760381635.059111,939944.000,22326,1,SF,1,100,81.3367
1760381635.392105,940277.000,22378,1,SF,1,100,82.4780
1760381635.792097,940677.000,22447,1,SF,1,100,83.6062
1760381636.059093,940944.000,22498,1,SF,1,100,82.6390
1760381636.392086,941277.000,22548,1,SF,1,100,81.6830
1760381636.725080,941610.000,22599,1,SF,1,100,82.8204
1760381637.125073,942010.000,22668,1,SF,1,100,83.9446
1760381637.392068,942277.000,22724,1,SF,1,100,87.1380
1760381637.725062,942610.000,22773,1,SF,1,100,86.1300
1760381638.125054,943010.000,22847,1,SF,1,100,89.2981
1760381638.458048,943343.000,22897,1,SF,1,100,88.2651
1760381638.725043,943610.000,22950,1,SF,1,100,89.3263
1760381639.058037,943943.000,22998,1,SF,1,100,88.2930
1760381639.458030,944343.000,23065,1,SF,1,100,89.3538
1760381639.792023,944677.000,23116,1,SF,1,100,90.4024
1760381640.058018,944943.000,23170,1,SF,1,100,91.4389
1760381640.392012,945277.000,23221,1,SF,1,100,92.4634
1760381640.792005,945677.000,23290,1,SF,1,100,93.4760
1760381641.058000,945943.000,23344,1,SF,1,100,96.5592
1760381641.390994,946276.000,23393,1,SF,1,100,95.4422
1760381641.790986,946676.000,23463,1,SF,1,100,96.4204
1760381642.124980,947010.000,23516,1,SF,1,100,95.3050
1760381642.390975,947276.000,23569,1,SF,1,100,96.2847
1760381642.724969,947610.000,23619,1,SF,1,100,97.2531
1760381643.124961,948010.000,23688,1,SF,1,100,98.2104
1760381643.457955,948343.000,23748,1,SF,1,100,99.1565
1760381643.724950,948610.000,23798,1,SF,1,100,100.0917
1760381644.057944,948943.000,23853,1,SF,1,100,103.0984
1760381644.457937,949343.000,23920,1,SF,1,100,103.9880
1760381644.724932,949610.000,23974,1,SF,1,100,104.8673
1760381645.057925,949943.000,24027,1,SF,1,100,107.8187
1760381645.390919,950276.000,24079,1,SF,1,100,108.6537
1760381645.790912,950676.000,24146,1,SF,1,100,109.4790
1760381646.057907,950943.000,24201,1,SF,1,100,110.2948
1760381646.390901,951276.000,24249,1,SF,1,100,109.0189
1760381646.790893,951676.000,24318,1,SF,1,100,111.9223
1760381647.057888,951943.000,24369,1,SF,1,100,110.6275
1760381647.390882,952276.000,24422,1,SF,1,100,111.4300
1760381647.723876,952609.000,24474,1,SF,1,100,112.2233
1760381648.123868,953009.000,24541,1,SF,1,100,113.0073
1760381648.390864,953276.000,24596,1,SF,1,100,111.7000
1760381648.723857,953609.000,24649,1,SF,1,100,112.4901
1760381649.123850,954009.000,24716,1,SF,1,100,113.2711
1760381649.390845,954276.000,24768,1,SF,1,100,111.9608
1760381649.723839,954609.000,24819,1,SF,1,100,112.7478
1760381650.056833,954942.000,24871,1,SF,1,100,113.5258
1760381650.456825,955342.000,24936,1,SF,1,100,112.2125
1760381650.723820,955609.000,24991,1,SF,1,100,112.9967
1760381651.056814,955942.000,25041,1,SF,1,100,113.7718
1760381651.456807,956342.000,25110,1,SF,1,100,114.5379
1760381651.723802,956609.000,25163,1,SF,1,100,115.2952
1760381652.056796,956942.000,25217,1,SF,1,100,118.1260
1760381652.389789,957275.000,25272,1,SF,1,100,118.8417
1760381652.789782,957675.000,25339,1,SF,1,100,119.5492
1760381653.056777,957942.000,25389,1,SF,1,100,118.1663
1760381653.389771,958275.000,25438,1,SF,1,100,116.7993
1760381653.789763,958675.000,25513,1,SF,1,100,117.5304
1760381654.123757,959009.000,25566,1,SF,1,100,118.2531
1760381654.389752,959275.000,25617,1,SF,1,100,118.9674
1760381654.722746,959608.000,25671,1,SF,1,100,121.7557
1760381655.122739,960008.000,25736,1,SF,1,100,120.3472
1760381655.389734,960275.000,25793,1,SF,1,100,123.1195
1760381655.722728,960608.000,25843,1,SF,1,100,123.7775
1760381656.122720,961008.000,25912,1,SF,1,100,124.4279
1760381656.456714,961342.000,25961,1,SF,1,100,122.9885
1760381656.722709,961608.000,26015,1,SF,1,100,123.6480
1760381657.056703,961942.000,26068,1,SF,1,100,124.2999
1760381657.456695,962342.000,26139,1,SF,1,100,127.0265
1760381657.722690,962608.000,26191,1,SF,1,100,127.6393
1760381658.055684,962941.000,26242,1,SF,1,100,128.2450
1760381658.455677,963341.000,26314,1,SF,1,100,128.8437
1760381658.722672,963608.000,26354,1,SF,1,100,129.4355
1760381659.122664,964008.000,26423,1,SF,1,100,130.0204
1760381659.389659,964275.000,26475,1,SF,1,100,130.5986
1760381659.722653,964608.000,26526,1,SF,1,100,131.1700
1760381660.122646,965008.000,26595,1,SF,1,100,131.7349
1760381660.389641,965275.000,26645,1,SF,1,100,132.2932
1760381660.722635,965608.000,26699,1,SF,1,100,134.9274
1760381661.122627,966008.000,26766,1,SF,1,100,135.4488
1760381661.455621,966341.000,26819,1,SF,1,100,135.9641
1760381661.722616,966608.000,26870,1,SF,1,100,136.4735
1760381662.055610,966941.000,26920,1,SF,1,100,136.9771
1760381662.455603,967341.000,26991,1,SF,1,100,137.4747
1760381662.722598,967608.000,27048,1,SF,1,100,140.0489
1760381663.055591,967941.000,27098,1,SF,1,100,138.4288
1760381663.388585,968274.000,27151,1,SF,1,100,140.9920
1760381663.788578,968674.000,27225,1,SF,1,100,141.4432
1760381664.055573,968941.000,27277,1,SF,1,100,141.8892
1760381664.388567,969274.000,27330,1,SF,1,100,142.3301
1760381664.788559,969674.000,27397,1,SF,1,100,142.7658
1760381665.055554,969941.000,27449,1,SF,1,100,143.1966
1760381665.388548,970274.000,27503,1,SF,1,100,143.6223
1760381665.788541,970674.000,27570,1,SF,1,100,144.0431
1760381666.121535,971007.000,27623,1,SF,1,100,144.4591
1760381666.388530,971274.000,27674,1,SF,1,100,144.8702
1760381666.721524,971607.000,27724,1,SF,1,100,145.2766
1760381667.121516,972007.000,27793,1,SF,1,100,145.6783
1760381667.388511,972274.000,27848,1,SF,1,100,146.0753
1760381667.721505,972607.000,27898,1,SF,1,100,146.4677
1760381668.054499,972940.000,27949,1,SF,1,100,146.8557
1760381668.454491,973340.000,28018,1,SF,1,100,147.2391
1760381668.721486,973607.000,28072,1,SF,1,100,149.7003
1760381669.054480,973940.000,28126,1,SF,1,100,147.9686
1760381669.454473,974340.000,28197,1,SF,1,100,150.4213
1760381669.721468,974607.000,28249,1,SF,1,100,150.7635
1760381670.054461,974940.000,28301,1,SF,1,100,151.1017
1760381670.388455,975274.000,28354,1,SF,1,100,151.4360
1760381670.788448,975674.000,28421,1,SF,1,100,151.7664
1760381671.054443,975940.000,28474,1,SF,1,100,152.0930
1760381671.387437,976273.000,28522,1,SF,1,100,150.3336
1760381671.787429,976673.000,28593,1,SF,1,100,152.7590
1760381672.054425,976940.000,28648,1,SF,1,100,153.0742
1760381672.387418,977273.000,28700,1,SF,1,100,153.3857
1760381672.721412,977607.000,28753,1,SF,1,100,153.6935
1760381673.121405,978007.000,28822,1,SF,1,100,153.9979
1760381673.387400,978273.000,28874,1,SF,1,100,152.2164
1760381673.721394,978607.000,28925,1,SF,1,100,152.5378
1760381674.121386,979007.000,28999,1,SF,1,100,152.8555
1760381674.387381,979273.000,29049,1,SF,1,100,153.1695
1760381674.720375,979606.000,29106,1,SF,1,100,155.5621
1760381675.054369,979940.000,29158,1,SF,1,100,155.8448
1760381675.454361,980340.000,29225,1,SF,1,100,156.1242
1760381675.720356,980606.000,29278,1,SF,1,100,156.4004
1760381676.054350,980940.000,29328,1,SF,1,100,156.6734
1760381676.454343,981340.000,29398,1,SF,1,100,156.9433
1760381676.787337,981673.000,29450,1,SF,1,100,157.2100
1760381677.054332,981940.000,29502,1,SF,1,100,157.4736
1760381677.387326,982273.000,29557,1,SF,1,100,157.7342
1760381677.787318,982673.000,29626,1,SF,1,100,160.0741
1760381678.053313,982939.000,29680,1,SF,1,100,160.3046
1760381678.387307,983273.000,29731,1,SF,1,100,160.5324
1760381678.787299,983673.000,29800,1,SF,1,100,160.7576
1760381679.120293,984006.000,29855,1,SF,1,100,160.9802
1760381679.387288,984273.000,29908,1,SF,1,100,159.1180
1760381679.720282,984606.000,29958,1,SF,1,100,159.3595
1760381680.120275,985006.000,30027,1,SF,1,100,159.5983
1760381680.387270,985273.000,30078,1,SF,1,100,159.8343
1760381680.720264,985606.000,30133,1,SF,1,100,162.1499
1760381681.053257,985939.000,30185,1,SF,1,100,162.3564
1760381681.453250,986339.000,30254,1,SF,1,100,162.5605
1760381681.720245,986606.000,30304,1,SF,1,100,160.6799
1760381682.053239,986939.000,30355,1,SF,1,100,160.9034
1760381682.453231,987339.000,30426,1,SF,1,100,161.1244
1760381682.720227,987606.000,30478,1,SF,1,100,161.3427
1760381683.053220,987939.000,30531,1,SF,1,100,161.5585
1760381683.386214,988272.000,30581,1,SF,1,100,161.7719
1760381683.786207,988672.000,30652,1,SF,1,100,164.0650
1760381684.053202,988939.000,30705,1,SF,1,100,162.1671
1760381684.386196,989272.000,30762,1,SF,1,100,164.4556
1760381684.786188,989672.000,30831,1,SF,1,100,164.6354
1760381685.053183,989939.000,30882,1,SF,1,100,164.8131
1760381685.386177,990272.000,30935,1,SF,1,100,164.9888
1760381685.786170,990672.000,31002,1,SF,1,100,165.1625
1760381686.119164,991005.000,31056,1,SF,1,100,165.3341
1760381686.386158,991272.000,31106,1,SF,1,100,165.5038
1760381686.719152,991605.000,31159,1,SF,1,100,165.6714
1760381687.119145,992005.000,31228,1,SF,1,100,165.8372
1760381687.386140,992272.000,31282,1,SF,1,100,168.0833
1760381687.719134,992605.000,31333,1,SF,1,100,166.1389
1760381688.119126,993005.000,31400,1,SF,1,100,166.2992
1760381688.452120,993338.000,31450,1,SF,1,100,166.4577
1760381688.719115,993605.000,31503,1,SF,1,100,166.6143
1760381689.052109,993938.000,31555,1,SF,1,100,166.7692
1760381689.452101,994338.000,31625,1,SF,1,100,164.8400
1760381689.719097,994605.000,31678,1,SF,1,100,165.0154
1760381690.052090,994938.000,31729,1,SF,1,100,165.1887
1760381690.452083,995338.000,31800,1,SF,1,100,167.4423
1760381690.786077,995672.000,31852,1,SF,1,100,165.5053
1760381691.052072,995938.000,31906,1,SF,1,100,167.7552
1760381691.385066,996271.000,31957,1,SF,1,100,165.8147
1760381691.785058,996671.000,32024,1,SF,1,100,165.9788
1760381692.052053,996938.000,32078,1,SF,1,100,166.1410
1760381692.385047,997271.000,32131,1,SF,1,100,166.3013
1760381692.785040,997671.000,32200,1,SF,1,100,166.4597
1760381693.119034,998005.000,32252,1,SF,1,100,166.6164
1760381693.385029,998271.000,32303,1,SF,1,100,164.6890
1760381693.719022,998605.000,32355,1,SF,1,100,164.8661
1760381694.119015,999005.000,32424,1,SF,1,100,167.1234
1760381694.385010,999271.000,32473,1,SF,1,100,165.1901
1760381694.718004,999604.000,32532,1,SF,1,100,165.3615
1760381695.051998,999938.000,32583,1,SF,1,100,165.5308
1760381695.451990,1000338.000,32652,1,SF,1,100,165.6982
1760381695.717985,1000604.000,32702,1,SF,1,100,165.8636
1760381696.051979,1000938.000,32753,1,SF,1,100,166.0272
1760381696.451972,1001338.000,32825,1,SF,1,100,168.2711
1760381696.784966,1001671.000,32874,1,SF,1,100,166.3245
1760381697.051960,1001938.000,32929,1,SF,1,100,168.5649
1760381697.384954,1002271.000,32983,1,SF,1,100,168.6972
1760381697.784947,1002671.000,33048,1,SF,1,100,166.7457
1760381698.051942,1002938.000,33103,1,SF,1,100,166.8990
1760381698.384936,1003271.000,33153,1,SF,1,100,167.0506
1760381698.784928,1003671.000,33222,1,SF,1,100,167.2004
1760381699.117922,1004004.000,33271,1,SF,1,100,165.2662
1760381699.384917,1004271.000,33327,1,SF,1,100,167.5189
1760381699.784910,1004671.000,33383,1,SF,1,100,165.5811
1760381700.050905,1004937.000,33436,1,SF,1,100,165.7479
1760381700.384899,1005271.000,33488,1,SF,1,100,165.9127
1760381700.717892,1005604.000,33539,1,SF,1,100,166.0757
1760381701.117885,1006004.000,33606,1,SF,1,100,164.1545
1760381701.383880,1006270.000,33658,1,SF,1,100,164.3378
1760381701.717874,1006604.000,33711,1,SF,1,100,164.5190
1760381702.117867,1007004.000,33780,1,SF,1,100,164.6981
1760381702.383862,1007270.000,33834,1,SF,1,100,166.9573
