LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1760381627.468252,932353.000,21036,1,TH,1,100,31.232
1760381627.601249,932486.000,21069,1,TH,1,100,31.271
1760381627.734247,932619.000,21087,1,TH,1,100,31.271
1760381627.868244,932753.000,21103,1,TH,1,100,31.215
1760381628.001242,932886.000,21140,1,TH,1,100,31.215
1760381628.134239,933019.000,21157,1,TH,1,100,31.191
1760381628.268237,933153.000,21175,1,TH,1,100,31.191
1760381628.401235,933286.000,21207,1,TH,1,100,31.240
1760381628.534232,933419.000,21224,1,TH,1,100,31.240
1760381628.667230,933552.000,21240,1,TH,1,100,31.269
1760381628.801227,933686.000,21260,1,TH,1,100,31.269
1760381628.934225,933819.000,21291,1,TH,1,100,31.159
1760381629.067222,933952.000,21308,1,TH,1,100,31.159
1760381629.201220,934086.000,21327,1,TH,1,100,31.225
1760381629.334217,934219.000,21361,1,TH,1,100,31.225
1760381629.467215,934352.000,21379,1,TH,1,100,31.201
1760381629.601212,934486.000,21396,1,TH,1,100,31.208
1760381629.734210,934619.000,21428,1,TH,1,100,31.137
1760381629.867207,934752.000,21446,1,TH,1,100,31.137
1760381630.001205,934886.000,21465,1,TH,1,100,31.183
1760381630.134202,935019.000,21499,1,TH,1,100,31.183
1760381630.267200,935152.000,21515,1,TH,1,100,31.227
1760381630.401197,935286.000,21535,1,TH,1,100,31.227
1760381630.534195,935419.000,21566,1,TH,1,100,31.249
1760381630.667192,935552.000,21586,1,TH,1,100,31.249
1760381630.801190,935686.000,21604,1,TH,1,100,31.264
1760381630.934188,935819.000,21620,1,TH,1,100,31.264
1760381631.067185,935952.000,21654,1,TH,1,100,31.227
1760381631.201183,936086.000,21671,1,TH,1,100,31.227
1760381631.334180,936219.000,21689,1,TH,1,100,31.225
1760381631.467178,936352.000,21721,1,TH,1,100,31.225
1760381631.600175,936485.000,21738,1,TH,1,100,31.225
1760381631.734173,936619.000,21757,1,TH,1,100,31.225
1760381631.867170,936752.000,21792,1,TH,1,100,31.283
1760381632.000168,936885.000,21809,1,TH,1,100,31.283
1760381632.134165,937019.000,21828,1,TH,1,100,31.239
1760381632.267163,937152.000,21861,1,TH,1,100,31.246
1760381632.400160,937285.000,21879,1,TH,1,100,31.237
1760381632.534158,937419.000,21899,1,TH,1,100,31.237
1760381632.667156,937552.000,21931,1,TH,1,100,31.239
1760381632.800153,937685.000,21950,1,TH,1,100,31.239
1760381632.934150,937819.000,21966,1,TH,1,100,31.193
1760381633.067148,937952.000,21989,1,TH,1,100,31.193
1760381633.200145,938085.000,22024,1,TH,1,100,31.234
1760381633.334143,938219.000,22040,1,TH,1,100,31.234
1760381633.467141,938352.000,22058,1,TH,1,100,31.278
1760381633.600138,938485.000,22091,1,TH,1,100,31.278
1760381633.734136,938619.000,22110,1,TH,1,100,31.222
1760381633.867133,938752.000,22127,1,TH,1,100,31.222
1760381634.000131,938885.000,22161,1,TH,1,100,31.234
1760381634.134128,939019.000,22177,1,TH,1,100,31.234
1760381634.267126,939152.000,22196,1,TH,1,100,31.327
1760381634.400123,939285.000,22215,1,TH,1,100,31.334
1760381634.534121,939419.000,22246,1,TH,1,100,31.300
1760381634.667118,939552.000,22263,1,TH,1,100,31.300
1760381634.800116,939685.000,22282,1,TH,1,100,31.273
1760381634.933113,939818.000,22315,1,TH,1,100,31.273
1760381635.067111,939952.000,22333,1,TH,1,100,31.253
1760381635.200109,940085.000,22351,1,TH,1,100,31.253
1760381635.334106,940219.000,22385,1,TH,1,100,31.207
1760381635.467103,940352.000,22402,1,TH,1,100,31.207
1760381635.600101,940485.000,22422,1,TH,1,100,31.283
1760381635.734098,940619.000,22454,1,TH,1,100,31.283
1760381635.867096,940752.000,22471,1,TH,1,100,31.265
1760381636.000093,940885.000,22487,1,TH,1,100,31.265
1760381636.133091,941018.000,22521,1,TH,1,100,31.241
1760381636.267089,941152.000,22538,1,TH,1,100,31.241
1760381636.400086,941285.000,22555,1,TH,1,100,31.180
1760381636.533084,941418.000,22588,1,TH,1,100,31.180
1760381636.667081,941552.000,22606,1,TH,1,100,31.295
1760381636.800079,941685.000,22624,1,TH,1,100,31.302
1760381636.933076,941818.000,22641,1,TH,1,100,31.282
1760381637.067074,941952.000,22675,1,TH,1,100,31.282
1760381637.200071,942085.000,22693,1,TH,1,100,31.331
1760381637.333069,942218.000,22710,1,TH,1,100,31.331
1760381637.467066,942352.000,22746,1,TH,1,100,31.297
1760381637.600064,942485.000,22762,1,TH,1,100,31.297
1760381637.733061,942618.000,22780,1,TH,1,100,31.331
1760381637.867059,942752.000,22813,1,TH,1,100,31.331
1760381638.000057,942885.000,22831,1,TH,1,100,31.326
1760381638.133054,943018.000,22854,1,TH,1,100,31.326
1760381638.266052,943151.000,22870,1,TH,1,100,31.338
1760381638.400049,943285.000,22906,1,TH,1,100,31.338
1760381638.533046,943418.000,22923,1,TH,1,100,31.185
1760381638.666044,943551.000,22939,1,TH,1,100,31.185
1760381638.800042,943685.000,22971,1,TH,1,100,31.241
1760381638.933039,943818.000,22988,1,TH,1,100,31.241
1760381639.066037,943951.000,23005,1,TH,1,100,31.314
1760381639.200034,944085.000,23038,1,TH,1,100,31.314
1760381639.333032,944218.000,23055,1,TH,1,100,31.319
1760381639.466029,944351.000,23072,1,TH,1,100,31.319
1760381639.600027,944485.000,23089,1,TH,1,100,31.285
1760381639.733024,944618.000,23123,1,TH,1,100,31.292
1760381639.866022,944751.000,23143,1,TH,1,100,31.287
1760381640.000019,944885.000,23160,1,TH,1,100,31.287
1760381640.133017,945018.000,23194,1,TH,1,100,31.265
1760381640.266014,945151.000,23210,1,TH,1,100,31.265
1760381640.400012,945285.000,23228,1,TH,1,100,31.333
1760381640.533010,945418.000,23263,1,TH,1,100,31.333
1760381640.666007,945551.000,23279,1,TH,1,100,31.284
1760381640.800004,945685.000,23299,1,TH,1,100,31.284
1760381640.933002,945818.000,23332,1,TH,1,100,31.309
1760381641.066000,945951.000,23351,1,TH,1,100,31.309
1760381641.199997,946085.000,23368,1,TH,1,100,31.323
1760381641.332995,946218.000,23400,1,TH,1,100,31.323
1760381641.465992,946351.000,23416,1,TH,1,100,31.331
1760381641.598990,946484.000,23435,1,TH,1,100,31.331
1760381641.732987,946618.000,23469,1,TH,1,100,31.260
1760381641.865985,946751.000,23487,1,TH,1,100,31.260
1760381641.998982,946884.000,23504,1,TH,1,100,31.272
1760381642.132980,947018.000,23523,1,TH,1,100,31.272
1760381642.265977,947151.000,23558,1,TH,1,100,31.340
1760381642.398975,947284.000,23576,1,TH,1,100,31.347
1760381642.532972,947418.000,23594,1,TH,1,100,31.313
1760381642.665970,947551.000,23626,1,TH,1,100,31.313
1760381642.798967,947684.000,23643,1,TH,1,100,31.326
1760381642.932965,947818.000,23663,1,TH,1,100,31.326
1760381643.065963,947951.000,23695,1,TH,1,100,31.269
1760381643.198960,948084.000,23719,1,TH,1,100,31.269
1760381643.332958,948218.000,23735,1,TH,1,100,31.289
1760381643.465955,948351.000,23757,1,TH,1,100,31.289
1760381643.598953,948484.000,23788,1,TH,1,100,31.364
1760381643.732950,948618.000,23805,1,TH,1,100,31.364
1760381643.865947,948751.000,23824,1,TH,1,100,31.328
1760381643.998945,948884.000,23860,1,TH,1,100,31.328
1760381644.132943,949018.000,23876,1,TH,1,100,31.330
1760381644.265940,949151.000,23893,1,TH,1,100,31.330
1760381644.398938,949284.000,23927,1,TH,1,100,31.333
1760381644.532935,949418.000,23943,1,TH,1,100,31.333
1760381644.665933,949551.000,23964,1,TH,1,100,31.296
1760381644.798930,949684.000,23998,1,TH,1,100,31.303
1760381644.931928,949817.000,24014,1,TH,1,100,31.274
1760381645.065925,949951.000,24034,1,TH,1,100,31.274
1760381645.198923,950084.000,24069,1,TH,1,100,31.230
1760381645.331920,950217.000,24086,1,TH,1,100,31.230
1760381645.465918,950351.000,24103,1,TH,1,100,31.281
1760381645.598915,950484.000,24121,1,TH,1,100,31.281
1760381645.731913,950617.000,24153,1,TH,1,100,31.310
1760381645.865911,950751.000,24172,1,TH,1,100,31.310
1760381645.998908,950884.000,24188,1,TH,1,100,31.335
1760381646.131906,951017.000,24222,1,TH,1,100,31.335
1760381646.265903,951151.000,24239,1,TH,1,100,31.315
1760381646.398901,951284.000,24256,1,TH,1,100,31.315
1760381646.531898,951417.000,24289,1,TH,1,100,31.328
1760381646.665896,951551.000,24306,1,TH,1,100,31.328
1760381646.798893,951684.000,24325,1,TH,1,100,31.237
1760381646.931891,951817.000,24358,1,TH,1,100,31.237
1760381647.065888,951951.000,24376,1,TH,1,100,31.403
1760381647.198886,952084.000,24394,1,TH,1,100,31.410
1760381647.331883,952217.000,24428,1,TH,1,100,31.266
1760381647.465881,952351.000,24445,1,TH,1,100,31.266
1760381647.598878,952484.000,24461,1,TH,1,100,31.293
1760381647.731876,952617.000,24481,1,TH,1,100,31.293
1760381647.865873,952751.000,24514,1,TH,1,100,31.310
1760381647.998871,952884.000,24530,1,TH,1,100,31.310
1760381648.131868,953017.000,24548,1,TH,1,100,31.320
1760381648.264866,953150.000,24581,1,TH,1,100,31.320
1760381648.398864,953284.000,24603,1,TH,1,100,31.323
1760381648.531861,953417.000,24622,1,TH,1,100,31.323
1760381648.664859,953550.000,24656,1,TH,1,100,31.357
1760381648.798856,953684.000,24674,1,TH,1,100,31.357
1760381648.931854,953817.000,24691,1,TH,1,100,31.349
1760381649.065851,953951.000,24723,1,TH,1,100,31.349
1760381649.198849,954084.000,24739,1,TH,1,100,31.305
1760381649.331846,954217.000,24758,1,TH,1,100,31.305
1760381649.464844,954350.000,24790,1,TH,1,100,31.310
1760381649.598841,954484.000,24806,1,TH,1,100,31.310
1760381649.731839,954617.000,24826,1,TH,1,100,31.284
