LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1760381627.918244,932803,21113,1,TL,1,100,2025-10-13_14-53-42-862863
1760381627.971243,932856,21116,1,TL,1,100,2025-10-13_14-53-47-958177
1760381633.026149,937911,21977,1,TL,1,100,2025-10-13_14-53-48-006359
1760381633.070148,937955,21980,1,TL,1,100,2025-10-13_14-53-53-058254
1760381638.136054,943021,22842,1,TL,1,100,2025-10-13_14-53-53-103356
1760381638.172053,943057,22845,1,TL,1,100,2025-10-13_14-53-58-164078
1760381643.246959,948132,23706,1,TL,1,100,2025-10-13_14-53-58-210205
1760381643.261959,948147,23709,1,TL,1,100,2025-10-13_14-54-03-253403
1760381648.371864,953257,24591,1,TL,1,100,2025-10-13_14-54-03-286516
1760381648.384864,953270,24594,1,TL,1,100,2025-10-13_14-54-08-377834
1760381653.479769,958365,25455,1,TL,1,100,2025-10-13_14-54-08-457923
1760381653.489769,958375,25458,1,TL,1,100,2025-10-13_14-54-13-485269
1760381658.587674,963473,26330,1,TL,1,100,2025-10-13_14-54-13-539101
1760381658.618674,963504,26333,1,TL,1,100,2025-10-13_14-54-18-603470
1760381663.738579,968624,27217,1,TL,1,100,2025-10-13_14-54-18-669610
1760381663.755579,968641,27220,1,TL,1,100,2025-10-13_14-54-23-751249
1760381668.845484,973731,28088,1,TL,1,100,2025-10-13_14-54-23-818437
1760381668.858484,973744,28091,1,TL,1,100,2025-10-13_14-54-28-851514
1760381673.985389,978871,28977,1,TL,1,100,2025-10-13_14-54-28-891452
1760381674.004388,978890,28980,1,TL,1,100,2025-10-13_14-54-33-994403
1760381679.095294,983981,29850,1,TL,1,100,2025-10-13_14-54-34-068268
1760381679.110293,983996,29853,1,TL,1,100,2025-10-13_14-54-39-102638
1760381684.234198,989120,30738,1,TL,1,100,2025-10-13_14-54-39-144246
1760381684.270198,989156,30741,1,TL,1,100,2025-10-13_14-54-44-259813
1760381689.342104,994228,31604,1,TL,1,100,2025-10-13_14-54-44-322031
1760381689.355103,994241,31607,1,TL,1,100,2025-10-13_14-54-49-348308
1760381694.483008,999369,32490,1,TL,1,100,2025-10-13_14-54-49-395375
1760381694.497008,999383,32493,1,TL,1,100,2025-10-13_14-54-54-490188
1760381699.594913,1004481,33359,1,TL,1,100,2025-10-13_14-54-54-572563
1760381699.613913,1004500,33362,1,TL,1,100,2025-10-13_14-54-59-606328
1760381704.713818,1009600,34232,1,TL,1,100,2025-10-13_14-54-59-741125
1760381704.728818,1009615,34235,1,TL,1,100,2025-10-13_14-55-04-723526
1760381709.833723,1014720,35094,1,TL,1,100,2025-10-13_14-55-04-850604
1760381709.847723,1014734,35097,1,TL,1,100,2025-10-13_14-55-09-843564
1760381714.963628,1019850,35959,1,TL,1,100,2025-10-13_14-55-09-969748
1760381715.051626,1019938,35962,1,TL,1,100,2025-10-13_14-55-15-003683
1760381720.072533,1024959,36818,1,TL,1,100,2025-10-13_14-55-15-111678
1760381720.095533,1024982,36821,1,TL,1,100,2025-10-13_14-55-20-084320
1760381725.204438,1030091,37678,1,TL,1,100,2025-10-13_14-55-20-212954
1760381725.251437,1030138,37681,1,TL,1,100,2025-10-13_14-55-25-238880
1760381730.321343,1035208,38547,1,TL,1,100,2025-10-13_14-55-25-354432
1760381730.345343,1035232,38550,1,TL,1,100,2025-10-13_14-55-30-338015
1760381735.431248,1040318,39417,1,TL,1,100,2025-10-13_14-55-30-456050
1760381735.450248,1040337,39420,1,TL,1,100,2025-10-13_14-55-35-443181
1760381740.557153,1045444,40278,1,TL,1,100,2025-10-13_14-55-35-571895
1760381740.568153,1045455,40281,1,TL,1,100,2025-10-13_14-55-40-564153
1760381745.669058,1050556,41145,1,TL,1,100,2025-10-13_14-55-40-694774
1760381745.689058,1050576,41148,1,TL,1,100,2025-10-13_14-55-45-684315
1760381750.793963,1055681,42001,1,TL,1,100,2025-10-13_14-55-45-810435
1760381750.808963,1055696,42004,1,TL,1,100,2025-10-13_14-55-50-804495
