LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1760385418.437652,1284252.000,13874,1,BI,1,100,600
1760385419.157650,1284972.000,13991,1,BI,1,100,720
1760385420.117647,1285932.000,14159,1,BI,1,100,960
1760385420.757645,1286572.000,14267,1,BI,1,100,640
1760385421.930641,1287745.000,14456,1,BI,1,100,1160
1760385422.610639,1288425.000,14578,1,BI,1,100,680
1760385423.090637,1288905.000,14664,1,BI,1,100,480
1760385423.730635,1289545.000,14768,1,BI,1,100,640
1760385424.330633,1290145.000,14868,1,BI,1,100,600
1760385424.770632,1290585.000,14937,1,BI,1,100,440
1760385425.410630,1291225.000,15056,1,BI,1,100,640
1760385426.130628,1291945.000,15181,1,BI,1,100,720
1760385426.650626,1292465.000,15271,1,BI,1,100,520
1760385427.330624,1293145.000,15389,1,BI,1,100,680
1760385428.009622,1293824.000,15491,1,BI,1,100,680
1760385428.529620,1294344.000,15577,1,BI,1,100,520
1760385429.089618,1294904.000,15680,1,BI,1,100,560
1760385429.769616,1295584.000,15796,1,BI,1,100,680
1760385430.489614,1296304.000,15912,1,BI,1,100,720
1760385431.129612,1296944.000,16017,1,BI,1,100,640
1760385432.182609,1297997.000,16189,1,BI,1,100,1040
1760385433.022606,1298837.000,16326,1,BI,1,100,840
1760385433.702604,1299517.000,16446,1,BI,1,100,680
1760385434.262602,1300077.000,16533,1,BI,1,100,560
1760385434.782600,1300597.000,16638,1,BI,1,100,520
1760385436.062596,1301877.000,16843,1,BI,1,100,1280
1760385436.542595,1302357.000,16929,1,BI,1,100,480
1760385437.102593,1302917.000,17015,1,BI,1,100,560
1760385437.822591,1303637.000,17133,1,BI,1,100,720
1760385438.582588,1304397.000,17268,1,BI,1,100,760
1760385439.062587,1304877.000,17351,1,BI,1,100,480
1760385439.742584,1305557.000,17452,1,BI,1,100,680
1760385440.342583,1306157.000,17555,1,BI,1,100,600
1760385440.902581,1306717.000,17658,1,BI,1,100,560
1760385441.475579,1307290.000,17747,1,BI,1,100,560
1760385442.035577,1307850.000,17850,1,BI,1,100,560
1760385442.715575,1308530.000,17969,1,BI,1,100,680
1760385443.195574,1309010.000,18038,1,BI,1,100,480
1760385443.715572,1309530.000,18125,1,BI,1,100,520
1760385444.314570,1310129.000,18228,1,BI,1,100,600
1760385444.835568,1310650.000,18314,1,BI,1,100,520
1760385445.475566,1311290.000,18433,1,BI,1,100,640
1760385446.274564,1312089.000,18577,1,BI,1,100,800
1760385446.754562,1312569.000,18644,1,BI,1,100,480
1760385447.354560,1313169.000,18747,1,BI,1,100,600
1760385448.034558,1313849.000,18862,1,BI,1,100,680
1760385448.794556,1314609.000,18980,1,BI,1,100,760
1760385449.274554,1315089.000,19065,1,BI,1,100,480
1760385449.874552,1315689.000,19172,1,BI,1,100,600
