LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1760385418.437652,1284252.000,13875,1,HR,1,100,80.97
1760385419.157650,1284972.000,13992,1,HR,1,100,81.50
1760385420.117647,1285932.000,14160,1,HR,1,100,77.28
1760385420.757645,1286572.000,14268,1,HR,1,100,80.94
1760385421.930641,1287745.000,14457,1,HR,1,100,74.45
1760385422.610639,1288425.000,14579,1,HR,1,100,77.51
1760385423.090637,1288905.000,14665,1,HR,1,100,88.06
1760385423.730635,1289545.000,14769,1,HR,1,100,89.33
1760385424.330633,1290145.000,14869,1,HR,1,100,91.70
1760385424.770632,1290585.000,14938,1,HR,1,100,101.63
1760385425.410630,1291225.000,15057,1,HR,1,100,99.87
1760385426.130628,1291945.000,15182,1,HR,1,100,96.20
1760385426.650626,1292465.000,15272,1,HR,1,100,100.46
1760385427.330624,1293145.000,15390,1,HR,1,100,97.75
1760385428.009622,1293824.000,15492,1,HR,1,100,95.63
1760385428.529620,1294344.000,15578,1,HR,1,100,100.02
1760385429.089618,1294904.000,15681,1,HR,1,100,101.60
1760385429.769616,1295584.000,15797,1,HR,1,100,98.63
1760385430.489614,1296304.000,15913,1,HR,1,100,95.23
1760385431.129612,1296944.000,16018,1,HR,1,100,94.90
1760385432.182609,1297997.000,16190,1,HR,1,100,86.63
1760385433.022606,1298837.000,16327,1,HR,1,100,83.25
1760385433.702604,1299517.000,16447,1,HR,1,100,84.36
1760385434.262602,1300077.000,16534,1,HR,1,100,89.42
1760385434.782600,1300597.000,16639,1,HR,1,100,95.19
1760385436.062596,1301877.000,16844,1,HR,1,100,84.46
1760385436.542595,1302357.000,16930,1,HR,1,100,93.47
1760385437.102593,1302917.000,17016,1,HR,1,100,96.51
1760385437.822591,1303637.000,17134,1,HR,1,100,93.58
1760385438.582588,1304397.000,17269,1,HR,1,100,90.33
1760385439.062587,1304877.000,17352,1,HR,1,100,98.03
1760385439.742584,1305557.000,17453,1,HR,1,100,95.86
1760385440.342583,1306157.000,17556,1,HR,1,100,96.78
