LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1760385216.197218,1082010.000,45419,1,B%,1,100,38
1760385221.197046,1087010.000,46268,1,B%,1,100,38
1760385226.195873,1092009.000,47132,1,B%,1,100,39
1760385231.195701,1097009.000,47956,1,B%,1,100,38
1760385236.194528,1102008.000,48801,1,B%,1,100,38
1760385241.194356,1107008.000,49648,1,B%,1,100,38
1760385246.193183,1112007.000,50490,1,B%,1,100,38
1760385251.193011,1117007.000,51336,1,B%,1,100,38
1760385256.191839,1122006.000,52166,1,B%,1,100,37
1760385261.191666,1127006.000,53014,1,B%,1,100,38
1760385266.190493,1132005.000,53864,1,B%,1,100,37
1760385271.190321,1137005.000,54707,1,B%,1,100,38
1760385276.189148,1142004.000,55554,1,B%,1,100,38
1760385281.188976,1147004.000,56400,1,B%,1,100,37
1760385286.187803,1152003.000,57244,1,B%,1,100,37
1760385291.187631,1157003.000,58075,1,B%,1,100,38
1760385296.186458,1162002.000,58922,1,B%,1,100,38
1760385301.186286,1167002.000,59767,1,B%,1,100,37
1760385306.185113,1172001.000,60596,1,B%,1,100,38
1760385311.184941,1177001.000,61446,1,B%,1,100,38
1760385316.183768,1182000.000,62297,1,B%,1,100,37
1760385321.183596,1187000.000,63150,1,B%,1,100,37
1760385326.183423,1192000.000,64001,1,B%,1,100,37
1760385331.182251,1196999.000,64851,1,B%,1,100,37
1760385336.181078,1201998.000,146,1,B%,1,100,37
