LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1760385212.860334,1078673.000,44861,1,GX,1,100,60.883
1760385212.900332,1078713.000,44880,2,GX,1,100,68.268
1760385212.940331,1078753.000,44880,2,GX,1,100,84.076
1760385212.980330,1078793.000,44897,3,GX,1,100,70.709
1760385213.020328,1078833.000,44897,3,GX,1,100,35.370
1760385213.060327,1078873.000,44897,3,GX,1,100,-10.498
1760385213.100325,1078913.000,44913,2,GX,1,100,-10.803
1760385213.140324,1078953.000,44913,2,GX,1,100,-18.127
1760385213.180323,1078993.000,44929,3,GX,1,100,-36.591
1760385213.220321,1079033.000,44929,3,GX,1,100,-52.490
1760385213.260320,1079073.000,44929,3,GX,1,100,-50.659
1760385213.300318,1079113.000,44945,3,GX,1,100,-90.515
1760385213.340317,1079153.000,44945,3,GX,1,100,-55.359
1760385213.380316,1079193.000,44945,3,GX,1,100,-38.391
1760385213.420314,1079233.000,44962,2,GX,1,100,-42.999
1760385213.460313,1079273.000,44962,2,GX,1,100,-31.799
1760385213.499978,1079312.667,44981,3,GX,1,100,-36.102
1760385213.539644,1079352.333,44981,3,GX,1,100,-30.304
1760385213.579309,1079392.000,44981,3,GX,1,100,-6.287
1760385213.619308,1079432.000,44996,2,GX,1,100,5.524
1760385213.659306,1079472.000,44996,2,GX,1,100,32.867
1760385213.699305,1079512.000,45014,3,GX,1,100,74.829
1760385213.739303,1079552.000,45014,3,GX,1,100,69.977
1760385213.779302,1079592.000,45014,3,GX,1,100,63.385
1760385213.819300,1079632.000,45031,2,GX,1,100,35.858
1760385213.859299,1079672.000,45031,2,GX,1,100,-9.949
1760385213.899298,1079712.000,45048,3,GX,1,100,-29.297
1760385213.939296,1079752.000,45048,3,GX,1,100,-24.445
1760385213.979295,1079792.000,45048,3,GX,1,100,-45.013
1760385214.019294,1079832.000,45063,2,GX,1,100,-54.565
1760385214.059292,1079872.000,45063,2,GX,1,100,-40.497
1760385214.099291,1079912.000,45081,3,GX,1,100,-75.867
1760385214.139289,1079952.000,45081,3,GX,1,100,-42.847
1760385214.179288,1079992.000,45081,3,GX,1,100,-33.905
1760385214.214953,1080027.667,45099,3,GX,1,100,-28.961
1760385214.250619,1080063.333,45099,3,GX,1,100,-22.522
1760385214.286284,1080099.000,45099,3,GX,1,100,-24.841
1760385214.326283,1080139.000,45117,2,GX,1,100,-13.672
1760385214.366282,1080179.000,45117,2,GX,1,100,3.662
1760385214.406280,1080219.000,45135,3,GX,1,100,11.292
1760385214.446279,1080259.000,45135,3,GX,1,100,31.982
1760385214.486278,1080299.000,45135,3,GX,1,100,76.416
1760385214.526276,1080339.000,45151,2,GX,1,100,70.587
1760385214.566275,1080379.000,45151,2,GX,1,100,63.324
1760385214.606273,1080419.000,45168,3,GX,1,100,19.470
1760385214.646272,1080459.000,45168,3,GX,1,100,-21.454
1760385214.686271,1080499.000,45168,3,GX,1,100,-33.325
1760385214.726269,1080539.000,45184,2,GX,1,100,-12.695
1760385214.766268,1080579.000,45184,2,GX,1,100,-21.057
1760385214.806267,1080619.000,45204,3,GX,1,100,-21.881
1760385214.846265,1080659.000,45204,3,GX,1,100,-32.959
1760385214.886264,1080699.000,45204,3,GX,1,100,-53.833
1760385214.926262,1080739.000,45218,2,GX,1,100,-61.127
1760385214.966261,1080779.000,45218,2,GX,1,100,-28.717
1760385215.006259,1080819.000,45235,3,GX,1,100,-34.607
1760385215.046258,1080859.000,45235,3,GX,1,100,-24.780
1760385215.086257,1080899.000,45235,3,GX,1,100,-38.696
1760385215.126256,1080939.000,45253,3,GX,1,100,-61.279
1760385215.166254,1080979.000,45253,3,GX,1,100,-38.696
1760385215.206253,1081019.000,45253,3,GX,1,100,-10.712
1760385215.245751,1081058.500,45273,2,GX,1,100,0.641
1760385215.285250,1081098.000,45273,2,GX,1,100,44.250
1760385215.325248,1081138.000,45287,3,GX,1,100,62.286
1760385215.365247,1081178.000,45287,3,GX,1,100,62.256
1760385215.405246,1081218.000,45287,3,GX,1,100,41.229
1760385215.445244,1081258.000,45304,2,GX,1,100,16.296
1760385215.485243,1081298.000,45304,2,GX,1,100,-21.820
1760385215.525242,1081338.000,45321,3,GX,1,100,-10.620
