LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1760385212.860334,1078673.000,44863,1,GZ,1,100,-167.023
1760385212.900332,1078713.000,44882,2,GZ,1,100,-190.063
1760385212.940331,1078753.000,44882,2,GZ,1,100,-190.430
1760385212.980330,1078793.000,44899,3,GZ,1,100,-160.187
1760385213.020328,1078833.000,44899,3,GZ,1,100,-106.262
1760385213.060327,1078873.000,44899,3,GZ,1,100,-65.460
1760385213.100325,1078913.000,44915,2,GZ,1,100,-18.158
1760385213.140324,1078953.000,44915,2,GZ,1,100,26.978
1760385213.180323,1078993.000,44931,3,GZ,1,100,87.341
1760385213.220321,1079033.000,44931,3,GZ,1,100,134.308
1760385213.260320,1079073.000,44931,3,GZ,1,100,129.608
1760385213.300318,1079113.000,44947,3,GZ,1,100,200.684
1760385213.340317,1079153.000,44947,3,GZ,1,100,169.281
1760385213.380316,1079193.000,44947,3,GZ,1,100,116.089
1760385213.420314,1079233.000,44964,2,GZ,1,100,105.896
1760385213.460313,1079273.000,44964,2,GZ,1,100,86.273
1760385213.499978,1079312.667,44983,3,GZ,1,100,43.030
1760385213.539644,1079352.333,44983,3,GZ,1,100,-1.831
1760385213.579309,1079392.000,44983,3,GZ,1,100,-51.514
1760385213.619308,1079432.000,44998,2,GZ,1,100,-101.044
1760385213.659306,1079472.000,44998,2,GZ,1,100,-151.825
1760385213.699305,1079512.000,45016,3,GZ,1,100,-182.678
1760385213.739303,1079552.000,45016,3,GZ,1,100,-193.115
1760385213.779302,1079592.000,45016,3,GZ,1,100,-169.922
1760385213.819300,1079632.000,45033,2,GZ,1,100,-102.570
1760385213.859299,1079672.000,45033,2,GZ,1,100,-58.990
1760385213.899298,1079712.000,45050,3,GZ,1,100,3.723
1760385213.939296,1079752.000,45050,3,GZ,1,100,52.765
1760385213.979295,1079792.000,45050,3,GZ,1,100,92.651
1760385214.019294,1079832.000,45065,2,GZ,1,100,116.333
1760385214.059292,1079872.000,45065,2,GZ,1,100,127.594
1760385214.099291,1079912.000,45083,3,GZ,1,100,196.991
1760385214.139289,1079952.000,45083,3,GZ,1,100,142.456
1760385214.179288,1079992.000,45083,3,GZ,1,100,84.564
1760385214.214953,1080027.667,45101,3,GZ,1,100,71.350
1760385214.250619,1080063.333,45101,3,GZ,1,100,46.539
1760385214.286284,1080099.000,45101,3,GZ,1,100,8.606
1760385214.326283,1080139.000,45119,2,GZ,1,100,-20.874
1760385214.366282,1080179.000,45119,2,GZ,1,100,-64.331
1760385214.406280,1080219.000,45137,3,GZ,1,100,-110.077
1760385214.446279,1080259.000,45137,3,GZ,1,100,-151.093
1760385214.486278,1080299.000,45137,3,GZ,1,100,-165.070
1760385214.526276,1080339.000,45153,2,GZ,1,100,-171.295
1760385214.566275,1080379.000,45153,2,GZ,1,100,-142.487
1760385214.606273,1080419.000,45170,3,GZ,1,100,-78.613
1760385214.646272,1080459.000,45170,3,GZ,1,100,-47.852
1760385214.686271,1080499.000,45170,3,GZ,1,100,3.113
1760385214.726269,1080539.000,45186,2,GZ,1,100,37.842
1760385214.766268,1080579.000,45186,2,GZ,1,100,56.976
1760385214.806267,1080619.000,45206,3,GZ,1,100,85.205
1760385214.846265,1080659.000,45206,3,GZ,1,100,70.374
1760385214.886264,1080699.000,45206,3,GZ,1,100,158.813
1760385214.926262,1080739.000,45220,2,GZ,1,100,158.905
1760385214.966261,1080779.000,45220,2,GZ,1,100,47.699
1760385215.006259,1080819.000,45237,3,GZ,1,100,50.507
1760385215.046258,1080859.000,45237,3,GZ,1,100,42.664
1760385215.086257,1080899.000,45237,3,GZ,1,100,21.393
1760385215.126256,1080939.000,45255,3,GZ,1,100,-9.979
1760385215.166254,1080979.000,45255,3,GZ,1,100,-40.039
1760385215.206253,1081019.000,45255,3,GZ,1,100,-48.676
1760385215.245751,1081058.500,45275,2,GZ,1,100,-91.888
1760385215.285250,1081098.000,45275,2,GZ,1,100,-106.171
1760385215.325248,1081138.000,45289,3,GZ,1,100,-112.152
1760385215.365247,1081178.000,45289,3,GZ,1,100,-124.390
1760385215.405246,1081218.000,45289,3,GZ,1,100,-80.048
1760385215.445244,1081258.000,45306,2,GZ,1,100,-53.070
1760385215.485243,1081298.000,45306,2,GZ,1,100,-21.545
1760385215.525242,1081338.000,45323,3,GZ,1,100,19.196
1760385215.565240,1081378.000,45323,3,GZ,1,100,40.558
1760385215.605239,1081418.000,45323,3,GZ,1,100,61.584
1760385215.645237,1081458.000,45342,2,GZ,1,100,49.225
1760385215.685236,1081498.000,45342,2,GZ,1,100,129.852
1760385215.725235,1081538.000,45356,3,GZ,1,100,163.849
1760385215.765233,1081578.000,45356,3,GZ,1,100,95.123
1760385215.805232,1081618.000,45356,3,GZ,1,100,86.884
1760385215.845731,1081658.500,45376,2,GZ,1,100,97.076
1760385215.886229,1081699.000,45376,2,GZ,1,100,82.001
1760385215.926028,1081738.800,45400,5,GZ,1,100,33.630
1760385215.965827,1081778.600,45400,5,GZ,1,100,-14.435
1760385216.005625,1081818.400,45400,5,GZ,1,100,-52.216
1760385216.045424,1081858.200,45400,5,GZ,1,100,-100.769
1760385216.085222,1081898.000,45400,5,GZ,1,100,-139.771
1760385216.125721,1081938.500,45414,2,GZ,1,100,-139.832
1760385216.166219,1081979.000,45414,2,GZ,1,100,-145.721
1760385216.205885,1082018.667,45434,3,GZ,1,100,-120.087
1760385216.245550,1082058.333,45434,3,GZ,1,100,-97.565
1760385216.285215,1082098.000,45434,3,GZ,1,100,-70.343
1760385216.325214,1082138.000,45450,3,GZ,1,100,-12.970
1760385216.365213,1082178.000,45450,3,GZ,1,100,17.029
1760385216.405211,1082218.000,45450,3,GZ,1,100,52.490
1760385216.445210,1082258.000,45469,2,GZ,1,100,85.541
1760385216.485209,1082298.000,45469,2,GZ,1,100,103.516
1760385216.525207,1082338.000,45484,3,GZ,1,100,187.073
1760385216.565206,1082378.000,45484,3,GZ,1,100,119.873
1760385216.605204,1082418.000,45484,3,GZ,1,100,88.531
1760385216.645203,1082458.000,45501,2,GZ,1,100,93.048
1760385216.685202,1082498.000,45501,2,GZ,1,100,83.496
1760385216.725200,1082538.000,45519,3,GZ,1,100,56.244
1760385216.765199,1082578.000,45519,3,GZ,1,100,0.641
1760385216.805197,1082618.000,45519,3,GZ,1,100,-64.209
1760385216.845196,1082658.000,45539,2,GZ,1,100,-92.896
1760385216.885195,1082698.000,45539,2,GZ,1,100,-134.918
1760385216.925193,1082738.000,45553,3,GZ,1,100,-171.234
1760385216.965192,1082778.000,45553,3,GZ,1,100,-192.657
1760385217.005191,1082818.000,45553,3,GZ,1,100,-166.626
1760385217.045189,1082858.000,45570,2,GZ,1,100,-99.365
1760385217.085188,1082898.000,45570,2,GZ,1,100,-54.382
1760385217.125186,1082938.000,45588,3,GZ,1,100,0.427
1760385217.165185,1082978.000,45588,3,GZ,1,100,50.171
1760385217.205184,1083018.000,45588,3,GZ,1,100,82.550
1760385217.245182,1083058.000,45608,2,GZ,1,100,120.544
1760385217.285181,1083098.000,45608,2,GZ,1,100,97.778
1760385217.325180,1083138.000,45622,3,GZ,1,100,160.431
1760385217.365178,1083178.000,45622,3,GZ,1,100,162.201
1760385217.405177,1083218.000,45622,3,GZ,1,100,81.451
1760385217.441175,1083254.000,45641,3,GZ,1,100,77.118
1760385217.477174,1083290.000,45641,3,GZ,1,100,76.233
1760385217.513173,1083326.000,45641,3,GZ,1,100,49.744
1760385217.553172,1083366.000,45658,2,GZ,1,100,26.031
1760385217.593170,1083406.000,45658,2,GZ,1,100,-11.688
1760385217.633169,1083446.000,45677,3,GZ,1,100,-60.699
1760385217.673167,1083486.000,45677,3,GZ,1,100,-119.080
1760385217.713166,1083526.000,45677,3,GZ,1,100,-156.433
1760385217.753165,1083566.000,45691,2,GZ,1,100,-160.553
1760385217.793163,1083606.000,45691,2,GZ,1,100,-156.799
1760385217.833162,1083646.000,45709,3,GZ,1,100,-137.238
1760385217.873161,1083686.000,45709,3,GZ,1,100,-104.523
1760385217.913159,1083726.000,45709,3,GZ,1,100,-75.897
1760385217.952658,1083765.500,45725,2,GZ,1,100,-13.306
1760385217.992157,1083805.000,45725,2,GZ,1,100,29.999
1760385218.032488,1083845.333,45744,3,GZ,1,100,68.695
1760385218.072820,1083885.667,45744,3,GZ,1,100,98.419
1760385218.113152,1083926.000,45744,3,GZ,1,100,164.856
1760385218.152651,1083965.500,45759,2,GZ,1,100,215.759
1760385218.192150,1084005.000,45759,2,GZ,1,100,144.806
1760385218.232481,1084045.333,45776,3,GZ,1,100,111.542
1760385218.272814,1084085.667,45776,3,GZ,1,100,99.365
1760385218.313145,1084126.000,45776,3,GZ,1,100,81.665
1760385218.352811,1084165.667,45794,3,GZ,1,100,50.690
1760385218.392476,1084205.333,45794,3,GZ,1,100,-7.996
1760385218.432141,1084245.000,45794,3,GZ,1,100,-76.508
1760385218.472140,1084285.000,45813,2,GZ,1,100,-148.407
1760385218.512139,1084325.000,45813,2,GZ,1,100,-211.731
1760385218.552137,1084365.000,45830,3,GZ,1,100,-230.835
1760385218.592136,1084405.000,45830,3,GZ,1,100,-221.497
1760385218.632134,1084445.000,45830,3,GZ,1,100,-161.438
1760385218.672133,1084485.000,45845,2,GZ,1,100,-97.198
1760385218.712132,1084525.000,45845,2,GZ,1,100,-38.696
1760385218.752130,1084565.000,45861,3,GZ,1,100,40.009
1760385218.792129,1084605.000,45861,3,GZ,1,100,74.768
1760385218.832128,1084645.000,45861,3,GZ,1,100,84.442
1760385218.872126,1084685.000,45879,2,GZ,1,100,103.119
1760385218.912125,1084725.000,45879,2,GZ,1,100,116.547
1760385218.952123,1084765.000,45897,3,GZ,1,100,196.716
1760385218.992122,1084805.000,45897,3,GZ,1,100,155.396
1760385219.032121,1084845.000,45897,3,GZ,1,100,94.177
1760385219.072119,1084885.000,45914,2,GZ,1,100,87.646
1760385219.112118,1084925.000,45914,2,GZ,1,100,64.514
1760385219.152117,1084965.000,45931,3,GZ,1,100,30.457
1760385219.192115,1085005.000,45931,3,GZ,1,100,-6.775
1760385219.232114,1085045.000,45931,3,GZ,1,100,-47.760
1760385219.272112,1085085.000,45950,3,GZ,1,100,-93.994
1760385219.312111,1085125.000,45950,3,GZ,1,100,-137.482
1760385219.352110,1085165.000,45950,3,GZ,1,100,-157.806
1760385219.392108,1085205.000,45966,2,GZ,1,100,-167.847
1760385219.432107,1085245.000,45966,2,GZ,1,100,-146.606
1760385219.472106,1085285.000,45981,2,GZ,1,100,-98.938
1760385219.512104,1085325.000,45981,2,GZ,1,100,-59.998
1760385219.552103,1085365.000,45998,3,GZ,1,100,-12.726
1760385219.592101,1085405.000,45998,3,GZ,1,100,34.668
1760385219.632100,1085445.000,45998,3,GZ,1,100,78.613
1760385219.672099,1085485.000,46017,3,GZ,1,100,111.511
1760385219.712097,1085525.000,46017,3,GZ,1,100,105.438
1760385219.752096,1085565.000,46017,3,GZ,1,100,183.533
1760385219.792094,1085605.000,46035,2,GZ,1,100,147.980
1760385219.832093,1085645.000,46035,2,GZ,1,100,85.693
1760385219.872092,1085685.000,46054,3,GZ,1,100,80.261
1760385219.912090,1085725.000,46054,3,GZ,1,100,64.178
1760385219.952089,1085765.000,46054,3,GZ,1,100,21.576
1760385219.992088,1085805.000,46069,2,GZ,1,100,0.977
1760385220.032086,1085845.000,46069,2,GZ,1,100,-11.627
1760385220.072085,1085885.000,46086,3,GZ,1,100,-65.857
1760385220.112083,1085925.000,46086,3,GZ,1,100,-132.599
1760385220.152082,1085965.000,46086,3,GZ,1,100,-142.609
1760385220.192080,1086005.000,46105,2,GZ,1,100,-157.410
1760385220.232079,1086045.000,46105,2,GZ,1,100,-161.102
1760385220.272078,1086085.000,46121,3,GZ,1,100,-124.481
1760385220.312077,1086125.000,46121,3,GZ,1,100,-88.043
1760385220.352075,1086165.000,46121,3,GZ,1,100,-43.610
1760385220.392074,1086205.000,46136,2,GZ,1,100,6.531
1760385220.432072,1086245.000,46136,2,GZ,1,100,41.290
1760385220.472071,1086285.000,46156,3,GZ,1,100,84.290
1760385220.512069,1086325.000,46156,3,GZ,1,100,91.705
1760385220.552068,1086365.000,46156,3,GZ,1,100,181.366
1760385220.592067,1086405.000,46172,2,GZ,1,100,188.171
1760385220.632066,1086445.000,46172,2,GZ,1,100,107.025
1760385220.672064,1086485.000,46191,3,GZ,1,100,90.302
1760385220.712063,1086525.000,46191,3,GZ,1,100,79.315
1760385220.752061,1086565.000,46191,3,GZ,1,100,42.847
1760385220.792060,1086605.000,46205,2,GZ,1,100,6.439
1760385220.832058,1086645.000,46205,2,GZ,1,100,-43.365
1760385220.872057,1086685.000,46225,3,GZ,1,100,-94.208
1760385220.912056,1086725.000,46225,3,GZ,1,100,-127.441
1760385220.952055,1086765.000,46225,3,GZ,1,100,-164.307
1760385220.992053,1086805.000,46241,3,GZ,1,100,-155.243
1760385221.032052,1086845.000,46241,3,GZ,1,100,-157.867
1760385221.072050,1086885.000,46241,3,GZ,1,100,-147.339
1760385221.108549,1086921.500,46263,4,GZ,1,100,-105.164
1760385221.145048,1086958.000,46263,4,GZ,1,100,-71.259
1760385221.181546,1086994.500,46263,4,GZ,1,100,-14.862
1760385221.218045,1087031.000,46263,4,GZ,1,100,26.703
1760385221.258044,1087071.000,46284,2,GZ,1,100,68.604
1760385221.298043,1087111.000,46284,2,GZ,1,100,86.395
1760385221.338041,1087151.000,46301,3,GZ,1,100,145.874
1760385221.378040,1087191.000,46301,3,GZ,1,100,198.181
1760385221.418038,1087231.000,46301,3,GZ,1,100,135.315
1760385221.458037,1087271.000,46317,2,GZ,1,100,123.505
1760385221.498035,1087311.000,46317,2,GZ,1,100,115.784
1760385221.538034,1087351.000,46337,3,GZ,1,100,88.684
1760385221.578033,1087391.000,46337,3,GZ,1,100,44.922
1760385221.618032,1087431.000,46337,3,GZ,1,100,-10.162
1760385221.658030,1087471.000,46353,2,GZ,1,100,-73.578
1760385221.698029,1087511.000,46353,2,GZ,1,100,-112.427
1760385221.738027,1087551.000,46371,3,GZ,1,100,-176.331
1760385221.778026,1087591.000,46371,3,GZ,1,100,-214.935
1760385221.818024,1087631.000,46371,3,GZ,1,100,-187.836
1760385221.858023,1087671.000,46387,2,GZ,1,100,-127.228
1760385221.898022,1087711.000,46387,2,GZ,1,100,-81.207
1760385221.938020,1087751.000,46404,3,GZ,1,100,-21.423
1760385221.978019,1087791.000,46404,3,GZ,1,100,41.992
1760385222.018018,1087831.000,46404,3,GZ,1,100,57.068
1760385222.058016,1087871.000,46420,2,GZ,1,100,83.282
1760385222.098015,1087911.000,46420,2,GZ,1,100,75.195
1760385222.138013,1087951.000,46440,3,GZ,1,100,59.265
1760385222.178012,1087991.000,46440,3,GZ,1,100,141.663
1760385222.218011,1088031.000,46440,3,GZ,1,100,80.292
1760385222.258009,1088071.000,46456,2,GZ,1,100,75.226
1760385222.298008,1088111.000,46456,2,GZ,1,100,83.496
1760385222.338006,1088151.000,46473,3,GZ,1,100,75.043
1760385222.378005,1088191.000,46473,3,GZ,1,100,50.049
1760385222.418004,1088231.000,46473,3,GZ,1,100,24.475
1760385222.458002,1088271.000,46491,3,GZ,1,100,-17.212
1760385222.498001,1088311.000,46491,3,GZ,1,100,-84.961
1760385222.538000,1088351.000,46491,3,GZ,1,100,-151.184
1760385222.577998,1088391.000,46509,2,GZ,1,100,-154.236
1760385222.617997,1088431.000,46509,2,GZ,1,100,-150.909
1760385222.657995,1088471.000,46523,3,GZ,1,100,-143.738
1760385222.697994,1088511.000,46523,3,GZ,1,100,-96.710
1760385222.737993,1088551.000,46523,3,GZ,1,100,-63.416
1760385222.777991,1088591.000,46540,2,GZ,1,100,-16.235
1760385222.817990,1088631.000,46540,2,GZ,1,100,19.531
1760385222.857989,1088671.000,46557,3,GZ,1,100,55.847
1760385222.897987,1088711.000,46557,3,GZ,1,100,92.834
1760385222.937986,1088751.000,46557,3,GZ,1,100,64.240
1760385222.977984,1088791.000,46576,2,GZ,1,100,158.081
1760385223.017983,1088831.000,46576,2,GZ,1,100,144.012
1760385223.057982,1088871.000,46590,3,GZ,1,100,94.757
1760385223.097980,1088911.000,46590,3,GZ,1,100,82.947
1760385223.137979,1088951.000,46590,3,GZ,1,100,71.228
1760385223.177978,1088991.000,46610,2,GZ,1,100,43.488
1760385223.217976,1089031.000,46610,2,GZ,1,100,8.575
1760385223.257975,1089071.000,46626,3,GZ,1,100,-24.323
1760385223.297973,1089111.000,46626,3,GZ,1,100,-64.941
1760385223.337972,1089151.000,46626,3,GZ,1,100,-108.704
1760385223.377971,1089191.000,46645,2,GZ,1,100,-143.463
1760385223.417969,1089231.000,46645,2,GZ,1,100,-153.320
1760385223.457968,1089271.000,46659,3,GZ,1,100,-161.407
1760385223.497967,1089311.000,46659,3,GZ,1,100,-98.907
1760385223.537965,1089351.000,46659,3,GZ,1,100,-42.175
1760385223.577964,1089391.000,46677,3,GZ,1,100,-18.555
1760385223.617962,1089431.000,46677,3,GZ,1,100,22.980
1760385223.657961,1089471.000,46677,3,GZ,1,100,43.396
1760385223.697960,1089511.000,46693,2,GZ,1,100,85.846
1760385223.737958,1089551.000,46693,2,GZ,1,100,80.017
1760385223.777957,1089591.000,46712,3,GZ,1,100,114.044
1760385223.817955,1089631.000,46712,3,GZ,1,100,181.305
1760385223.857954,1089671.000,46712,3,GZ,1,100,96.069
1760385223.897953,1089711.000,46730,2,GZ,1,100,54.810
1760385223.937951,1089751.000,46730,2,GZ,1,100,70.618
1760385223.977950,1089791.000,46746,3,GZ,1,100,51.636
1760385224.017949,1089831.000,46746,3,GZ,1,100,37.262
1760385224.057947,1089871.000,46746,3,GZ,1,100,17.242
1760385224.097946,1089911.000,46762,2,GZ,1,100,-36.499
1760385224.137944,1089951.000,46762,2,GZ,1,100,-109.985
1760385224.177943,1089991.000,46782,3,GZ,1,100,-161.560
1760385224.217942,1090031.000,46782,3,GZ,1,100,-175.293
1760385224.257940,1090071.000,46782,3,GZ,1,100,-173.615
1760385224.297939,1090111.000,46798,2,GZ,1,100,-143.005
1760385224.337938,1090151.000,46798,2,GZ,1,100,-106.567
1760385224.377936,1090191.000,46813,3,GZ,1,100,-40.436
1760385224.417935,1090231.000,46813,3,GZ,1,100,14.282
1760385224.457933,1090271.000,46813,3,GZ,1,100,27.893
1760385224.493599,1090306.667,46832,3,GZ,1,100,57.312
1760385224.529264,1090342.333,46832,3,GZ,1,100,82.214
1760385224.564930,1090378.000,46832,3,GZ,1,100,113.708
1760385224.604928,1090418.000,46849,2,GZ,1,100,148.865
1760385224.644927,1090458.000,46849,2,GZ,1,100,90.088
1760385224.684926,1090498.000,46867,3,GZ,1,100,75.592
1760385224.724924,1090538.000,46867,3,GZ,1,100,75.012
1760385224.764923,1090578.000,46867,3,GZ,1,100,53.406
1760385224.804921,1090618.000,46882,2,GZ,1,100,15.808
1760385224.844920,1090658.000,46882,2,GZ,1,100,-28.442
1760385224.884919,1090698.000,46901,3,GZ,1,100,-50.049
1760385224.924917,1090738.000,46901,3,GZ,1,100,-63.171
1760385224.964916,1090778.000,46901,3,GZ,1,100,-87.677
1760385225.004915,1090818.000,46918,2,GZ,1,100,-106.140
1760385225.044913,1090858.000,46918,2,GZ,1,100,-116.150
1760385225.084912,1090898.000,46934,3,GZ,1,100,-103.485
1760385225.124910,1090938.000,46934,3,GZ,1,100,-70.465
1760385225.164909,1090978.000,46934,3,GZ,1,100,-47.668
1760385225.204908,1091018.000,46950,2,GZ,1,100,-19.470
1760385225.244906,1091058.000,46950,2,GZ,1,100,1.312
1760385225.284905,1091098.000,46968,3,GZ,1,100,36.224
1760385225.324903,1091138.000,46968,3,GZ,1,100,74.707
1760385225.364902,1091178.000,46968,3,GZ,1,100,50.232
1760385225.404901,1091218.000,46985,3,GZ,1,100,131.439
1760385225.444899,1091258.000,46985,3,GZ,1,100,121.857
1760385225.484898,1091298.000,46985,3,GZ,1,100,78.094
1760385225.524897,1091338.000,47002,2,GZ,1,100,105.774
1760385225.564895,1091378.000,47002,2,GZ,1,100,115.112
1760385225.604894,1091418.000,47019,3,GZ,1,100,93.262
1760385225.644892,1091458.000,47019,3,GZ,1,100,41.962
1760385225.684891,1091498.000,47019,3,GZ,1,100,-16.113
1760385225.724890,1091538.000,47037,2,GZ,1,100,-67.688
1760385225.764888,1091578.000,47037,2,GZ,1,100,-108.612
1760385225.804887,1091618.000,47054,3,GZ,1,100,-148.773
1760385225.844886,1091658.000,47054,3,GZ,1,100,-162.292
1760385225.884884,1091698.000,47054,3,GZ,1,100,-149.872
1760385225.924883,1091738.000,47071,2,GZ,1,100,-114.105
1760385225.964881,1091778.000,47071,2,GZ,1,100,-89.050
1760385226.004880,1091818.000,47087,3,GZ,1,100,-65.521
1760385226.044879,1091858.000,47087,3,GZ,1,100,-18.402
1760385226.084877,1091898.000,47087,3,GZ,1,100,16.144
1760385226.124876,1091938.000,47102,2,GZ,1,100,49.286
1760385226.164875,1091978.000,47102,2,GZ,1,100,78.400
1760385226.204873,1092018.000,47127,4,GZ,1,100,77.179
1760385226.244872,1092058.000,47127,4,GZ,1,100,165.619
1760385226.284870,1092098.000,47127,4,GZ,1,100,133.575
1760385226.324869,1092138.000,47127,4,GZ,1,100,67.566
1760385226.364868,1092178.000,47145,3,GZ,1,100,73.792
1760385226.404866,1092218.000,47145,3,GZ,1,100,71.686
1760385226.444865,1092258.000,47145,3,GZ,1,100,42.358
1760385226.484864,1092298.000,47164,2,GZ,1,100,15.381
1760385226.524862,1092338.000,47164,2,GZ,1,100,-30.396
1760385226.564861,1092378.000,47183,3,GZ,1,100,-64.270
1760385226.604859,1092418.000,47183,3,GZ,1,100,-82.947
1760385226.644858,1092458.000,47183,3,GZ,1,100,-122.894
1760385226.684857,1092498.000,47198,2,GZ,1,100,-140.259
1760385226.724855,1092538.000,47198,2,GZ,1,100,-134.338
1760385226.764854,1092578.000,47214,3,GZ,1,100,-96.863
1760385226.804852,1092618.000,47214,3,GZ,1,100,-54.810
1760385226.844851,1092658.000,47214,3,GZ,1,100,-50.232
1760385226.884850,1092698.000,47232,2,GZ,1,100,-20.203
1760385226.924848,1092738.000,47232,2,GZ,1,100,22.675
1760385226.964847,1092778.000,47248,3,GZ,1,100,58.960
1760385227.004846,1092818.000,47248,3,GZ,1,100,92.957
1760385227.044844,1092858.000,47248,3,GZ,1,100,105.408
1760385227.084843,1092898.000,47265,2,GZ,1,100,169.708
1760385227.124841,1092938.000,47265,2,GZ,1,100,124.847
1760385227.164840,1092978.000,47284,3,GZ,1,100,77.240
1760385227.204839,1093018.000,47284,3,GZ,1,100,69.092
1760385227.244837,1093058.000,47284,3,GZ,1,100,61.646
1760385227.284836,1093098.000,47301,2,GZ,1,100,36.835
1760385227.324835,1093138.000,47301,2,GZ,1,100,-10.315
1760385227.364833,1093178.000,47319,3,GZ,1,100,-58.624
1760385227.404832,1093218.000,47319,3,GZ,1,100,-102.600
1760385227.444830,1093258.000,47319,3,GZ,1,100,-142.944
1760385227.484829,1093298.000,47335,2,GZ,1,100,-132.324
1760385227.524827,1093338.000,47335,2,GZ,1,100,-133.392
1760385227.564826,1093378.000,47351,3,GZ,1,100,-125.793
1760385227.604825,1093418.000,47351,3,GZ,1,100,-83.038
1760385227.644824,1093458.000,47351,3,GZ,1,100,-61.035
1760385227.684822,1093498.000,47368,2,GZ,1,100,-29.541
1760385227.724821,1093538.000,47368,2,GZ,1,100,21.301
1760385227.764819,1093578.000,47384,3,GZ,1,100,41.504
