LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1760385212.860334,1078673.000,44866,1,MZ,1,100, 7
1760385212.900332,1078713.000,44885,2,MZ,1,100,11
1760385212.940331,1078753.000,44885,2,MZ,1,100,12
1760385212.980330,1078793.000,44902,3,MZ,1,100,15
1760385213.020328,1078833.000,44902,3,MZ,1,100,15
1760385213.060327,1078873.000,44902,3,MZ,1,100,17
1760385213.100325,1078913.000,44918,2,MZ,1,100,17
1760385213.140324,1078953.000,44918,2,MZ,1,100,17
1760385213.180323,1078993.000,44934,3,MZ,1,100,17
1760385213.220321,1079033.000,44934,3,MZ,1,100,13
1760385213.260320,1079073.000,44934,3,MZ,1,100,11
1760385213.300318,1079113.000,44950,3,MZ,1,100, 9
1760385213.340317,1079153.000,44950,3,MZ,1,100, 7
1760385213.380316,1079193.000,44950,3,MZ,1,100, 5
1760385213.420314,1079233.000,44967,2,MZ,1,100, 4
1760385213.460313,1079273.000,44967,2,MZ,1,100, 2
1760385213.499978,1079312.667,44986,3,MZ,1,100, 1
1760385213.539644,1079352.333,44986,3,MZ,1,100, 2
1760385213.579309,1079392.000,44986,3,MZ,1,100, 2
1760385213.619308,1079432.000,45001,2,MZ,1,100, 3
1760385213.659306,1079472.000,45001,2,MZ,1,100, 5
1760385213.699305,1079512.000,45019,3,MZ,1,100, 9
1760385213.739303,1079552.000,45019,3,MZ,1,100,11
1760385213.779302,1079592.000,45019,3,MZ,1,100,14
1760385213.819300,1079632.000,45036,2,MZ,1,100,13
1760385213.859299,1079672.000,45036,2,MZ,1,100,15
1760385213.899298,1079712.000,45053,3,MZ,1,100,16
1760385213.939296,1079752.000,45053,3,MZ,1,100,15
1760385213.979295,1079792.000,45053,3,MZ,1,100,14
1760385214.019294,1079832.000,45068,2,MZ,1,100,13
1760385214.059292,1079872.000,45068,2,MZ,1,100,11
1760385214.099291,1079912.000,45086,3,MZ,1,100, 9
1760385214.139289,1079952.000,45086,3,MZ,1,100, 7
1760385214.179288,1079992.000,45086,3,MZ,1,100, 6
1760385214.214953,1080027.667,45104,3,MZ,1,100, 5
1760385214.250619,1080063.333,45104,3,MZ,1,100, 3
1760385214.286284,1080099.000,45104,3,MZ,1,100, 4
1760385214.326283,1080139.000,45122,2,MZ,1,100, 3
1760385214.366282,1080179.000,45122,2,MZ,1,100, 2
1760385214.406280,1080219.000,45140,3,MZ,1,100, 3
1760385214.446279,1080259.000,45140,3,MZ,1,100, 7
1760385214.486278,1080299.000,45140,3,MZ,1,100,11
1760385214.526276,1080339.000,45156,2,MZ,1,100,13
1760385214.566275,1080379.000,45156,2,MZ,1,100,14
1760385214.606273,1080419.000,45173,3,MZ,1,100,13
1760385214.646272,1080459.000,45173,3,MZ,1,100,14
1760385214.686271,1080499.000,45173,3,MZ,1,100,14
1760385214.726269,1080539.000,45189,2,MZ,1,100,15
1760385214.766268,1080579.000,45189,2,MZ,1,100,15
1760385214.806267,1080619.000,45209,3,MZ,1,100,15
1760385214.846265,1080659.000,45209,3,MZ,1,100,14
1760385214.886264,1080699.000,45209,3,MZ,1,100,13
1760385214.926262,1080739.000,45223,2,MZ,1,100,10
1760385214.966261,1080779.000,45223,2,MZ,1,100, 8
1760385215.006259,1080819.000,45240,3,MZ,1,100, 7
1760385215.046258,1080859.000,45240,3,MZ,1,100, 3
1760385215.086257,1080899.000,45240,3,MZ,1,100, 3
1760385215.126256,1080939.000,45258,3,MZ,1,100, 3
1760385215.166254,1080979.000,45258,3,MZ,1,100, 1
1760385215.206253,1081019.000,45258,3,MZ,1,100, 1
1760385215.245751,1081058.500,45278,2,MZ,1,100, 3
1760385215.285250,1081098.000,45278,2,MZ,1,100, 7
1760385215.325248,1081138.000,45292,3,MZ,1,100,10
1760385215.365247,1081178.000,45292,3,MZ,1,100,11
1760385215.405246,1081218.000,45292,3,MZ,1,100,14
1760385215.445244,1081258.000,45309,2,MZ,1,100,13
1760385215.485243,1081298.000,45309,2,MZ,1,100,14
1760385215.525242,1081338.000,45326,3,MZ,1,100,15
1760385215.565240,1081378.000,45326,3,MZ,1,100,15
1760385215.605239,1081418.000,45326,3,MZ,1,100,14
1760385215.645237,1081458.000,45345,2,MZ,1,100,14
1760385215.685236,1081498.000,45345,2,MZ,1,100,11
1760385215.725235,1081538.000,45359,3,MZ,1,100,11
1760385215.765233,1081578.000,45359,3,MZ,1,100, 8
1760385215.805232,1081618.000,45359,3,MZ,1,100, 5
1760385215.845731,1081658.500,45379,2,MZ,1,100, 4
1760385215.886229,1081699.000,45379,2,MZ,1,100, 2
1760385215.926028,1081738.800,45403,5,MZ,1,100, 3
1760385215.965827,1081778.600,45403,5,MZ,1,100, 2
1760385216.005625,1081818.400,45403,5,MZ,1,100, 3
1760385216.045424,1081858.200,45403,5,MZ,1,100, 5
1760385216.085222,1081898.000,45403,5,MZ,1,100, 6
1760385216.125721,1081938.500,45417,2,MZ,1,100, 9
1760385216.166219,1081979.000,45417,2,MZ,1,100,11
1760385216.205885,1082018.667,45437,3,MZ,1,100,13
1760385216.245550,1082058.333,45437,3,MZ,1,100,13
1760385216.285215,1082098.000,45437,3,MZ,1,100,15
1760385216.325214,1082138.000,45453,3,MZ,1,100,15
1760385216.365213,1082178.000,45453,3,MZ,1,100,15
1760385216.405211,1082218.000,45453,3,MZ,1,100,15
1760385216.445210,1082258.000,45472,2,MZ,1,100,14
1760385216.485209,1082298.000,45472,2,MZ,1,100,14
1760385216.525207,1082338.000,45487,3,MZ,1,100,10
1760385216.565206,1082378.000,45487,3,MZ,1,100, 9
1760385216.605204,1082418.000,45487,3,MZ,1,100, 6
1760385216.645203,1082458.000,45504,2,MZ,1,100, 5
1760385216.685202,1082498.000,45504,2,MZ,1,100, 3
1760385216.725200,1082538.000,45522,3,MZ,1,100, 2
1760385216.765199,1082578.000,45522,3,MZ,1,100, 3
1760385216.805197,1082618.000,45522,3,MZ,1,100, 3
1760385216.845196,1082658.000,45542,2,MZ,1,100, 3
1760385216.885195,1082698.000,45542,2,MZ,1,100, 7
1760385216.925193,1082738.000,45556,3,MZ,1,100,10
1760385216.965192,1082778.000,45556,3,MZ,1,100,12
1760385217.005191,1082818.000,45556,3,MZ,1,100,13
1760385217.045189,1082858.000,45573,2,MZ,1,100,15
1760385217.085188,1082898.000,45573,2,MZ,1,100,16
1760385217.125186,1082938.000,45591,3,MZ,1,100,16
1760385217.165185,1082978.000,45591,3,MZ,1,100,15
1760385217.205184,1083018.000,45591,3,MZ,1,100,15
1760385217.245182,1083058.000,45611,2,MZ,1,100,13
1760385217.285181,1083098.000,45611,2,MZ,1,100,13
1760385217.325180,1083138.000,45625,3,MZ,1,100, 9
1760385217.365178,1083178.000,45625,3,MZ,1,100, 8
1760385217.405177,1083218.000,45625,3,MZ,1,100, 7
1760385217.441175,1083254.000,45644,3,MZ,1,100, 4
1760385217.477174,1083290.000,45644,3,MZ,1,100, 4
1760385217.513173,1083326.000,45644,3,MZ,1,100, 2
1760385217.553172,1083366.000,45661,2,MZ,1,100, 0
1760385217.593170,1083406.000,45661,2,MZ,1,100, 1
1760385217.633169,1083446.000,45680,3,MZ,1,100, 1
1760385217.673167,1083486.000,45680,3,MZ,1,100, 3
1760385217.713166,1083526.000,45680,3,MZ,1,100, 7
1760385217.753165,1083566.000,45694,2,MZ,1,100,10
1760385217.793163,1083606.000,45694,2,MZ,1,100,11
1760385217.833162,1083646.000,45712,3,MZ,1,100,13
1760385217.873161,1083686.000,45712,3,MZ,1,100,15
1760385217.913159,1083726.000,45712,3,MZ,1,100,16
1760385217.952658,1083765.500,45728,2,MZ,1,100,18
1760385217.992157,1083805.000,45728,2,MZ,1,100,16
1760385218.032488,1083845.333,45747,3,MZ,1,100,16
1760385218.072820,1083885.667,45747,3,MZ,1,100,15
1760385218.113152,1083926.000,45747,3,MZ,1,100,12
1760385218.152651,1083965.500,45762,2,MZ,1,100,10
1760385218.192150,1084005.000,45762,2,MZ,1,100, 8
1760385218.232481,1084045.333,45779,3,MZ,1,100, 7
1760385218.272814,1084085.667,45779,3,MZ,1,100, 5
1760385218.313145,1084126.000,45779,3,MZ,1,100, 4
1760385218.352811,1084165.667,45797,3,MZ,1,100, 3
1760385218.392476,1084205.333,45797,3,MZ,1,100, 4
1760385218.432141,1084245.000,45797,3,MZ,1,100, 3
1760385218.472140,1084285.000,45816,2,MZ,1,100, 4
1760385218.512139,1084325.000,45816,2,MZ,1,100, 8
1760385218.552137,1084365.000,45833,3,MZ,1,100,11
1760385218.592136,1084405.000,45833,3,MZ,1,100,13
1760385218.632134,1084445.000,45833,3,MZ,1,100,15
1760385218.672133,1084485.000,45848,2,MZ,1,100,15
1760385218.712132,1084525.000,45848,2,MZ,1,100,18
1760385218.752130,1084565.000,45864,3,MZ,1,100,17
1760385218.792129,1084605.000,45864,3,MZ,1,100,17
1760385218.832128,1084645.000,45864,3,MZ,1,100,15
1760385218.872126,1084685.000,45882,2,MZ,1,100,14
1760385218.912125,1084725.000,45882,2,MZ,1,100,13
1760385218.952123,1084765.000,45900,3,MZ,1,100,11
1760385218.992122,1084805.000,45900,3,MZ,1,100, 9
