LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1760384801.540561,667353.000,42251,1,EL,1,100,26411.000000
1760384801.606559,667419.000,42257,1,EL,1,100,26411.000000
1760384801.673223,667485.667,42279,3,EL,1,100,26411.000000
1760384801.739888,667552.333,42279,3,EL,1,100,26411.000000
1760384801.806553,667619.000,42279,3,EL,1,100,26411.000000
1760384801.873050,667685.500,42296,2,EL,1,100,26411.000000
1760384801.939548,667752.000,42296,2,EL,1,100,26411.199219
1760384802.006546,667819.000,42313,1,EL,1,100,26411.400391
1760384802.073044,667885.500,42329,2,EL,1,100,26411.599609
1760384802.139542,667952.000,42329,2,EL,1,100,26411.599609
1760384802.206540,668019.000,42346,1,EL,1,100,26411.800781
1760384802.273038,668085.500,42362,2,EL,1,100,26411.800781
1760384802.339536,668152.000,42362,2,EL,1,100,26411.800781
1760384802.406533,668219.000,42378,2,EL,1,100,26411.800781
1760384802.473531,668286.000,42378,2,EL,1,100,26411.800781
1760384802.539529,668352.000,42394,1,EL,1,100,26412.000000
1760384802.606527,668419.000,42412,2,EL,1,100,26411.800781
1760384802.673525,668486.000,42412,2,EL,1,100,26411.599609
1760384802.739523,668552.000,42428,1,EL,1,100,26412.000000
1760384802.806521,668619.000,42443,2,EL,1,100,26412.000000
1760384802.873518,668686.000,42443,2,EL,1,100,26412.000000
1760384802.939517,668752.000,42460,1,EL,1,100,26411.800781
1760384803.006514,668819.000,42477,2,EL,1,100,26412.000000
1760384803.073512,668886.000,42477,2,EL,1,100,26412.000000
1760384803.139510,668952.000,42493,1,EL,1,100,26412.000000
1760384803.206508,669019.000,42509,2,EL,1,100,26412.000000
1760384803.273506,669086.000,42509,2,EL,1,100,26412.000000
1760384803.339504,669152.000,42525,1,EL,1,100,26411.800781
1760384803.406502,669219.000,42542,2,EL,1,100,26412.000000
1760384803.473500,669286.000,42542,2,EL,1,100,26411.599609
1760384803.539497,669352.000,42558,1,EL,1,100,26412.000000
1760384803.606495,669419.000,42574,2,EL,1,100,26412.000000
1760384803.673493,669486.000,42574,2,EL,1,100,26411.599609
1760384803.739491,669552.000,42590,1,EL,1,100,26412.000000
1760384803.806489,669619.000,42607,2,EL,1,100,26412.000000
1760384803.873487,669686.000,42607,2,EL,1,100,26412.000000
1760384803.939485,669752.000,42624,1,EL,1,100,26411.800781
