LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1760384801.647558,667460.000,42254,3,PR,1,100,96226
1760384801.647558,667460.000,42254,3,PR,1,100,96243
1760384801.647558,667460.000,42254,3,PR,1,100,96241
1760384801.687557,667500.000,42276,5,PR,1,100,96251
1760384801.727555,667540.000,42276,5,PR,1,100,96248
1760384801.767554,667580.000,42276,5,PR,1,100,96260
1760384801.807553,667620.000,42276,5,PR,1,100,96252
1760384801.847551,667660.000,42276,5,PR,1,100,96250
1760384801.887550,667700.000,42293,3,PR,1,100,96257
1760384801.927549,667740.000,42293,3,PR,1,100,96259
1760384801.967547,667780.000,42293,3,PR,1,100,96258
1760384802.007546,667820.000,42310,2,PR,1,100,96258
1760384802.047545,667860.000,42310,2,PR,1,100,96276
1760384802.087544,667900.000,42326,3,PR,1,100,96270
1760384802.127542,667940.000,42326,3,PR,1,100,96283
1760384802.167541,667980.000,42326,3,PR,1,100,96297
1760384802.207540,668020.000,42343,2,PR,1,100,96280
1760384802.247539,668060.000,42343,2,PR,1,100,96278
1760384802.287537,668100.000,42359,3,PR,1,100,96280
1760384802.327536,668140.000,42359,3,PR,1,100,96284
1760384802.367535,668180.000,42359,3,PR,1,100,96298
1760384802.407533,668220.000,42375,2,PR,1,100,96301
1760384802.447532,668260.000,42375,2,PR,1,100,96323
1760384802.487531,668300.000,42391,3,PR,1,100,96311
1760384802.527530,668340.000,42391,3,PR,1,100,96301
1760384802.567528,668380.000,42391,3,PR,1,100,96314
1760384802.607527,668420.000,42409,2,PR,1,100,96281
1760384802.647526,668460.000,42409,2,PR,1,100,96308
1760384802.687525,668500.000,42425,3,PR,1,100,96312
1760384802.727523,668540.000,42425,3,PR,1,100,96344
1760384802.767522,668580.000,42425,3,PR,1,100,96318
1760384802.807521,668620.000,42440,2,PR,1,100,96349
1760384802.847519,668660.000,42440,2,PR,1,100,96351
1760384802.887518,668700.000,42457,3,PR,1,100,96328
1760384802.927517,668740.000,42457,3,PR,1,100,96345
1760384802.967515,668780.000,42457,3,PR,1,100,96351
1760384803.007514,668820.000,42474,2,PR,1,100,96365
1760384803.047513,668860.000,42474,2,PR,1,100,96358
1760384803.087512,668900.000,42490,3,PR,1,100,96365
1760384803.127511,668940.000,42490,3,PR,1,100,96376
1760384803.167509,668980.000,42490,3,PR,1,100,96374
1760384803.207508,669020.000,42506,3,PR,1,100,96355
1760384803.247507,669060.000,42506,3,PR,1,100,96365
1760384803.287505,669100.000,42506,3,PR,1,100,96366
1760384803.327504,669140.000,42522,2,PR,1,100,96371
1760384803.367503,669180.000,42522,2,PR,1,100,96364
1760384803.407501,669220.000,42539,3,PR,1,100,96385
1760384803.447500,669260.000,42539,3,PR,1,100,96381
1760384803.487499,669300.000,42539,3,PR,1,100,96379
1760384803.527498,669340.000,42555,2,PR,1,100,96388
1760384803.567497,669380.000,42555,2,PR,1,100,96402
1760384803.607495,669420.000,42571,3,PR,1,100,96390
1760384803.647494,669460.000,42571,3,PR,1,100,96394
1760384803.687493,669500.000,42571,3,PR,1,100,96402
1760384803.727491,669540.000,42587,2,PR,1,100,96421
1760384803.767490,669580.000,42587,2,PR,1,100,96416
1760384803.807489,669620.000,42604,3,PR,1,100,96418
1760384803.847487,669660.000,42604,3,PR,1,100,96417
1760384803.887486,669700.000,42604,3,PR,1,100,96422
1760384803.927485,669740.000,42621,2,PR,1,100,96420
1760384803.967484,669780.000,42621,2,PR,1,100,96411
1760384804.007482,669820.000,42637,3,PR,1,100,96416
1760384804.047481,669860.000,42637,3,PR,1,100,96415
1760384804.087480,669900.000,42637,3,PR,1,100,96411
1760384804.127479,669940.000,42652,2,PR,1,100,96432
1760384804.167477,669980.000,42652,2,PR,1,100,96435
1760384804.207476,670020.000,42672,3,PR,1,100,96426
1760384804.247475,670060.000,42672,3,PR,1,100,96420
1760384804.287473,670100.000,42672,3,PR,1,100,96435
1760384804.327472,670140.000,42688,3,PR,1,100,96433
1760384804.367471,670180.000,42688,3,PR,1,100,96433
1760384804.407470,670220.000,42688,3,PR,1,100,96433
1760384804.447468,670260.000,42705,2,PR,1,100,96445
1760384804.487467,670300.000,42705,2,PR,1,100,96446
1760384804.527466,670340.000,42720,3,PR,1,100,96453
1760384804.567465,670380.000,42720,3,PR,1,100,96439
1760384804.607463,670420.000,42720,3,PR,1,100,96453
1760384804.647462,670460.000,42737,2,PR,1,100,96449
1760384804.687461,670500.000,42737,2,PR,1,100,96444
1760384804.727459,670540.000,42753,3,PR,1,100,96460
1760384804.767458,670580.000,42753,3,PR,1,100,96463
1760384804.807457,670620.000,42753,3,PR,1,100,96467
1760384804.847456,670660.000,42770,2,PR,1,100,96487
1760384804.887454,670700.000,42770,2,PR,1,100,96468
1760384804.927453,670740.000,42785,3,PR,1,100,96476
1760384804.967452,670780.000,42785,3,PR,1,100,96477
1760384805.007451,670820.000,42785,3,PR,1,100,96470
1760384805.047449,670860.000,42802,2,PR,1,100,96485
1760384805.087448,670900.000,42802,2,PR,1,100,96493
1760384805.127447,670940.000,42818,3,PR,1,100,96497
1760384805.167445,670980.000,42818,3,PR,1,100,96492
1760384805.207444,671020.000,42818,3,PR,1,100,96502
1760384805.247443,671060.000,42836,2,PR,1,100,96478
1760384805.287441,671100.000,42836,2,PR,1,100,96488
1760384805.327440,671140.000,42850,3,PR,1,100,96484
1760384805.367439,671180.000,42850,3,PR,1,100,96491
1760384805.407438,671220.000,42850,3,PR,1,100,96502
1760384805.447437,671260.000,42867,2,PR,1,100,96508
1760384805.487435,671300.000,42867,2,PR,1,100,96498
1760384805.527434,671340.000,42884,3,PR,1,100,96508
1760384805.567433,671380.000,42884,3,PR,1,100,96501
1760384805.607431,671420.000,42884,3,PR,1,100,96512
