LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1760384801.756554,667569,42271,2,RD,1,100,TL,TU
1760384806.883391,672696,43098,2,RD,1,100,TL,TU
1760384811.996228,677809,43922,2,RD,1,100,TL,TU
1760384817.115064,682928,44747,2,RD,1,100,TL,TU
1760384822.224901,688038,45570,2,RD,1,100,TL,TU
1760384827.357737,693171,46394,2,RD,1,100,TL,TU
1760384832.471574,698285,47218,2,RD,1,100,TL,TU
1760384837.584411,703398,48041,2,RD,1,100,TL,TU
1760384842.703248,708517,48866,2,RD,1,100,TL,TU
1760384847.811085,713625,49689,2,RD,1,100,TL,TU
1760384852.928921,718743,50512,2,RD,1,100,TL,TU
1760384858.047758,723862,51338,2,RD,1,100,TL,TU
1760384863.154595,728969,52161,2,RD,1,100,TL,TU
1760384868.267432,734082,52984,2,RD,1,100,TL,TU
1760384873.392269,739207,53810,2,RD,1,100,TL,TU
1760384878.513105,744328,54633,2,RD,1,100,TL,TU
1760384883.620942,749436,55458,2,RD,1,100,TL,TU
1760384888.736779,754552,56283,2,RD,1,100,TL,TU
1760384893.844616,759660,57106,2,RD,1,100,TL,TU
1760384898.960453,764776,57930,2,RD,1,100,TL,TU
1760384904.081289,769897,58754,2,RD,1,100,TL,TU
1760384909.189126,775005,59577,2,RD,1,100,TL,TU
1760384914.314963,780131,60411,2,RD,1,100,TL,TU
1760384919.426800,785243,61254,2,RD,1,100,TL,TU
1760384924.540637,790357,62093,2,RD,1,100,TL,TU
