LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1760384801.614559,667427.000,42259,1,TH,1,100,29.700
1760384801.747555,667560.000,42281,1,TH,1,100,29.648
1760384801.881550,667694.000,42298,1,TH,1,100,29.648
1760384802.014546,667827.000,42315,1,TH,1,100,29.665
1760384802.147542,667960.000,42331,1,TH,1,100,29.665
1760384802.281538,668094.000,42363,1,TH,1,100,29.668
1760384802.414533,668227.000,42380,1,TH,1,100,29.668
1760384802.547529,668360.000,42396,1,TH,1,100,29.686
1760384802.681525,668494.000,42414,1,TH,1,100,29.686
1760384802.814520,668627.000,42445,1,TH,1,100,29.722
1760384802.947516,668760.000,42462,1,TH,1,100,29.722
1760384803.081512,668894.000,42479,1,TH,1,100,29.678
1760384803.214508,669027.000,42511,1,TH,1,100,29.678
1760384803.347503,669160.000,42527,1,TH,1,100,29.658
1760384803.481499,669294.000,42544,1,TH,1,100,29.658
1760384803.614495,669427.000,42576,1,TH,1,100,29.671
1760384803.747491,669560.000,42592,1,TH,1,100,29.664
1760384803.881486,669694.000,42609,1,TH,1,100,29.735
1760384804.014482,669827.000,42641,1,TH,1,100,29.735
1760384804.147478,669960.000,42657,1,TH,1,100,29.646
1760384804.281474,670094.000,42677,1,TH,1,100,29.646
1760384804.414469,670227.000,42693,1,TH,1,100,29.664
1760384804.547465,670360.000,42725,1,TH,1,100,29.664
1760384804.681461,670494.000,42742,1,TH,1,100,29.713
1760384804.814457,670627.000,42758,1,TH,1,100,29.713
1760384804.947452,670760.000,42790,1,TH,1,100,29.606
1760384805.080448,670893.000,42807,1,TH,1,100,29.606
1760384805.214444,671027.000,42823,1,TH,1,100,29.678
1760384805.347440,671160.000,42855,1,TH,1,100,29.671
1760384805.480435,671293.000,42872,1,TH,1,100,29.552
1760384805.614431,671427.000,42889,1,TH,1,100,29.552
1760384805.747427,671560.000,42920,1,TH,1,100,29.790
1760384805.880423,671693.000,42937,1,TH,1,100,29.790
1760384806.014418,671827.000,42954,1,TH,1,100,29.669
1760384806.147414,671960.000,42985,1,TH,1,100,29.669
1760384806.280410,672093.000,43003,1,TH,1,100,29.706
1760384806.414406,672227.000,43021,1,TH,1,100,29.706
1760384806.547401,672360.000,43038,1,TH,1,100,29.652
1760384806.680397,672493.000,43070,1,TH,1,100,29.645
1760384806.814393,672627.000,43086,1,TH,1,100,29.650
1760384806.947389,672760.000,43109,1,TH,1,100,29.650
1760384807.080384,672893.000,43125,1,TH,1,100,29.679
1760384807.214380,673027.000,43157,1,TH,1,100,29.679
1760384807.347376,673160.000,43174,1,TH,1,100,29.600
1760384807.480372,673293.000,43190,1,TH,1,100,29.593
1760384807.613367,673426.000,43222,1,TH,1,100,29.586
1760384807.747363,673560.000,43239,1,TH,1,100,29.586
1760384807.880359,673693.000,43255,1,TH,1,100,29.621
1760384808.014354,673827.000,43287,1,TH,1,100,29.621
1760384808.147350,673960.000,43304,1,TH,1,100,29.662
1760384808.280346,674093.000,43321,1,TH,1,100,29.662
1760384808.414342,674227.000,43338,1,TH,1,100,29.672
1760384808.547338,674360.000,43370,1,TH,1,100,29.672
1760384808.680333,674493.000,43386,1,TH,1,100,29.613
1760384808.814329,674627.000,43403,1,TH,1,100,29.613
1760384808.947325,674760.000,43435,1,TH,1,100,29.581
1760384809.080321,674893.000,43451,1,TH,1,100,29.581
1760384809.213316,675026.000,43468,1,TH,1,100,29.670
1760384809.347312,675160.000,43500,1,TH,1,100,29.663
1760384809.480308,675293.000,43516,1,TH,1,100,29.653
1760384809.613303,675426.000,43534,1,TH,1,100,29.653
1760384809.747299,675560.000,43565,1,TH,1,100,29.599
1760384809.880295,675693.000,43581,1,TH,1,100,29.599
1760384810.013291,675826.000,43599,1,TH,1,100,29.671
1760384810.147286,675960.000,43630,1,TH,1,100,29.664
1760384810.280282,676093.000,43647,1,TH,1,100,29.617
1760384810.413278,676226.000,43664,1,TH,1,100,29.617
1760384810.547274,676360.000,43680,1,TH,1,100,29.654
1760384810.680269,676493.000,43712,1,TH,1,100,29.654
1760384810.813265,676626.000,43729,1,TH,1,100,29.654
1760384810.947261,676760.000,43746,1,TH,1,100,29.647
1760384811.080257,676893.000,43777,1,TH,1,100,29.640
1760384811.213253,677026.000,43794,1,TH,1,100,29.640
1760384811.346248,677159.000,43813,1,TH,1,100,29.595
1760384811.480244,677293.000,43844,1,TH,1,100,29.595
1760384811.613240,677426.000,43862,1,TH,1,100,29.587
1760384811.746235,677559.000,43878,1,TH,1,100,29.580
