LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1760384801.751554,667564,42269,1,TL,1,100,2025-10-13_15-46-36-771221
1760384801.771554,667584,42272,1,TL,1,100,2025-10-13_15-46-41-765046
1760384806.881391,672694,43096,1,TL,1,100,2025-10-13_15-46-41-907101
1760384806.928389,672741,43099,1,TL,1,100,2025-10-13_15-46-46-919253
1760384811.994228,677807,43920,1,TL,1,100,2025-10-13_15-46-47-016552
1760384812.010227,677823,43923,1,TL,1,100,2025-10-13_15-46-52-000737
1760384817.113064,682926,44745,1,TL,1,100,2025-10-13_15-46-52-129228
1760384817.131064,682944,44748,1,TL,1,100,2025-10-13_15-46-57-125123
1760384822.222901,688036,45568,1,TL,1,100,2025-10-13_15-46-57-248801
1760384827.353738,693167,46390,1,TL,1,100,2025-10-13_15-47-02-256262
1760384827.355737,693169,46392,1,TL,1,100,2025-10-13_15-47-02-352113
1760384827.367737,693181,46395,1,TL,1,100,2025-10-13_15-47-07-362737
1760384832.466574,698280,47216,1,TL,1,100,2025-10-13_15-47-07-496137
1760384832.484574,698298,47219,1,TL,1,100,2025-10-13_15-47-12-476837
1760384837.582411,703396,48039,1,TL,1,100,2025-10-13_15-47-12-605626
1760384837.592411,703406,48042,1,TL,1,100,2025-10-13_15-47-17-588447
1760384842.701248,708515,48864,1,TL,1,100,2025-10-13_15-47-17-711620
1760384842.715247,708529,48867,1,TL,1,100,2025-10-13_15-47-22-708851
1760384847.810085,713624,49687,1,TL,1,100,2025-10-13_15-47-22-850166
1760384847.821084,713635,49690,1,TL,1,100,2025-10-13_15-47-27-817216
1760384852.926922,718741,50510,1,TL,1,100,2025-10-13_15-47-27-948757
1760384852.950921,718765,50513,1,TL,1,100,2025-10-13_15-47-32-936331
1760384858.045758,723860,51336,1,TL,1,100,2025-10-13_15-47-33-059056
1760384858.056758,723871,51339,1,TL,1,100,2025-10-13_15-47-38-052926
1760384863.152595,728967,52159,1,TL,1,100,2025-10-13_15-47-38-179383
1760384863.187594,729002,52162,1,TL,1,100,2025-10-13_15-47-43-181438
1760384868.263432,734078,52982,1,TL,1,100,2025-10-13_15-47-43-280245
1760384868.294431,734109,52985,1,TL,1,100,2025-10-13_15-47-48-283588
1760384873.391268,739206,53808,1,TL,1,100,2025-10-13_15-47-48-403906
1760384873.407268,739222,53811,1,TL,1,100,2025-10-13_15-47-53-401202
1760384878.511105,744326,54631,1,TL,1,100,2025-10-13_15-47-53-519708
1760384878.533104,744348,54634,1,TL,1,100,2025-10-13_15-47-58-526456
1760384883.618942,749434,55456,1,TL,1,100,2025-10-13_15-47-58-644579
1760384883.709939,749525,55459,1,TL,1,100,2025-10-13_15-48-03-632961
1760384888.734779,754550,56281,1,TL,1,100,2025-10-13_15-48-03-758385
1760384888.816777,754632,56284,1,TL,1,100,2025-10-13_15-48-08-814029
1760384893.842616,759658,57104,1,TL,1,100,2025-10-13_15-48-08-871320
1760384893.891614,759707,57107,1,TL,1,100,2025-10-13_15-48-13-882878
1760384898.958453,764774,57928,1,TL,1,100,2025-10-13_15-48-13-989932
1760384904.077290,769893,58750,1,TL,1,100,2025-10-13_15-48-18-979494
1760384904.079289,769895,58752,1,TL,1,100,2025-10-13_15-48-19-105246
1760384904.102289,769918,58755,1,TL,1,100,2025-10-13_15-48-24-089800
1760384909.187126,775003,59575,1,TL,1,100,2025-10-13_15-48-24-209723
1760384909.203126,775019,59578,1,TL,1,100,2025-10-13_15-48-29-196126
1760384914.309963,780126,60409,1,TL,1,100,2025-10-13_15-48-29-328557
1760384914.342962,780159,60412,1,TL,1,100,2025-10-13_15-48-34-325528
1760384919.424800,785241,61252,1,TL,1,100,2025-10-13_15-48-34-533129
1760384919.459799,785276,61255,1,TL,1,100,2025-10-13_15-48-39-433941
1760384924.535637,790352,62091,1,TL,1,100,2025-10-13_15-48-39-562174
1760384924.556636,790373,62094,1,TL,1,100,2025-10-13_15-48-44-552547
