RD,TS_received,TS_sent,AK,RoundTrip,
667569,667584,2025-10-13_15-46-41-765046,667585,15,
672696,672741,2025-10-13_15-46-46-919253,672743,45,
677809,677823,2025-10-13_15-46-52-000737,677829,14,
682928,682944,2025-10-13_15-46-57-125123,682945,16,
688038,693167,2025-10-13_15-47-02-256262,693168,5129,
693171,693181,2025-10-13_15-47-07-362737,693183,10,
698285,698298,2025-10-13_15-47-12-476837,698299,13,
703398,703406,2025-10-13_15-47-17-588447,703409,8,
708517,708529,2025-10-13_15-47-22-708851,708530,12,
713625,713635,2025-10-13_15-47-27-817216,713643,10,
718743,718765,2025-10-13_15-47-32-936331,718766,22,
723862,723871,2025-10-13_15-47-38-052926,723873,9,
728969,729002,2025-10-13_15-47-43-181438,729004,33,
734082,734109,2025-10-13_15-47-48-283588,734110,27,
739207,739222,2025-10-13_15-47-53-401202,739223,15,
744328,744348,2025-10-13_15-47-58-526456,744356,20,
749436,749525,2025-10-13_15-48-03-632961,749526,89,
754552,754632,2025-10-13_15-48-08-814029,754634,80,
759660,759707,2025-10-13_15-48-13-882878,759708,47,
764776,769893,2025-10-13_15-48-18-979494,769894,5117,
769897,769918,2025-10-13_15-48-24-089800,769919,21,
775005,775019,2025-10-13_15-48-29-196126,775020,14,
780131,780159,2025-10-13_15-48-34-325528,780161,28,
785243,785276,2025-10-13_15-48-39-433941,785277,33,
790357,790373,2025-10-13_15-48-44-552547,790374,16,
