LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1760385036.988595,902803,15366,2,AK,1,100,14548,RD
1760385036.990596,902805,15368,2,AK,1,100,14548,RD
1760385042.103581,907918,16221,2,AK,1,100,15369,RD
1760385042.107581,907922,16223,2,AK,1,100,15369,RD
1760385042.150581,907965,16226,2,AK,1,100,16224,RD
1760385047.210566,913025,17075,2,AK,1,100,16224,RD
1760385047.228566,913043,17078,2,AK,1,100,17076,RD
1760385052.318551,918133,17932,2,AK,1,100,17076,RD
1760385052.330551,918145,17935,2,AK,1,100,17933,RD
1760385057.441536,923256,18804,2,AK,1,100,17933,RD
1760385057.460536,923275,18807,2,AK,1,100,18805,RD
1760385062.549522,928364,19661,2,AK,1,100,18805,RD
1760385062.569522,928384,19664,2,AK,1,100,19662,RD
1760385067.682507,933497,20529,2,AK,1,100,19662,RD
1760385067.754507,933569,20532,2,AK,1,100,20530,RD
1760385072.793492,938608,21382,2,AK,1,100,20530,RD
1760385072.809492,938624,21385,2,AK,1,100,21383,RD
1760385077.901477,943716,22234,2,AK,1,100,21383,RD
1760385077.939477,943754,22237,2,AK,1,100,22235,RD
1760385083.009463,948824,23094,2,AK,1,100,22235,RD
1760385083.027462,948842,23097,2,AK,1,100,23095,RD
1760385088.142448,953957,23962,2,AK,1,100,23095,RD
1760385088.179448,953994,23965,2,AK,1,100,23963,RD
1760385093.250433,959065,24815,2,AK,1,100,23963,RD
1760385093.267433,959082,24818,2,AK,1,100,24816,RD
1760385098.377418,964192,25682,2,AK,1,100,24816,RD
1760385098.404418,964219,25685,2,AK,1,100,25683,RD
1760385103.484403,969299,26540,2,AK,1,100,25683,RD
1760385103.510403,969325,26543,2,AK,1,100,26541,RD
1760385108.592389,974407,27393,2,AK,1,100,26541,RD
1760385108.616389,974431,27396,2,AK,1,100,27394,RD
1760385113.736374,979551,28263,2,AK,1,100,27394,RD
1760385113.751374,979566,28266,2,AK,1,100,28264,RD
1760385118.843359,984658,29119,2,AK,1,100,28264,RD
1760385118.857359,984672,29122,2,AK,1,100,29120,RD
1760385123.987344,989802,29988,2,AK,1,100,29120,RD
1760385124.003344,989818,29991,2,AK,1,100,29989,RD
1760385129.095329,994910,30844,2,AK,1,100,29989,RD
1760385129.152329,994967,30847,2,AK,1,100,30845,RD
1760385134.204314,1000019,31699,2,AK,1,100,30845,RD
1760385134.256314,1000071,31702,2,AK,1,100,31700,RD
1760385139.316300,1005131,32556,2,AK,1,100,31700,RD
1760385139.349300,1005164,32559,2,AK,1,100,32557,RD
1760385144.419285,1010234,33410,2,AK,1,100,32557,RD
1760385144.456285,1010271,33413,2,AK,1,100,33411,RD
1760385149.538270,1015353,34265,2,AK,1,100,33411,RD
1760385149.551270,1015366,34268,2,AK,1,100,34266,RD
1760385154.656255,1020471,35117,2,AK,1,100,34266,RD
1760385154.698255,1020513,35120,2,AK,1,100,35118,RD
1760385159.774240,1025589,35975,2,AK,1,100,35118,RD
1760385159.817240,1025632,35978,2,AK,1,100,35976,RD
