LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1760385036.342597,902157.000,15266,1,BI,1,100,640
1760385037.062595,902877.000,15371,1,BI,1,100,720
1760385037.662594,903477.000,15474,1,BI,1,100,600
1760385038.422591,904237.000,15610,1,BI,1,100,760
1760385039.102589,904917.000,15709,1,BI,1,100,680
1760385039.782588,905597.000,15830,1,BI,1,100,680
1760385040.382586,906197.000,15929,1,BI,1,100,600
1760385041.102584,906917.000,16051,1,BI,1,100,720
1760385041.861582,907676.000,16168,1,BI,1,100,760
1760385042.515580,908330.000,16295,1,BI,1,100,640
1760385043.195578,909010.000,16414,1,BI,1,100,680
1760385043.835576,909650.000,16515,1,BI,1,100,640
1760385044.475574,910290.000,16616,1,BI,1,100,640
1760385045.194572,911009.000,16734,1,BI,1,100,720
1760385045.834570,911649.000,16853,1,BI,1,100,640
1760385046.594568,912409.000,16975,1,BI,1,100,760
1760385047.234566,913049.000,17079,1,BI,1,100,640
1760385047.914564,913729.000,17198,1,BI,1,100,680
1760385048.554562,914369.000,17299,1,BI,1,100,640
1760385049.354560,915169.000,17434,1,BI,1,100,800
1760385049.914558,915729.000,17536,1,BI,1,100,560
1760385050.714556,916529.000,17673,1,BI,1,100,800
1760385051.394554,917209.000,17777,1,BI,1,100,680
1760385052.074552,917889.000,17896,1,BI,1,100,680
1760385052.727550,918542.000,18002,1,BI,1,100,640
1760385053.447548,919262.000,18121,1,BI,1,100,720
1760385054.047546,919862.000,18224,1,BI,1,100,600
1760385054.847544,920662.000,18358,1,BI,1,100,800
1760385055.527542,921342.000,18480,1,BI,1,100,680
1760385056.167540,921982.000,18581,1,BI,1,100,640
1760385056.887538,922702.000,18704,1,BI,1,100,720
1760385057.526536,923341.000,18825,1,BI,1,100,640
1760385058.206534,924021.000,18932,1,BI,1,100,680
1760385058.926532,924741.000,19047,1,BI,1,100,720
1760385059.366531,925181.000,19134,1,BI,1,100,440
1760385060.246528,926061.000,19268,1,BI,1,100,880
1760385060.926526,926741.000,19387,1,BI,1,100,680
1760385061.606524,927421.000,19507,1,BI,1,100,680
1760385062.246522,928061.000,19610,1,BI,1,100,640
1760385062.939521,928754.000,19732,1,BI,1,100,680
1760385063.579519,929394.000,19833,1,BI,1,100,640
1760385064.299517,930114.000,19951,1,BI,1,100,720
1760385064.939515,930754.000,20073,1,BI,1,100,640
1760385065.619513,931434.000,20171,1,BI,1,100,680
1760385067.059509,932874.000,20427,1,BI,1,100,1440
1760385067.699507,933514.000,20534,1,BI,1,100,640
1760385068.419505,934234.000,20650,1,BI,1,100,720
1760385069.099503,934914.000,20771,1,BI,1,100,680
1760385069.819501,935634.000,20888,1,BI,1,100,720
1760385070.459499,936274.000,20991,1,BI,1,100,640
1760385071.179497,936994.000,21109,1,BI,1,100,720
1760385071.778495,937593.000,21214,1,BI,1,100,600
1760385072.498493,938313.000,21329,1,BI,1,100,720
1760385073.138491,938953.000,21454,1,BI,1,100,640
1760385073.792489,939607.000,21555,1,BI,1,100,640
1760385074.472487,940287.000,21674,1,BI,1,100,680
1760385075.191485,941006.000,21794,1,BI,1,100,720
1760385075.831483,941646.000,21895,1,BI,1,100,640
1760385076.511481,942326.000,22014,1,BI,1,100,680
1760385077.191479,943006.000,22115,1,BI,1,100,680
1760385077.871477,943686.000,22238,1,BI,1,100,680
1760385078.551475,944366.000,22359,1,BI,1,100,680
1760385079.271473,945086.000,22480,1,BI,1,100,720
1760385079.911471,945726.000,22582,1,BI,1,100,640
1760385080.591470,946406.000,22700,1,BI,1,100,680
1760385081.191468,947006.000,22784,1,BI,1,100,600
1760385081.991465,947806.000,22920,1,BI,1,100,800
1760385082.591464,948406.000,23023,1,BI,1,100,600
1760385083.351461,949166.000,23165,1,BI,1,100,760
