LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1760385036.213598,902028.000,15246,1,BV,1,100,3.66
1760385041.213583,907028.000,16084,1,BV,1,100,3.66
1760385046.213569,912028.000,16920,1,BV,1,100,3.66
1760385051.212554,917027.000,17775,1,BV,1,100,3.66
1760385056.211540,922026.000,18616,1,BV,1,100,3.66
1760385061.211525,927026.000,19455,1,BV,1,100,3.66
1760385066.210511,932025.000,20288,1,BV,1,100,3.65
1760385071.210497,937025.000,21127,1,BV,1,100,3.66
1760385076.210482,942025.000,21979,1,BV,1,100,3.66
1760385081.209468,947024.000,22819,1,BV,1,100,3.65
1760385086.208453,952023.000,23656,1,BV,1,100,3.66
1760385091.208439,957023.000,24490,1,BV,1,100,3.66
1760385096.207424,962022.000,25324,1,BV,1,100,3.65
1760385101.207410,967022.000,26178,1,BV,1,100,3.66
1760385106.206395,972021.000,27020,1,BV,1,100,3.66
1760385111.206381,977021.000,27855,1,BV,1,100,3.65
1760385116.205367,982020.000,28691,1,BV,1,100,3.66
1760385121.205352,987020.000,29545,1,BV,1,100,3.65
1760385126.205338,992020.000,30385,1,BV,1,100,3.66
1760385131.204323,997019.000,31223,1,BV,1,100,3.65
1760385136.203309,1002018.000,32062,1,BV,1,100,3.66
1760385141.203294,1007018.000,32898,1,BV,1,100,3.66
1760385146.202280,1012017.000,33721,1,BV,1,100,3.65
1760385151.202265,1017017.000,34556,1,BV,1,100,3.65
1760385156.202251,1022017.000,35395,1,BV,1,100,3.66
1760385161.201236,1027016.000,36233,1,BV,1,100,3.66
