LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1760385035.981598,901796.000,15214,1,SR,1,100,0.066667
1760385036.581597,902396.000,15374,1,SR,1,100,0.333333
1760385037.315595,903130.000,15477,1,SR,1,100,0.266667
1760385037.847593,903662.000,15592,1,SR,1,100,0.466667
1760385038.580591,904395.000,15712,1,SR,1,100,0.400000
1760385039.248589,905063.000,15813,1,SR,1,100,0.400000
1760385040.048587,905863.000,15932,1,SR,1,100,0.266667
1760385040.581585,906396.000,16033,1,SR,1,100,0.400000
1760385041.381583,907196.000,16171,1,SR,1,100,0.333333
1760385041.981581,907796.000,16278,1,SR,1,100,0.400000
1760385042.780579,908595.000,16397,1,SR,1,100,0.266667
1760385043.314577,909129.000,16498,1,SR,1,100,0.400000
1760385044.247575,910062.000,16619,1,SR,1,100,0.133333
1760385044.647573,910462.000,16737,1,SR,1,100,0.466667
1760385045.513571,911328.000,16821,1,SR,1,100,0.066667
1760385046.113569,911928.000,16957,1,SR,1,100,0.333333
1760385046.847567,912662.000,17098,1,SR,1,100,0.333333
1760385047.447565,913262.000,17201,1,SR,1,100,0.400000
1760385048.113563,913928.000,17319,1,SR,1,100,0.400000
1760385048.780561,914595.000,17437,1,SR,1,100,0.466667
1760385049.513559,915328.000,17539,1,SR,1,100,0.333333
1760385050.246557,916061.000,17656,1,SR,1,100,0.333333
1760385050.846555,916661.000,17725,1,SR,1,100,0.133333
1760385051.113555,916928.000,17780,1,SR,1,100,0.133333
1760385051.513554,917328.000,17899,1,SR,1,100,0.466667
1760385052.379551,918194.000,18005,1,SR,1,100,0.266667
1760385052.912549,918727.000,18124,1,SR,1,100,0.400000
1760385053.580548,919395.000,18191,1,SR,1,100,0.200000
1760385053.912547,919727.000,18227,1,SR,1,100,0.066667
1760385054.380545,920195.000,18361,1,SR,1,100,0.333333
1760385055.246543,921061.000,18462,1,SR,1,100,0.133333
1760385055.645542,921460.000,18565,1,SR,1,100,0.333333
1760385056.379539,922194.000,18651,1,SR,1,100,0.133333
1760385056.645539,922460.000,18687,1,SR,1,100,0.066667
1760385057.113537,922928.000,18828,1,SR,1,100,0.333333
1760385057.712536,923527.000,18878,1,SR,1,100,0.133333
1760385057.979535,923794.000,18914,1,SR,1,100,0.066667
1760385058.312534,924127.000,19050,1,SR,1,100,0.466667
1760385059.312531,925127.000,19151,1,SR,1,100,0.133333
1760385059.712530,925527.000,19271,1,SR,1,100,0.400000
1760385060.512527,926327.000,19370,1,SR,1,100,0.200000
1760385061.112526,926927.000,19491,1,SR,1,100,0.333333
1760385061.845524,927660.000,19592,1,SR,1,100,0.266667
1760385062.512522,928327.000,19717,1,SR,1,100,0.266667
1760385063.178520,928993.000,19836,1,SR,1,100,0.266667
1760385063.845518,929660.000,19954,1,SR,1,100,0.333333
1760385064.578516,930393.000,20055,1,SR,1,100,0.266667
1760385065.245514,931060.000,20174,1,SR,1,100,0.266667
1760385065.911512,931726.000,20292,1,SR,1,100,0.266667
1760385066.711510,932526.000,20410,1,SR,1,100,0.200000
1760385067.311508,933126.000,20510,1,SR,1,100,0.200000
1760385067.911506,933726.000,20653,1,SR,1,100,0.400000
1760385068.578504,934393.000,20753,1,SR,1,100,0.400000
1760385069.377502,935192.000,20871,1,SR,1,100,0.333333
1760385069.977500,935792.000,20974,1,SR,1,100,0.333333
1760385070.711498,936526.000,21091,1,SR,1,100,0.333333
1760385071.577496,937392.000,21196,1,SR,1,100,0.066667
1760385071.910495,937725.000,21332,1,SR,1,100,0.466667
1760385072.644492,938459.000,21438,1,SR,1,100,0.400000
1760385073.310491,939125.000,21558,1,SR,1,100,0.400000
1760385074.110488,939925.000,21657,1,SR,1,100,0.266667
1760385074.778486,940593.000,21776,1,SR,1,100,0.266667
1760385075.443484,941258.000,21877,1,SR,1,100,0.266667
1760385075.977483,941792.000,21999,1,SR,1,100,0.400000
1760385076.777481,942592.000,22118,1,SR,1,100,0.333333
1760385077.377479,943192.000,22241,1,SR,1,100,0.400000
1760385078.044477,943859.000,22342,1,SR,1,100,0.400000
1760385078.710475,944525.000,22411,1,SR,1,100,0.133333
1760385078.977474,944792.000,22461,1,SR,1,100,0.133333
1760385079.510473,945325.000,22564,1,SR,1,100,0.266667
1760385080.177471,945992.000,22682,1,SR,1,100,0.266667
1760385080.843469,946658.000,22803,1,SR,1,100,0.333333
1760385081.443467,947258.000,22923,1,SR,1,100,0.400000
1760385082.376464,948191.000,23026,1,SR,1,100,0.133333
1760385082.909463,948724.000,23147,1,SR,1,100,0.333333
1760385083.509461,949324.000,23267,1,SR,1,100,0.400000
1760385084.177459,949992.000,23368,1,SR,1,100,0.400000
1760385084.976457,950791.000,23487,1,SR,1,100,0.266667
1760385085.642455,951457.000,23606,1,SR,1,100,0.333333
1760385086.376453,952191.000,23726,1,SR,1,100,0.266667
1760385086.910451,952725.000,23825,1,SR,1,100,0.400000
