LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1760385036.107598,901922.000,15220,1,T1,1,100,30.994
1760385036.240598,902055.000,15254,1,T1,1,100,31.068
1760385036.374597,902189.000,15273,1,T1,1,100,31.136
1760385036.507597,902322.000,15289,1,T1,1,100,31.201
1760385036.641597,902456.000,15321,1,T1,1,100,31.193
1760385036.774596,902589.000,15338,1,T1,1,100,31.084
1760385036.907596,902722.000,15355,1,T1,1,100,31.072
1760385037.040596,902855.000,15380,1,T1,1,100,31.173
1760385037.174595,902989.000,15396,1,T1,1,100,31.075
1760385037.307595,903122.000,15428,1,T1,1,100,31.032
1760385037.440594,903255.000,15445,1,T1,1,100,31.085
1760385037.574594,903389.000,15462,1,T1,1,100,31.072
1760385037.707593,903522.000,15483,1,T1,1,100,31.173
1760385037.840593,903655.000,15514,1,T1,1,100,31.217
1760385037.974593,903789.000,15531,1,T1,1,100,31.058
1760385038.107592,903922.000,15548,1,T1,1,100,31.025
1760385038.240592,904055.000,15580,1,T1,1,100,30.975
1760385038.374592,904189.000,15598,1,T1,1,100,30.883
1760385038.507591,904322.000,15617,1,T1,1,100,31.020
1760385038.640591,904455.000,15649,1,T1,1,100,31.080
1760385038.774590,904589.000,15665,1,T1,1,100,30.964
1760385038.907590,904722.000,15683,1,T1,1,100,31.091
1760385039.040590,904855.000,15718,1,T1,1,100,31.146
1760385039.174589,904989.000,15734,1,T1,1,100,31.063
1760385039.307589,905122.000,15752,1,T1,1,100,31.098
1760385039.440588,905255.000,15783,1,T1,1,100,31.149
1760385039.574588,905389.000,15800,1,T1,1,100,31.100
1760385039.707588,905522.000,15819,1,T1,1,100,31.114
1760385039.840587,905655.000,15853,1,T1,1,100,31.191
1760385039.974587,905789.000,15869,1,T1,1,100,31.083
1760385040.107587,905922.000,15886,1,T1,1,100,31.107
1760385040.240586,906055.000,15902,1,T1,1,100,31.011
1760385040.373586,906188.000,15938,1,T1,1,100,31.040
1760385040.507585,906322.000,15955,1,T1,1,100,31.053
1760385040.640585,906455.000,15972,1,T1,1,100,31.094
1760385040.773585,906588.000,16003,1,T1,1,100,31.111
1760385040.907584,906722.000,16021,1,T1,1,100,31.119
1760385041.040584,906855.000,16039,1,T1,1,100,31.193
1760385041.173584,906988.000,16073,1,T1,1,100,31.048
1760385041.307583,907122.000,16092,1,T1,1,100,31.127
1760385041.440583,907255.000,16108,1,T1,1,100,31.126
1760385041.573582,907388.000,16140,1,T1,1,100,31.055
1760385041.707582,907522.000,16157,1,T1,1,100,31.094
1760385041.840582,907655.000,16177,1,T1,1,100,31.183
1760385041.973581,907788.000,16209,1,T1,1,100,31.115
1760385042.107581,907922.000,16233,1,T1,1,100,31.085
1760385042.240580,908055.000,16250,1,T1,1,100,31.143
1760385042.373580,908188.000,16267,1,T1,1,100,31.133
1760385042.507580,908322.000,16302,1,T1,1,100,31.093
1760385042.640579,908455.000,16319,1,T1,1,100,31.111
1760385042.773579,908588.000,16336,1,T1,1,100,31.119
1760385042.907578,908722.000,16368,1,T1,1,100,31.087
1760385043.040578,908855.000,16384,1,T1,1,100,31.109
1760385043.173578,908988.000,16403,1,T1,1,100,31.153
1760385043.307577,909122.000,16437,1,T1,1,100,31.102
1760385043.440577,909255.000,16453,1,T1,1,100,31.115
1760385043.573576,909388.000,16471,1,T1,1,100,31.156
1760385043.706576,909521.000,16504,1,T1,1,100,31.138
1760385043.840576,909655.000,16522,1,T1,1,100,31.095
1760385043.973575,909788.000,16540,1,T1,1,100,31.148
1760385044.106575,909921.000,16571,1,T1,1,100,31.064
1760385044.240575,910055.000,16588,1,T1,1,100,31.063
1760385044.373574,910188.000,16605,1,T1,1,100,31.098
1760385044.506574,910321.000,16641,1,T1,1,100,31.078
1760385044.640574,910455.000,16657,1,T1,1,100,30.998
1760385044.773573,910588.000,16674,1,T1,1,100,31.070
1760385044.906573,910721.000,16690,1,T1,1,100,30.995
1760385045.040572,910855.000,16722,1,T1,1,100,31.033
1760385045.173572,910988.000,16743,1,T1,1,100,31.085
