LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1760386316.082975,2181900.000,31911,1,B%,1,100,31
1760386321.082894,2186900.000,32737,1,B%,1,100,30
1760386326.081814,2191899.000,33565,1,B%,1,100,30
1760386331.081733,2196899.000,34390,1,B%,1,100,30
1760386336.080653,2201898.000,35209,1,B%,1,100,29
1760386341.080573,2206898.000,36032,1,B%,1,100,29
1760386346.079492,2211897.000,36839,1,B%,1,100,30
1760386351.079412,2216897.000,37665,1,B%,1,100,29
1760386356.078332,2221896.000,38493,1,B%,1,100,29
1760386361.078251,2226896.000,39313,1,B%,1,100,29
1760386366.077171,2231895.000,40140,1,B%,1,100,29
1760386371.077091,2236895.000,40949,1,B%,1,100,30
1760386376.076010,2241894.000,41771,1,B%,1,100,29
1760386381.075930,2246894.000,42594,1,B%,1,100,30
1760386386.074849,2251893.000,43421,1,B%,1,100,30
1760386391.074769,2256893.000,44244,1,B%,1,100,29
1760386396.073689,2261892.000,45066,1,B%,1,100,29
1760386401.073608,2266892.000,45890,1,B%,1,100,29
1760386406.072528,2271891.000,46694,1,B%,1,100,29
1760386411.072447,2276891.000,47520,1,B%,1,100,29
1760386416.071367,2281890.000,48344,1,B%,1,100,29
1760386421.071286,2286890.000,49168,1,B%,1,100,29
1760386426.070206,2291889.000,49993,1,B%,1,100,29
1760386431.070126,2296889.000,50815,1,B%,1,100,29
1760386436.069045,2301888.000,51624,1,B%,1,100,30
1760386441.068965,2306888.000,52447,1,B%,1,100,29
