LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1760386311.844043,2177661.000,31192,1,T1,1,100,31.313
1760386311.978041,2177795.000,31209,1,T1,1,100,31.313
1760386312.111039,2177928.000,31243,1,T1,1,100,31.313
1760386312.244036,2178061.000,31259,1,T1,1,100,31.171
1760386312.378034,2178195.000,31276,1,T1,1,100,31.251
1760386312.511032,2178328.000,31310,1,T1,1,100,31.250
1760386312.644030,2178461.000,31326,1,T1,1,100,31.250
1760386312.778028,2178595.000,31344,1,T1,1,100,31.286
1760386312.911026,2178728.000,31377,1,T1,1,100,31.265
1760386313.044024,2178861.000,31393,1,T1,1,100,31.363
1760386313.177022,2178994.000,31411,1,T1,1,100,31.263
1760386313.311019,2179128.000,31442,1,T1,1,100,31.220
1760386313.444017,2179261.000,31459,1,T1,1,100,31.237
1760386313.577015,2179394.000,31476,1,T1,1,100,31.244
1760386313.711013,2179528.000,31510,1,T1,1,100,31.248
1760386313.844011,2179661.000,31526,1,T1,1,100,31.320
1760386313.977009,2179794.000,31543,1,T1,1,100,31.209
1760386314.111006,2179928.000,31577,1,T1,1,100,31.232
1760386314.244004,2180061.000,31593,1,T1,1,100,31.207
1760386314.377002,2180194.000,31610,1,T1,1,100,31.125
1760386314.511000,2180328.000,31627,1,T1,1,100,31.267
1760386314.643998,2180461.000,31660,1,T1,1,100,31.222
1760386314.776996,2180594.000,31678,1,T1,1,100,31.131
1760386314.910994,2180728.000,31694,1,T1,1,100,31.305
1760386315.043991,2180861.000,31728,1,T1,1,100,31.274
1760386315.176989,2180994.000,31745,1,T1,1,100,31.225
1760386315.310987,2181128.000,31761,1,T1,1,100,31.239
1760386315.443985,2181261.000,31793,1,T1,1,100,31.281
1760386315.576983,2181394.000,31812,1,T1,1,100,31.263
1760386315.710981,2181528.000,31833,1,T1,1,100,31.256
1760386315.843979,2181661.000,31865,1,T1,1,100,31.217
1760386315.976976,2181794.000,31882,1,T1,1,100,31.271
1760386316.109974,2181927.000,31899,1,T1,1,100,31.259
1760386316.243972,2182061.000,31918,1,T1,1,100,31.325
1760386316.376970,2182194.000,31951,1,T1,1,100,31.105
1760386316.509968,2182327.000,31968,1,T1,1,100,31.294
1760386316.643966,2182461.000,31985,1,T1,1,100,31.304
1760386316.776963,2182594.000,32019,1,T1,1,100,31.203
1760386316.909961,2182727.000,32035,1,T1,1,100,31.265
1760386317.043959,2182861.000,32052,1,T1,1,100,31.292
1760386317.176957,2182994.000,32084,1,T1,1,100,31.162
1760386317.309955,2183127.000,32102,1,T1,1,100,31.212
1760386317.443953,2183261.000,32120,1,T1,1,100,31.269
1760386317.576951,2183394.000,32151,1,T1,1,100,31.258
1760386317.709949,2183527.000,32167,1,T1,1,100,31.324
1760386317.843946,2183661.000,32187,1,T1,1,100,31.282
1760386317.976944,2183794.000,32218,1,T1,1,100,31.264
1760386318.109942,2183927.000,32235,1,T1,1,100,31.256
1760386318.243940,2184061.000,32252,1,T1,1,100,31.253
1760386318.376938,2184194.000,32286,1,T1,1,100,31.251
1760386318.509936,2184327.000,32302,1,T1,1,100,31.250
1760386318.643934,2184461.000,32319,1,T1,1,100,31.250
1760386318.776931,2184594.000,32335,1,T1,1,100,31.250
1760386318.909929,2184727.000,32369,1,T1,1,100,31.215
1760386319.043927,2184861.000,32386,1,T1,1,100,31.164
1760386319.176925,2184994.000,32403,1,T1,1,100,31.213
1760386319.309923,2185127.000,32434,1,T1,1,100,31.269
1760386319.443921,2185261.000,32452,1,T1,1,100,31.258
1760386319.576919,2185394.000,32470,1,T1,1,100,31.254
1760386319.709916,2185527.000,32502,1,T1,1,100,31.252
1760386319.842914,2185660.000,32519,1,T1,1,100,31.322
1760386319.976912,2185794.000,32537,1,T1,1,100,31.210
1760386320.109910,2185927.000,32569,1,T1,1,100,31.304
1760386320.242908,2186060.000,32586,1,T1,1,100,31.380
1760386320.376906,2186194.000,32602,1,T1,1,100,31.200
1760386320.509903,2186327.000,32636,1,T1,1,100,31.264
1760386320.642901,2186460.000,32653,1,T1,1,100,31.362
1760386320.776899,2186594.000,32670,1,T1,1,100,31.263
1760386320.909897,2186727.000,32692,1,T1,1,100,31.256
1760386321.042895,2186860.000,32725,1,T1,1,100,31.288
1760386321.176893,2186994.000,32744,1,T1,1,100,31.302
1760386321.309891,2187127.000,32761,1,T1,1,100,31.308
1760386321.442888,2187260.000,32793,1,T1,1,100,31.311
1760386321.576886,2187394.000,32809,1,T1,1,100,31.276
1760386321.709884,2187527.000,32826,1,T1,1,100,31.297
1760386321.842882,2187660.000,32860,1,T1,1,100,31.235
1760386321.976880,2187794.000,32876,1,T1,1,100,31.208
1760386322.109878,2187927.000,32894,1,T1,1,100,31.267
1760386322.242876,2188060.000,32927,1,T1,1,100,31.293
1760386322.376873,2188194.000,32943,1,T1,1,100,31.269
1760386322.509871,2188327.000,32961,1,T1,1,100,31.258
1760386322.642869,2188460.000,32994,1,T1,1,100,31.360
1760386322.776867,2188594.000,33011,1,T1,1,100,31.262
1760386322.909865,2188727.000,33028,1,T1,1,100,31.220
1760386323.042863,2188860.000,33060,1,T1,1,100,31.343
1760386323.176861,2188994.000,33078,1,T1,1,100,31.290
1760386323.309859,2189127.000,33095,1,T1,1,100,31.338
1760386323.442856,2189260.000,33111,1,T1,1,100,31.253
1760386323.575854,2189393.000,33143,1,T1,1,100,31.287
1760386323.709852,2189527.000,33160,1,T1,1,100,31.266
1760386323.842850,2189660.000,33177,1,T1,1,100,31.257
1760386323.975848,2189793.000,33210,1,T1,1,100,31.324
1760386324.109846,2189927.000,33228,1,T1,1,100,31.247
1760386324.242843,2190060.000,33244,1,T1,1,100,31.213
1760386324.375841,2190193.000,33276,1,T1,1,100,31.234
1760386324.509839,2190327.000,33295,1,T1,1,100,31.243
1760386324.642837,2190460.000,33311,1,T1,1,100,31.282
1760386324.775835,2190593.000,33343,1,T1,1,100,31.264
1760386324.909833,2190727.000,33360,1,T1,1,100,31.256
1760386325.042831,2190860.000,33378,1,T1,1,100,31.146
1760386325.175828,2190993.000,33396,1,T1,1,100,31.241
1760386325.309826,2191127.000,33427,1,T1,1,100,31.317
1760386325.442824,2191260.000,33444,1,T1,1,100,31.314
1760386325.575822,2191393.000,33463,1,T1,1,100,31.349
1760386325.709820,2191527.000,33495,1,T1,1,100,31.293
1760386325.842818,2191660.000,33511,1,T1,1,100,31.233
1760386325.975816,2191793.000,33533,1,T1,1,100,31.172
1760386326.109813,2191927.000,33553,1,T1,1,100,31.287
1760386326.242811,2192060.000,33571,1,T1,1,100,31.372
1760386326.375809,2192193.000,33603,1,T1,1,100,31.338
1760386326.508807,2192326.000,33620,1,T1,1,100,31.253
1760386326.642805,2192460.000,33636,1,T1,1,100,31.251
1760386326.775803,2192593.000,33670,1,T1,1,100,31.428
1760386326.908801,2192726.000,33687,1,T1,1,100,31.291
1760386327.042799,2192860.000,33703,1,T1,1,100,31.268
1760386327.175796,2192993.000,33735,1,T1,1,100,31.258
1760386327.308794,2193126.000,33754,1,T1,1,100,31.218
1760386327.442792,2193260.000,33771,1,T1,1,100,31.236
1760386327.575790,2193393.000,33788,1,T1,1,100,31.315
1760386327.708788,2193526.000,33819,1,T1,1,100,31.314
1760386327.842786,2193660.000,33836,1,T1,1,100,31.384
1760386327.975784,2193793.000,33855,1,T1,1,100,31.237
1760386328.108781,2193926.000,33887,1,T1,1,100,31.209
1760386328.242779,2194060.000,33905,1,T1,1,100,31.232
1760386328.375777,2194193.000,33922,1,T1,1,100,31.349
1760386328.508775,2194326.000,33954,1,T1,1,100,31.257
1760386328.642773,2194460.000,33970,1,T1,1,100,31.253
1760386328.775771,2194593.000,33988,1,T1,1,100,31.358
1760386328.908768,2194726.000,34021,1,T1,1,100,31.297
1760386329.042766,2194860.000,34037,1,T1,1,100,31.306
1760386329.175764,2194993.000,34055,1,T1,1,100,31.310
1760386329.308762,2195126.000,34086,1,T1,1,100,31.240
1760386329.442760,2195260.000,34103,1,T1,1,100,31.175
1760386329.575758,2195393.000,34122,1,T1,1,100,31.359
1760386329.708755,2195526.000,34138,1,T1,1,100,31.226
1760386329.841753,2195659.000,34170,1,T1,1,100,31.240
1760386329.975751,2195793.000,34187,1,T1,1,100,31.281
1760386330.108749,2195926.000,34206,1,T1,1,100,31.193
1760386330.241747,2196059.000,34237,1,T1,1,100,31.331
1760386330.375745,2196193.000,34254,1,T1,1,100,31.321
1760386330.508743,2196326.000,34271,1,T1,1,100,31.245
1760386330.641741,2196459.000,34304,1,T1,1,100,31.177
1760386330.775738,2196593.000,34322,1,T1,1,100,31.112
1760386330.908736,2196726.000,34338,1,T1,1,100,31.226
1760386331.041734,2196859.000,34378,1,T1,1,100,31.310
1760386331.175732,2196993.000,34396,1,T1,1,100,31.383
1760386331.308730,2197126.000,34413,1,T1,1,100,31.272
1760386331.441728,2197259.000,34430,1,T1,1,100,31.295
1760386331.575726,2197393.000,34447,1,T1,1,100,31.269
1760386331.708724,2197526.000,34479,1,T1,1,100,31.258
1760386331.841721,2197659.000,34497,1,T1,1,100,31.289
1760386331.975719,2197793.000,34514,1,T1,1,100,31.267
1760386332.108717,2197926.000,34546,1,T1,1,100,31.186
1760386332.241715,2198059.000,34562,1,T1,1,100,31.258
1760386332.375713,2198193.000,34579,1,T1,1,100,31.360
1760386332.508711,2198326.000,34613,1,T1,1,100,31.227
1760386332.641708,2198459.000,34629,1,T1,1,100,31.204
1760386332.775706,2198593.000,34647,1,T1,1,100,31.301
1760386332.908704,2198726.000,34678,1,T1,1,100,31.237
1760386333.041702,2198859.000,34696,1,T1,1,100,31.244
1760386333.174700,2198992.000,34714,1,T1,1,100,31.318
1760386333.308698,2199126.000,34730,1,T1,1,100,31.351
1760386333.441696,2199259.000,34762,1,T1,1,100,31.258
1760386333.574693,2199392.000,34781,1,T1,1,100,31.253
1760386333.708691,2199526.000,34797,1,T1,1,100,31.287
1760386333.841689,2199659.000,34829,1,T1,1,100,31.337
1760386333.974687,2199792.000,34846,1,T1,1,100,31.288
1760386334.108685,2199926.000,34865,1,T1,1,100,31.266
1760386334.241683,2200059.000,34896,1,T1,1,100,31.151
1760386334.374681,2200192.000,34913,1,T1,1,100,31.278
1760386334.508678,2200326.000,34930,1,T1,1,100,31.298
1760386334.641676,2200459.000,34961,1,T1,1,100,31.200
1760386334.774674,2200592.000,34981,1,T1,1,100,31.193
1760386334.908672,2200726.000,34997,1,T1,1,100,31.261
1760386335.041670,2200859.000,35029,1,T1,1,100,31.184
1760386335.174668,2200992.000,35046,1,T1,1,100,31.221
1760386335.308666,2201126.000,35064,1,T1,1,100,31.273
1760386335.441664,2201259.000,35081,1,T1,1,100,31.260
1760386335.574661,2201392.000,35113,1,T1,1,100,31.183
1760386335.708659,2201526.000,35129,1,T1,1,100,31.257
1760386335.841657,2201659.000,35149,1,T1,1,100,31.288
1760386335.974655,2201792.000,35180,1,T1,1,100,31.267
1760386336.108653,2201926.000,35197,1,T1,1,100,31.151
1760386336.241651,2202059.000,35219,1,T1,1,100,31.207
1760386336.374648,2202192.000,35237,1,T1,1,100,31.267
1760386336.507646,2202325.000,35269,1,T1,1,100,31.257
