LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1760386315.705981,2181523,31823,1,TL,1,100,2025-10-13_16-11-50-680919
1760386315.735980,2181553,31826,1,TL,1,100,2025-10-13_16-11-55-714297
1760386320.844898,2186662,32681,1,TL,1,100,2025-10-13_16-11-55-761054
1760386320.854898,2186672,32684,1,TL,1,100,2025-10-13_16-12-00-850898
1760386325.951816,2191769,33523,1,TL,1,100,2025-10-13_16-12-00-945443
1760386325.972816,2191790,33526,1,TL,1,100,2025-10-13_16-12-05-964809
1760386331.066734,2196884,34364,1,TL,1,100,2025-10-13_16-12-06-098155
1760386331.130733,2196948,34367,1,TL,1,100,2025-10-13_16-12-11-102062
1760386336.188651,2202006,35210,1,TL,1,100,2025-10-13_16-12-11-226959
1760386341.309569,2207127,36049,1,TL,1,100,2025-10-13_16-12-16-240934
1760386341.311569,2207129,36051,1,TL,1,100,2025-10-13_16-12-16-338744
1760386346.429487,2212247,36890,1,TL,1,100,2025-10-13_16-12-21-509810
1760386346.432487,2212250,36892,1,TL,1,100,2025-10-13_16-12-21-513738
1760386346.490486,2212308,36895,1,TL,1,100,2025-10-13_16-12-26-451949
1760386351.548404,2217366,37734,1,TL,1,100,2025-10-13_16-12-26-609938
1760386351.613403,2217431,37737,1,TL,1,100,2025-10-13_16-12-31-593154
1760386356.674322,2222492,38575,1,TL,1,100,2025-10-13_16-12-31-716431
1760386356.693322,2222511,38578,1,TL,1,100,2025-10-13_16-12-36-682306
1760386361.789240,2227607,39414,1,TL,1,100,2025-10-13_16-12-36-820086
1760386361.816239,2227634,39417,1,TL,1,100,2025-10-13_16-12-41-810947
1760386366.908157,2232726,40256,1,TL,1,100,2025-10-13_16-12-41-928659
1760386366.941157,2232759,40259,1,TL,1,100,2025-10-13_16-12-46-935141
1760386372.028075,2237846,41099,1,TL,1,100,2025-10-13_16-12-47-055377
1760386372.080074,2237898,41102,1,TL,1,100,2025-10-13_16-12-52-071175
1760386377.166992,2242985,41941,1,TL,1,100,2025-10-13_16-12-57-161158
1760386382.253911,2248072,42778,1,TL,1,100,2025-10-13_16-12-57-321194
1760386382.294910,2248113,42781,1,TL,1,100,2025-10-13_16-13-02-288902
1760386387.368829,2253187,43621,1,TL,1,100,2025-10-13_16-13-02-417785
1760386387.409828,2253228,43624,1,TL,1,100,2025-10-13_16-13-07-405680
1760386392.488746,2258307,44461,1,TL,1,100,2025-10-13_16-13-07-538237
1760386397.597664,2263416,45298,1,TL,1,100,2025-10-13_16-13-12-598463
1760386397.603664,2263422,45300,1,TL,1,100,2025-10-13_16-13-12-662622
1760386397.629663,2263448,45303,1,TL,1,100,2025-10-13_16-13-17-616433
1760386402.724581,2268543,46139,1,TL,1,100,2025-10-13_16-13-17-780853
1760386402.807580,2268626,46142,1,TL,1,100,2025-10-13_16-13-22-786281
1760386407.836499,2273655,46979,1,TL,1,100,2025-10-13_16-13-22-898120
1760386407.850499,2273669,46982,1,TL,1,100,2025-10-13_16-13-27-844229
1760386412.950417,2278769,47822,1,TL,1,100,2025-10-13_16-13-27-982845
1760386413.001416,2278820,47825,1,TL,1,100,2025-10-13_16-13-32-996367
1760386418.059335,2283878,48661,1,TL,1,100,2025-10-13_16-13-33-090492
1760386418.108334,2283927,48664,1,TL,1,100,2025-10-13_16-13-38-095828
1760386423.169253,2288988,49501,1,TL,1,100,2025-10-13_16-13-38-198194
1760386423.201252,2289020,49504,1,TL,1,100,2025-10-13_16-13-43-194601
1760386428.289171,2294108,50344,1,TL,1,100,2025-10-13_16-13-43-314583
1760386428.333170,2294152,50347,1,TL,1,100,2025-10-13_16-13-48-313631
1760386433.408088,2299227,51183,1,TL,1,100,2025-10-13_16-13-48-429228
1760386433.433088,2299252,51186,1,TL,1,100,2025-10-13_16-13-53-422659
1760386438.550005,2304369,52025,1,TL,1,100,2025-10-13_16-13-53-552445
1760386443.656923,2309476,52864,1,TL,1,100,2025-10-13_16-13-58-651799
1760386443.658923,2309478,52866,1,TL,1,100,2025-10-13_16-13-58-686845
1760386443.680923,2309500,52869,1,TL,1,100,2025-10-13_16-14-03-672423
