LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1760386111.739475,1977555.000,63539,1,EL,1,100,-14913.200195
1760386111.805474,1977621.000,63555,1,EL,1,100,-14906.000000
1760386111.872473,1977688.000,63570,2,EL,1,100,-14900.000000
1760386111.939472,1977755.000,63570,2,EL,1,100,-14896.000000
1760386112.005471,1977821.000,63588,1,EL,1,100,-14895.400391
1760386112.072470,1977888.000,63606,2,EL,1,100,-14891.599609
1760386112.139469,1977955.000,63606,2,EL,1,100,-14889.000000
1760386112.206468,1978022.000,63622,1,EL,1,100,-14886.400391
1760386112.272967,1978088.500,63640,2,EL,1,100,-14888.799805
1760386112.339466,1978155.000,63640,2,EL,1,100,-14886.400391
1760386112.405465,1978221.000,63655,1,EL,1,100,-14886.200195
1760386112.472464,1978288.000,63673,2,EL,1,100,-14885.400391
1760386112.539463,1978355.000,63673,2,EL,1,100,-14881.799805
1760386112.605462,1978421.000,63689,1,EL,1,100,-14880.599609
1760386112.672461,1978488.000,63707,2,EL,1,100,-14883.200195
1760386112.739460,1978555.000,63707,2,EL,1,100,-14885.000000
1760386112.805959,1978621.500,63723,2,EL,1,100,-14884.000000
1760386112.872458,1978688.000,63723,2,EL,1,100,-14885.000000
1760386112.939457,1978755.000,63740,1,EL,1,100,-14889.799805
1760386113.005956,1978821.500,63756,2,EL,1,100,-14892.799805
1760386113.072455,1978888.000,63756,2,EL,1,100,-14895.200195
1760386113.139454,1978955.000,63774,1,EL,1,100,-14897.599609
1760386113.205953,1979021.500,63788,2,EL,1,100,-14898.000000
1760386113.272452,1979088.000,63788,2,EL,1,100,-14898.599609
1760386113.339452,1979155.000,63805,1,EL,1,100,-14900.000000
1760386113.405951,1979221.500,63822,2,EL,1,100,-14901.400391
1760386113.472450,1979288.000,63822,2,EL,1,100,-14903.000000
1760386113.539448,1979355.000,63843,1,EL,1,100,-14902.200195
1760386113.605947,1979421.500,63857,2,EL,1,100,-14904.799805
1760386113.672447,1979488.000,63857,2,EL,1,100,-14903.599609
1760386113.739446,1979555.000,63874,1,EL,1,100,-14907.599609
1760386113.805945,1979621.500,63895,2,EL,1,100,-14910.599609
1760386113.872444,1979688.000,63895,2,EL,1,100,-14908.799805
1760386113.939443,1979755.000,63912,1,EL,1,100,-14908.000000
1760386114.005942,1979821.500,63926,2,EL,1,100,-14910.200195
1760386114.072441,1979888.000,63926,2,EL,1,100,-14909.200195
1760386114.139440,1979955.000,63944,1,EL,1,100,-14911.200195
1760386114.205939,1980021.500,63960,2,EL,1,100,-14914.000000
1760386114.272438,1980088.000,63960,2,EL,1,100,-14914.000000
1760386114.339437,1980155.000,63979,1,EL,1,100,-14914.000000
1760386114.405936,1980221.500,63994,2,EL,1,100,-14915.599609
1760386114.472435,1980288.000,63994,2,EL,1,100,-14915.400391
1760386114.539434,1980355.000,64011,1,EL,1,100,-14914.000000
1760386114.605933,1980421.500,64027,2,EL,1,100,-14915.400391
1760386114.672432,1980488.000,64027,2,EL,1,100,-14915.599609
1760386114.739431,1980555.000,64046,1,EL,1,100,-14915.200195
1760386114.805930,1980621.500,64062,2,EL,1,100,-14919.200195
1760386114.872429,1980688.000,64062,2,EL,1,100,-14920.400391
1760386114.938928,1980754.500,64078,2,EL,1,100,-14921.599609
1760386115.005427,1980821.000,64078,2,EL,1,100,-14923.000000
1760386115.072426,1980888.000,64094,1,EL,1,100,-14923.200195
1760386115.138925,1980954.500,64114,2,EL,1,100,-14923.400391
1760386115.205425,1981021.000,64114,2,EL,1,100,-14923.200195
1760386115.272424,1981088.000,64132,1,EL,1,100,-14924.000000
1760386115.338923,1981154.500,64147,2,EL,1,100,-14924.599609
1760386115.405421,1981221.000,64147,2,EL,1,100,-14926.000000
1760386115.472421,1981288.000,64166,1,EL,1,100,-14926.000000
1760386115.538920,1981354.500,64185,2,EL,1,100,-14927.000000
1760386115.605419,1981421.000,64185,2,EL,1,100,-14926.599609
1760386115.672418,1981488.000,64201,1,EL,1,100,-14926.200195
1760386115.738917,1981554.500,64217,2,EL,1,100,-14926.599609
1760386115.805416,1981621.000,64217,2,EL,1,100,-14928.599609
1760386115.872415,1981688.000,64233,1,EL,1,100,-14929.200195
1760386115.938914,1981754.500,64254,2,EL,1,100,-14929.599609
1760386116.005413,1981821.000,64254,2,EL,1,100,-14929.400391
1760386116.072412,1981888.000,64270,1,EL,1,100,-14929.799805
1760386116.138911,1981954.500,64288,2,EL,1,100,-14928.799805
1760386116.205410,1982021.000,64288,2,EL,1,100,-14931.000000
1760386116.271909,1982087.500,64307,2,EL,1,100,-14932.200195
1760386116.338408,1982154.000,64307,2,EL,1,100,-14932.000000
1760386116.405407,1982221.000,64326,1,EL,1,100,-14931.000000
1760386116.471906,1982287.500,64343,2,EL,1,100,-14928.599609
1760386116.538405,1982354.000,64343,2,EL,1,100,-14928.799805
1760386116.605404,1982421.000,64360,1,EL,1,100,-14932.000000
