LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1760386111.967471,1977783.000,63583,1,HR,1,100,145.86
1760386112.287467,1978103.000,63635,1,HR,1,100,155.12
1760386112.767460,1978583.000,63702,1,HR,1,100,148.42
1760386113.567448,1979383.000,63836,1,HR,1,100,132.11
1760386113.887444,1979703.000,63887,1,HR,1,100,144.42
1760386114.380436,1980196.000,63974,1,HR,1,100,140.10
1760386114.740431,1980556.000,64041,1,HR,1,100,146.00
1760386115.220424,1981036.000,64127,1,HR,1,100,141.34
1760386115.580419,1981396.000,64180,1,HR,1,100,146.97
1760386116.020413,1981836.000,64247,1,HR,1,100,144.61
1760386116.420407,1982236.000,64321,1,HR,1,100,145.81
1760386116.860400,1982676.000,64388,1,HR,1,100,143.71
1760386117.260395,1983076.000,64456,1,HR,1,100,145.11
1760386117.700388,1983516.000,64539,1,HR,1,100,143.16
1760386118.099383,1983915.000,64606,1,HR,1,100,144.68
1760386118.539376,1984355.000,64674,1,HR,1,100,142.83
1760386118.939370,1984755.000,64741,1,HR,1,100,144.43
1760386119.339365,1985155.000,64808,1,HR,1,100,145.67
1760386119.699359,1985515.000,64861,1,HR,1,100,150.33
1760386120.139353,1985955.000,64944,1,HR,1,100,147.23
1760386120.499348,1986315.000,64997,1,HR,1,100,151.55
1760386120.979341,1986795.000,65079,1,HR,1,100,145.65
1760386121.379335,1987195.000,65156,1,HR,1,100,146.62
1760386121.779329,1987595.000,65206,1,HR,1,100,147.37
1760386122.179323,1987995.000,65273,1,HR,1,100,147.95
1760386122.619317,1988435.000,65360,1,HR,1,100,145.38
1760386122.979312,1988795.000,65410,1,HR,1,100,150.11
1760386123.419306,1989235.000,65494,1,HR,1,100,147.05
1760386123.819300,1989635.000,26,1,HR,1,100,147.71
1760386124.232294,1990048.000,93,1,HR,1,100,148.22
1760386124.592288,1990408.000,143,1,HR,1,100,152.32
1760386125.072282,1990888.000,227,1,HR,1,100,146.25
1760386125.432276,1991248.000,278,1,HR,1,100,150.78
1760386125.832271,1991648.000,346,1,HR,1,100,150.61
1760386126.192265,1992008.000,416,1,HR,1,100,154.18
1760386126.672258,1992488.000,503,1,HR,1,100,147.69
1760386126.992254,1992808.000,555,1,HR,1,100,156.54
1760386127.472247,1993288.000,638,1,HR,1,100,149.53
1760386127.832242,1993648.000,689,1,HR,1,100,153.34
1760386128.272235,1994088.000,757,1,HR,1,100,149.57
1760386128.672230,1994488.000,824,1,HR,1,100,149.66
1760386129.072224,1994888.000,891,1,HR,1,100,149.74
1760386129.392219,1995208.000,958,1,HR,1,100,158.13
1760386129.872212,1995688.000,1025,1,HR,1,100,150.77
1760386130.232207,1996048.000,1093,1,HR,1,100,154.30
1760386130.672200,1996488.000,1160,1,HR,1,100,150.31
1760386131.032195,1996848.000,1227,1,HR,1,100,153.95
1760386131.471189,1997287.000,1296,1,HR,1,100,150.04
1760386131.791184,1997607.000,1352,1,HR,1,100,158.37
1760386132.231178,1998047.000,1420,1,HR,1,100,153.48
1760386132.591173,1998407.000,1489,1,HR,1,100,156.41
1760386133.031166,1998847.000,1556,1,HR,1,100,151.95
1760386133.391161,1999207.000,1623,1,HR,1,100,155.22
1760386133.845155,1999661.000,1690,1,HR,1,100,151.03
1760386134.245149,2000061.000,1758,1,HR,1,100,150.80
1760386134.644143,2000460.000,1825,1,HR,1,100,150.62
1760386135.004138,2000820.000,1892,1,HR,1,100,154.19
1760386135.444131,2001260.000,1959,1,HR,1,100,150.23
1760386135.804126,2001620.000,2026,1,HR,1,100,153.88
1760386136.204120,2002020.000,2096,1,HR,1,100,153.02
1760386136.564115,2002380.000,2146,1,HR,1,100,156.05
1760386137.004109,2002820.000,2218,1,HR,1,100,151.68
1760386137.364104,2003180.000,2286,1,HR,1,100,155.01
1760386137.804097,2003620.000,2353,1,HR,1,100,150.86
1760386138.164092,2003980.000,2422,1,HR,1,100,154.38
1760386138.604086,2004420.000,2489,1,HR,1,100,150.37
1760386139.004080,2004820.000,2556,1,HR,1,100,150.29
1760386139.404074,2005220.000,2623,1,HR,1,100,150.23
1760386139.804068,2005620.000,2690,1,HR,1,100,150.18
1760386140.204062,2006020.000,2758,1,HR,1,100,150.14
1760386140.564057,2006380.000,2809,1,HR,1,100,153.81
1760386141.004051,2006820.000,2892,1,HR,1,100,149.93
1760386141.844039,2007660.000,3031,1,HR,1,100,132.49
1760386142.204034,2008020.000,3099,1,HR,1,100,140.08
1760386142.644027,2008460.000,3166,1,HR,1,100,139.26
1760386143.004022,2008820.000,3217,1,HR,1,100,145.35
1760386143.444016,2009260.000,3300,1,HR,1,100,143.35
1760386143.777011,2009593.000,3351,1,HR,1,100,153.16
1760386144.257004,2010073.000,3435,1,HR,1,100,146.90
1760386144.616999,2010433.000,3487,1,HR,1,100,151.30
1760386145.056992,2010873.000,3569,1,HR,1,100,147.98
1760386145.416987,2011233.000,3622,1,HR,1,100,152.13
1760386145.856981,2011673.000,3704,1,HR,1,100,148.63
1760386146.256975,2012073.000,3773,1,HR,1,100,148.93
1760386146.656969,2012473.000,3826,1,HR,1,100,149.17
1760386147.056963,2012873.000,3898,1,HR,1,100,149.35
1760386147.456958,2013273.000,3965,1,HR,1,100,149.50
1760386147.855952,2013672.000,4032,1,HR,1,100,149.61
1760386148.255946,2014072.000,4100,1,HR,1,100,149.70
1760386148.615941,2014432.000,4167,1,HR,1,100,153.47
1760386149.015935,2014832.000,4234,1,HR,1,100,152.70
1760386149.415929,2015232.000,4301,1,HR,1,100,152.10
1760386149.815923,2015632.000,4369,1,HR,1,100,151.63
1760386150.175918,2015992.000,4418,1,HR,1,100,154.97
1760386150.615912,2016432.000,4486,1,HR,1,100,150.84
1760386151.015906,2016832.000,4553,1,HR,1,100,150.65
1760386151.455899,2017272.000,4639,1,HR,1,100,147.48
1760386151.775895,2017592.000,4691,1,HR,1,100,156.37
