LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1760386116.257409,1982073,64302,2,RD,1,100,TL,TU
1760386121.369335,1987185,65151,2,RD,1,100,TL,TU
1760386126.488261,1992304,466,2,RD,1,100,TL,TU
1760386131.595187,1997411,1317,2,RD,1,100,TL,TU
1760386136.703113,2002519,2166,2,RD,1,100,TL,TU
1760386141.825039,2007641,3027,2,RD,1,100,TL,TU
1760386146.932965,2012749,3877,2,RD,1,100,TL,TU
1760386152.043891,2017860,4726,2,RD,1,100,TL,TU
1760386157.177817,2022994,5592,2,RD,1,100,TL,TU
1760386162.284743,2028101,6442,2,RD,1,100,TL,TU
1760386167.392669,2033209,7289,2,RD,1,100,TL,TU
1760386172.534594,2038351,8155,2,RD,1,100,TL,TU
1760386177.642520,2043459,9004,2,RD,1,100,TL,TU
1760386182.749446,2048566,9854,2,RD,1,100,TL,TU
1760386187.859373,2053676,10702,2,RD,1,100,TL,TU
1760386192.965299,2058782,11550,2,RD,1,100,TL,TU
1760386198.073225,2063890,12400,2,RD,1,100,TL,TU
1760386203.206150,2069023,13265,2,RD,1,100,TL,TU
1760386208.310076,2074127,14112,2,RD,1,100,TL,TU
1760386213.417002,2079234,14959,2,RD,1,100,TL,TU
1760386218.524929,2084342,15809,2,RD,1,100,TL,TU
1760386223.664854,2089482,16675,2,RD,1,100,TL,TU
1760386228.773780,2094591,17522,2,RD,1,100,TL,TU
1760386233.914706,2099732,18388,2,RD,1,100,TL,TU
1760386239.021632,2104839,19236,2,RD,1,100,TL,TU
1760386244.161557,2109979,20102,2,RD,1,100,TL,TU
