LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1760385712.109442,1577926,62608,2,AK,1,100,61823,RD
1760385712.128442,1577945,62611,2,AK,1,100,62609,RD
1760385717.226655,1583043,63450,2,AK,1,100,62609,RD
1760385717.241656,1583058,63453,2,AK,1,100,63451,RD
1760385722.348870,1588165,64294,2,AK,1,100,63451,RD
1760385722.410872,1588227,64297,2,AK,1,100,64295,RD
1760385727.466084,1593282,65145,2,AK,1,100,64295,RD
1760385727.479084,1593295,65148,2,AK,1,100,65146,RD
1760385732.574297,1598390,459,2,AK,1,100,65146,RD
1760385732.623299,1598439,462,2,AK,1,100,460,RD
1760385737.685511,1603501,1303,2,AK,1,100,460,RD
1760385737.702512,1603518,1306,2,AK,1,100,1304,RD
1760385742.793725,1608609,2150,2,AK,1,100,1304,RD
1760385742.807725,1608623,2153,2,AK,1,100,2151,RD
1760385747.912939,1613728,3018,2,AK,1,100,2151,RD
1760385747.944940,1613760,3021,2,AK,1,100,3019,RD
1760385753.019152,1618834,3865,2,AK,1,100,3019,RD
1760385753.040153,1618855,3868,2,AK,1,100,3866,RD
1760385758.127366,1623942,4711,2,AK,1,100,3866,RD
1760385758.145367,1623960,4714,2,AK,1,100,4712,RD
1760385763.257581,1629072,5572,2,AK,1,100,4712,RD
1760385763.325583,1629140,5575,2,AK,1,100,5573,RD
1760385768.365794,1634180,6429,2,AK,1,100,5573,RD
1760385768.399796,1634214,6432,2,AK,1,100,6430,RD
1760385773.475008,1639289,7277,2,AK,1,100,6430,RD
1760385773.552011,1639366,7280,2,AK,1,100,7278,RD
1760385778.589221,1644403,8129,2,AK,1,100,7278,RD
1760385778.605222,1644419,8132,2,AK,1,100,8130,RD
1760385783.696435,1649510,8976,2,AK,1,100,8130,RD
1760385783.713436,1649527,8979,2,AK,1,100,8977,RD
1760385788.835650,1654649,9837,2,AK,1,100,8977,RD
1760385788.878652,1654692,9840,2,AK,1,100,9838,RD
1760385793.942864,1659756,10688,2,AK,1,100,9838,RD
1760385793.957864,1659771,10691,2,AK,1,100,10689,RD
1760385799.051077,1664864,11537,2,AK,1,100,10689,RD
1760385799.070078,1664883,11540,2,AK,1,100,11538,RD
1760385804.188292,1670001,12400,2,AK,1,100,11538,RD
1760385809.307506,1675120,13249,2,AK,1,100,12401,RD
1760385809.325507,1675138,13252,2,AK,1,100,13250,RD
1760385814.415720,1680228,14093,2,AK,1,100,13250,RD
1760385814.467722,1680280,14096,2,AK,1,100,14094,RD
1760385819.522933,1685335,14938,2,AK,1,100,14094,RD
1760385819.542934,1685355,14941,2,AK,1,100,14939,RD
1760385824.655148,1690467,15806,2,AK,1,100,14939,RD
1760385824.683149,1690495,15809,2,AK,1,100,15807,RD
1760385829.762362,1695574,16651,2,AK,1,100,15807,RD
1760385829.802363,1695614,16654,2,AK,1,100,16652,RD
1760385834.870575,1700682,17496,2,AK,1,100,16652,RD
1760385834.893576,1700705,17499,2,AK,1,100,17497,RD
