LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1760385711.312408,1577129.000,62483,3,AY,1,100,-0.839
1760385711.312408,1577129.000,62483,3,AY,1,100,-0.837
1760385711.312408,1577129.000,62483,3,AY,1,100,-0.835
1760385711.352410,1577169.000,62500,2,AY,1,100,-0.836
1760385711.392411,1577209.000,62500,2,AY,1,100,-0.835
1760385711.432413,1577249.000,62517,3,AY,1,100,-0.834
1760385711.472415,1577289.000,62517,3,AY,1,100,-0.832
1760385711.512417,1577329.000,62517,3,AY,1,100,-0.839
1760385711.552418,1577369.000,62532,2,AY,1,100,-0.835
1760385711.592420,1577409.000,62532,2,AY,1,100,-0.832
1760385711.632421,1577449.000,62548,3,AY,1,100,-0.831
1760385711.672423,1577489.000,62548,3,AY,1,100,-0.835
1760385711.712425,1577529.000,62548,3,AY,1,100,-0.841
1760385711.752427,1577569.000,62565,3,AY,1,100,-0.830
1760385711.792428,1577609.000,62565,3,AY,1,100,-0.831
1760385711.832430,1577649.000,62565,3,AY,1,100,-0.839
1760385711.872432,1577689.000,62584,2,AY,1,100,-0.838
1760385711.912433,1577729.000,62584,2,AY,1,100,-0.836
1760385711.952435,1577769.000,62599,3,AY,1,100,-0.835
1760385711.992437,1577809.000,62599,3,AY,1,100,-0.834
1760385712.032438,1577849.000,62599,3,AY,1,100,-0.836
1760385712.072440,1577889.000,62621,4,AY,1,100,-0.836
1760385712.112442,1577929.000,62621,4,AY,1,100,-0.834
1760385712.152443,1577969.000,62621,4,AY,1,100,-0.836
1760385712.192445,1578009.000,62621,4,AY,1,100,-0.836
1760385712.232447,1578049.000,62638,3,AY,1,100,-0.834
1760385712.272448,1578089.000,62638,3,AY,1,100,-0.833
1760385712.312450,1578129.000,62638,3,AY,1,100,-0.835
1760385712.352452,1578169.000,62652,2,AY,1,100,-0.836
1760385712.392453,1578209.000,62652,2,AY,1,100,-0.835
1760385712.432455,1578249.000,62672,3,AY,1,100,-0.837
1760385712.472457,1578289.000,62672,3,AY,1,100,-0.834
1760385712.512458,1578329.000,62672,3,AY,1,100,-0.835
1760385712.552460,1578369.000,62688,2,AY,1,100,-0.833
1760385712.592462,1578409.000,62688,2,AY,1,100,-0.833
1760385712.632463,1578449.000,62707,3,AY,1,100,-0.834
1760385712.672465,1578489.000,62707,3,AY,1,100,-0.834
1760385712.712467,1578529.000,62707,3,AY,1,100,-0.835
1760385712.752468,1578569.000,62721,2,AY,1,100,-0.836
1760385712.792470,1578609.000,62721,2,AY,1,100,-0.836
1760385712.832472,1578649.000,62739,3,AY,1,100,-0.839
1760385712.872473,1578689.000,62739,3,AY,1,100,-0.839
1760385712.912475,1578729.000,62739,3,AY,1,100,-0.836
1760385712.952477,1578769.000,62755,2,AY,1,100,-0.832
1760385712.992478,1578809.000,62755,2,AY,1,100,-0.837
1760385713.032480,1578849.000,62774,3,AY,1,100,-0.835
1760385713.072482,1578889.000,62774,3,AY,1,100,-0.838
1760385713.112484,1578929.000,62774,3,AY,1,100,-0.838
1760385713.152485,1578969.000,62791,2,AY,1,100,-0.837
1760385713.192487,1579009.000,62791,2,AY,1,100,-0.838
1760385713.232488,1579049.000,62808,3,AY,1,100,-0.837
1760385713.272490,1579089.000,62808,3,AY,1,100,-0.842
1760385713.312492,1579129.000,62808,3,AY,1,100,-0.838
1760385713.352494,1579169.000,62824,3,AY,1,100,-0.836
1760385713.392495,1579209.000,62824,3,AY,1,100,-0.838
1760385713.432497,1579249.000,62824,3,AY,1,100,-0.837
1760385713.472498,1579289.000,62844,2,AY,1,100,-0.836
1760385713.512500,1579329.000,62844,2,AY,1,100,-0.837
1760385713.552502,1579369.000,62858,3,AY,1,100,-0.837
1760385713.592504,1579409.000,62858,3,AY,1,100,-0.834
1760385713.632505,1579449.000,62858,3,AY,1,100,-0.833
1760385713.672507,1579489.000,62875,2,AY,1,100,-0.835
1760385713.712508,1579529.000,62875,2,AY,1,100,-0.836
1760385713.748177,1579564.667,62891,3,AY,1,100,-0.835
1760385713.783845,1579600.333,62891,3,AY,1,100,-0.835
1760385713.819513,1579636.000,62891,3,AY,1,100,-0.836
1760385713.859515,1579676.000,62909,3,AY,1,100,-0.838
1760385713.899516,1579716.000,62909,3,AY,1,100,-0.835
1760385713.939518,1579756.000,62909,3,AY,1,100,-0.837
1760385713.979520,1579796.000,62924,2,AY,1,100,-0.835
1760385714.019521,1579836.000,62924,2,AY,1,100,-0.833
1760385714.059523,1579876.000,62940,3,AY,1,100,-0.833
1760385714.099525,1579916.000,62940,3,AY,1,100,-0.835
1760385714.139526,1579956.000,62940,3,AY,1,100,-0.835
1760385714.179528,1579996.000,62957,2,AY,1,100,-0.837
1760385714.219530,1580036.000,62957,2,AY,1,100,-0.836
1760385714.259531,1580076.000,62974,3,AY,1,100,-0.834
1760385714.299533,1580116.000,62974,3,AY,1,100,-0.834
1760385714.339535,1580156.000,62974,3,AY,1,100,-0.835
1760385714.379536,1580196.000,62990,2,AY,1,100,-0.834
1760385714.419538,1580236.000,62990,2,AY,1,100,-0.836
1760385714.459540,1580276.000,63006,3,AY,1,100,-0.834
1760385714.499542,1580316.000,63006,3,AY,1,100,-0.835
1760385714.539543,1580356.000,63006,3,AY,1,100,-0.832
1760385714.579545,1580396.000,63022,2,AY,1,100,-0.832
1760385714.619546,1580436.000,63022,2,AY,1,100,-0.832
1760385714.659548,1580476.000,63039,3,AY,1,100,-0.835
1760385714.699550,1580516.000,63039,3,AY,1,100,-0.835
1760385714.739552,1580556.000,63039,3,AY,1,100,-0.833
1760385714.779553,1580596.000,63056,2,AY,1,100,-0.839
1760385714.819555,1580636.000,63056,2,AY,1,100,-0.835
1760385714.859556,1580676.000,63073,3,AY,1,100,-0.834
1760385714.899558,1580716.000,63073,3,AY,1,100,-0.834
1760385714.939560,1580756.000,63073,3,AY,1,100,-0.834
1760385714.979562,1580796.000,63089,3,AY,1,100,-0.833
1760385715.019563,1580836.000,63089,3,AY,1,100,-0.834
1760385715.059565,1580876.000,63089,3,AY,1,100,-0.832
1760385715.099566,1580916.000,63106,2,AY,1,100,-0.837
1760385715.139568,1580956.000,63106,2,AY,1,100,-0.835
1760385715.179570,1580996.000,63123,3,AY,1,100,-0.835
1760385715.219572,1581036.000,63123,3,AY,1,100,-0.835
1760385715.259573,1581076.000,63123,3,AY,1,100,-0.838
1760385715.299575,1581116.000,63138,2,AY,1,100,-0.834
1760385715.339576,1581156.000,63138,2,AY,1,100,-0.838
1760385715.379578,1581196.000,63154,3,AY,1,100,-0.836
1760385715.419580,1581236.000,63154,3,AY,1,100,-0.833
1760385715.459582,1581276.000,63154,3,AY,1,100,-0.838
1760385715.499583,1581316.000,63172,2,AY,1,100,-0.839
1760385715.539585,1581356.000,63172,2,AY,1,100,-0.834
1760385715.579587,1581396.000,63190,3,AY,1,100,-0.839
1760385715.619588,1581436.000,63190,3,AY,1,100,-0.835
1760385715.659590,1581476.000,63190,3,AY,1,100,-0.834
1760385715.699592,1581516.000,63205,2,AY,1,100,-0.834
1760385715.739593,1581556.000,63205,2,AY,1,100,-0.837
1760385715.779595,1581596.000,63222,3,AY,1,100,-0.836
1760385715.819597,1581636.000,63222,3,AY,1,100,-0.834
1760385715.859598,1581676.000,63222,3,AY,1,100,-0.835
1760385715.899600,1581716.000,63239,2,AY,1,100,-0.837
1760385715.939602,1581756.000,63239,2,AY,1,100,-0.834
1760385715.979603,1581796.000,63255,3,AY,1,100,-0.835
1760385716.019605,1581836.000,63255,3,AY,1,100,-0.841
1760385716.059607,1581876.000,63255,3,AY,1,100,-0.833
1760385716.099608,1581916.000,63271,2,AY,1,100,-0.835
1760385716.139610,1581956.000,63271,2,AY,1,100,-0.837
1760385716.179612,1581996.000,63291,3,AY,1,100,-0.837
1760385716.219613,1582036.000,63291,3,AY,1,100,-0.828
1760385716.259615,1582076.000,63291,3,AY,1,100,-0.832
1760385716.299617,1582116.000,63308,2,AY,1,100,-0.836
1760385716.339618,1582156.000,63308,2,AY,1,100,-0.831
1760385716.379620,1582196.000,63324,3,AY,1,100,-0.828
1760385716.419622,1582236.000,63324,3,AY,1,100,-0.825
1760385716.459623,1582276.000,63324,3,AY,1,100,-0.833
1760385716.499625,1582316.000,63342,3,AY,1,100,-0.838
1760385716.539627,1582356.000,63342,3,AY,1,100,-0.833
1760385716.579628,1582396.000,63342,3,AY,1,100,-0.833
1760385716.619630,1582436.000,63356,2,AY,1,100,-0.834
1760385716.659632,1582476.000,63356,2,AY,1,100,-0.838
1760385716.699633,1582516.000,63373,3,AY,1,100,-0.837
1760385716.739635,1582556.000,63373,3,AY,1,100,-0.837
1760385716.779637,1582596.000,63373,3,AY,1,100,-0.833
1760385716.819638,1582636.000,63390,2,AY,1,100,-0.829
1760385716.859640,1582676.000,63390,2,AY,1,100,-0.836
1760385716.899642,1582716.000,63407,3,AY,1,100,-0.840
1760385716.939644,1582756.000,63407,3,AY,1,100,-0.836
1760385716.979645,1582796.000,63407,3,AY,1,100,-0.837
1760385717.019647,1582836.000,63423,2,AY,1,100,-0.834
1760385717.059649,1582876.000,63423,2,AY,1,100,-0.833
1760385717.099650,1582916.000,63441,3,AY,1,100,-0.833
1760385717.139652,1582956.000,63441,3,AY,1,100,-0.834
1760385717.179654,1582996.000,63441,3,AY,1,100,-0.833
1760385717.219322,1583035.667,63462,3,AY,1,100,-0.838
1760385717.258990,1583075.333,63462,3,AY,1,100,-0.833
1760385717.298659,1583115.000,63462,3,AY,1,100,-0.839
1760385717.334327,1583150.667,63481,3,AY,1,100,-0.832
1760385717.369995,1583186.333,63481,3,AY,1,100,-0.836
1760385717.405663,1583222.000,63481,3,AY,1,100,-0.839
1760385717.445665,1583262.000,63498,3,AY,1,100,-0.835
1760385717.485666,1583302.000,63498,3,AY,1,100,-0.838
1760385717.525668,1583342.000,63498,3,AY,1,100,-0.840
1760385717.565670,1583382.000,63515,2,AY,1,100,-0.839
1760385717.605671,1583422.000,63515,2,AY,1,100,-0.841
1760385717.645673,1583462.000,63531,3,AY,1,100,-0.839
1760385717.685675,1583502.000,63531,3,AY,1,100,-0.835
1760385717.725676,1583542.000,63531,3,AY,1,100,-0.832
1760385717.765678,1583582.000,63548,2,AY,1,100,-0.834
1760385717.805680,1583622.000,63548,2,AY,1,100,-0.838
1760385717.845681,1583662.000,63565,3,AY,1,100,-0.836
1760385717.885683,1583702.000,63565,3,AY,1,100,-0.836
1760385717.925685,1583742.000,63565,3,AY,1,100,-0.835
1760385717.965686,1583782.000,63581,2,AY,1,100,-0.836
1760385718.005688,1583822.000,63581,2,AY,1,100,-0.833
1760385718.045357,1583861.667,63596,3,AY,1,100,-0.837
1760385718.085025,1583901.333,63596,3,AY,1,100,-0.836
1760385718.124693,1583941.000,63596,3,AY,1,100,-0.837
1760385718.165028,1583981.333,63614,3,AY,1,100,-0.836
1760385718.205363,1584021.667,63614,3,AY,1,100,-0.837
1760385718.245698,1584062.000,63614,3,AY,1,100,-0.835
1760385718.285700,1584102.000,63630,2,AY,1,100,-0.833
1760385718.325701,1584142.000,63630,2,AY,1,100,-0.837
1760385718.365703,1584182.000,63647,3,AY,1,100,-0.833
1760385718.405705,1584222.000,63647,3,AY,1,100,-0.832
1760385718.445706,1584262.000,63647,3,AY,1,100,-0.833
1760385718.485208,1584301.500,63662,2,AY,1,100,-0.835
1760385718.524710,1584341.000,63662,2,AY,1,100,-0.834
1760385718.564712,1584381.000,63679,3,AY,1,100,-0.837
1760385718.604713,1584421.000,63679,3,AY,1,100,-0.835
1760385718.644715,1584461.000,63679,3,AY,1,100,-0.832
1760385718.685216,1584501.500,63695,2,AY,1,100,-0.835
1760385718.725718,1584542.000,63695,2,AY,1,100,-0.835
1760385718.765387,1584581.667,63715,3,AY,1,100,-0.833
1760385718.805055,1584621.333,63715,3,AY,1,100,-0.831
1760385718.844723,1584661.000,63715,3,AY,1,100,-0.833
1760385718.884725,1584701.000,63729,2,AY,1,100,-0.836
1760385718.924726,1584741.000,63729,2,AY,1,100,-0.834
1760385718.964728,1584781.000,63746,3,AY,1,100,-0.835
1760385719.004730,1584821.000,63746,3,AY,1,100,-0.835
1760385719.044732,1584861.000,63746,3,AY,1,100,-0.832
1760385719.084733,1584901.000,63762,2,AY,1,100,-0.834
1760385719.124735,1584941.000,63762,2,AY,1,100,-0.835
1760385719.164737,1584981.000,63780,3,AY,1,100,-0.836
1760385719.204738,1585021.000,63780,3,AY,1,100,-0.836
1760385719.244740,1585061.000,63780,3,AY,1,100,-0.839
1760385719.284742,1585101.000,63796,2,AY,1,100,-0.834
1760385719.324743,1585141.000,63796,2,AY,1,100,-0.838
1760385719.364745,1585181.000,63813,3,AY,1,100,-0.838
1760385719.404747,1585221.000,63813,3,AY,1,100,-0.835
1760385719.444748,1585261.000,63813,3,AY,1,100,-0.844
1760385719.484750,1585301.000,63830,3,AY,1,100,-0.838
1760385719.524752,1585341.000,63830,3,AY,1,100,-0.833
1760385719.564753,1585381.000,63830,3,AY,1,100,-0.839
1760385719.604755,1585421.000,63847,2,AY,1,100,-0.841
1760385719.644757,1585461.000,63847,2,AY,1,100,-0.840
1760385719.684758,1585501.000,63861,3,AY,1,100,-0.840
1760385719.724760,1585541.000,63861,3,AY,1,100,-0.838
1760385719.764762,1585581.000,63861,3,AY,1,100,-0.837
1760385719.804763,1585621.000,63879,2,AY,1,100,-0.839
1760385719.844765,1585661.000,63879,2,AY,1,100,-0.834
1760385719.884767,1585701.000,63895,3,AY,1,100,-0.836
1760385719.924768,1585741.000,63895,3,AY,1,100,-0.833
1760385719.964770,1585781.000,63895,3,AY,1,100,-0.841
1760385720.004772,1585821.000,63914,2,AY,1,100,-0.841
1760385720.044773,1585861.000,63914,2,AY,1,100,-0.840
1760385720.084775,1585901.000,63929,3,AY,1,100,-0.833
1760385720.124777,1585941.000,63929,3,AY,1,100,-0.836
1760385720.164778,1585981.000,63929,3,AY,1,100,-0.838
1760385720.204780,1586021.000,63948,2,AY,1,100,-0.837
1760385720.244782,1586061.000,63948,2,AY,1,100,-0.836
1760385720.284783,1586101.000,63964,3,AY,1,100,-0.833
1760385720.324785,1586141.000,63964,3,AY,1,100,-0.835
1760385720.364787,1586181.000,63964,3,AY,1,100,-0.832
1760385720.404788,1586221.000,63981,2,AY,1,100,-0.833
1760385720.444790,1586261.000,63981,2,AY,1,100,-0.832
1760385720.484792,1586301.000,64000,3,AY,1,100,-0.835
1760385720.524793,1586341.000,64000,3,AY,1,100,-0.838
1760385720.564795,1586381.000,64000,3,AY,1,100,-0.841
1760385720.604797,1586421.000,64015,2,AY,1,100,-0.834
1760385720.644799,1586461.000,64015,2,AY,1,100,-0.838
1760385720.684800,1586501.000,64031,3,AY,1,100,-0.835
1760385720.724802,1586541.000,64031,3,AY,1,100,-0.837
1760385720.764803,1586581.000,64031,3,AY,1,100,-0.841
1760385720.804805,1586621.000,64049,3,AY,1,100,-0.835
1760385720.844807,1586661.000,64049,3,AY,1,100,-0.835
1760385720.884809,1586701.000,64049,3,AY,1,100,-0.839
1760385720.918310,1586734.500,64065,2,AY,1,100,-0.839
1760385720.951811,1586768.000,64065,2,AY,1,100,-0.834
1760385720.991813,1586808.000,64080,3,AY,1,100,-0.839
1760385721.031815,1586848.000,64080,3,AY,1,100,-0.834
1760385721.071816,1586888.000,64080,3,AY,1,100,-0.835
1760385721.111818,1586928.000,64099,3,AY,1,100,-0.834
1760385721.151820,1586968.000,64099,3,AY,1,100,-0.832
1760385721.191821,1587008.000,64099,3,AY,1,100,-0.840
1760385721.231823,1587048.000,64118,2,AY,1,100,-0.838
1760385721.271825,1587088.000,64118,2,AY,1,100,-0.840
1760385721.311826,1587128.000,64136,3,AY,1,100,-0.834
1760385721.351828,1587168.000,64136,3,AY,1,100,-0.838
1760385721.391830,1587208.000,64136,3,AY,1,100,-0.840
1760385721.431831,1587248.000,64151,2,AY,1,100,-0.838
1760385721.471833,1587288.000,64151,2,AY,1,100,-0.842
1760385721.511835,1587328.000,64168,3,AY,1,100,-0.844
1760385721.551836,1587368.000,64168,3,AY,1,100,-0.846
1760385721.591838,1587408.000,64168,3,AY,1,100,-0.841
1760385721.631840,1587448.000,64185,2,AY,1,100,-0.836
1760385721.671841,1587488.000,64185,2,AY,1,100,-0.839
1760385721.711843,1587528.000,64203,3,AY,1,100,-0.826
1760385721.751845,1587568.000,64203,3,AY,1,100,-0.809
1760385721.791847,1587608.000,64203,3,AY,1,100,-0.832
1760385721.831848,1587648.000,64219,2,AY,1,100,-0.840
1760385721.871850,1587688.000,64219,2,AY,1,100,-0.839
1760385721.911851,1587728.000,64235,3,AY,1,100,-0.825
1760385721.951853,1587768.000,64235,3,AY,1,100,-0.841
1760385721.991855,1587808.000,64235,3,AY,1,100,-0.842
1760385722.031857,1587848.000,64252,2,AY,1,100,-0.839
1760385722.071858,1587888.000,64252,2,AY,1,100,-0.848
1760385722.111860,1587928.000,64269,3,AY,1,100,-0.843
1760385722.151861,1587968.000,64269,3,AY,1,100,-0.838
1760385722.191863,1588008.000,64269,3,AY,1,100,-0.838
1760385722.231865,1588048.000,64285,2,AY,1,100,-0.843
1760385722.271867,1588088.000,64285,2,AY,1,100,-0.836
1760385722.311868,1588128.000,64309,4,AY,1,100,-0.841
1760385722.351870,1588168.000,64309,4,AY,1,100,-0.838
1760385722.391871,1588208.000,64309,4,AY,1,100,-0.830
1760385722.431873,1588248.000,64309,4,AY,1,100,-0.834
1760385722.471875,1588288.000,64324,3,AY,1,100,-0.837
1760385722.511877,1588328.000,64324,3,AY,1,100,-0.834
1760385722.551878,1588368.000,64324,3,AY,1,100,-0.835
1760385722.591880,1588408.000,64341,2,AY,1,100,-0.831
1760385722.631881,1588448.000,64341,2,AY,1,100,-0.846
1760385722.671883,1588488.000,64357,3,AY,1,100,-0.835
1760385722.711885,1588528.000,64357,3,AY,1,100,-0.846
1760385722.751887,1588568.000,64357,3,AY,1,100,-0.832
1760385722.791888,1588608.000,64377,2,AY,1,100,-0.826
1760385722.831890,1588648.000,64377,2,AY,1,100,-0.839
1760385722.871891,1588688.000,64391,3,AY,1,100,-0.833
1760385722.911893,1588728.000,64391,3,AY,1,100,-0.833
1760385722.951895,1588768.000,64391,3,AY,1,100,-0.840
1760385722.991897,1588808.000,64410,2,AY,1,100,-0.839
1760385723.031898,1588848.000,64410,2,AY,1,100,-0.840
1760385723.071900,1588888.000,64426,3,AY,1,100,-0.837
1760385723.111902,1588928.000,64426,3,AY,1,100,-0.834
1760385723.151903,1588968.000,64426,3,AY,1,100,-0.837
1760385723.191905,1589008.000,64446,3,AY,1,100,-0.833
1760385723.231907,1589048.000,64446,3,AY,1,100,-0.839
1760385723.271908,1589088.000,64446,3,AY,1,100,-0.838
1760385723.311910,1589128.000,64461,2,AY,1,100,-0.836
1760385723.351912,1589168.000,64461,2,AY,1,100,-0.839
1760385723.391913,1589208.000,64477,3,AY,1,100,-0.840
1760385723.431915,1589248.000,64477,3,AY,1,100,-0.835
1760385723.471917,1589288.000,64477,3,AY,1,100,-0.835
1760385723.511918,1589328.000,64494,2,AY,1,100,-0.843
1760385723.551920,1589368.000,64494,2,AY,1,100,-0.841
1760385723.591922,1589408.000,64511,3,AY,1,100,-0.839
1760385723.631923,1589448.000,64511,3,AY,1,100,-0.838
1760385723.671925,1589488.000,64511,3,AY,1,100,-0.833
1760385723.711927,1589528.000,64528,2,AY,1,100,-0.838
1760385723.751928,1589568.000,64528,2,AY,1,100,-0.841
1760385723.791930,1589608.000,64545,3,AY,1,100,-0.840
1760385723.831932,1589648.000,64545,3,AY,1,100,-0.842
1760385723.871933,1589688.000,64545,3,AY,1,100,-0.841
1760385723.911935,1589728.000,64561,2,AY,1,100,-0.840
1760385723.951937,1589768.000,64561,2,AY,1,100,-0.839
1760385723.991938,1589808.000,64578,3,AY,1,100,-0.838
1760385724.031940,1589848.000,64578,3,AY,1,100,-0.840
1760385724.071942,1589888.000,64578,3,AY,1,100,-0.838
1760385724.111943,1589928.000,64597,2,AY,1,100,-0.835
1760385724.151945,1589968.000,64597,2,AY,1,100,-0.834
1760385724.191947,1590008.000,64612,3,AY,1,100,-0.836
1760385724.231948,1590048.000,64612,3,AY,1,100,-0.838
1760385724.271950,1590088.000,64612,3,AY,1,100,-0.833
1760385724.307285,1590123.333,64628,3,AY,1,100,-0.838
1760385724.342620,1590158.667,64628,3,AY,1,100,-0.835
1760385724.377954,1590194.000,64628,3,AY,1,100,-0.838
1760385724.417956,1590234.000,64645,2,AY,1,100,-0.842
1760385724.457958,1590274.000,64645,2,AY,1,100,-0.839
1760385724.497960,1590314.000,64662,3,AY,1,100,-0.836
1760385724.537961,1590354.000,64662,3,AY,1,100,-0.835
1760385724.577963,1590394.000,64662,3,AY,1,100,-0.832
