LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1760385716.143610,1581960.000,63279,1,BV,1,100,3.63
1760385721.143819,1586960.000,64107,1,BV,1,100,3.63
1760385726.143028,1591959.000,64939,1,BV,1,100,3.63
1760385731.143238,1596959.000,236,1,BV,1,100,3.63
1760385736.142447,1601958.000,1064,1,BV,1,100,3.63
1760385741.142656,1606958.000,1896,1,BV,1,100,3.63
1760385746.141865,1611957.000,2726,1,BV,1,100,3.63
1760385751.142074,1616957.000,3576,1,BV,1,100,3.63
1760385756.141283,1621956.000,4405,1,BV,1,100,3.63
1760385761.141492,1626956.000,5237,1,BV,1,100,3.63
1760385766.140701,1631955.000,6064,1,BV,1,100,3.63
1760385771.140910,1636955.000,6899,1,BV,1,100,3.63
1760385776.140119,1641954.000,7739,1,BV,1,100,3.63
1760385781.140328,1646954.000,8571,1,BV,1,100,3.63
1760385786.139537,1651953.000,9399,1,BV,1,100,3.63
1760385791.139746,1656953.000,10244,1,BV,1,100,3.63
1760385796.138956,1661952.000,11084,1,BV,1,100,3.63
1760385801.139165,1666952.000,11910,1,BV,1,100,3.62
1760385806.138374,1671951.000,12742,1,BV,1,100,3.63
1760385811.138583,1676951.000,13573,1,BV,1,100,3.63
1760385816.137792,1681950.000,14399,1,BV,1,100,3.63
1760385821.138001,1686950.000,15229,1,BV,1,100,3.63
1760385826.137210,1691949.000,16061,1,BV,1,100,3.63
1760385831.137419,1696949.000,16907,1,BV,1,100,3.63
1760385836.137628,1701949.000,17740,1,BV,1,100,3.63
