LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1760385711.311408,1577128.000,62478,2,EA,1,100,0.051791
1760385711.311408,1577128.000,62478,2,EA,1,100,0.051856
1760385711.378411,1577195.000,62495,1,EA,1,100,0.051926
1760385711.444914,1577261.500,62512,2,EA,1,100,0.052015
1760385711.511416,1577328.000,62512,2,EA,1,100,0.052095
1760385711.578419,1577395.000,62529,1,EA,1,100,0.052172
1760385711.644922,1577461.500,62543,2,EA,1,100,0.052258
1760385711.711425,1577528.000,62543,2,EA,1,100,0.052335
1760385711.778428,1577595.000,62560,1,EA,1,100,0.052420
1760385711.844930,1577661.500,62579,2,EA,1,100,0.052520
1760385711.911433,1577728.000,62579,2,EA,1,100,0.052601
1760385711.978436,1577795.000,62596,1,EA,1,100,0.052689
1760385712.045105,1577861.667,62616,3,EA,1,100,0.052769
1760385712.111775,1577928.333,62616,3,EA,1,100,0.052857
1760385712.178444,1577995.000,62616,3,EA,1,100,0.052951
1760385712.244947,1578061.500,62633,2,EA,1,100,0.053038
1760385712.311450,1578128.000,62633,2,EA,1,100,0.053139
1760385712.378453,1578195.000,62649,1,EA,1,100,0.053234
1760385712.444956,1578261.500,62667,2,EA,1,100,0.053323
1760385712.511458,1578328.000,62667,2,EA,1,100,0.053405
1760385712.578461,1578395.000,62683,1,EA,1,100,0.053493
1760385712.644964,1578461.500,62702,2,EA,1,100,0.053584
1760385712.711467,1578528.000,62702,2,EA,1,100,0.053668
1760385712.778470,1578595.000,62718,1,EA,1,100,0.053758
1760385712.844972,1578661.500,62734,2,EA,1,100,0.053847
1760385712.911475,1578728.000,62734,2,EA,1,100,0.053937
1760385712.978478,1578795.000,62750,1,EA,1,100,0.054019
1760385713.044981,1578861.500,62769,2,EA,1,100,0.054111
1760385713.111483,1578928.000,62769,2,EA,1,100,0.054202
1760385713.178486,1578995.000,62788,1,EA,1,100,0.054287
1760385713.244989,1579061.500,62803,2,EA,1,100,0.054373
1760385713.311492,1579128.000,62803,2,EA,1,100,0.054461
1760385713.378495,1579195.000,62819,1,EA,1,100,0.054554
1760385713.444997,1579261.500,62839,2,EA,1,100,0.054645
1760385713.511500,1579328.000,62839,2,EA,1,100,0.054730
1760385713.578503,1579395.000,62855,1,EA,1,100,0.054815
1760385713.645006,1579461.500,62870,2,EA,1,100,0.054904
1760385713.711509,1579528.000,62870,2,EA,1,100,0.054993
1760385713.778511,1579595.000,62886,1,EA,1,100,0.055081
1760385713.845014,1579661.500,62904,2,EA,1,100,0.055162
1760385713.911517,1579728.000,62904,2,EA,1,100,0.055251
1760385713.978520,1579795.000,62920,1,EA,1,100,0.055339
1760385714.045022,1579861.500,62936,2,EA,1,100,0.055422
1760385714.111525,1579928.000,62936,2,EA,1,100,0.055506
1760385714.178028,1579994.500,62952,2,EA,1,100,0.055593
1760385714.244531,1580061.000,62952,2,EA,1,100,0.055685
1760385714.311534,1580128.000,62969,1,EA,1,100,0.055770
1760385714.378036,1580194.500,62985,2,EA,1,100,0.055862
1760385714.444539,1580261.000,62985,2,EA,1,100,0.055946
1760385714.511542,1580328.000,63003,1,EA,1,100,0.056029
1760385714.578045,1580394.500,63017,2,EA,1,100,0.056131
1760385714.644547,1580461.000,63017,2,EA,1,100,0.056221
1760385714.711550,1580528.000,63034,1,EA,1,100,0.056307
1760385714.778053,1580594.500,63051,2,EA,1,100,0.056408
1760385714.844556,1580661.000,63051,2,EA,1,100,0.056493
1760385714.911559,1580728.000,63070,1,EA,1,100,0.056577
1760385714.978061,1580794.500,63084,2,EA,1,100,0.056663
1760385715.044564,1580861.000,63084,2,EA,1,100,0.056749
1760385715.111567,1580928.000,63101,1,EA,1,100,0.056838
1760385715.178070,1580994.500,63118,2,EA,1,100,0.056921
1760385715.244573,1581061.000,63118,2,EA,1,100,0.057010
1760385715.311575,1581128.000,63135,1,EA,1,100,0.057111
1760385715.378078,1581194.500,63149,2,EA,1,100,0.057201
1760385715.444581,1581261.000,63149,2,EA,1,100,0.057292
1760385715.511584,1581328.000,63167,1,EA,1,100,0.057381
1760385715.578087,1581394.500,63185,2,EA,1,100,0.057469
1760385715.644589,1581461.000,63185,2,EA,1,100,0.057552
1760385715.711592,1581528.000,63202,1,EA,1,100,0.057634
1760385715.778095,1581594.500,63217,2,EA,1,100,0.057728
1760385715.844598,1581661.000,63217,2,EA,1,100,0.057804
1760385715.911601,1581728.000,63234,1,EA,1,100,0.057887
1760385715.978103,1581794.500,63250,2,EA,1,100,0.057991
1760385716.044606,1581861.000,63250,2,EA,1,100,0.058090
1760385716.111609,1581928.000,63267,1,EA,1,100,0.058182
1760385716.178112,1581994.500,63287,2,EA,1,100,0.058264
1760385716.244614,1582061.000,63287,2,EA,1,100,0.058342
1760385716.311617,1582128.000,63303,1,EA,1,100,0.058427
1760385716.378120,1582194.500,63319,2,EA,1,100,0.058521
1760385716.444623,1582261.000,63319,2,EA,1,100,0.058616
1760385716.511126,1582327.500,63337,2,EA,1,100,0.058711
1760385716.577628,1582394.000,63337,2,EA,1,100,0.058802
1760385716.644631,1582461.000,63353,1,EA,1,100,0.058896
1760385716.711134,1582527.500,63368,2,EA,1,100,0.058994
1760385716.777637,1582594.000,63368,2,EA,1,100,0.059088
1760385716.844640,1582661.000,63385,1,EA,1,100,0.059172
1760385716.911142,1582727.500,63402,2,EA,1,100,0.059266
1760385716.977645,1582794.000,63402,2,EA,1,100,0.059354
1760385717.044648,1582861.000,63420,1,EA,1,100,0.059438
1760385717.111151,1582927.500,63436,2,EA,1,100,0.059519
1760385717.177654,1582994.000,63436,2,EA,1,100,0.059616
1760385717.244656,1583061.000,63457,2,EA,1,100,0.059705
1760385717.311659,1583128.000,63457,2,EA,1,100,0.059805
1760385717.377662,1583194.000,63476,1,EA,1,100,0.059885
1760385717.444665,1583261.000,63493,2,EA,1,100,0.059976
1760385717.511667,1583328.000,63493,2,EA,1,100,0.060067
1760385717.577670,1583394.000,63512,1,EA,1,100,0.060153
1760385717.644673,1583461.000,63526,2,EA,1,100,0.060240
1760385717.711676,1583528.000,63526,2,EA,1,100,0.060328
1760385717.777678,1583594.000,63543,1,EA,1,100,0.060413
1760385717.844181,1583660.500,63560,2,EA,1,100,0.060498
1760385717.910684,1583727.000,63560,2,EA,1,100,0.060581
1760385717.977687,1583794.000,63577,1,EA,1,100,0.060671
1760385718.044190,1583860.500,63592,2,EA,1,100,0.060757
1760385718.110693,1583927.000,63592,2,EA,1,100,0.060839
1760385718.177695,1583994.000,63609,1,EA,1,100,0.060930
1760385718.244198,1584060.500,63625,2,EA,1,100,0.061017
1760385718.310701,1584127.000,63625,2,EA,1,100,0.061108
1760385718.377704,1584194.000,63642,2,EA,1,100,0.061196
1760385718.444706,1584261.000,63642,2,EA,1,100,0.061289
1760385718.510709,1584327.000,63659,1,EA,1,100,0.061380
1760385718.577712,1584394.000,63674,2,EA,1,100,0.061481
1760385718.644715,1584461.000,63674,2,EA,1,100,0.061568
1760385718.710718,1584527.000,63690,1,EA,1,100,0.061655
1760385718.777720,1584594.000,63710,2,EA,1,100,0.061728
1760385718.844723,1584661.000,63710,2,EA,1,100,0.061825
1760385718.910726,1584727.000,63726,1,EA,1,100,0.061909
1760385718.977729,1584794.000,63741,2,EA,1,100,0.061999
1760385719.044732,1584861.000,63741,2,EA,1,100,0.062087
1760385719.110734,1584927.000,63757,1,EA,1,100,0.062172
1760385719.177737,1584994.000,63775,2,EA,1,100,0.062273
1760385719.244740,1585061.000,63775,2,EA,1,100,0.062358
1760385719.310743,1585127.000,63793,1,EA,1,100,0.062440
1760385719.377745,1585194.000,63808,2,EA,1,100,0.062531
1760385719.444748,1585261.000,63808,2,EA,1,100,0.062608
1760385719.510751,1585327.000,63825,1,EA,1,100,0.062690
1760385719.577754,1585394.000,63842,2,EA,1,100,0.062780
1760385719.644757,1585461.000,63842,2,EA,1,100,0.062867
1760385719.710759,1585527.000,63858,1,EA,1,100,0.062964
1760385719.777762,1585594.000,63874,2,EA,1,100,0.063056
1760385719.844765,1585661.000,63874,2,EA,1,100,0.063155
1760385719.910768,1585727.000,63890,1,EA,1,100,0.063254
1760385719.977771,1585794.000,63909,2,EA,1,100,0.063337
1760385720.044773,1585861.000,63909,2,EA,1,100,0.063418
1760385720.110776,1585927.000,63925,1,EA,1,100,0.063509
1760385720.177779,1585994.000,63944,2,EA,1,100,0.063612
1760385720.244782,1586061.000,63944,2,EA,1,100,0.063693
1760385720.310785,1586127.000,63959,1,EA,1,100,0.063785
1760385720.377787,1586194.000,63976,2,EA,1,100,0.063876
1760385720.444790,1586261.000,63976,2,EA,1,100,0.063983
1760385720.511293,1586327.500,63995,2,EA,1,100,0.064087
1760385720.577796,1586394.000,63995,2,EA,1,100,0.064161
1760385720.644799,1586461.000,64012,1,EA,1,100,0.064241
1760385720.711301,1586527.500,64026,2,EA,1,100,0.064329
1760385720.777804,1586594.000,64026,2,EA,1,100,0.064402
1760385720.844807,1586661.000,64044,1,EA,1,100,0.064486
1760385720.911309,1586727.500,64060,2,EA,1,100,0.064590
1760385720.977812,1586794.000,64060,2,EA,1,100,0.064675
1760385721.044815,1586861.000,64077,1,EA,1,100,0.064768
1760385721.111318,1586927.500,64094,2,EA,1,100,0.064859
1760385721.177821,1586994.000,64094,2,EA,1,100,0.064944
1760385721.244823,1587061.000,64113,1,EA,1,100,0.065031
1760385721.311326,1587127.500,64131,2,EA,1,100,0.065124
1760385721.377829,1587194.000,64131,2,EA,1,100,0.065207
1760385721.444832,1587261.000,64148,1,EA,1,100,0.065293
1760385721.511335,1587327.500,64163,2,EA,1,100,0.065425
1760385721.577837,1587394.000,64163,2,EA,1,100,0.065500
1760385721.644840,1587461.000,64180,1,EA,1,100,0.065585
1760385721.711343,1587527.500,64198,2,EA,1,100,0.065652
1760385721.777846,1587594.000,64198,2,EA,1,100,0.065738
1760385721.844849,1587661.000,64216,1,EA,1,100,0.065834
1760385721.911351,1587727.500,64230,2,EA,1,100,0.065924
1760385721.977854,1587794.000,64230,2,EA,1,100,0.066003
1760385722.044857,1587861.000,64247,1,EA,1,100,0.066088
1760385722.111360,1587927.500,64264,2,EA,1,100,0.066173
1760385722.177863,1587994.000,64264,2,EA,1,100,0.066271
1760385722.243865,1588060.000,64281,1,EA,1,100,0.066360
1760385722.310535,1588126.667,64304,3,EA,1,100,0.066446
1760385722.377204,1588193.333,64304,3,EA,1,100,0.066533
1760385722.443874,1588260.000,64304,3,EA,1,100,0.066619
1760385722.510876,1588327.000,64321,1,EA,1,100,0.066699
1760385722.577379,1588393.500,64336,2,EA,1,100,0.066790
1760385722.643882,1588460.000,64336,2,EA,1,100,0.066891
1760385722.710885,1588527.000,64352,1,EA,1,100,0.066982
1760385722.777388,1588593.500,64372,2,EA,1,100,0.067055
1760385722.843890,1588660.000,64372,2,EA,1,100,0.067143
1760385722.910893,1588727.000,64388,1,EA,1,100,0.067248
1760385722.977396,1588793.500,64405,2,EA,1,100,0.067345
