LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1760385711.111400,1576928.000,62473,1,SA,1,100,0.000215
1760385711.778428,1577595.000,62574,1,SA,1,100,0.000100
1760385712.112442,1577929.000,62661,1,SA,1,100,0.000466
1760385712.578461,1578395.000,62697,1,SA,1,100,0.000091
1760385713.045481,1578862.000,62782,1,SA,1,100,0.000091
1760385713.378495,1579195.000,62833,1,SA,1,100,0.000091
1760385714.511542,1580328.000,63065,1,SA,1,100,0.000464
1760385715.244573,1581061.000,63180,1,SA,1,100,0.000458
1760385715.978603,1581795.000,63282,1,SA,1,100,0.000274
1760385716.444623,1582261.000,63415,1,SA,1,100,0.000738
1760385717.245656,1583062.000,63471,1,SA,1,100,0.000100
1760385717.445665,1583262.000,63507,1,SA,1,100,0.000091
1760385718.310701,1584127.000,63704,1,SA,1,100,0.000548
1760385719.110734,1584927.000,63788,1,SA,1,100,0.000186
1760385719.644757,1585461.000,63904,1,SA,1,100,0.000470
1760385720.110776,1585927.000,63939,1,SA,1,100,0.000103
1760385720.310785,1586127.000,63990,1,SA,1,100,0.000302
1760385721.044815,1586861.000,64088,1,SA,1,100,0.000091
1760385721.244823,1587061.000,64126,1,SA,1,100,0.000093
1760385721.444832,1587261.000,64193,1,SA,1,100,0.000293
1760385722.177863,1587994.000,64299,1,SA,1,100,0.000089
1760385722.643882,1588460.000,64366,1,SA,1,100,0.000090
1760385722.843890,1588660.000,64400,1,SA,1,100,0.000201
1760385723.243907,1589060.000,64519,1,SA,1,100,0.000581
1760385723.911935,1589728.000,64586,1,SA,1,100,0.000280
1760385724.377954,1590194.000,64685,1,SA,1,100,0.000372
1760385724.910977,1590727.000,64820,1,SA,1,100,0.000851
1760385725.777013,1591593.000,64888,1,SA,1,100,0.000103
1760385726.377038,1592193.000,65009,1,SA,1,100,0.000368
1760385726.777055,1592593.000,65043,1,SA,1,100,0.000095
1760385726.977063,1592793.000,65110,1,SA,1,100,0.000373
1760385727.511086,1593327.000,65201,1,SA,1,100,0.000374
1760385727.911102,1593727.000,65253,1,SA,1,100,0.000204
1760385728.577130,1594393.000,65368,1,SA,1,100,0.000276
1760385728.911144,1594727.000,65453,1,SA,1,100,0.000469
1760385729.644175,1595460.000,65520,1,SA,1,100,0.000097
1760385729.844183,1595660.000,19,1,SA,1,100,0.000091
1760385730.044192,1595860.000,53,1,SA,1,100,0.000094
1760385730.644217,1596460.000,186,1,SA,1,100,0.000367
1760385731.177239,1596993.000,238,1,SA,1,100,0.000097
1760385731.377247,1597193.000,273,1,SA,1,100,0.000104
1760385731.577256,1597393.000,307,1,SA,1,100,0.000095
1760385731.910269,1597726.000,374,1,SA,1,100,0.000181
1760385732.977314,1598793.000,594,1,SA,1,100,0.000457
