LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1760385947.336629,1813154,36306,2,AK,1,100,35513,RD
1760385947.439633,1813257,36309,2,AK,1,100,36307,RD
1760385952.470804,1818288,37165,2,AK,1,100,36307,RD
1760385952.530807,1818348,37168,2,AK,1,100,37166,RD
1760385957.590979,1823408,38021,2,AK,1,100,37166,RD
1760385957.609980,1823427,38024,2,AK,1,100,38022,RD
1760385962.711154,1828528,38876,2,AK,1,100,38022,RD
1760385962.749156,1828566,38879,2,AK,1,100,38877,RD
1760385967.827329,1833644,39733,2,AK,1,100,38877,RD
1760385967.854330,1833671,39736,2,AK,1,100,39734,RD
1760385972.946504,1838763,40585,2,AK,1,100,39734,RD
1760385978.063678,1843880,41436,2,AK,1,100,40586,RD
1760385978.067678,1843884,41438,2,AK,1,100,40586,RD
1760385978.108680,1843925,41441,2,AK,1,100,41439,RD
1760385983.175853,1848992,42291,2,AK,1,100,41439,RD
1760385983.221854,1849038,42294,2,AK,1,100,42292,RD
1760385988.286027,1854102,43141,2,AK,1,100,42292,RD
1760385993.412202,1859228,43996,2,AK,1,100,43142,RD
1760385993.415202,1859231,43998,2,AK,1,100,43142,RD
1760385993.520206,1859336,44001,2,AK,1,100,43999,RD
1760385998.535377,1864351,44850,2,AK,1,100,43999,RD
1760385998.641381,1864457,44853,2,AK,1,100,44851,RD
1760386003.665552,1869481,45701,2,AK,1,100,44851,RD
1760386003.689553,1869505,45704,2,AK,1,100,45702,RD
1760386008.778727,1874594,46554,2,AK,1,100,45702,RD
1760386008.833729,1874649,46557,2,AK,1,100,46555,RD
1760386013.903902,1879719,47404,2,AK,1,100,46555,RD
1760386014.006906,1879822,47407,2,AK,1,100,47405,RD
1760386019.024077,1884839,48260,2,AK,1,100,47405,RD
1760386019.051078,1884866,48263,2,AK,1,100,48261,RD
1760386024.138252,1889953,49107,2,AK,1,100,48261,RD
1760386024.159252,1889974,49110,2,AK,1,100,49108,RD
1760386029.267426,1895082,49961,2,AK,1,100,49108,RD
1760386029.289427,1895104,49964,2,AK,1,100,49962,RD
1760386034.389601,1900204,50804,2,AK,1,100,49962,RD
1760386034.437603,1900252,50807,2,AK,1,100,50805,RD
1760386039.515776,1905330,51658,2,AK,1,100,50805,RD
1760386039.532777,1905347,51661,2,AK,1,100,51659,RD
1760386044.634951,1910449,52498,2,AK,1,100,51659,RD
1760386044.724954,1910539,52501,2,AK,1,100,52499,RD
1760386049.743126,1915557,53341,2,AK,1,100,52499,RD
1760386049.832129,1915646,53344,2,AK,1,100,53342,RD
1760386054.869301,1920683,54191,2,AK,1,100,53342,RD
1760386054.889301,1920703,54194,2,AK,1,100,54192,RD
1760386060.001476,1925815,55030,2,AK,1,100,54192,RD
1760386060.054478,1925868,55033,2,AK,1,100,55031,RD
1760386065.128651,1930942,55871,2,AK,1,100,55031,RD
