LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1760385946.119588,1811937.000,36111,1,BV,1,100,3.61
1760385951.119758,1816937.000,36957,1,BV,1,100,3.61
1760385956.118929,1821936.000,37780,1,BV,1,100,3.61
1760385961.119100,1826936.000,38620,1,BV,1,100,3.61
1760385966.118270,1831935.000,39456,1,BV,1,100,3.62
1760385971.118441,1836935.000,40295,1,BV,1,100,3.62
1760385976.117612,1841934.000,41129,1,BV,1,100,3.61
1760385981.117783,1846934.000,41969,1,BV,1,100,3.61
1760385986.116953,1851933.000,42785,1,BV,1,100,3.61
1760385991.117124,1856933.000,43621,1,BV,1,100,3.61
1760385996.116295,1861932.000,44457,1,BV,1,100,3.61
1760386001.116465,1866932.000,45289,1,BV,1,100,3.61
1760386006.115636,1871931.000,46126,1,BV,1,100,3.61
1760386011.115807,1876931.000,46947,1,BV,1,100,3.61
1760386016.114978,1881930.000,47781,1,BV,1,100,3.61
1760386021.115148,1886930.000,48618,1,BV,1,100,3.60
1760386026.114319,1891929.000,49454,1,BV,1,100,3.61
1760386031.114490,1896929.000,50284,1,BV,1,100,3.61
1760386036.113660,1901928.000,51098,1,BV,1,100,3.61
1760386041.113831,1906928.000,51930,1,BV,1,100,3.60
1760386046.113002,1911927.000,52755,1,BV,1,100,3.61
1760386051.113173,1916927.000,53581,1,BV,1,100,3.61
1760386056.112343,1921926.000,54414,1,BV,1,100,3.60
1760386061.112514,1926926.000,55219,1,BV,1,100,3.60
1760386066.111685,1931925.000,56040,1,BV,1,100,3.61
