LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1760385946.119588,1811937.000,36112,1,B%,1,100,32
1760385951.119758,1816937.000,36958,1,B%,1,100,32
1760385956.118929,1821936.000,37781,1,B%,1,100,32
1760385961.119100,1826936.000,38621,1,B%,1,100,32
1760385966.118270,1831935.000,39457,1,B%,1,100,33
1760385971.118441,1836935.000,40296,1,B%,1,100,33
1760385976.117612,1841934.000,41130,1,B%,1,100,32
1760385981.117783,1846934.000,41970,1,B%,1,100,32
1760385986.116953,1851933.000,42786,1,B%,1,100,31
1760385991.117124,1856933.000,43622,1,B%,1,100,32
1760385996.116295,1861932.000,44458,1,B%,1,100,32
1760386001.116465,1866932.000,45290,1,B%,1,100,31
1760386006.115636,1871931.000,46127,1,B%,1,100,31
1760386011.115807,1876931.000,46948,1,B%,1,100,31
1760386016.114978,1881930.000,47782,1,B%,1,100,33
1760386021.115148,1886930.000,48619,1,B%,1,100,31
1760386026.114319,1891929.000,49455,1,B%,1,100,32
1760386031.114490,1896929.000,50285,1,B%,1,100,32
1760386036.113660,1901928.000,51099,1,B%,1,100,31
1760386041.113831,1906928.000,51931,1,B%,1,100,31
1760386046.113002,1911927.000,52756,1,B%,1,100,31
1760386051.113173,1916927.000,53582,1,B%,1,100,31
1760386056.112343,1921926.000,54415,1,B%,1,100,31
1760386061.112514,1926926.000,55220,1,B%,1,100,31
1760386066.111685,1931925.000,56041,1,B%,1,100,31
