LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1760385942.887477,1808705.000,35562,2,EL,1,100,-13340.400391
1760385942.887477,1808705.000,35562,2,EL,1,100,-13336.799805
1760385942.954479,1808772.000,35579,1,EL,1,100,-13335.000000
1760385943.020982,1808838.500,35595,2,EL,1,100,-13334.000000
1760385943.087484,1808905.000,35595,2,EL,1,100,-13333.599609
1760385943.154486,1808972.000,35613,1,EL,1,100,-13335.200195
1760385943.220989,1809038.500,35631,2,EL,1,100,-13337.400391
1760385943.287491,1809105.000,35631,2,EL,1,100,-13337.000000
1760385943.354493,1809172.000,35648,1,EL,1,100,-13336.599609
1760385943.420995,1809238.500,35665,2,EL,1,100,-13336.000000
1760385943.487498,1809305.000,35665,2,EL,1,100,-13336.599609
1760385943.554500,1809372.000,35682,1,EL,1,100,-13336.599609
1760385943.621002,1809438.500,35696,2,EL,1,100,-13338.799805
1760385943.687505,1809505.000,35696,2,EL,1,100,-13340.799805
1760385943.754507,1809572.000,35713,1,EL,1,100,-13340.200195
1760385943.821009,1809638.500,35730,2,EL,1,100,-13341.000000
1760385943.887511,1809705.000,35730,2,EL,1,100,-13340.799805
1760385943.954514,1809772.000,35747,1,EL,1,100,-13341.799805
1760385944.021016,1809838.500,35763,2,EL,1,100,-13344.000000
1760385944.087518,1809905.000,35763,2,EL,1,100,-13345.599609
1760385944.154521,1809972.000,35781,1,EL,1,100,-13346.200195
1760385944.221023,1810038.500,35799,2,EL,1,100,-13348.000000
1760385944.287525,1810105.000,35799,2,EL,1,100,-13347.599609
1760385944.354527,1810172.000,35816,1,EL,1,100,-13347.200195
1760385944.421030,1810238.500,35832,2,EL,1,100,-13347.400391
1760385944.487532,1810305.000,35832,2,EL,1,100,-13349.200195
1760385944.554534,1810372.000,35848,1,EL,1,100,-13349.200195
1760385944.621037,1810438.500,35864,2,EL,1,100,-13348.000000
1760385944.687539,1810505.000,35864,2,EL,1,100,-13349.000000
1760385944.754041,1810571.500,35884,2,EL,1,100,-13351.799805
1760385944.820543,1810638.000,35884,2,EL,1,100,-13354.599609
1760385944.887546,1810705.000,35900,1,EL,1,100,-13356.400391
1760385944.954048,1810771.500,35917,2,EL,1,100,-13358.000000
1760385945.020550,1810838.000,35917,2,EL,1,100,-13355.599609
1760385945.087552,1810905.000,35933,1,EL,1,100,-13355.400391
1760385945.154055,1810971.500,35951,2,EL,1,100,-13356.000000
1760385945.220557,1811038.000,35951,2,EL,1,100,-13356.400391
1760385945.287559,1811105.000,35967,1,EL,1,100,-13357.000000
1760385945.354062,1811171.500,35982,2,EL,1,100,-13358.400391
1760385945.420564,1811238.000,35982,2,EL,1,100,-13360.200195
1760385945.487566,1811305.000,35999,1,EL,1,100,-13360.599609
1760385945.554068,1811371.500,36018,2,EL,1,100,-13362.200195
1760385945.620571,1811438.000,36018,2,EL,1,100,-13362.799805
1760385945.687573,1811505.000,36034,1,EL,1,100,-13363.400391
1760385945.754075,1811571.500,36052,2,EL,1,100,-13362.799805
1760385945.820577,1811638.000,36052,2,EL,1,100,-13362.400391
1760385945.887580,1811705.000,36068,1,EL,1,100,-13363.200195
1760385945.954082,1811771.500,36085,2,EL,1,100,-13364.000000
1760385946.020584,1811838.000,36085,2,EL,1,100,-13365.000000
1760385946.087587,1811905.000,36101,1,EL,1,100,-13366.200195
1760385946.154089,1811971.500,36121,2,EL,1,100,-13369.799805
1760385946.220591,1812038.000,36121,2,EL,1,100,-13368.400391
1760385946.287593,1812105.000,36139,1,EL,1,100,-13368.200195
1760385946.354096,1812171.500,36156,2,EL,1,100,-13372.000000
1760385946.420598,1812238.000,36156,2,EL,1,100,-13372.400391
1760385946.487600,1812305.000,36175,1,EL,1,100,-13372.000000
1760385946.554102,1812371.500,36190,2,EL,1,100,-13372.000000
1760385946.620605,1812438.000,36190,2,EL,1,100,-13372.799805
1760385946.687607,1812505.000,36206,1,EL,1,100,-13373.200195
1760385946.754109,1812571.500,36224,2,EL,1,100,-13374.400391
1760385946.820611,1812638.000,36224,2,EL,1,100,-13376.200195
1760385946.887114,1812704.500,36240,2,EL,1,100,-13379.799805
1760385946.953616,1812771.000,36240,2,EL,1,100,-13381.599609
1760385947.020618,1812838.000,36259,1,EL,1,100,-13381.000000
1760385947.087121,1812904.500,36276,2,EL,1,100,-13378.599609
1760385947.153623,1812971.000,36276,2,EL,1,100,-13377.400391
1760385947.220625,1813038.000,36293,1,EL,1,100,-13377.200195
1760385947.287294,1813104.667,36317,3,EL,1,100,-13378.799805
1760385947.353963,1813171.333,36317,3,EL,1,100,-13381.799805
1760385947.420632,1813238.000,36317,3,EL,1,100,-13381.000000
1760385947.487634,1813305.000,36334,1,EL,1,100,-13381.599609
1760385947.554137,1813371.500,36353,2,EL,1,100,-13384.599609
1760385947.620639,1813438.000,36353,2,EL,1,100,-13385.000000
1760385947.687641,1813505.000,36371,1,EL,1,100,-13383.599609
1760385947.754143,1813571.500,36388,2,EL,1,100,-13386.200195
1760385947.820646,1813638.000,36388,2,EL,1,100,-13387.799805
1760385947.887148,1813704.500,36405,2,EL,1,100,-13385.200195
1760385947.953650,1813771.000,36405,2,EL,1,100,-13386.000000
1760385948.020653,1813838.000,36422,1,EL,1,100,-13387.200195
1760385948.087155,1813904.500,36439,2,EL,1,100,-13387.200195
1760385948.153657,1813971.000,36439,2,EL,1,100,-13387.000000
1760385948.220659,1814038.000,36456,1,EL,1,100,-13386.000000
1760385948.287162,1814104.500,36470,2,EL,1,100,-13388.200195
1760385948.353664,1814171.000,36470,2,EL,1,100,-13390.599609
1760385948.420666,1814238.000,36487,1,EL,1,100,-13392.400391
1760385948.487169,1814304.500,36506,2,EL,1,100,-13393.000000
1760385948.553671,1814371.000,36506,2,EL,1,100,-13393.799805
1760385948.620673,1814438.000,36525,1,EL,1,100,-13393.599609
1760385948.687175,1814504.500,36539,2,EL,1,100,-13394.400391
1760385948.753678,1814571.000,36539,2,EL,1,100,-13395.400391
1760385948.820680,1814638.000,36557,1,EL,1,100,-13396.200195
1760385948.887182,1814704.500,36575,2,EL,1,100,-13396.000000
1760385948.953684,1814771.000,36575,2,EL,1,100,-13397.799805
1760385949.020687,1814838.000,36592,1,EL,1,100,-13400.799805
1760385949.087189,1814904.500,36607,2,EL,1,100,-13402.599609
1760385949.153691,1814971.000,36607,2,EL,1,100,-13403.599609
1760385949.220694,1815038.000,36628,1,EL,1,100,-13403.200195
1760385949.287196,1815104.500,36644,2,EL,1,100,-13403.000000
1760385949.353698,1815171.000,36644,2,EL,1,100,-13402.799805
1760385949.420700,1815238.000,36661,1,EL,1,100,-13402.400391
1760385949.487203,1815304.500,36676,2,EL,1,100,-13404.000000
1760385949.553705,1815371.000,36676,2,EL,1,100,-13404.400391
1760385949.620707,1815438.000,36693,1,EL,1,100,-13405.000000
1760385949.687209,1815504.500,36709,2,EL,1,100,-13407.400391
1760385949.753712,1815571.000,36709,2,EL,1,100,-13410.000000
1760385949.820214,1815637.500,36727,2,EL,1,100,-13412.000000
1760385949.886716,1815704.000,36727,2,EL,1,100,-13414.200195
1760385949.953719,1815771.000,36743,1,EL,1,100,-13415.200195
1760385950.020221,1815837.500,36762,2,EL,1,100,-13415.599609
1760385950.086723,1815904.000,36762,2,EL,1,100,-13415.000000
1760385950.153725,1815971.000,36779,1,EL,1,100,-13414.400391
1760385950.220228,1816037.500,36796,2,EL,1,100,-13414.599609
1760385950.286730,1816104.000,36796,2,EL,1,100,-13418.799805
1760385950.353732,1816171.000,36812,1,EL,1,100,-13418.200195
1760385950.420234,1816237.500,36828,2,EL,1,100,-13415.599609
1760385950.486737,1816304.000,36828,2,EL,1,100,-13415.000000
1760385950.553739,1816371.000,36844,1,EL,1,100,-13416.000000
1760385950.620241,1816437.500,36861,2,EL,1,100,-13417.599609
1760385950.686743,1816504.000,36861,2,EL,1,100,-13421.799805
1760385950.753746,1816571.000,36879,1,EL,1,100,-13423.400391
1760385950.820248,1816637.500,36897,2,EL,1,100,-13424.000000
1760385950.886750,1816704.000,36897,2,EL,1,100,-13423.200195
1760385950.953753,1816771.000,36913,1,EL,1,100,-13423.000000
1760385951.020255,1816837.500,36930,2,EL,1,100,-13423.599609
1760385951.086757,1816904.000,36930,2,EL,1,100,-13424.400391
1760385951.153759,1816971.000,36947,1,EL,1,100,-13424.599609
1760385951.220262,1817037.500,36964,2,EL,1,100,-13423.000000
1760385951.286764,1817104.000,36964,2,EL,1,100,-13424.799805
1760385951.353766,1817171.000,36980,1,EL,1,100,-13427.200195
1760385951.420269,1817237.500,36998,2,EL,1,100,-13427.000000
1760385951.486771,1817304.000,36998,2,EL,1,100,-13430.200195
1760385951.553773,1817371.000,37016,1,EL,1,100,-13430.599609
1760385951.620275,1817437.500,37033,2,EL,1,100,-13428.799805
1760385951.686778,1817504.000,37033,2,EL,1,100,-13429.000000
1760385951.753780,1817571.000,37049,1,EL,1,100,-13428.200195
1760385951.820282,1817637.500,37067,2,EL,1,100,-13429.799805
1760385951.886785,1817704.000,37067,2,EL,1,100,-13431.400391
1760385951.953787,1817771.000,37083,1,EL,1,100,-13431.799805
1760385952.020289,1817837.500,37101,2,EL,1,100,-13431.799805
1760385952.086791,1817904.000,37101,2,EL,1,100,-13433.400391
1760385952.153794,1817971.000,37117,1,EL,1,100,-13433.000000
1760385952.220296,1818037.500,37136,2,EL,1,100,-13432.799805
1760385952.286798,1818104.000,37136,2,EL,1,100,-13436.200195
1760385952.353301,1818170.500,37152,2,EL,1,100,-13440.799805
1760385952.419803,1818237.000,37152,2,EL,1,100,-13440.000000
1760385952.486805,1818304.000,37177,2,EL,1,100,-13440.000000
1760385952.553807,1818371.000,37177,2,EL,1,100,-13439.599609
1760385952.619810,1818437.000,37193,1,EL,1,100,-13440.799805
1760385952.686812,1818504.000,37208,2,EL,1,100,-13441.799805
1760385952.753814,1818571.000,37208,2,EL,1,100,-13442.599609
1760385952.819816,1818637.000,37225,1,EL,1,100,-13444.200195
1760385952.886819,1818704.000,37242,2,EL,1,100,-13445.400391
1760385952.953821,1818771.000,37242,2,EL,1,100,-13446.400391
1760385953.019823,1818837.000,37260,1,EL,1,100,-13448.599609
1760385953.086826,1818904.000,37279,2,EL,1,100,-13449.200195
1760385953.153828,1818971.000,37279,2,EL,1,100,-13449.400391
1760385953.220330,1819037.500,37294,2,EL,1,100,-13450.400391
1760385953.286832,1819104.000,37294,2,EL,1,100,-13449.200195
1760385953.353835,1819171.000,37311,1,EL,1,100,-13450.400391
1760385953.420337,1819237.500,37330,2,EL,1,100,-13452.799805
1760385953.486839,1819304.000,37330,2,EL,1,100,-13452.400391
1760385953.553841,1819371.000,37347,1,EL,1,100,-13451.599609
1760385953.620344,1819437.500,37361,2,EL,1,100,-13453.000000
1760385953.686846,1819504.000,37361,2,EL,1,100,-13455.000000
1760385953.753848,1819571.000,37378,1,EL,1,100,-13457.000000
1760385953.820351,1819637.500,37397,2,EL,1,100,-13457.200195
1760385953.886853,1819704.000,37397,2,EL,1,100,-13457.799805
1760385953.953855,1819771.000,37416,1,EL,1,100,-13456.599609
1760385954.020357,1819837.500,37430,2,EL,1,100,-13457.599609
1760385954.086860,1819904.000,37430,2,EL,1,100,-13458.799805
1760385954.153862,1819971.000,37448,1,EL,1,100,-13460.799805
1760385954.220364,1820037.500,37466,2,EL,1,100,-13462.200195
1760385954.286866,1820104.000,37466,2,EL,1,100,-13461.400391
1760385954.353869,1820171.000,37483,1,EL,1,100,-13461.200195
1760385954.420371,1820237.500,37498,2,EL,1,100,-13465.000000
1760385954.486873,1820304.000,37498,2,EL,1,100,-13467.799805
1760385954.553876,1820371.000,37515,1,EL,1,100,-13470.799805
1760385954.620378,1820437.500,37535,2,EL,1,100,-13470.400391
1760385954.686880,1820504.000,37535,2,EL,1,100,-13468.799805
1760385954.753882,1820571.000,37552,1,EL,1,100,-13468.799805
1760385954.820385,1820637.500,37567,2,EL,1,100,-13467.599609
1760385954.886887,1820704.000,37567,2,EL,1,100,-13466.000000
1760385954.953889,1820771.000,37584,1,EL,1,100,-13468.400391
