LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1760385942.874477,1808692.000,35569,3,GY,1,100,12.634
1760385942.874477,1808692.000,35569,3,GY,1,100,4.669
1760385942.874477,1808692.000,35569,3,GY,1,100,-0.641
1760385942.914478,1808732.000,35586,3,GY,1,100,13.519
1760385942.954479,1808772.000,35586,3,GY,1,100,37.872
1760385942.994481,1808812.000,35586,3,GY,1,100,31.891
1760385943.034482,1808852.000,35602,2,GY,1,100,0.427
1760385943.074484,1808892.000,35602,2,GY,1,100,-18.402
1760385943.114485,1808932.000,35618,3,GY,1,100,8.392
1760385943.154486,1808972.000,35618,3,GY,1,100,48.676
1760385943.194488,1809012.000,35618,3,GY,1,100,57.129
1760385943.234489,1809052.000,35638,2,GY,1,100,32.898
1760385943.274491,1809092.000,35638,2,GY,1,100,13.611
1760385943.314492,1809132.000,35655,3,GY,1,100,27.588
1760385943.354493,1809172.000,35655,3,GY,1,100,36.041
1760385943.394495,1809212.000,35655,3,GY,1,100,32.684
1760385943.434496,1809252.000,35672,2,GY,1,100,26.245
1760385943.474497,1809292.000,35672,2,GY,1,100,3.784
1760385943.514499,1809332.000,35687,3,GY,1,100,-19.287
1760385943.554500,1809372.000,35687,3,GY,1,100,-14.313
1760385943.594501,1809412.000,35687,3,GY,1,100,-6.927
1760385943.634503,1809452.000,35703,2,GY,1,100,-12.268
1760385943.674504,1809492.000,35703,2,GY,1,100,-13.550
1760385943.714505,1809532.000,35720,3,GY,1,100,-19.287
1760385943.754507,1809572.000,35720,3,GY,1,100,-23.773
1760385943.794508,1809612.000,35720,3,GY,1,100,-27.252
1760385943.834510,1809652.000,35737,2,GY,1,100,-33.203
1760385943.874511,1809692.000,35737,2,GY,1,100,-47.668
1760385943.914512,1809732.000,35752,3,GY,1,100,-36.926
1760385943.954514,1809772.000,35752,3,GY,1,100,-6.592
1760385943.994515,1809812.000,35752,3,GY,1,100,-24.139
1760385944.034516,1809852.000,35770,3,GY,1,100,-55.878
1760385944.074518,1809892.000,35770,3,GY,1,100,-40.070
1760385944.114519,1809932.000,35770,3,GY,1,100,-10.040
1760385944.154521,1809972.000,35788,2,GY,1,100,-0.244
1760385944.194522,1810012.000,35788,2,GY,1,100,1.862
1760385944.234523,1810052.000,35806,3,GY,1,100,4.242
1760385944.274525,1810092.000,35806,3,GY,1,100,4.669
1760385944.314526,1810132.000,35806,3,GY,1,100,4.059
