LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1760385942.888477,1808706.000,35558,3,PI,1,100,147824
1760385942.888477,1808706.000,35558,3,PI,1,100,147798
1760385942.888477,1808706.000,35558,3,PI,1,100,147776
1760385942.928479,1808746.000,35575,2,PI,1,100,147780
1760385942.968480,1808786.000,35575,2,PI,1,100,147770
1760385943.008482,1808826.000,35591,3,PI,1,100,147784
1760385943.048483,1808866.000,35591,3,PI,1,100,147772
1760385943.088484,1808906.000,35591,3,PI,1,100,147738
1760385943.128485,1808946.000,35609,2,PI,1,100,147729
1760385943.168487,1808986.000,35609,2,PI,1,100,147727
1760385943.208488,1809026.000,35627,3,PI,1,100,147783
1760385943.248490,1809066.000,35627,3,PI,1,100,147792
1760385943.288491,1809106.000,35627,3,PI,1,100,147798
1760385943.328492,1809146.000,35644,2,PI,1,100,147800
1760385943.368494,1809186.000,35644,2,PI,1,100,147830
1760385943.408495,1809226.000,35661,3,PI,1,100,147826
1760385943.448496,1809266.000,35661,3,PI,1,100,147823
1760385943.488498,1809306.000,35661,3,PI,1,100,147859
1760385943.528499,1809346.000,35678,2,PI,1,100,147881
1760385943.568501,1809386.000,35678,2,PI,1,100,147843
1760385943.608502,1809426.000,35692,3,PI,1,100,147812
1760385943.648503,1809466.000,35692,3,PI,1,100,147781
1760385943.688505,1809506.000,35692,3,PI,1,100,147762
1760385943.728506,1809546.000,35709,3,PI,1,100,147749
1760385943.768507,1809586.000,35709,3,PI,1,100,147745
1760385943.808509,1809626.000,35709,3,PI,1,100,147752
1760385943.848510,1809666.000,35726,2,PI,1,100,147708
1760385943.888511,1809706.000,35726,2,PI,1,100,147683
1760385943.928513,1809746.000,35743,3,PI,1,100,147687
1760385943.968514,1809786.000,35743,3,PI,1,100,147720
1760385944.008516,1809826.000,35743,3,PI,1,100,147757
1760385944.048517,1809866.000,35759,2,PI,1,100,147765
1760385944.088518,1809906.000,35759,2,PI,1,100,147778
1760385944.128520,1809946.000,35777,3,PI,1,100,147811
1760385944.168521,1809986.000,35777,3,PI,1,100,147842
1760385944.208522,1810026.000,35777,3,PI,1,100,147851
1760385944.248524,1810066.000,35795,2,PI,1,100,147878
1760385944.288525,1810106.000,35795,2,PI,1,100,147879
1760385944.328526,1810146.000,35812,3,PI,1,100,147887
1760385944.368528,1810186.000,35812,3,PI,1,100,147877
1760385944.408529,1810226.000,35812,3,PI,1,100,147865
1760385944.448531,1810266.000,35828,2,PI,1,100,147863
1760385944.488532,1810306.000,35828,2,PI,1,100,147830
1760385944.528533,1810346.000,35844,3,PI,1,100,147803
1760385944.568535,1810386.000,35844,3,PI,1,100,147790
1760385944.608536,1810426.000,35844,3,PI,1,100,147762
1760385944.648537,1810466.000,35860,2,PI,1,100,147779
1760385944.688539,1810506.000,35860,2,PI,1,100,147807
1760385944.728540,1810546.000,35880,3,PI,1,100,147848
1760385944.768542,1810586.000,35880,3,PI,1,100,147841
1760385944.808543,1810626.000,35880,3,PI,1,100,147850
1760385944.848544,1810666.000,35896,2,PI,1,100,147863
1760385944.888546,1810706.000,35896,2,PI,1,100,147863
