LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1760385942.888477,1808706.000,35559,3,PR,1,100,93768
1760385942.888477,1808706.000,35559,3,PR,1,100,93757
1760385942.888477,1808706.000,35559,3,PR,1,100,93750
1760385942.928479,1808746.000,35576,2,PR,1,100,93752
1760385942.968480,1808786.000,35576,2,PR,1,100,93745
1760385943.008482,1808826.000,35592,3,PR,1,100,93746
1760385943.048483,1808866.000,35592,3,PR,1,100,93726
1760385943.088484,1808906.000,35592,3,PR,1,100,93711
1760385943.128485,1808946.000,35610,2,PR,1,100,93672
1760385943.168487,1808986.000,35610,2,PR,1,100,93664
1760385943.208488,1809026.000,35628,3,PR,1,100,93723
1760385943.248490,1809066.000,35628,3,PR,1,100,93761
1760385943.288491,1809106.000,35628,3,PR,1,100,93771
1760385943.328492,1809146.000,35645,2,PR,1,100,93757
1760385943.368494,1809186.000,35645,2,PR,1,100,93773
1760385943.408495,1809226.000,35662,3,PR,1,100,93749
1760385943.448496,1809266.000,35662,3,PR,1,100,93758
1760385943.488498,1809306.000,35662,3,PR,1,100,93790
1760385943.528499,1809346.000,35679,2,PR,1,100,93805
1760385943.568501,1809386.000,35679,2,PR,1,100,93801
1760385943.608502,1809426.000,35693,3,PR,1,100,93776
1760385943.648503,1809466.000,35693,3,PR,1,100,93772
1760385943.688505,1809506.000,35693,3,PR,1,100,93749
1760385943.728506,1809546.000,35710,3,PR,1,100,93742
1760385943.768507,1809586.000,35710,3,PR,1,100,93723
1760385943.808509,1809626.000,35710,3,PR,1,100,93726
1760385943.848510,1809666.000,35727,2,PR,1,100,93699
1760385943.888511,1809706.000,35727,2,PR,1,100,93664
1760385943.928513,1809746.000,35744,3,PR,1,100,93651
1760385943.968514,1809786.000,35744,3,PR,1,100,93710
1760385944.008516,1809826.000,35744,3,PR,1,100,93754
1760385944.048517,1809866.000,35760,2,PR,1,100,93727
1760385944.088518,1809906.000,35760,2,PR,1,100,93718
1760385944.128520,1809946.000,35778,3,PR,1,100,93736
1760385944.168521,1809986.000,35778,3,PR,1,100,93746
1760385944.208522,1810026.000,35778,3,PR,1,100,93767
1760385944.248524,1810066.000,35796,2,PR,1,100,93793
1760385944.288525,1810106.000,35796,2,PR,1,100,93782
1760385944.328526,1810146.000,35813,3,PR,1,100,93797
1760385944.368528,1810186.000,35813,3,PR,1,100,93799
1760385944.408529,1810226.000,35813,3,PR,1,100,93801
1760385944.448531,1810266.000,35829,2,PR,1,100,93784
1760385944.488532,1810306.000,35829,2,PR,1,100,93782
1760385944.528533,1810346.000,35845,3,PR,1,100,93759
1760385944.568535,1810386.000,35845,3,PR,1,100,93741
1760385944.608536,1810426.000,35845,3,PR,1,100,93708
1760385944.648537,1810466.000,35861,2,PR,1,100,93683
1760385944.688539,1810506.000,35861,2,PR,1,100,93734
1760385944.728540,1810546.000,35881,3,PR,1,100,93758
1760385944.768542,1810586.000,35881,3,PR,1,100,93757
1760385944.808543,1810626.000,35881,3,PR,1,100,93761
1760385944.848544,1810666.000,35897,2,PR,1,100,93767
1760385944.888546,1810706.000,35897,2,PR,1,100,93768
1760385944.928547,1810746.000,35914,3,PR,1,100,93789
1760385944.968548,1810786.000,35914,3,PR,1,100,93830
1760385945.008550,1810826.000,35914,3,PR,1,100,93830
1760385945.048551,1810866.000,35930,2,PR,1,100,93828
1760385945.088552,1810906.000,35930,2,PR,1,100,93825
1760385945.128554,1810946.000,35948,3,PR,1,100,93794
1760385945.168555,1810986.000,35948,3,PR,1,100,93799
1760385945.208557,1811026.000,35948,3,PR,1,100,93771
1760385945.248558,1811066.000,35964,3,PR,1,100,93780
1760385945.288559,1811106.000,35964,3,PR,1,100,93746
1760385945.328561,1811146.000,35964,3,PR,1,100,93711
1760385945.368562,1811186.000,35979,2,PR,1,100,93656
1760385945.408563,1811226.000,35979,2,PR,1,100,93656
1760385945.448565,1811266.000,35996,3,PR,1,100,93720
1760385945.488566,1811306.000,35996,3,PR,1,100,93728
1760385945.528568,1811346.000,35996,3,PR,1,100,93721
1760385945.568569,1811386.000,36015,2,PR,1,100,93710
1760385945.608570,1811426.000,36015,2,PR,1,100,93748
1760385945.648571,1811466.000,36031,3,PR,1,100,93767
1760385945.688573,1811506.000,36031,3,PR,1,100,93774
1760385945.728574,1811546.000,36031,3,PR,1,100,93808
1760385945.768576,1811586.000,36049,2,PR,1,100,93789
1760385945.808577,1811626.000,36049,2,PR,1,100,93787
1760385945.848578,1811666.000,36065,3,PR,1,100,93778
1760385945.888580,1811706.000,36065,3,PR,1,100,93773
1760385945.928581,1811746.000,36065,3,PR,1,100,93759
1760385945.968582,1811786.000,36082,2,PR,1,100,93747
1760385946.008584,1811826.000,36082,2,PR,1,100,93750
1760385946.048585,1811866.000,36098,3,PR,1,100,93727
1760385946.088587,1811906.000,36098,3,PR,1,100,93687
1760385946.128588,1811946.000,36098,3,PR,1,100,93698
1760385946.168589,1811986.000,36118,2,PR,1,100,93728
1760385946.208591,1812026.000,36118,2,PR,1,100,93772
1760385946.248592,1812066.000,36136,3,PR,1,100,93789
1760385946.288593,1812106.000,36136,3,PR,1,100,93787
1760385946.328595,1812146.000,36136,3,PR,1,100,93744
1760385946.368596,1812186.000,36153,2,PR,1,100,93757
1760385946.408597,1812226.000,36153,2,PR,1,100,93810
1760385946.448599,1812266.000,36172,3,PR,1,100,93849
1760385946.488600,1812306.000,36172,3,PR,1,100,93851
1760385946.528602,1812346.000,36172,3,PR,1,100,93873
1760385946.568603,1812386.000,36187,3,PR,1,100,93852
1760385946.608604,1812426.000,36187,3,PR,1,100,93835
1760385946.648606,1812466.000,36187,3,PR,1,100,93797
1760385946.688607,1812506.000,36203,2,PR,1,100,93754
1760385946.728608,1812546.000,36203,2,PR,1,100,93726
1760385946.768610,1812586.000,36221,3,PR,1,100,93688
1760385946.808611,1812626.000,36221,3,PR,1,100,93682
1760385946.848613,1812666.000,36221,3,PR,1,100,93724
1760385946.888614,1812706.000,36237,2,PR,1,100,93749
1760385946.928615,1812746.000,36237,2,PR,1,100,93727
1760385946.968617,1812786.000,36256,3,PR,1,100,93721
1760385947.008618,1812826.000,36256,3,PR,1,100,93721
1760385947.048619,1812866.000,36256,3,PR,1,100,93750
1760385947.088621,1812906.000,36273,2,PR,1,100,93783
1760385947.128622,1812946.000,36273,2,PR,1,100,93801
1760385947.168623,1812986.000,36290,3,PR,1,100,93819
1760385947.208625,1813026.000,36290,3,PR,1,100,93805
1760385947.248626,1813066.000,36290,3,PR,1,100,93800
1760385947.288628,1813106.000,36314,4,PR,1,100,93776
1760385947.328629,1813146.000,36314,4,PR,1,100,93780
1760385947.368630,1813186.000,36314,4,PR,1,100,93783
1760385947.408632,1813226.000,36314,4,PR,1,100,93771
1760385947.448633,1813266.000,36331,3,PR,1,100,93733
1760385947.488634,1813306.000,36331,3,PR,1,100,93720
1760385947.528636,1813346.000,36331,3,PR,1,100,93751
1760385947.568637,1813386.000,36350,3,PR,1,100,93769
1760385947.608639,1813426.000,36350,3,PR,1,100,93797
1760385947.648640,1813466.000,36350,3,PR,1,100,93794
1760385947.688641,1813506.000,36368,2,PR,1,100,93757
1760385947.728642,1813546.000,36368,2,PR,1,100,93761
1760385947.768644,1813586.000,36385,3,PR,1,100,93770
1760385947.808645,1813626.000,36385,3,PR,1,100,93804
1760385947.848647,1813666.000,36385,3,PR,1,100,93836
1760385947.888648,1813706.000,36402,2,PR,1,100,93856
1760385947.928649,1813746.000,36402,2,PR,1,100,93865
1760385947.968651,1813786.000,36419,3,PR,1,100,93849
1760385948.008652,1813826.000,36419,3,PR,1,100,93840
1760385948.048654,1813866.000,36419,3,PR,1,100,93837
1760385948.088655,1813906.000,36436,2,PR,1,100,93815
1760385948.128656,1813946.000,36436,2,PR,1,100,93809
1760385948.168658,1813986.000,36453,3,PR,1,100,93799
1760385948.208659,1814026.000,36453,3,PR,1,100,93755
1760385948.248660,1814066.000,36453,3,PR,1,100,93674
1760385948.288662,1814106.000,36467,2,PR,1,100,93664
1760385948.328663,1814146.000,36467,2,PR,1,100,93744
1760385948.372998,1814190.333,36484,3,PR,1,100,93770
1760385948.417333,1814234.667,36484,3,PR,1,100,93762
1760385948.461668,1814279.000,36484,3,PR,1,100,93752
1760385948.501669,1814319.000,36503,2,PR,1,100,93779
1760385948.541670,1814359.000,36503,2,PR,1,100,93797
1760385948.581672,1814399.000,36522,3,PR,1,100,93808
1760385948.621673,1814439.000,36522,3,PR,1,100,93809
1760385948.661674,1814479.000,36522,3,PR,1,100,93807
1760385948.701676,1814519.000,36536,2,PR,1,100,93816
1760385948.741677,1814559.000,36536,2,PR,1,100,93796
1760385948.781678,1814599.000,36554,3,PR,1,100,93786
1760385948.821680,1814639.000,36554,3,PR,1,100,93801
1760385948.861681,1814679.000,36554,3,PR,1,100,93782
1760385948.901683,1814719.000,36572,2,PR,1,100,93790
1760385948.941684,1814759.000,36572,2,PR,1,100,93787
1760385948.981685,1814799.000,36589,3,PR,1,100,93736
1760385949.021687,1814839.000,36589,3,PR,1,100,93723
1760385949.061688,1814879.000,36589,3,PR,1,100,93747
1760385949.101690,1814919.000,36604,2,PR,1,100,93770
1760385949.141691,1814959.000,36604,2,PR,1,100,93799
1760385949.181692,1814999.000,36625,3,PR,1,100,93804
1760385949.221694,1815039.000,36625,3,PR,1,100,93805
1760385949.261695,1815079.000,36625,3,PR,1,100,93811
1760385949.301696,1815119.000,36641,2,PR,1,100,93784
1760385949.341698,1815159.000,36641,2,PR,1,100,93823
1760385949.381699,1815199.000,36658,3,PR,1,100,93860
1760385949.421700,1815239.000,36658,3,PR,1,100,93874
1760385949.461702,1815279.000,36658,3,PR,1,100,93886
1760385949.501703,1815319.000,36673,3,PR,1,100,93871
1760385949.541704,1815359.000,36673,3,PR,1,100,93856
1760385949.581706,1815399.000,36673,3,PR,1,100,93845
1760385949.621707,1815439.000,36690,2,PR,1,100,93841
1760385949.661709,1815479.000,36690,2,PR,1,100,93811
1760385949.701710,1815519.000,36706,3,PR,1,100,93778
1760385949.741711,1815559.000,36706,3,PR,1,100,93745
1760385949.781713,1815599.000,36706,3,PR,1,100,93710
1760385949.821714,1815639.000,36724,2,PR,1,100,93728
1760385949.861715,1815679.000,36724,2,PR,1,100,93784
1760385949.901717,1815719.000,36740,3,PR,1,100,93789
1760385949.941718,1815759.000,36740,3,PR,1,100,93761
1760385949.981719,1815799.000,36740,3,PR,1,100,93783
1760385950.021721,1815839.000,36759,2,PR,1,100,93822
1760385950.061722,1815879.000,36759,2,PR,1,100,93835
1760385950.101724,1815919.000,36776,3,PR,1,100,93835
1760385950.141725,1815959.000,36776,3,PR,1,100,93835
1760385950.181726,1815999.000,36776,3,PR,1,100,93844
1760385950.221728,1816039.000,36793,2,PR,1,100,93822
1760385950.261729,1816079.000,36793,2,PR,1,100,93837
1760385950.301730,1816119.000,36809,3,PR,1,100,93834
1760385950.341732,1816159.000,36809,3,PR,1,100,93833
1760385950.381733,1816199.000,36809,3,PR,1,100,93821
1760385950.421735,1816239.000,36825,2,PR,1,100,93807
1760385950.461736,1816279.000,36825,2,PR,1,100,93814
1760385950.501737,1816319.000,36841,3,PR,1,100,93785
1760385950.541739,1816359.000,36841,3,PR,1,100,93748
1760385950.581740,1816399.000,36841,3,PR,1,100,93756
1760385950.621741,1816439.000,36858,2,PR,1,100,93787
1760385950.661743,1816479.000,36858,2,PR,1,100,93816
1760385950.701744,1816519.000,36876,3,PR,1,100,93815
1760385950.741745,1816559.000,36876,3,PR,1,100,93826
1760385950.781747,1816599.000,36876,3,PR,1,100,93814
1760385950.821748,1816639.000,36894,2,PR,1,100,93822
1760385950.861750,1816679.000,36894,2,PR,1,100,93846
1760385950.901751,1816719.000,36910,3,PR,1,100,93875
