LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1760385947.336629,1813154,36307,2,RD,1,100,TL,TU
1760385952.470804,1818288,37166,2,RD,1,100,TL,TU
1760385957.594980,1823412,38022,2,RD,1,100,TL,TU
1760385962.715154,1828532,38877,2,RD,1,100,TL,TU
1760385967.827329,1833644,39734,2,RD,1,100,TL,TU
1760385972.946504,1838763,40586,2,RD,1,100,TL,TU
1760385978.067678,1843884,41439,2,RD,1,100,TL,TU
1760385983.176853,1848993,42292,2,RD,1,100,TL,TU
1760385988.287027,1854103,43142,2,RD,1,100,TL,TU
1760385993.415202,1859231,43999,2,RD,1,100,TL,TU
1760385998.540377,1864356,44851,2,RD,1,100,TL,TU
1760386003.666553,1869482,45702,2,RD,1,100,TL,TU
1760386008.779727,1874595,46555,2,RD,1,100,TL,TU
1760386013.903902,1879719,47405,2,RD,1,100,TL,TU
1760386019.024077,1884839,48261,2,RD,1,100,TL,TU
1760386024.138252,1889953,49108,2,RD,1,100,TL,TU
1760386029.271427,1895086,49962,2,RD,1,100,TL,TU
1760386034.390601,1900205,50805,2,RD,1,100,TL,TU
1760386039.516777,1905331,51659,2,RD,1,100,TL,TU
1760386044.635951,1910450,52499,2,RD,1,100,TL,TU
1760386049.744126,1915558,53342,2,RD,1,100,TL,TU
1760386054.869301,1920683,54192,2,RD,1,100,TL,TU
1760386060.002476,1925816,55031,2,RD,1,100,TL,TU
1760386065.128651,1930942,55872,2,RD,1,100,TL,TU
