LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1760384593.332222,459147.000,8278,1,GX,1,100,14.679
1760384593.372224,459187.000,8294,3,GX,1,100,-9.766
1760384593.412225,459227.000,8294,3,GX,1,100,-13.214
1760384593.452227,459267.000,8294,3,GX,1,100,2.869
1760384593.492229,459307.000,8311,2,GX,1,100,8.942
1760384593.532230,459347.000,8311,2,GX,1,100,2.747
1760384593.572232,459387.000,8328,3,GX,1,100,1.678
1760384593.612233,459427.000,8328,3,GX,1,100,2.228
1760384593.652235,459467.000,8328,3,GX,1,100,0.610
1760384593.692236,459507.000,8344,2,GX,1,100,-1.129
1760384593.732238,459547.000,8344,2,GX,1,100,0.732
1760384593.772573,459587.333,8359,3,GX,1,100,0.061
1760384593.812907,459627.667,8359,3,GX,1,100,-2.075
1760384593.853242,459668.000,8359,3,GX,1,100,-1.007
1760384593.893244,459708.000,8376,2,GX,1,100,1.648
1760384593.933245,459748.000,8376,2,GX,1,100,2.014
1760384593.973247,459788.000,8393,3,GX,1,100,-0.061
1760384594.013248,459828.000,8393,3,GX,1,100,-0.763
1760384594.053250,459868.000,8393,3,GX,1,100,-0.549
1760384594.093251,459908.000,8410,2,GX,1,100,-0.702
1760384594.133253,459948.000,8410,2,GX,1,100,-1.160
1760384594.173254,459988.000,8424,3,GX,1,100,-0.641
1760384594.213256,460028.000,8424,3,GX,1,100,-0.031
1760384594.253258,460068.000,8424,3,GX,1,100,0.366
1760384594.293259,460108.000,8442,2,GX,1,100,0.122
1760384594.333261,460148.000,8442,2,GX,1,100,-0.610
1760384594.373262,460188.000,8458,3,GX,1,100,-0.977
1760384594.413264,460228.000,8458,3,GX,1,100,-1.099
1760384594.453265,460268.000,8458,3,GX,1,100,-1.129
1760384594.493267,460308.000,8475,2,GX,1,100,-0.946
1760384594.533268,460348.000,8475,2,GX,1,100,-1.373
1760384594.573270,460388.000,8490,3,GX,1,100,-1.129
1760384594.613271,460428.000,8490,3,GX,1,100,-1.495
1760384594.653273,460468.000,8490,3,GX,1,100,-2.258
1760384594.688607,460503.333,8507,3,GX,1,100,-1.312
1760384594.723942,460538.667,8507,3,GX,1,100,-0.153
1760384594.759277,460574.000,8507,3,GX,1,100,-1.312
1760384594.799278,460614.000,8523,2,GX,1,100,-2.014
1760384594.839280,460654.000,8523,2,GX,1,100,-0.610
1760384594.879281,460694.000,8541,3,GX,1,100,-0.946
1760384594.919283,460734.000,8541,3,GX,1,100,-1.038
1760384594.959284,460774.000,8541,3,GX,1,100,-0.610
1760384594.999286,460814.000,8555,2,GX,1,100,-0.854
1760384595.039287,460854.000,8555,2,GX,1,100,-0.916
1760384595.079289,460894.000,8572,3,GX,1,100,-1.190
1760384595.119290,460934.000,8572,3,GX,1,100,-1.007
1760384595.159292,460974.000,8572,3,GX,1,100,-0.671
1760384595.199293,461014.000,8588,3,GX,1,100,-0.610
1760384595.239295,461054.000,8588,3,GX,1,100,-1.251
1760384595.279297,461094.000,8588,3,GX,1,100,-1.068
1760384595.319298,461134.000,8606,2,GX,1,100,-0.397
1760384595.359300,461174.000,8606,2,GX,1,100,-0.702
1760384595.399301,461214.000,8620,3,GX,1,100,-1.221
1760384595.439303,461254.000,8620,3,GX,1,100,-1.312
1760384595.479304,461294.000,8620,3,GX,1,100,-0.641
1760384595.519306,461334.000,8637,2,GX,1,100,0.336
1760384595.559307,461374.000,8637,2,GX,1,100,-1.160
1760384595.599309,461414.000,8654,3,GX,1,100,-1.190
1760384595.639310,461454.000,8654,3,GX,1,100,-0.336
1760384595.679312,461494.000,8654,3,GX,1,100,-0.793
1760384595.719313,461534.000,8671,2,GX,1,100,-1.251
1760384595.759315,461574.000,8671,2,GX,1,100,-1.099
1760384595.799316,461614.000,8686,3,GX,1,100,-0.580
1760384595.839318,461654.000,8686,3,GX,1,100,-0.580
1760384595.879319,461694.000,8686,3,GX,1,100,-0.488
1760384595.919321,461734.000,8703,2,GX,1,100,-0.763
1760384595.959322,461774.000,8703,2,GX,1,100,-0.641
1760384595.999324,461814.000,8719,3,GX,1,100,-0.031
1760384596.039325,461854.000,8719,3,GX,1,100,-0.519
1760384596.079327,461894.000,8719,3,GX,1,100,-0.610
1760384596.119328,461934.000,8736,2,GX,1,100,-0.092
1760384596.159330,461974.000,8736,2,GX,1,100,-0.305
1760384596.199332,462014.000,8753,3,GX,1,100,-0.305
1760384596.239333,462054.000,8753,3,GX,1,100,0.397
1760384596.279335,462094.000,8753,3,GX,1,100,-0.458
1760384596.319336,462134.000,8770,2,GX,1,100,-0.427
1760384596.359338,462174.000,8770,2,GX,1,100,-0.061
1760384596.399339,462214.000,8786,3,GX,1,100,-0.610
1760384596.439341,462254.000,8786,3,GX,1,100,-1.007
1760384596.479342,462294.000,8786,3,GX,1,100,-0.519
1760384596.519344,462334.000,8803,3,GX,1,100,-0.061
1760384596.559345,462374.000,8803,3,GX,1,100,-0.305
1760384596.599347,462414.000,8803,3,GX,1,100,-0.153
1760384596.639348,462454.000,8822,2,GX,1,100,-0.824
1760384596.679350,462494.000,8822,2,GX,1,100,-1.038
1760384596.719351,462534.000,8837,3,GX,1,100,-0.580
1760384596.759353,462574.000,8837,3,GX,1,100,-0.580
1760384596.799355,462614.000,8837,3,GX,1,100,-1.160
1760384596.839356,462654.000,8853,2,GX,1,100,-1.526
1760384596.879358,462694.000,8853,2,GX,1,100,-1.282
1760384596.919359,462734.000,8871,3,GX,1,100,-0.702
1760384596.959361,462774.000,8871,3,GX,1,100,-0.763
1760384596.999362,462814.000,8871,3,GX,1,100,-1.312
1760384597.039364,462854.000,8887,2,GX,1,100,-0.458
1760384597.079365,462894.000,8887,2,GX,1,100,-0.916
1760384597.119367,462934.000,8902,3,GX,1,100,-1.343
1760384597.159368,462974.000,8902,3,GX,1,100,-1.282
1760384597.199370,463014.000,8902,3,GX,1,100,-0.854
1760384597.239371,463054.000,8924,2,GX,1,100,-0.641
1760384597.279373,463094.000,8924,2,GX,1,100,-0.763
1760384597.319374,463134.000,8941,3,GX,1,100,-0.854
1760384597.359376,463174.000,8941,3,GX,1,100,-1.343
1760384597.399377,463214.000,8941,3,GX,1,100,-0.916
