LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1760384596.653349,462468.000,8810,1,HR,1,100,78.73
1760384597.972399,463787.000,9030,1,HR,1,100,71.33
1760384599.052440,464867.000,9211,1,HR,1,100,67.83
1760384600.332489,466147.000,9408,1,HR,1,100,63.17
1760384601.372529,467187.000,9594,1,HR,1,100,61.95
1760384601.812546,467627.000,9661,1,HR,1,100,78.49
1760384602.492571,468307.000,9781,1,HR,1,100,80.66
1760384603.412606,469227.000,9931,1,HR,1,100,77.22
1760384603.972628,469787.000,10014,1,HR,1,100,83.87
1760384605.665692,471480.000,10295,1,HR,1,100,73.17
1760384606.345718,472160.000,10393,1,HR,1,100,76.52
1760384606.905740,472720.000,10496,1,HR,1,100,83.32
1760384607.905777,473720.000,10667,1,HR,1,100,78.14
1760384608.625805,474440.000,10782,1,HR,1,100,79.29
1760384609.385834,475200.000,10899,1,HR,1,100,79.22
1760384610.265867,476080.000,11047,1,HR,1,100,76.77
1760384610.905892,476720.000,11148,1,HR,1,100,80.54
1760384611.624919,477439.000,11266,1,HR,1,100,81.16
1760384612.504953,478319.000,11415,1,HR,1,100,78.28
1760384614.585032,480399.000,11748,1,HR,1,100,67.29
1760384615.358062,481172.000,11881,1,HR,1,100,69.88
1760384616.038087,481852.000,11997,1,HR,1,100,73.96
1760384616.678112,482492.000,12099,1,HR,1,100,78.36
1760384617.318136,483132.000,12200,1,HR,1,100,81.78
1760384617.958161,483772.000,12320,1,HR,1,100,84.44
1760384618.558183,484372.000,12420,1,HR,1,100,87.90
1760384619.318212,485132.000,12537,1,HR,1,100,85.91
1760384620.158244,485972.000,12670,1,HR,1,100,82.69
1760384620.798269,486612.000,12785,1,HR,1,100,85.15
1760384621.918311,487732.000,12970,1,HR,1,100,78.13
1760384622.198322,488012.000,13004,1,HR,1,100,108.39
1760384622.758343,488572.000,13105,1,HR,1,100,108.11
1760384623.118357,488932.000,13160,1,HR,1,100,121.12
1760384623.838385,489652.000,13292,1,HR,1,100,112.73
1760384625.691455,491505.000,13589,1,HR,1,100,94.92
1760384626.451484,492265.000,13707,1,HR,1,100,91.37
1760384627.171511,492985.000,13822,1,HR,1,100,89.59
1760384628.170550,493984.000,13993,1,HR,1,100,83.01
1760384629.170588,494984.000,14159,1,HR,1,100,77.90
1760384629.970618,495784.000,14291,1,HR,1,100,77.25
1760384630.730647,496544.000,14424,1,HR,1,100,77.63
1760384630.890653,496704.000,14442,1,HR,1,100,143.71
1760384631.490676,497304.000,14544,1,HR,1,100,134.00
1760384632.210704,498024.000,14659,1,HR,1,100,122.74
1760384632.850728,498664.000,14777,1,HR,1,100,116.30
1760384633.530754,499344.000,14881,1,HR,1,100,110.06
1760384634.170778,499984.000,14998,1,HR,1,100,106.44
1760384634.930807,500744.000,15114,1,HR,1,100,100.33
1760384636.783878,502597.000,15413,1,HR,1,100,85.28
1760384637.623910,503437.000,15559,1,HR,1,100,82.20
1760384639.984000,505797.000,15944,1,HR,1,100,69.58
1760384640.824032,506637.000,16076,1,HR,1,100,69.99
1760384641.623062,507436.000,16210,1,HR,1,100,71.11
1760384642.463094,508276.000,16344,1,HR,1,100,71.18
1760384643.223123,509036.000,16460,1,HR,1,100,72.90
1760384644.023154,509836.000,16598,1,HR,1,100,73.37
1760384644.623176,510436.000,16698,1,HR,1,100,79.29
1760384645.423207,511236.000,16831,1,HR,1,100,78.34
1760384646.116233,511929.000,16947,1,HR,1,100,80.54
1760384646.836261,512649.000,17064,1,HR,1,100,81.16
1760384647.596290,513409.000,17182,1,HR,1,100,80.67
1760384649.196351,515009.000,17450,1,HR,1,100,71.07
1760384649.956380,515769.000,17565,1,HR,1,100,72.82
1760384650.756410,516569.000,17698,1,HR,1,100,73.31
1760384651.356433,517169.000,17800,1,HR,1,100,79.24
1760384652.276468,518089.000,17950,1,HR,1,100,76.12
1760384653.636520,519449.000,18172,1,HR,1,100,69.01
1760384654.516553,520329.000,18321,1,HR,1,100,68.83
1760384655.795602,521608.000,18521,1,HR,1,100,63.95
1760384656.609633,522422.000,18672,1,HR,1,100,66.40
1760384659.048726,524861.000,19056,1,HR,1,100,57.11
1760384659.888758,525701.000,19205,1,HR,1,100,60.29
1760384660.888796,526701.000,19371,1,HR,1,100,60.23
1760384661.248810,527061.000,19421,1,HR,1,100,83.88
1760384662.168845,527981.000,19573,1,HR,1,100,79.73
1760384663.008877,528821.000,19705,1,HR,1,100,77.89
1760384663.568898,529381.000,19806,1,HR,1,100,84.39
1760384664.288926,530101.000,19928,1,HR,1,100,84.15
1760384665.168959,530981.000,20078,1,HR,1,100,80.61
1760384665.728981,531541.000,20162,1,HR,1,100,86.50
1760384666.449008,532261.000,20280,1,HR,1,100,85.80
1760384667.662054,533474.000,20477,1,HR,1,100,77.84
1760384668.302078,534114.000,20595,1,HR,1,100,81.38
1760384669.542126,535354.000,20797,1,HR,1,100,74.05
1760384670.262153,536074.000,20913,1,HR,1,100,76.11
1760384670.981180,536793.000,21028,1,HR,1,100,77.72
1760384671.901216,537713.000,21180,1,HR,1,100,74.94
1760384672.581242,538393.000,21297,1,HR,1,100,77.89
1760384673.381272,539193.000,21430,1,HR,1,100,77.25
1760384674.341309,540153.000,21585,1,HR,1,100,73.97
1760384674.861328,540673.000,21666,1,HR,1,100,83.18
1760384677.061412,542873.000,22030,1,HR,1,100,70.75
1760384677.514429,543326.000,22097,1,HR,1,100,85.33
1760384680.074527,545886.000,22513,1,HR,1,100,71.58
1760384681.074565,546886.000,22679,1,HR,1,100,69.00
1760384681.394577,547206.000,22731,1,HR,1,100,95.34
1760384682.754629,548566.000,22962,1,HR,1,100,83.96
1760384684.314688,550126.000,23213,1,HR,1,100,73.85
1760384685.513734,551325.000,23413,1,HR,1,100,68.55
1760384686.033754,551845.000,23499,1,HR,1,100,78.96
1760384686.913788,552725.000,23650,1,HR,1,100,76.56
1760384687.553812,553365.000,23751,1,HR,1,100,80.38
1760384688.286840,554098.000,23866,1,HR,1,100,81.04
1760384689.966904,555778.000,24151,1,HR,1,100,70.96
1760384691.566965,557378.000,24416,1,HR,1,100,63.53
1760384692.567003,558378.000,24565,1,HR,1,100,62.74
1760384694.247067,560058.000,24845,1,HR,1,100,56.74
1760384694.847090,560658.000,24949,1,HR,1,100,66.35
1760384695.567117,561378.000,25066,1,HR,1,100,70.13
1760384696.567155,562378.000,25234,1,HR,1,100,67.88
1760384697.087175,562898.000,25319,1,HR,1,100,78.43
1760384698.620234,564431.000,25570,1,HR,1,100,69.78
1760384699.420264,565231.000,25703,1,HR,1,100,70.94
1760384701.019325,566830.000,25953,1,HR,1,100,63.51
1760384702.019363,567830.000,26119,1,HR,1,100,62.73
1760384702.619386,568430.000,26221,1,HR,1,100,71.01
1760384703.419416,569230.000,26338,1,HR,1,100,71.90
1760384704.339451,570150.000,26486,1,HR,1,100,70.41
1760384706.779544,572590.000,26906,1,HR,1,100,60.23
1760384707.379567,573190.000,26989,1,HR,1,100,69.07
1760384708.499610,574310.000,27171,1,HR,1,100,65.62
1760384709.459646,575270.000,27337,1,HR,1,100,64.93
1760384711.832737,577643.000,27722,1,HR,1,100,56.15
1760384712.432760,578243.000,27821,1,HR,1,100,65.89
1760384713.352795,579163.000,27971,1,HR,1,100,65.74
1760384715.871891,581682.000,28385,1,HR,1,100,56.43
1760384717.871967,583682.000,28701,1,HR,1,100,50.55
1760384718.591994,584402.000,28816,1,HR,1,100,57.84
1760384719.512029,585322.000,28982,1,HR,1,100,59.48
1760384721.245095,587055.000,29250,1,HR,1,100,54.01
