LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1760384593.440227,459255.000,8286,3,PG,1,100,8223
1760384593.440227,459255.000,8286,3,PG,1,100,8208
1760384593.440227,459255.000,8286,3,PG,1,100,8226
1760384593.480228,459295.000,8303,2,PG,1,100,8248
1760384593.520230,459335.000,8303,2,PG,1,100,8255
1760384593.560231,459375.000,8320,3,PG,1,100,8260
1760384593.600233,459415.000,8320,3,PG,1,100,8262
1760384593.640234,459455.000,8320,3,PG,1,100,8247
1760384593.680236,459495.000,8337,2,PG,1,100,8228
1760384593.720237,459535.000,8337,2,PG,1,100,8222
1760384593.764572,459579.333,8352,3,PG,1,100,8222
1760384593.808907,459623.667,8352,3,PG,1,100,8202
1760384593.853242,459668.000,8352,3,PG,1,100,8225
1760384593.893244,459708.000,8368,2,PG,1,100,8229
1760384593.933245,459748.000,8368,2,PG,1,100,8230
1760384593.973247,459788.000,8385,3,PG,1,100,8226
1760384594.013248,459828.000,8385,3,PG,1,100,8240
1760384594.053250,459868.000,8385,3,PG,1,100,8248
1760384594.093251,459908.000,8402,2,PG,1,100,8258
1760384594.133253,459948.000,8402,2,PG,1,100,8264
1760384594.173254,459988.000,8418,3,PG,1,100,8280
1760384594.213256,460028.000,8418,3,PG,1,100,8277
1760384594.253258,460068.000,8418,3,PG,1,100,8291
1760384594.293259,460108.000,8434,2,PG,1,100,8274
1760384594.333261,460148.000,8434,2,PG,1,100,8261
1760384594.373262,460188.000,8450,3,PG,1,100,8246
1760384594.413264,460228.000,8450,3,PG,1,100,8246
1760384594.453265,460268.000,8450,3,PG,1,100,8238
1760384594.493267,460308.000,8467,2,PG,1,100,8241
1760384594.533268,460348.000,8467,2,PG,1,100,8256
1760384594.573270,460388.000,8484,3,PG,1,100,8247
1760384594.613271,460428.000,8484,3,PG,1,100,8260
1760384594.653273,460468.000,8484,3,PG,1,100,8271
1760384594.693274,460508.000,8499,2,PG,1,100,8258
1760384594.733276,460548.000,8499,2,PG,1,100,8271
1760384594.773277,460588.000,8515,3,PG,1,100,8283
1760384594.813279,460628.000,8515,3,PG,1,100,8298
1760384594.853280,460668.000,8515,3,PG,1,100,8298
1760384594.893282,460708.000,8533,3,PG,1,100,8305
1760384594.933283,460748.000,8533,3,PG,1,100,8283
1760384594.973285,460788.000,8533,3,PG,1,100,8281
1760384595.013286,460828.000,8549,2,PG,1,100,8253
1760384595.053288,460868.000,8549,2,PG,1,100,8256
1760384595.093289,460908.000,8564,3,PG,1,100,8246
1760384595.133291,460948.000,8564,3,PG,1,100,8243
1760384595.173292,460988.000,8564,3,PG,1,100,8263
1760384595.213294,461028.000,8580,2,PG,1,100,8272
1760384595.253295,461068.000,8580,2,PG,1,100,8281
1760384595.293297,461108.000,8598,3,PG,1,100,8260
1760384595.333299,461148.000,8598,3,PG,1,100,8294
1760384595.373300,461188.000,8598,3,PG,1,100,8296
1760384595.413302,461228.000,8614,2,PG,1,100,8300
1760384595.453303,461268.000,8614,2,PG,1,100,8300
1760384595.493305,461308.000,8629,3,PG,1,100,8338
1760384595.533306,461348.000,8629,3,PG,1,100,8334
1760384595.573308,461388.000,8629,3,PG,1,100,8327
1760384595.613309,461428.000,8646,2,PG,1,100,8306
1760384595.653311,461468.000,8646,2,PG,1,100,8299
1760384595.693312,461508.000,8663,3,PG,1,100,8294
1760384595.733314,461548.000,8663,3,PG,1,100,8295
1760384595.773315,461588.000,8663,3,PG,1,100,8287
1760384595.813317,461628.000,8679,2,PG,1,100,8299
1760384595.853318,461668.000,8679,2,PG,1,100,8287
1760384595.893320,461708.000,8696,3,PG,1,100,8292
1760384595.933321,461748.000,8696,3,PG,1,100,8298
1760384595.973323,461788.000,8696,3,PG,1,100,8297
1760384596.013324,461828.000,8711,2,PG,1,100,8324
1760384596.053326,461868.000,8711,2,PG,1,100,8321
1760384596.093328,461908.000,8728,3,PG,1,100,8344
1760384596.133329,461948.000,8728,3,PG,1,100,8343
1760384596.173331,461988.000,8728,3,PG,1,100,8362
1760384596.213332,462028.000,8745,3,PG,1,100,8356
1760384596.253334,462068.000,8745,3,PG,1,100,8378
1760384596.293335,462108.000,8745,3,PG,1,100,8367
1760384596.333337,462148.000,8764,2,PG,1,100,8350
1760384596.373338,462188.000,8764,2,PG,1,100,8329
1760384596.413340,462228.000,8778,3,PG,1,100,8336
1760384596.453341,462268.000,8778,3,PG,1,100,8333
1760384596.493343,462308.000,8778,3,PG,1,100,8327
1760384596.533344,462348.000,8795,2,PG,1,100,8341
1760384596.573346,462388.000,8795,2,PG,1,100,8338
1760384596.613347,462428.000,8814,3,PG,1,100,8353
1760384596.653349,462468.000,8814,3,PG,1,100,8354
1760384596.693350,462508.000,8814,3,PG,1,100,8356
1760384596.733352,462548.000,8831,2,PG,1,100,8368
1760384596.773353,462588.000,8831,2,PG,1,100,8389
1760384596.813355,462628.000,8845,3,PG,1,100,8375
1760384596.853357,462668.000,8845,3,PG,1,100,8375
1760384596.893358,462708.000,8845,3,PG,1,100,8398
1760384596.933360,462748.000,8863,2,PG,1,100,8396
1760384596.973361,462788.000,8863,2,PG,1,100,8393
1760384597.013363,462828.000,8879,3,PG,1,100,8383
1760384597.053364,462868.000,8879,3,PG,1,100,8366
1760384597.093366,462908.000,8879,3,PG,1,100,8371
1760384597.133367,462948.000,8896,2,PG,1,100,8368
1760384597.173369,462988.000,8896,2,PG,1,100,8369
