LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1760384593.440227,459255.000,8285,3,PR,1,100,107103
1760384593.440227,459255.000,8285,3,PR,1,100,107112
1760384593.440227,459255.000,8285,3,PR,1,100,107133
1760384593.480228,459295.000,8302,2,PR,1,100,107123
1760384593.520230,459335.000,8302,2,PR,1,100,107132
1760384593.560231,459375.000,8319,3,PR,1,100,107143
1760384593.600233,459415.000,8319,3,PR,1,100,107148
1760384593.640234,459455.000,8319,3,PR,1,100,107164
1760384593.680236,459495.000,8336,2,PR,1,100,107167
1760384593.720237,459535.000,8336,2,PR,1,100,107178
1760384593.764572,459579.333,8351,3,PR,1,100,107151
1760384593.808907,459623.667,8351,3,PR,1,100,107167
1760384593.853242,459668.000,8351,3,PR,1,100,107190
1760384593.893244,459708.000,8367,2,PR,1,100,107198
1760384593.933245,459748.000,8367,2,PR,1,100,107190
1760384593.973247,459788.000,8384,3,PR,1,100,107198
1760384594.013248,459828.000,8384,3,PR,1,100,107208
1760384594.053250,459868.000,8384,3,PR,1,100,107198
1760384594.093251,459908.000,8401,2,PR,1,100,107208
1760384594.133253,459948.000,8401,2,PR,1,100,107215
1760384594.173254,459988.000,8417,3,PR,1,100,107214
1760384594.213256,460028.000,8417,3,PR,1,100,107220
1760384594.253258,460068.000,8417,3,PR,1,100,107229
1760384594.293259,460108.000,8433,2,PR,1,100,107224
1760384594.333261,460148.000,8433,2,PR,1,100,107216
1760384594.373262,460188.000,8449,3,PR,1,100,107230
1760384594.413264,460228.000,8449,3,PR,1,100,107229
1760384594.453265,460268.000,8449,3,PR,1,100,107256
1760384594.493267,460308.000,8466,2,PR,1,100,107258
1760384594.533268,460348.000,8466,2,PR,1,100,107255
1760384594.573270,460388.000,8483,3,PR,1,100,107274
1760384594.613271,460428.000,8483,3,PR,1,100,107272
1760384594.653273,460468.000,8483,3,PR,1,100,107277
1760384594.693274,460508.000,8498,2,PR,1,100,107272
1760384594.733276,460548.000,8498,2,PR,1,100,107284
1760384594.773277,460588.000,8514,3,PR,1,100,107289
1760384594.813279,460628.000,8514,3,PR,1,100,107298
1760384594.853280,460668.000,8514,3,PR,1,100,107309
1760384594.893282,460708.000,8532,3,PR,1,100,107309
1760384594.933283,460748.000,8532,3,PR,1,100,107299
1760384594.973285,460788.000,8532,3,PR,1,100,107313
1760384595.013286,460828.000,8548,2,PR,1,100,107300
1760384595.053288,460868.000,8548,2,PR,1,100,107309
1760384595.093289,460908.000,8563,3,PR,1,100,107300
1760384595.133291,460948.000,8563,3,PR,1,100,107320
1760384595.173292,460988.000,8563,3,PR,1,100,107307
1760384595.213294,461028.000,8579,2,PR,1,100,107315
1760384595.253295,461068.000,8579,2,PR,1,100,107324
1760384595.293297,461108.000,8597,3,PR,1,100,107337
1760384595.333299,461148.000,8597,3,PR,1,100,107338
1760384595.373300,461188.000,8597,3,PR,1,100,107352
1760384595.413302,461228.000,8613,2,PR,1,100,107347
1760384595.453303,461268.000,8613,2,PR,1,100,107355
1760384595.493305,461308.000,8628,3,PR,1,100,107353
1760384595.533306,461348.000,8628,3,PR,1,100,107346
1760384595.573308,461388.000,8628,3,PR,1,100,107338
1760384595.613309,461428.000,8645,2,PR,1,100,107353
1760384595.653311,461468.000,8645,2,PR,1,100,107354
1760384595.693312,461508.000,8662,3,PR,1,100,107359
1760384595.733314,461548.000,8662,3,PR,1,100,107357
1760384595.773315,461588.000,8662,3,PR,1,100,107360
1760384595.813317,461628.000,8678,2,PR,1,100,107354
1760384595.853318,461668.000,8678,2,PR,1,100,107376
1760384595.893320,461708.000,8695,3,PR,1,100,107365
1760384595.933321,461748.000,8695,3,PR,1,100,107385
1760384595.973323,461788.000,8695,3,PR,1,100,107377
1760384596.013324,461828.000,8710,2,PR,1,100,107387
1760384596.053326,461868.000,8710,2,PR,1,100,107383
1760384596.093328,461908.000,8727,3,PR,1,100,107373
1760384596.133329,461948.000,8727,3,PR,1,100,107385
1760384596.173331,461988.000,8727,3,PR,1,100,107391
1760384596.213332,462028.000,8744,3,PR,1,100,107396
1760384596.253334,462068.000,8744,3,PR,1,100,107391
1760384596.293335,462108.000,8744,3,PR,1,100,107380
1760384596.333337,462148.000,8763,2,PR,1,100,107409
1760384596.373338,462188.000,8763,2,PR,1,100,107387
1760384596.413340,462228.000,8777,3,PR,1,100,107371
1760384596.453341,462268.000,8777,3,PR,1,100,107405
1760384596.493343,462308.000,8777,3,PR,1,100,107397
1760384596.533344,462348.000,8794,2,PR,1,100,107404
1760384596.573346,462388.000,8794,2,PR,1,100,107389
1760384596.613347,462428.000,8813,3,PR,1,100,107408
1760384596.653349,462468.000,8813,3,PR,1,100,107407
1760384596.693350,462508.000,8813,3,PR,1,100,107411
1760384596.733352,462548.000,8830,2,PR,1,100,107397
1760384596.773353,462588.000,8830,2,PR,1,100,107414
1760384596.813355,462628.000,8844,3,PR,1,100,107409
1760384596.853357,462668.000,8844,3,PR,1,100,107414
1760384596.893358,462708.000,8844,3,PR,1,100,107422
1760384596.933360,462748.000,8862,2,PR,1,100,107433
1760384596.973361,462788.000,8862,2,PR,1,100,107420
1760384597.013363,462828.000,8878,3,PR,1,100,107428
1760384597.053364,462868.000,8878,3,PR,1,100,107417
1760384597.093366,462908.000,8878,3,PR,1,100,107422
1760384597.133367,462948.000,8895,2,PR,1,100,107425
1760384597.173369,462988.000,8895,2,PR,1,100,107422
1760384597.213370,463028.000,8915,3,PR,1,100,107438
1760384597.253372,463068.000,8915,3,PR,1,100,107440
1760384597.293373,463108.000,8915,3,PR,1,100,107443
1760384597.333375,463148.000,8932,3,PR,1,100,107445
1760384597.373376,463188.000,8932,3,PR,1,100,107443
1760384597.413378,463228.000,8932,3,PR,1,100,107453
1760384597.453379,463268.000,8948,2,PR,1,100,107443
1760384597.493381,463308.000,8948,2,PR,1,100,107448
1760384597.533049,463347.667,8965,3,PR,1,100,107459
1760384597.572717,463387.333,8965,3,PR,1,100,107461
1760384597.612386,463427.000,8965,3,PR,1,100,107461
1760384597.652887,463467.500,8980,2,PR,1,100,107486
1760384597.693388,463508.000,8980,2,PR,1,100,107461
1760384597.733390,463548.000,8997,3,PR,1,100,107476
1760384597.773391,463588.000,8997,3,PR,1,100,107461
1760384597.813393,463628.000,8997,3,PR,1,100,107461
1760384597.853395,463668.000,9013,2,PR,1,100,107472
1760384597.893396,463708.000,9013,2,PR,1,100,107477
1760384597.933064,463747.667,9033,3,PR,1,100,107477
1760384597.972733,463787.333,9033,3,PR,1,100,107475
1760384598.012401,463827.000,9033,3,PR,1,100,107484
1760384598.052402,463867.000,9048,2,PR,1,100,107473
1760384598.092404,463907.000,9048,2,PR,1,100,107469
1760384598.132405,463947.000,9064,3,PR,1,100,107477
1760384598.172407,463987.000,9064,3,PR,1,100,107478
1760384598.212408,464027.000,9064,3,PR,1,100,107469
1760384598.252410,464067.000,9081,2,PR,1,100,107479
1760384598.292411,464107.000,9081,2,PR,1,100,107482
1760384598.332413,464147.000,9098,3,PR,1,100,107495
1760384598.372414,464187.000,9098,3,PR,1,100,107506
1760384598.412416,464227.000,9098,3,PR,1,100,107513
1760384598.452417,464267.000,9114,2,PR,1,100,107500
1760384598.492419,464307.000,9114,2,PR,1,100,107510
1760384598.532420,464347.000,9130,3,PR,1,100,107502
1760384598.572422,464387.000,9130,3,PR,1,100,107506
1760384598.612423,464427.000,9130,3,PR,1,100,107508
1760384598.652425,464467.000,9146,3,PR,1,100,107502
1760384598.692426,464507.000,9146,3,PR,1,100,107497
1760384598.732428,464547.000,9146,3,PR,1,100,107498
1760384598.772430,464587.000,9163,2,PR,1,100,107492
1760384598.812431,464627.000,9163,2,PR,1,100,107490
1760384598.852766,464667.333,9179,3,PR,1,100,107489
1760384598.893101,464707.667,9179,3,PR,1,100,107493
1760384598.933436,464748.000,9179,3,PR,1,100,107506
1760384598.972937,464787.500,9195,2,PR,1,100,107514
1760384599.012439,464827.000,9195,2,PR,1,100,107500
1760384599.052440,464867.000,9213,3,PR,1,100,107503
1760384599.092442,464907.000,9213,3,PR,1,100,107506
1760384599.132443,464947.000,9213,3,PR,1,100,107509
1760384599.172445,464987.000,9230,2,PR,1,100,107521
1760384599.212446,465027.000,9230,2,PR,1,100,107502
1760384599.252448,465067.000,9247,3,PR,1,100,107521
1760384599.292449,465107.000,9247,3,PR,1,100,107516
1760384599.332451,465147.000,9247,3,PR,1,100,107514
1760384599.372452,465187.000,9262,2,PR,1,100,107513
1760384599.412454,465227.000,9262,2,PR,1,100,107510
1760384599.452456,465267.000,9278,3,PR,1,100,107510
1760384599.492457,465307.000,9278,3,PR,1,100,107518
1760384599.532459,465347.000,9278,3,PR,1,100,107519
1760384599.572460,465387.000,9296,2,PR,1,100,107525
1760384599.612462,465427.000,9296,2,PR,1,100,107528
1760384599.652463,465467.000,9312,3,PR,1,100,107528
1760384599.692465,465507.000,9312,3,PR,1,100,107516
1760384599.732466,465547.000,9312,3,PR,1,100,107541
1760384599.772468,465587.000,9327,2,PR,1,100,107540
