LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1760384597.254372,463069,8908,1,TL,1,100,2025-10-13_15-43-12-215949
1760384597.281373,463096,8911,1,TL,1,100,2025-10-13_15-43-17-263525
1760384602.360566,468175,9741,1,TL,1,100,2025-10-13_15-43-17-344982
1760384602.386567,468201,9744,1,TL,1,100,2025-10-13_15-43-22-372755
1760384607.468761,473283,10579,1,TL,1,100,2025-10-13_15-43-22-432553
1760384607.484761,473299,10582,1,TL,1,100,2025-10-13_15-43-27-477848
1760384612.599957,478414,11432,1,TL,1,100,2025-10-13_15-43-27-512430
1760384612.613957,478428,11435,1,TL,1,100,2025-10-13_15-43-32-607457
1760384617.706151,483520,12267,1,TL,1,100,2025-10-13_15-43-32-691152
1760384617.721152,483535,12270,1,TL,1,100,2025-10-13_15-43-37-714071
1760384622.843347,488657,13120,1,TL,1,100,2025-10-13_15-43-37-755234
1760384622.860347,488674,13123,1,TL,1,100,2025-10-13_15-43-42-856174
1760384627.951541,493765,13953,1,TL,1,100,2025-10-13_15-43-42-966033
1760384627.964542,493778,13956,1,TL,1,100,2025-10-13_15-43-47-959882
1760384633.084737,498898,14809,1,TL,1,100,2025-10-13_15-43-48-107565
1760384633.118738,498932,14812,1,TL,1,100,2025-10-13_15-43-53-093032
1760384638.192931,504006,15643,1,TL,1,100,2025-10-13_15-43-53-184148
1760384638.246933,504060,15646,1,TL,1,100,2025-10-13_15-43-58-212446
1760384643.304126,509117,16478,1,TL,1,100,2025-10-13_15-43-58-277864
1760384643.345128,509158,16481,1,TL,1,100,2025-10-13_15-44-03-333630
1760384648.411321,514224,17314,1,TL,1,100,2025-10-13_15-44-03-376871
1760384648.441322,514254,17317,1,TL,1,100,2025-10-13_15-44-08-435100
1760384653.519515,519332,18149,1,TL,1,100,2025-10-13_15-44-08-464521
1760384653.563517,519376,18152,1,TL,1,100,2025-10-13_15-44-13-534950
1760384658.627710,524440,18984,1,TL,1,100,2025-10-13_15-44-13-594800
1760384658.643711,524456,18987,1,TL,1,100,2025-10-13_15-44-18-637752
1760384663.751905,529564,19838,1,TL,1,100,2025-10-13_15-44-18-683597
1760384663.765906,529578,19841,1,TL,1,100,2025-10-13_15-44-23-759798
1760384668.863100,534675,20676,1,TL,1,100,2025-10-13_15-44-23-875049
1760384668.877100,534689,20679,1,TL,1,100,2025-10-13_15-44-28-871643
1760384673.969294,539781,21511,1,TL,1,100,2025-10-13_15-44-28-921716
1760384673.986295,539798,21514,1,TL,1,100,2025-10-13_15-44-33-975391
1760384679.098490,544910,22359,1,TL,1,100,2025-10-13_15-44-34-018554
1760384679.120491,544932,22362,1,TL,1,100,2025-10-13_15-44-39-106633
1760384684.208684,550020,23190,1,TL,1,100,2025-10-13_15-44-39-187788
1760384684.228685,550040,23193,1,TL,1,100,2025-10-13_15-44-44-221795
1760384689.346880,555158,24046,1,TL,1,100,2025-10-13_15-44-44-273965
1760384689.363881,555175,24049,1,TL,1,100,2025-10-13_15-44-49-356381
1760384694.454075,560265,24878,1,TL,1,100,2025-10-13_15-44-49-434532
1760384694.474076,560285,24881,1,TL,1,100,2025-10-13_15-44-54-463169
1760384699.562269,565373,25719,1,TL,1,100,2025-10-13_15-44-54-513075
1760384704.679464,570490,26553,1,TL,1,100,2025-10-13_15-44-59-577118
1760384704.681464,570492,26555,1,TL,1,100,2025-10-13_15-44-59-710392
1760384704.732466,570543,26558,1,TL,1,100,2025-10-13_15-45-04-719976
1760384709.785659,575596,27386,1,TL,1,100,2025-10-13_15-45-04-762461
1760384709.840661,575651,27389,1,TL,1,100,2025-10-13_15-45-09-824710
1760384714.893853,580704,28217,1,TL,1,100,2025-10-13_15-45-09-870191
1760384714.935855,580746,28220,1,TL,1,100,2025-10-13_15-45-14-926161
1760384720.002048,585812,29048,1,TL,1,100,2025-10-13_15-45-14-970025
1760384720.042050,585852,29051,1,TL,1,100,2025-10-13_15-45-20-032421
