LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1760384359.999630,225811.000,34994,1,BI,1,100,800
1760384360.759617,226571.000,35131,1,BI,1,100,760
1760384361.159610,226971.000,35200,1,BI,1,100,400
1760384361.519603,227331.000,35252,1,BI,1,100,360
1760384362.039594,227851.000,35345,1,BI,1,100,520
1760384362.599584,228411.000,35431,1,BI,1,100,560
1760384362.999577,228811.000,35500,1,BI,1,100,400
1760384363.519567,229331.000,35587,1,BI,1,100,520
1760384363.759563,229571.000,35637,1,BI,1,100,240
1760384364.212555,230024.000,35708,1,BI,1,100,440
1760384364.492550,230304.000,35759,1,BI,1,100,280
1760384364.972541,230784.000,35844,1,BI,1,100,480
1760384365.212537,231024.000,35880,1,BI,1,100,240
1760384365.732527,231544.000,35967,1,BI,1,100,520
1760384366.412515,232224.000,36086,1,BI,1,100,680
1760384366.652511,232464.000,36119,1,BI,1,100,240
1760384367.132502,232944.000,36213,1,BI,1,100,480
1760384367.412497,233224.000,36249,1,BI,1,100,280
1760384367.812490,233624.000,36318,1,BI,1,100,400
1760384368.132484,233944.000,36368,1,BI,1,100,320
1760384368.532477,234344.000,36437,1,BI,1,100,400
1760384368.852471,234664.000,36507,1,BI,1,100,320
1760384369.292463,235104.000,36576,1,BI,1,100,440
1760384369.532459,235344.000,36613,1,BI,1,100,240
1760384370.012450,235824.000,36699,1,BI,1,100,480
1760384370.292445,236104.000,36751,1,BI,1,100,280
1760384370.772437,236584.000,36819,1,BI,1,100,480
1760384371.012432,236824.000,36871,1,BI,1,100,240
1760384371.531423,237343.000,36959,1,BI,1,100,520
1760384371.812418,237624.000,37014,1,BI,1,100,280
1760384372.251410,238063.000,37086,1,BI,1,100,440
1760384372.531405,238343.000,37122,1,BI,1,100,280
1760384372.851399,238663.000,37190,1,BI,1,100,320
1760384373.291391,239103.000,37257,1,BI,1,100,440
1760384373.785382,239597.000,37340,1,BI,1,100,480
1760384374.025378,239837.000,37377,1,BI,1,100,240
