LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1760384359.718636,225530.000,34943,1,SF,1,100,21.1378
1760384359.985631,225797.000,34996,1,SF,1,100,20.8932
1760384360.318625,226130.000,35044,1,SF,1,100,20.6516
1760384360.718617,226530.000,35111,1,SF,1,100,22.4949
1760384360.985613,226797.000,35164,1,SF,1,100,24.3169
1760384361.318607,227130.000,35217,1,SF,1,100,26.1179
1760384361.651601,227463.000,35273,1,SF,1,100,27.8980
1760384362.051594,227863.000,35347,1,SF,1,100,29.6575
1760384362.384588,228196.000,35395,1,SF,1,100,29.3145
1760384362.651583,228463.000,35450,1,SF,1,100,31.0576
1760384362.984577,228796.000,35502,1,SF,1,100,32.7806
1760384363.384570,229196.000,35569,1,SF,1,100,34.4836
1760384363.718564,229530.000,35620,1,SF,1,100,34.0847
1760384363.984559,229796.000,35674,1,SF,1,100,35.7727
1760384364.318553,230130.000,35727,1,SF,1,100,37.4411
1760384364.718545,230530.000,35794,1,SF,1,100,37.0080
1760384364.984541,230796.000,35846,1,SF,1,100,38.6621
1760384365.318535,231130.000,35900,1,SF,1,100,40.2971
1760384365.651529,231463.000,35949,1,SF,1,100,39.8310
1760384366.051522,231863.000,36016,1,SF,1,100,39.3702
1760384366.317517,232129.000,36067,1,SF,1,100,40.9970
1760384366.651511,232463.000,36123,1,SF,1,100,42.6050
1760384367.051503,232863.000,36190,1,SF,1,100,44.1944
1760384367.317499,233129.000,36231,1,SF,1,100,43.6832
1760384367.717492,233529.000,36300,1,SF,1,100,45.2601
1760384367.984487,233796.000,36353,1,SF,1,100,44.7365
1760384368.317481,234129.000,36405,1,SF,1,100,46.3012
1760384368.717474,234529.000,36474,1,SF,1,100,47.8479
1760384368.984469,234796.000,36527,1,SF,1,100,49.3766
1760384369.317463,235129.000,36580,1,SF,1,100,50.8877
1760384369.650457,235462.000,36634,1,SF,1,100,52.3813
1760384370.050450,235862.000,36701,1,SF,1,100,51.7753
1760384370.317445,236129.000,36753,1,SF,1,100,53.2586
1760384370.650439,236462.000,36802,1,SF,1,100,52.6425
1760384371.050431,236862.000,36873,1,SF,1,100,54.1158
1760384371.317427,237129.000,36925,1,SF,1,100,55.5720
1760384371.650421,237462.000,36978,1,SF,1,100,54.9292
1760384371.983415,237795.000,37030,1,SF,1,100,56.3760
1760384372.317409,238129.000,37088,1,SF,1,100,55.7239
1760384372.717402,238529.000,37157,1,SF,1,100,57.1615
1760384372.984397,238796.000,37207,1,SF,1,100,56.5002
1760384373.317391,239129.000,37259,1,SF,1,100,55.8466
1760384373.650385,239462.000,37308,1,SF,1,100,55.2006
1760384374.050378,239862.000,37379,1,SF,1,100,56.6443
1760384374.317373,240129.000,37428,1,SF,1,100,55.9890
1760384374.650367,240462.000,37478,1,SF,1,100,55.3413
1760384375.050359,240862.000,37545,1,SF,1,100,54.7011
1760384375.317355,241129.000,37596,1,SF,1,100,54.0684
1760384375.650349,241462.000,37646,1,SF,1,100,53.4429
1760384375.983343,241795.000,37697,1,SF,1,100,54.9069
1760384376.383336,242195.000,37770,1,SF,1,100,56.3540
1760384376.650331,242462.000,37820,1,SF,1,100,55.7021
1760384376.983325,242795.000,37873,1,SF,1,100,57.1400
1760384377.450316,243262.000,37945,1,SF,1,100,56.4790
1760384377.650313,243462.000,37985,1,SF,1,100,59.9901
1760384378.049305,243861.000,38052,1,SF,1,100,59.2962
1760384378.316301,244128.000,38104,1,SF,1,100,60.6925
1760384378.649295,244461.000,38157,1,SF,1,100,62.0726
1760384379.049288,244861.000,38224,1,SF,1,100,63.4368
1760384379.316283,245128.000,38276,1,SF,1,100,62.7030
1760384379.649277,245461.000,38329,1,SF,1,100,64.0599
1760384379.983271,245795.000,38379,1,SF,1,100,63.3188
1760384380.383264,246195.000,38446,1,SF,1,100,64.6686
1760384380.649259,246461.000,38499,1,SF,1,100,63.9205
1760384380.983253,246795.000,38549,1,SF,1,100,63.1811
1760384381.382246,247194.000,38616,1,SF,1,100,62.4502
1760384381.649241,247461.000,38669,1,SF,1,100,63.8100
1760384381.982235,247794.000,38720,1,SF,1,100,63.0719
1760384382.316229,248128.000,38772,1,SF,1,100,62.3422
1760384382.649223,248461.000,38829,1,SF,1,100,63.7033
1760384383.049216,248861.000,38896,1,SF,1,100,62.9664
1760384383.316211,249128.000,38949,1,SF,1,100,62.2380
1760384383.649205,249461.000,38999,1,SF,1,100,61.5180
1760384384.049197,249861.000,39068,1,SF,1,100,62.8886
1760384384.382191,250194.000,39119,1,SF,1,100,62.1611
1760384384.649187,250461.000,39169,1,SF,1,100,61.4420
1760384384.982181,250794.000,39222,1,SF,1,100,62.8135
1760384385.382174,251194.000,39289,1,SF,1,100,62.0869
1760384385.649169,251461.000,39341,1,SF,1,100,63.4509
1760384385.982163,251794.000,39393,1,SF,1,100,62.7169
1760384386.382155,252194.000,39462,1,SF,1,100,61.9914
1760384386.715149,252527.000,39513,1,SF,1,100,61.2743
1760384386.982145,252794.000,39562,1,SF,1,100,60.5655
1760384387.315139,253127.000,39614,1,SF,1,100,59.8648
1760384387.649133,253461.000,39672,1,SF,1,100,61.2546
1760384388.048126,253860.000,39741,1,SF,1,100,60.5460
1760384388.315121,254127.000,39789,1,SF,1,100,59.8456
1760384388.648115,254460.000,39841,1,SF,1,100,59.1533
1760384388.982109,254794.000,39892,1,SF,1,100,58.4690
1760384389.382102,255194.000,39959,1,SF,1,100,57.7926
1760384389.648097,255460.000,40010,1,SF,1,100,57.1241
1760384389.982091,255794.000,40060,1,SF,1,100,56.4632
1760384390.382083,256194.000,40127,1,SF,1,100,55.8101
1760384390.648079,256460.000,40180,1,SF,1,100,55.1645
1760384390.982073,256794.000,40230,1,SF,1,100,54.5263
1760384391.315067,257127.000,40279,1,SF,1,100,53.8955
1760384391.715060,257527.000,40350,1,SF,1,100,53.2721
1760384391.981055,257793.000,40400,1,SF,1,100,52.6558
1760384392.315049,258127.000,40451,1,SF,1,100,52.0467
1760384392.781040,258593.000,40523,1,SF,1,100,51.4446
1760384392.981037,258793.000,40559,1,SF,1,100,50.8495
1760384393.381029,259193.000,40626,1,SF,1,100,50.2613
1760384393.648025,259460.000,40676,1,SF,1,100,49.6798
1760384393.981019,259793.000,40727,1,SF,1,100,49.1051
1760384394.381011,260193.000,40795,1,SF,1,100,48.5371
1760384394.715005,260527.000,40846,1,SF,1,100,47.9756
1760384394.981001,260793.000,40897,1,SF,1,100,47.4206
1760384395.313995,261126.000,40947,1,SF,1,100,46.8721
1760384395.713987,261526.000,41012,1,SF,1,100,46.3298
1760384395.980983,261793.000,41067,1,SF,1,100,45.7939
1760384396.313977,262126.000,41115,1,SF,1,100,45.2641
1760384396.713969,262526.000,41186,1,SF,1,100,44.7405
1760384397.047963,262860.000,41235,1,SF,1,100,44.2230
1760384397.313959,263126.000,41287,1,SF,1,100,43.7114
1760384397.647953,263460.000,41338,1,SF,1,100,43.2057
1760384397.980947,263793.000,41393,1,SF,1,100,42.7059
1760384398.380939,264193.000,41460,1,SF,1,100,42.2119
1760384398.713933,264526.000,41512,1,SF,1,100,41.7236
1760384398.980929,264793.000,41562,1,SF,1,100,41.2409
1760384399.313923,265126.000,41611,1,SF,1,100,40.7638
1760384399.713915,265526.000,41680,1,SF,1,100,40.2923
1760384399.980911,265793.000,41732,1,SF,1,100,39.8262
1760384400.313905,266126.000,41781,1,SF,1,100,39.3655
1760384400.713897,266526.000,41848,1,SF,1,100,38.9101
1760384401.046891,266859.000,41898,1,SF,1,100,40.5422
1760384401.313887,267126.000,41953,1,SF,1,100,42.1555
1760384401.646881,267459.000,42007,1,SF,1,100,43.7501
1760384402.046873,267859.000,42076,1,SF,1,100,45.3262
1760384402.313869,268126.000,42129,1,SF,1,100,46.8841
1760384402.646863,268459.000,42179,1,SF,1,100,46.3418
1760384402.979856,268792.000,42239,1,SF,1,100,47.8880
1760384403.313851,269126.000,42289,1,SF,1,100,47.3340
1760384403.713843,269526.000,42358,1,SF,1,100,48.8687
1760384403.979839,269792.000,42411,1,SF,1,100,48.3034
1760384404.313833,270126.000,42459,1,SF,1,100,47.7446
1760384404.712825,270525.000,42528,1,SF,1,100,47.1923
1760384405.046819,270859.000,42577,1,SF,1,100,46.6463
1760384405.312815,271125.000,42629,1,SF,1,100,46.1067
1760384405.646809,271459.000,42680,1,SF,1,100,45.5734
1760384406.046801,271859.000,42749,1,SF,1,100,47.1284
1760384406.312797,272125.000,42799,1,SF,1,100,46.5832
1760384406.646791,272459.000,42854,1,SF,1,100,48.1266
1760384407.046783,272859.000,42921,1,SF,1,100,47.5699
1760384407.312779,273125.000,42975,1,SF,1,100,49.1018
1760384407.646773,273459.000,43026,1,SF,1,100,48.5338
1760384407.979767,273792.000,43074,1,SF,1,100,47.9724
1760384408.312761,274125.000,43134,1,SF,1,100,47.4174
1760384408.712753,274525.000,43201,1,SF,1,100,46.8689
1760384409.045747,274858.000,43251,1,SF,1,100,46.3267
1760384409.312742,275125.000,43302,1,SF,1,100,45.7908
1760384409.645737,275458.000,43352,1,SF,1,100,45.2611
1760384410.045729,275858.000,43419,1,SF,1,100,44.7375
1760384410.312725,276125.000,43470,1,SF,1,100,44.2200
1760384410.645719,276458.000,43520,1,SF,1,100,43.7085
1760384411.045711,276858.000,43588,1,SF,1,100,43.2028
1760384411.378706,277191.000,43642,1,SF,1,100,42.7031
1760384411.645701,277458.000,43692,1,SF,1,100,42.2091
1760384411.978695,277791.000,43743,1,SF,1,100,41.7208
1760384412.378687,278191.000,43810,1,SF,1,100,41.2382
1760384412.645683,278458.000,43862,1,SF,1,100,40.7611
1760384412.978677,278791.000,43911,1,SF,1,100,40.2896
1760384413.312670,279125.000,43967,1,SF,1,100,39.8235
1760384413.645664,279458.000,44018,1,SF,1,100,39.3628
1760384414.045657,279858.000,44085,1,SF,1,100,38.9075
1760384414.312653,280125.000,44135,1,SF,1,100,38.4574
1760384414.645647,280458.000,44187,1,SF,1,100,38.0125
1760384414.978641,280791.000,44238,1,SF,1,100,37.5728
1760384415.378633,281191.000,44305,1,SF,1,100,37.1381
1760384415.645628,281458.000,44356,1,SF,1,100,36.7085
1760384415.978623,281791.000,44406,1,SF,1,100,36.2839
1760384416.378615,282191.000,44475,1,SF,1,100,35.8641
1760384416.645611,282458.000,44526,1,SF,1,100,35.4493
1760384416.978605,282791.000,44578,1,SF,1,100,35.0392
1760384417.311599,283124.000,44627,1,SF,1,100,34.6339
1760384417.711591,283524.000,44696,1,SF,1,100,34.2332
1760384417.978586,283791.000,44746,1,SF,1,100,33.8372
1760384418.311581,284124.000,44802,1,SF,1,100,33.4458
1760384418.644575,284457.000,44852,1,SF,1,100,33.0589
1760384419.044567,284857.000,44920,1,SF,1,100,32.6764
1760384419.378561,285191.000,44972,1,SF,1,100,32.2984
1760384419.644557,285457.000,45020,1,SF,1,100,31.9248
1760384419.978550,285791.000,45071,1,SF,1,100,31.5555
1760384420.378543,286191.000,45136,1,SF,1,100,31.1905
1760384420.644539,286457.000,45188,1,SF,1,100,30.8296
1760384420.978533,286791.000,45239,1,SF,1,100,30.4730
1760384421.377525,287190.000,45308,1,SF,1,100,30.1205
1760384421.711519,287524.000,45358,1,SF,1,100,29.7721
1760384421.977515,287790.000,45411,1,SF,1,100,29.4277
1760384422.311508,288124.000,45459,1,SF,1,100,29.0872
1760384422.711501,288524.000,45528,1,SF,1,100,28.7507
1760384422.977497,288790.000,45577,1,SF,1,100,28.4182
1760384423.311491,289124.000,45628,1,SF,1,100,28.0894
1760384423.644485,289457.000,45685,1,SF,1,100,27.7645
1760384423.977479,289790.000,45735,1,SF,1,100,27.4433
1760384424.377471,290190.000,45802,1,SF,1,100,27.1258
1760384424.644467,290457.000,45855,1,SF,1,100,26.8120
1760384424.977461,290790.000,45905,1,SF,1,100,26.5019
1760384425.310455,291123.000,45954,1,SF,1,100,26.1953
1760384425.710447,291523.000,46023,1,SF,1,100,25.8923
1760384425.977443,291790.000,46073,1,SF,1,100,25.5927
1760384426.310436,292123.000,46126,1,SF,1,100,25.2967
1760384426.710429,292523.000,46193,1,SF,1,100,25.0040
1760384426.977425,292790.000,46243,1,SF,1,100,24.7148
1760384427.310419,293123.000,46296,1,SF,1,100,24.4289
1760384427.644413,293457.000,46346,1,SF,1,100,24.1463
1760384428.043405,293856.000,46413,1,SF,1,100,23.8670
1760384428.310400,294123.000,46464,1,SF,1,100,23.5909
1760384428.710393,294523.000,46521,1,SF,1,100,23.3180
1760384428.977389,294790.000,46572,1,SF,1,100,23.0482
1760384429.310383,295123.000,46622,1,SF,1,100,22.7816
1760384429.710375,295523.000,46689,1,SF,1,100,22.5181
1760384429.977371,295790.000,46742,1,SF,1,100,22.2576
1760384430.310364,296123.000,46792,1,SF,1,100,22.0001
1760384430.710357,296523.000,46859,1,SF,1,100,21.7456
1760384431.043351,296856.000,46910,1,SF,1,100,23.5763
1760384431.310347,297123.000,46964,1,SF,1,100,25.3858
1760384431.643341,297456.000,47019,1,SF,1,100,27.1744
1760384432.043333,297856.000,47088,1,SF,1,100,28.9423
1760384432.310328,298123.000,47138,1,SF,1,100,28.6075
1760384432.643322,298456.000,47189,1,SF,1,100,28.2766
1760384433.043315,298856.000,47257,1,SF,1,100,27.9495
1760384433.376309,299189.000,47308,1,SF,1,100,27.6261
1760384433.710303,299523.000,47364,1,SF,1,100,27.3066
1760384433.976299,299789.000,47418,1,SF,1,100,29.0729
1760384434.310292,300123.000,47469,1,SF,1,100,28.7366
1760384434.709285,300522.000,47536,1,SF,1,100,28.4042
1760384435.043279,300856.000,47584,1,SF,1,100,28.0756
1760384435.309274,301122.000,47637,1,SF,1,100,27.7508
1760384435.643269,301456.000,47687,1,SF,1,100,27.4298
1760384436.043261,301856.000,47754,1,SF,1,100,27.1125
1760384436.309257,302122.000,47805,1,SF,1,100,26.7988
1760384436.643250,302456.000,47857,1,SF,1,100,26.4888
1760384437.043243,302856.000,47925,1,SF,1,100,26.1824
1760384437.376237,303189.000,47977,1,SF,1,100,25.8795
1760384437.643233,303456.000,48027,1,SF,1,100,25.5802
1760384437.976227,303789.000,48078,1,SF,1,100,25.2842
1760384438.376219,304189.000,48145,1,SF,1,100,24.9918
1760384438.642215,304455.000,48197,1,SF,1,100,24.7026
1760384439.042207,304855.000,48250,1,SF,1,100,24.4169
1760384439.309202,305122.000,48302,1,SF,1,100,24.1344
1760384439.642196,305455.000,48353,1,SF,1,100,23.8552
1760384440.042189,305855.000,48420,1,SF,1,100,23.5793
1760384440.376183,306189.000,48470,1,SF,1,100,23.3065
1760384440.642179,306455.000,48523,1,SF,1,100,23.0369
1760384440.976172,306789.000,48573,1,SF,1,100,22.7704
1760384441.376165,307189.000,48642,1,SF,1,100,22.5070
1760384441.642160,307455.000,48693,1,SF,1,100,22.2466
1760384441.975154,307788.000,48743,1,SF,1,100,21.9893
1760384442.309149,308122.000,48794,1,SF,1,100,21.7349
1760384442.709141,308522.000,48861,1,SF,1,100,21.4835
1760384442.975137,308788.000,48911,1,SF,1,100,21.2350
1760384443.309130,309122.000,48962,1,SF,1,100,20.9893
1760384443.709123,309522.000,49030,1,SF,1,100,20.7465
1760384443.975118,309788.000,49070,1,SF,1,100,20.5065
1760384444.375111,310188.000,49137,1,SF,1,100,20.2693
1760384444.642107,310455.000,49189,1,SF,1,100,20.0348
1760384444.975101,310788.000,49240,1,SF,1,100,19.8031
1760384445.375093,311188.000,49307,1,SF,1,100,19.5740
1760384445.642088,311455.000,49357,1,SF,1,100,19.3475
1760384445.975082,311788.000,49410,1,SF,1,100,19.1237
1760384446.308076,312121.000,49460,1,SF,1,100,20.9847
1760384446.708069,312521.000,49531,1,SF,1,100,20.7420
1760384446.975065,312788.000,49580,1,SF,1,100,20.5021
1760384447.308059,313121.000,49630,1,SF,1,100,20.2649
1760384447.708051,313521.000,49698,1,SF,1,100,20.0305
1760384448.041045,313854.000,49750,1,SF,1,100,19.7987
1760384448.308040,314121.000,49800,1,SF,1,100,19.5697
1760384448.641034,314454.000,49851,1,SF,1,100,19.3433
1760384449.041027,314854.000,49923,1,SF,1,100,19.1196
1760384449.375021,315188.000,49974,1,SF,1,100,18.8984
1760384449.708015,315521.000,50025,1,SF,1,100,18.6798
1760384449.975010,315788.000,50077,1,SF,1,100,18.4637
1760384450.308004,316121.000,50128,1,SF,1,100,18.2501
1760384450.707997,316521.000,50195,1,SF,1,100,18.0390
1760384450.974993,316788.000,50245,1,SF,1,100,17.8303
1760384451.307986,317121.000,50295,1,SF,1,100,17.6240
1760384451.707979,317521.000,50366,1,SF,1,100,17.4202
1760384452.040973,317854.000,50415,1,SF,1,100,17.2186
1760384452.307968,318121.000,50466,1,SF,1,100,17.0195
1760384452.640962,318454.000,50516,1,SF,1,100,16.8226
1760384453.040955,318854.000,50583,1,SF,1,100,16.6280
1760384453.307950,319121.000,50636,1,SF,1,100,16.4356
1760384453.640944,319454.000,50688,1,SF,1,100,18.3277
1760384454.040937,319854.000,50755,1,SF,1,100,18.1157
1760384454.307932,320121.000,50794,1,SF,1,100,17.9062
1760384454.706925,320520.000,50863,1,SF,1,100,17.6990
1760384454.973920,320787.000,50912,1,SF,1,100,17.4943
1760384455.306914,321120.000,50963,1,SF,1,100,17.2919
1760384455.640908,321454.000,51015,1,SF,1,100,17.0919
1760384456.040901,321854.000,51082,1,SF,1,100,16.8941
1760384456.306896,322120.000,51132,1,SF,1,100,16.6987
1760384456.640890,322454.000,51187,1,SF,1,100,18.5878
1760384457.040883,322854.000,51254,1,SF,1,100,18.3728
1760384457.306878,323120.000,51306,1,SF,1,100,18.1602
1760384457.640872,323454.000,51357,1,SF,1,100,17.9501
1760384457.973866,323787.000,51407,1,SF,1,100,17.7425
1760384458.373859,324187.000,51474,1,SF,1,100,17.5373
1760384458.639854,324453.000,51527,1,SF,1,100,19.4166
1760384458.973848,324787.000,51577,1,SF,1,100,19.1920
1760384459.306842,325120.000,51633,1,SF,1,100,18.9700
1760384459.639836,325453.000,51685,1,SF,1,100,18.7506
1760384460.039829,325853.000,51752,1,SF,1,100,18.5336
1760384460.306824,326120.000,51803,1,SF,1,100,18.3193
1760384460.639818,326453.000,51853,1,SF,1,100,18.1073
1760384461.039811,326853.000,51920,1,SF,1,100,17.8979
1760384461.306806,327120.000,51973,1,SF,1,100,17.6908
1760384461.639800,327453.000,52025,1,SF,1,100,17.4862
1760384461.972794,327786.000,52076,1,SF,1,100,17.2839
1760384462.372787,328186.000,52143,1,SF,1,100,17.0839
1760384462.639782,328453.000,52195,1,SF,1,100,16.8863
1760384462.972776,328786.000,52244,1,SF,1,100,16.6910
1760384463.372769,329186.000,52313,1,SF,1,100,16.4979
1760384463.639764,329453.000,52361,1,SF,1,100,16.3070
1760384463.972758,329786.000,52413,1,SF,1,100,16.1184
1760384464.439750,330253.000,52485,1,SF,1,100,15.9319
1760384464.639746,330453.000,52519,1,SF,1,100,15.7476
1760384465.039739,330853.000,52586,1,SF,1,100,15.5655
1760384465.306734,331120.000,52640,1,SF,1,100,17.4677
1760384465.639728,331453.000,52691,1,SF,1,100,17.2656
1760384465.972722,331786.000,52741,1,SF,1,100,17.0659
1760384466.372715,332186.000,52812,1,SF,1,100,18.9507
