LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1760384359.511639,225323.000,34915,1,T1,1,100,32.270
1760384359.645637,225457.000,34949,1,T1,1,100,32.401
1760384359.778635,225590.000,34966,1,T1,1,100,32.492
1760384359.911632,225723.000,34982,1,T1,1,100,32.390
1760384360.045630,225857.000,35016,1,T1,1,100,32.417
1760384360.178627,225990.000,35033,1,T1,1,100,32.500
1760384360.311625,226123.000,35050,1,T1,1,100,32.358
1760384360.444623,226256.000,35083,1,T1,1,100,32.403
1760384360.578620,226390.000,35100,1,T1,1,100,32.423
1760384360.711618,226523.000,35119,1,T1,1,100,32.360
1760384360.844615,226656.000,35152,1,T1,1,100,32.404
1760384360.978613,226790.000,35170,1,T1,1,100,32.388
1760384361.111610,226923.000,35188,1,T1,1,100,32.345
1760384361.244608,227056.000,35207,1,T1,1,100,32.397
1760384361.378606,227190.000,35241,1,T1,1,100,32.385
1760384361.511603,227323.000,35261,1,T1,1,100,32.308
1760384361.644601,227456.000,35279,1,T1,1,100,32.311
1760384361.778599,227590.000,35310,1,T1,1,100,32.347
1760384361.911596,227723.000,35328,1,T1,1,100,32.363
1760384362.044594,227856.000,35353,1,T1,1,100,32.405
1760384362.178591,227990.000,35369,1,T1,1,100,32.424
1760384362.311589,228123.000,35403,1,T1,1,100,32.325
1760384362.444587,228256.000,35420,1,T1,1,100,32.318
1760384362.578584,228390.000,35438,1,T1,1,100,32.386
1760384362.711582,228523.000,35472,1,T1,1,100,32.451
1760384362.844579,228656.000,35489,1,T1,1,100,32.514
1760384362.977577,228789.000,35508,1,T1,1,100,32.506
1760384363.111574,228923.000,35525,1,T1,1,100,32.361
1760384363.244572,229056.000,35558,1,T1,1,100,32.404
1760384363.377570,229189.000,35575,1,T1,1,100,32.388
1760384363.511567,229323.000,35594,1,T1,1,100,32.345
1760384363.644565,229456.000,35626,1,T1,1,100,32.362
1760384363.777562,229589.000,35644,1,T1,1,100,32.369
1760384363.911560,229723.000,35663,1,T1,1,100,32.408
1760384364.044558,229856.000,35697,1,T1,1,100,32.354
1760384364.177555,229989.000,35715,1,T1,1,100,32.330
1760384364.311553,230123.000,35733,1,T1,1,100,32.320
1760384364.444551,230256.000,35766,1,T1,1,100,32.351
1760384364.577548,230389.000,35782,1,T1,1,100,32.294
1760384364.711546,230523.000,35800,1,T1,1,100,32.375
1760384364.844543,230656.000,35833,1,T1,1,100,32.304
1760384364.977541,230789.000,35852,1,T1,1,100,32.344
1760384365.111538,230923.000,35869,1,T1,1,100,32.326
1760384365.244536,231056.000,35887,1,T1,1,100,32.283
1760384365.377534,231189.000,35921,1,T1,1,100,32.300
1760384365.511531,231323.000,35938,1,T1,1,100,32.378
1760384365.644529,231456.000,35955,1,T1,1,100,32.305
1760384365.777526,231589.000,35988,1,T1,1,100,32.309
1760384365.911524,231723.000,36005,1,T1,1,100,32.382
1760384366.044522,231856.000,36022,1,T1,1,100,32.343
1760384366.177519,231989.000,36053,1,T1,1,100,32.396
1760384366.311517,232123.000,36073,1,T1,1,100,32.491
1760384366.444515,232256.000,36093,1,T1,1,100,32.354
1760384366.577512,232389.000,36129,1,T1,1,100,32.331
1760384366.710510,232522.000,36146,1,T1,1,100,32.320
1760384366.844507,232656.000,36162,1,T1,1,100,32.316
1760384366.977505,232789.000,36196,1,T1,1,100,32.420
1760384367.110502,232922.000,36220,1,T1,1,100,32.430
1760384367.244500,233056.000,36237,1,T1,1,100,32.328
1760384367.377498,233189.000,36258,1,T1,1,100,32.284
1760384367.510495,233322.000,36274,1,T1,1,100,32.300
1760384367.644493,233456.000,36306,1,T1,1,100,32.343
1760384367.777490,233589.000,36325,1,T1,1,100,32.467
1760384367.910488,233722.000,36341,1,T1,1,100,32.379
1760384368.044486,233856.000,36377,1,T1,1,100,32.341
1760384368.177483,233989.000,36394,1,T1,1,100,32.325
1760384368.310481,234122.000,36411,1,T1,1,100,32.389
1760384368.444479,234256.000,36446,1,T1,1,100,32.346
1760384368.577476,234389.000,36463,1,T1,1,100,32.327
1760384368.710474,234522.000,36480,1,T1,1,100,32.390
1760384368.844471,234656.000,36497,1,T1,1,100,32.417
1760384368.977469,234789.000,36533,1,T1,1,100,32.464
1760384369.110466,234922.000,36549,1,T1,1,100,32.414
1760384369.244464,235056.000,36566,1,T1,1,100,32.321
1760384369.377462,235189.000,36602,1,T1,1,100,32.387
1760384369.510459,235322.000,36620,1,T1,1,100,32.416
1760384369.644457,235456.000,36640,1,T1,1,100,32.357
1760384369.777454,235589.000,36671,1,T1,1,100,32.403
1760384369.910452,235722.000,36687,1,T1,1,100,32.387
1760384370.044450,235856.000,36709,1,T1,1,100,32.380
1760384370.177447,235989.000,36740,1,T1,1,100,32.519
1760384370.310445,236122.000,36759,1,T1,1,100,32.402
1760384370.444443,236256.000,36776,1,T1,1,100,32.316
1760384370.577440,236389.000,36808,1,T1,1,100,32.349
1760384370.710438,236522.000,36828,1,T1,1,100,32.399
1760384370.843435,236655.000,36845,1,T1,1,100,32.279
1760384370.977433,236789.000,36881,1,T1,1,100,32.334
1760384371.110430,236922.000,36897,1,T1,1,100,32.463
1760384371.243428,237055.000,36914,1,T1,1,100,32.378
1760384371.377426,237189.000,36931,1,T1,1,100,32.341
1760384371.510423,237322.000,36966,1,T1,1,100,32.396
1760384371.643421,237455.000,36984,1,T1,1,100,32.313
1760384371.777418,237589.000,37002,1,T1,1,100,32.313
1760384371.910416,237722.000,37036,1,T1,1,100,32.313
1760384372.043414,237855.000,37053,1,T1,1,100,32.313
1760384372.177411,237989.000,37069,1,T1,1,100,32.348
1760384372.310409,238122.000,37094,1,T1,1,100,32.399
1760384372.443406,238255.000,37129,1,T1,1,100,32.350
1760384372.577404,238389.000,37145,1,T1,1,100,32.435
1760384372.710402,238522.000,37163,1,T1,1,100,32.401
1760384372.843399,238655.000,37179,1,T1,1,100,32.351
1760384372.976397,238788.000,37213,1,T1,1,100,32.400
1760384373.110394,238922.000,37230,1,T1,1,100,32.457
1760384373.243392,239055.000,37246,1,T1,1,100,32.375
1760384373.376390,239188.000,37280,1,T1,1,100,32.375
