LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1760382196.575215,1501462.000,50495,1,AY,1,100,-1.039
1760382196.615214,1501502.000,50512,2,AY,1,100,-1.000
1760382196.655213,1501542.000,50512,2,AY,1,100,-0.999
1760382196.695213,1501582.000,50529,3,AY,1,100,-1.011
1760382196.735212,1501622.000,50529,3,AY,1,100,-1.042
1760382196.775211,1501662.000,50529,3,AY,1,100,-1.020
1760382196.815210,1501702.000,50545,2,AY,1,100,-0.986
1760382196.855210,1501742.000,50545,2,AY,1,100,-0.994
1760382196.895209,1501782.000,50562,3,AY,1,100,-1.028
1760382196.935208,1501822.000,50562,3,AY,1,100,-1.034
1760382196.975207,1501862.000,50562,3,AY,1,100,-1.005
1760382197.015206,1501902.000,50581,2,AY,1,100,-0.995
1760382197.055206,1501942.000,50581,2,AY,1,100,-1.016
1760382197.095205,1501982.000,50598,3,AY,1,100,-1.023
1760382197.135204,1502022.000,50598,3,AY,1,100,-1.019
1760382197.175203,1502062.000,50598,3,AY,1,100,-1.012
1760382197.215203,1502102.000,50614,2,AY,1,100,-1.018
1760382197.255202,1502142.000,50614,2,AY,1,100,-1.013
1760382197.295201,1502182.000,50630,3,AY,1,100,-1.017
1760382197.335200,1502222.000,50630,3,AY,1,100,-1.010
1760382197.375200,1502262.000,50630,3,AY,1,100,-1.009
1760382197.415199,1502302.000,50646,3,AY,1,100,-1.017
1760382197.455198,1502342.000,50646,3,AY,1,100,-1.021
1760382197.495197,1502382.000,50646,3,AY,1,100,-1.014
1760382197.535196,1502422.000,50663,2,AY,1,100,-1.014
1760382197.575196,1502462.000,50663,2,AY,1,100,-1.025
1760382197.615195,1502502.000,50680,3,AY,1,100,-1.016
1760382197.655194,1502542.000,50680,3,AY,1,100,-1.002
1760382197.695193,1502582.000,50680,3,AY,1,100,-1.014
1760382197.735193,1502622.000,50696,2,AY,1,100,-1.016
1760382197.775192,1502662.000,50696,2,AY,1,100,-1.018
1760382197.815191,1502702.000,50711,3,AY,1,100,-1.011
1760382197.855190,1502742.000,50711,3,AY,1,100,-1.013
1760382197.895189,1502782.000,50711,3,AY,1,100,-1.017
1760382197.935189,1502822.000,50729,2,AY,1,100,-1.011
1760382197.975188,1502862.000,50729,2,AY,1,100,-1.016
1760382198.015187,1502902.000,50745,3,AY,1,100,-1.013
1760382198.055186,1502942.000,50745,3,AY,1,100,-1.016
1760382198.095186,1502982.000,50745,3,AY,1,100,-1.016
1760382198.134685,1503021.500,50762,2,AY,1,100,-1.016
1760382198.174184,1503061.000,50762,2,AY,1,100,-1.006
1760382198.214183,1503101.000,50776,3,AY,1,100,-1.020
1760382198.254182,1503141.000,50776,3,AY,1,100,-1.009
1760382198.294182,1503181.000,50776,3,AY,1,100,-1.017
1760382198.329848,1503216.667,50794,3,AY,1,100,-1.016
1760382198.365514,1503252.333,50794,3,AY,1,100,-1.014
1760382198.401180,1503288.000,50794,3,AY,1,100,-1.009
1760382198.441179,1503328.000,50812,2,AY,1,100,-1.013
1760382198.481178,1503368.000,50812,2,AY,1,100,-1.008
1760382198.521177,1503408.000,50829,3,AY,1,100,-1.017
1760382198.561177,1503448.000,50829,3,AY,1,100,-1.015
