LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1760382196.667213,1501554.000,50507,2,EA,1,100,0.119268
1760382196.667213,1501554.000,50507,2,EA,1,100,0.119107
1760382196.734212,1501621.000,50524,1,EA,1,100,0.119176
1760382196.800711,1501687.500,50540,2,EA,1,100,0.119119
1760382196.867209,1501754.000,50540,2,EA,1,100,0.119008
1760382196.934208,1501821.000,50559,1,EA,1,100,0.118990
1760382197.000707,1501887.500,50576,2,EA,1,100,0.118894
1760382197.067205,1501954.000,50576,2,EA,1,100,0.118790
1760382197.134204,1502021.000,50593,1,EA,1,100,0.118851
1760382197.200703,1502087.500,50609,2,EA,1,100,0.118847
1760382197.267202,1502154.000,50609,2,EA,1,100,0.118961
1760382197.334200,1502221.000,50627,1,EA,1,100,0.118945
1760382197.400699,1502287.500,50641,2,EA,1,100,0.118817
1760382197.467198,1502354.000,50641,2,EA,1,100,0.118638
1760382197.534196,1502421.000,50658,1,EA,1,100,0.118474
1760382197.600695,1502487.500,50675,2,EA,1,100,0.118312
1760382197.667194,1502554.000,50675,2,EA,1,100,0.118223
1760382197.734193,1502621.000,50692,1,EA,1,100,0.118135
1760382197.800691,1502687.500,50707,2,EA,1,100,0.118046
1760382197.867190,1502754.000,50707,2,EA,1,100,0.117988
1760382197.933689,1502820.500,50724,2,EA,1,100,0.117932
1760382198.000187,1502887.000,50724,2,EA,1,100,0.117858
1760382198.067186,1502954.000,50740,1,EA,1,100,0.117818
1760382198.133685,1503020.500,50757,2,EA,1,100,0.117746
1760382198.200183,1503087.000,50757,2,EA,1,100,0.117956
1760382198.267182,1503154.000,50773,1,EA,1,100,0.118050
1760382198.333681,1503220.500,50789,2,EA,1,100,0.117998
1760382198.400180,1503287.000,50789,2,EA,1,100,0.117870
1760382198.467178,1503354.000,50807,1,EA,1,100,0.117766
1760382198.533677,1503420.500,50824,2,EA,1,100,0.117706
1760382198.600176,1503487.000,50824,2,EA,1,100,0.117766
1760382198.667174,1503554.000,50841,1,EA,1,100,0.117918
1760382198.733673,1503620.500,50856,2,EA,1,100,0.117692
1760382198.800172,1503687.000,50856,2,EA,1,100,0.117554
1760382198.867171,1503754.000,50872,1,EA,1,100,0.117355
1760382198.933669,1503820.500,50890,2,EA,1,100,0.117379
1760382199.000168,1503887.000,50890,2,EA,1,100,0.117210
1760382199.067167,1503954.000,50906,1,EA,1,100,0.117015
1760382199.133665,1504020.500,50921,2,EA,1,100,0.116910
1760382199.200164,1504087.000,50921,2,EA,1,100,0.116780
1760382199.267163,1504154.000,50937,1,EA,1,100,0.116686
1760382199.333662,1504220.500,50955,2,EA,1,100,0.116851
