LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1760382196.575215,1501462.000,50498,1,GY,1,100,-2.991
1760382196.615214,1501502.000,50515,2,GY,1,100,-6.744
1760382196.655213,1501542.000,50515,2,GY,1,100,-2.533
1760382196.695213,1501582.000,50532,3,GY,1,100,9.491
1760382196.735212,1501622.000,50532,3,GY,1,100,8.270
1760382196.775211,1501662.000,50532,3,GY,1,100,-13.794
1760382196.815210,1501702.000,50548,2,GY,1,100,-16.296
1760382196.855210,1501742.000,50548,2,GY,1,100,3.601
1760382196.895209,1501782.000,50565,3,GY,1,100,9.064
1760382196.935208,1501822.000,50565,3,GY,1,100,-4.517
1760382196.975207,1501862.000,50565,3,GY,1,100,-7.324
1760382197.015206,1501902.000,50584,2,GY,1,100,1.099
1760382197.055206,1501942.000,50584,2,GY,1,100,1.465
1760382197.095205,1501982.000,50601,3,GY,1,100,-0.244
1760382197.135204,1502022.000,50601,3,GY,1,100,1.801
1760382197.175203,1502062.000,50601,3,GY,1,100,0.427
1760382197.215203,1502102.000,50617,2,GY,1,100,1.404
1760382197.255202,1502142.000,50617,2,GY,1,100,1.892
1760382197.295201,1502182.000,50633,3,GY,1,100,-1.068
1760382197.335200,1502222.000,50633,3,GY,1,100,-2.808
1760382197.375200,1502262.000,50633,3,GY,1,100,-2.167
1760382197.415199,1502302.000,50649,3,GY,1,100,0.000
1760382197.455198,1502342.000,50649,3,GY,1,100,0.946
1760382197.495197,1502382.000,50649,3,GY,1,100,0.916
1760382197.535196,1502422.000,50666,2,GY,1,100,0.488
1760382197.575196,1502462.000,50666,2,GY,1,100,-0.458
1760382197.615195,1502502.000,50683,3,GY,1,100,-2.258
1760382197.655194,1502542.000,50683,3,GY,1,100,-2.441
1760382197.695193,1502582.000,50683,3,GY,1,100,-0.122
1760382197.735193,1502622.000,50699,2,GY,1,100,0.305
1760382197.775192,1502662.000,50699,2,GY,1,100,1.709
1760382197.815191,1502702.000,50714,3,GY,1,100,0.305
1760382197.855190,1502742.000,50714,3,GY,1,100,-3.540
1760382197.895189,1502782.000,50714,3,GY,1,100,-3.082
1760382197.935189,1502822.000,50732,2,GY,1,100,-2.228
1760382197.975188,1502862.000,50732,2,GY,1,100,-0.244
1760382198.015187,1502902.000,50748,3,GY,1,100,-1.465
1760382198.055186,1502942.000,50748,3,GY,1,100,-0.427
1760382198.095186,1502982.000,50748,3,GY,1,100,1.740
1760382198.134685,1503021.500,50765,2,GY,1,100,0.214
1760382198.174184,1503061.000,50765,2,GY,1,100,-0.031
1760382198.214183,1503101.000,50779,3,GY,1,100,0.793
1760382198.254182,1503141.000,50779,3,GY,1,100,0.122
1760382198.294182,1503181.000,50779,3,GY,1,100,1.495
1760382198.329848,1503216.667,50797,3,GY,1,100,-1.068
1760382198.365514,1503252.333,50797,3,GY,1,100,-5.371
1760382198.401180,1503288.000,50797,3,GY,1,100,-3.143
1760382198.441179,1503328.000,50815,2,GY,1,100,0.519
1760382198.481178,1503368.000,50815,2,GY,1,100,0.244
1760382198.521177,1503408.000,50832,3,GY,1,100,2.350
1760382198.561177,1503448.000,50832,3,GY,1,100,3.204
1760382198.601176,1503488.000,50832,3,GY,1,100,-0.031
1760382198.641175,1503528.000,50847,2,GY,1,100,-2.777
1760382198.681174,1503568.000,50847,2,GY,1,100,-2.228
1760382198.721173,1503608.000,50864,3,GY,1,100,-1.648
1760382198.761173,1503648.000,50864,3,GY,1,100,0.244
1760382198.801172,1503688.000,50864,3,GY,1,100,1.312
1760382198.841171,1503728.000,50880,2,GY,1,100,0.824
1760382198.881170,1503768.000,50880,2,GY,1,100,-0.061
1760382198.921170,1503808.000,50898,3,GY,1,100,0.122
1760382198.961169,1503848.000,50898,3,GY,1,100,-0.641
1760382199.001168,1503888.000,50898,3,GY,1,100,-2.197
1760382199.041167,1503928.000,50912,2,GY,1,100,0.458
1760382199.081166,1503968.000,50912,2,GY,1,100,0.458
1760382199.121166,1504008.000,50929,3,GY,1,100,-0.488
1760382199.161165,1504048.000,50929,3,GY,1,100,0.214
1760382199.201164,1504088.000,50929,3,GY,1,100,1.617
1760382199.241163,1504128.000,50945,3,GY,1,100,1.770
1760382199.281163,1504168.000,50945,3,GY,1,100,-1.221
1760382199.321162,1504208.000,50945,3,GY,1,100,0.366
